year,journal.id,journal.title,total,total_year
2018,jour.1137590,Senologie - Zeitschrift für Mammadiagnostik und -therapie,50,22
2018,jour.1119411,Genetics in Medicine,50,13
2020,jour.1119411,Genetics in Medicine,50,18
2019,jour.1017790,American Journal of Clinical Nutrition,50,21
2018,jour.1013236,Schizophrenia Bulletin,49,21
2019,jour.1013236,Schizophrenia Bulletin,49,16
2020,jour.1013236,Schizophrenia Bulletin,49,12
2020,jour.1034427,PLoS Medicine,48,12
2018,jour.1034427,PLoS Medicine,48,18
2019,jour.1034427,PLoS Medicine,48,18
2018,jour.1346339,Science,47,22
2019,jour.1346339,Science,47,17
2020,jour.1346339,Science,47,8
2019,jour.1018238,Neurology,46,18
2020,jour.1035838,International Journal of Obesity,46,13
2018,jour.1035838,International Journal of Obesity,46,17
2018,jour.1345383,Bioinformatics,46,11
2020,jour.1345383,Bioinformatics,46,13
2019,jour.1345383,Bioinformatics,46,22
2018,jour.1018238,Neurology,46,14
2019,jour.1035838,International Journal of Obesity,46,16
2020,jour.1018238,Neurology,46,14
2019,jour.1092777,Breast Cancer Research and Treatment,45,15
2020,jour.1092777,Breast Cancer Research and Treatment,45,6
2018,jour.1092777,Breast Cancer Research and Treatment,45,24
2020,jour.1017377,The BMJ,45,10
2019,jour.1017377,The BMJ,45,18
2018,jour.1017377,The BMJ,45,17
2018,jour.1113743,The Journals of Gerontology Series A,43,10
2018,jour.1113716,Nature Medicine,43,8
2020,jour.1113743,The Journals of Gerontology Series A,43,17
2019,jour.1113716,Nature Medicine,43,20
2019,jour.1113743,The Journals of Gerontology Series A,43,16
2020,jour.1113716,Nature Medicine,43,15
2020,jour.1017082,British Journal of Cancer,42,10
2019,jour.1042271,Clinical Epigenetics,42,15
2019,jour.1017082,British Journal of Cancer,42,15
2020,jour.1042271,Clinical Epigenetics,42,11
2018,jour.1017082,British Journal of Cancer,42,17
2018,jour.1042271,Clinical Epigenetics,42,16
2020,jour.1089762,Journal of Affective Disorders,41,10
2018,jour.1089762,Journal of Affective Disorders,41,14
2019,jour.1089762,Journal of Affective Disorders,41,17
2018,jour.1017081,Heart,40,13
2019,jour.1321825,JAMA Network Open,40,22
2019,jour.1017081,Heart,40,20
2020,jour.1017081,Heart,40,7
2018,jour.1321825,JAMA Network Open,40,4
2020,jour.1321825,JAMA Network Open,40,14
2018,jour.1090493,American Journal of Epidemiology,39,11
2020,jour.1017226,Annals of the Rheumatic Diseases,39,10
2019,jour.1017226,Annals of the Rheumatic Diseases,39,12
2019,jour.1090493,American Journal of Epidemiology,39,15
2018,jour.1017226,Annals of the Rheumatic Diseases,39,17
2018,jour.1013101,Stroke,39,18
2019,jour.1013101,Stroke,39,7
2020,jour.1013101,Stroke,39,14
2020,jour.1090493,American Journal of Epidemiology,39,13
2019,jour.1077219,The Lancet,38,11
2019,jour.1094093,Journal of Hypertension,38,12
2020,jour.1045144,Frontiers in Genetics,38,10
2020,jour.1077219,The Lancet,38,7
2019,jour.1045144,Frontiers in Genetics,38,16
2018,jour.1077219,The Lancet,38,20
2018,jour.1045144,Frontiers in Genetics,38,12
2020,jour.1094093,Journal of Hypertension,38,4
2018,jour.1094093,Journal of Hypertension,38,22
2018,jour.1097961,Schizophrenia Research,37,14
2019,jour.1005854,Hypertension,37,18
2020,jour.1097961,Schizophrenia Research,37,8
2018,jour.1005854,Hypertension,37,9
2018,jour.1313661,International Journal of Cardiology,37,18
2020,jour.1313661,International Journal of Cardiology,37,5
2019,jour.1097961,Schizophrenia Research,37,15
2019,jour.1313661,International Journal of Cardiology,37,14
2020,jour.1005854,Hypertension,37,10
2019,jour.1032885,BMC Medicine,36,15
2020,jour.1032885,BMC Medicine,36,9
2018,jour.1032885,BMC Medicine,36,12
2020,jour.1091979,Neurobiology of Aging,35,5
2018,jour.1011551,Medicine & Science in Sports & Exercise,35,10
2019,jour.1358061,Journal of Investigative Dermatology,35,12
2019,jour.1011551,Medicine & Science in Sports & Exercise,35,14
2018,jour.1091979,Neurobiology of Aging,35,13
2020,jour.1011551,Medicine & Science in Sports & Exercise,35,11
2018,jour.1358061,Journal of Investigative Dermatology,35,18
2020,jour.1358061,Journal of Investigative Dermatology,35,5
2019,jour.1091979,Neurobiology of Aging,35,17
2018,jour.1100952,Arteriosclerosis Thrombosis and Vascular Biology,34,20
2019,jour.1034222,Ophthalmology,34,8
2019,jour.1100952,Arteriosclerosis Thrombosis and Vascular Biology,34,8
2020,jour.1100952,Arteriosclerosis Thrombosis and Vascular Biology,34,6
2018,jour.1022375,Breast Cancer Research,34,13
2019,jour.1022375,Breast Cancer Research,34,16
2020,jour.1034222,Ophthalmology,34,13
2020,jour.1022375,Breast Cancer Research,34,5
2018,jour.1034222,Ophthalmology,34,13
2020,jour.1319913,Cancer Research,33,16
2020,jour.1000902,British Journal of Dermatology,33,11
2019,jour.1005853,Circulation Research,33,7
2018,jour.1319913,Cancer Research,33,7
2019,jour.1000902,British Journal of Dermatology,33,5
2019,jour.1319913,Cancer Research,33,10
2020,jour.1292489,Current Developments in Nutrition,33,13
2020,jour.1005853,Circulation Research,33,15
2018,jour.1000902,British Journal of Dermatology,33,17
2019,jour.1312353,JAMA Psychiatry,33,12
2018,jour.1005853,Circulation Research,33,11
2018,jour.1312353,JAMA Psychiatry,33,11
2019,jour.1292489,Current Developments in Nutrition,33,20
2018,jour.1355527,ISEE Conference Abstracts,33,33
2020,jour.1312353,JAMA Psychiatry,33,10
2020,jour.1046517,eLife,32,11
2019,jour.1046517,eLife,32,16
2018,jour.1046517,eLife,32,5
2020,jour.1081531,JAMA,31,10
2018,jour.1088587,Environment International,31,14
2019,jour.1297439,European Journal of Preventive Cardiology,31,7
2018,jour.1046010,Cell Reports,31,17
2019,jour.1082971,Proceedings of the National Academy of Sciences of the United States of America,31,11
2020,jour.1082971,Proceedings of the National Academy of Sciences of the United States of America,31,5
2020,jour.1019815,British Journal of Ophthalmology,31,19
2019,jour.1046010,Cell Reports,31,8
2018,jour.1297439,European Journal of Preventive Cardiology,31,10
2019,jour.1019815,British Journal of Ophthalmology,31,8
2020,jour.1088587,Environment International,31,7
2018,jour.1019815,British Journal of Ophthalmology,31,4
2020,jour.1297439,European Journal of Preventive Cardiology,31,14
2018,jour.1081531,JAMA,31,7
2018,jour.1082971,Proceedings of the National Academy of Sciences of the United States of America,31,15
2019,jour.1088587,Environment International,31,10
2019,jour.1081531,JAMA,31,14
2020,jour.1046010,Cell Reports,31,6
2018,jour.1023439,Genome Biology,30,8
2019,jour.1119070,Journal of Alzheimer's Disease,30,10
2020,jour.1023439,Genome Biology,30,10
2020,jour.1119070,Journal of Alzheimer's Disease,30,7
2019,jour.1023439,Genome Biology,30,12
2018,jour.1119070,Journal of Alzheimer's Disease,30,13
2019,jour.1284558,Innovation in Aging,29,11
2019,jour.1053069,JAMA Cardiology,29,9
2018,jour.1013844,Behavior Genetics,29,8
2020,jour.1013844,Behavior Genetics,29,10
2020,jour.1053069,JAMA Cardiology,29,10
2018,jour.1053069,JAMA Cardiology,29,10
2019,jour.1013844,Behavior Genetics,29,11
2018,jour.1284558,Innovation in Aging,29,18
2018,jour.1077104,Journal of Medical Genetics,28,10
2020,jour.1049139,The Lancet Diabetes & Endocrinology,28,7
2018,jour.1049139,The Lancet Diabetes & Endocrinology,28,10
2020,jour.1017376,Journal of Epidemiology & Community Health,28,7
2019,jour.1077104,Journal of Medical Genetics,28,10
2019,jour.1043163,Cancers,28,15
2018,jour.1017376,Journal of Epidemiology & Community Health,28,6
2020,jour.1043163,Cancers,28,11
2019,jour.1017376,Journal of Epidemiology & Community Health,28,15
2018,jour.1043163,Cancers,28,2
2020,jour.1077104,Journal of Medical Genetics,28,8
2019,jour.1049139,The Lancet Diabetes & Endocrinology,28,11
2019,jour.1021029,Neuro-Oncology,27,16
2020,jour.1021029,Neuro-Oncology,27,1
2018,jour.1021029,Neuro-Oncology,27,10
2019,jour.1046459,Journal of Global Health,27,6
2018,jour.1046459,Journal of Global Health,27,11
2020,jour.1024632,BMC Cancer,27,5
2019,jour.1024632,BMC Cancer,27,7
2020,jour.1046459,Journal of Global Health,27,10
2018,jour.1024632,BMC Cancer,27,15
2019,jour.1017023,American Journal of Psychiatry,26,13
2020,jour.1044864,Archives of Cardiovascular Diseases Supplements,26,6
2018,jour.1017023,American Journal of Psychiatry,26,8
2019,jour.1048290,Journal of Clinical Medicine,26,11
2019,jour.1044864,Archives of Cardiovascular Diseases Supplements,26,11
2019,jour.1041642,Aging,26,12
2018,jour.1048290,Journal of Clinical Medicine,26,2
2018,jour.1044864,Archives of Cardiovascular Diseases Supplements,26,9
2018,jour.1041642,Aging,26,6
2020,jour.1048290,Journal of Clinical Medicine,26,13
2020,jour.1017023,American Journal of Psychiatry,26,5
2020,jour.1041642,Aging,26,8
2019,jour.1096580,Journal of Bone and Mineral Research,25,6
2018,jour.1113735,Clinical Cancer Research,25,7
2020,jour.1051466,JAMA Oncology,25,10
2020,jour.1096580,Journal of Bone and Mineral Research,25,9
2019,jour.1051466,JAMA Oncology,25,8
2020,jour.1034750,American Journal of Medical Genetics Part B Neuropsychiatric Genetics,25,5
2018,jour.1096580,Journal of Bone and Mineral Research,25,10
2019,jour.1034750,American Journal of Medical Genetics Part B Neuropsychiatric Genetics,25,10
2018,jour.1034750,American Journal of Medical Genetics Part B Neuropsychiatric Genetics,25,10
2019,jour.1113735,Clinical Cancer Research,25,13
2018,jour.1051466,JAMA Oncology,25,7
2018,jour.1017827,Journal of Psychosomatic Research,25,10
2019,jour.1017827,Journal of Psychosomatic Research,25,7
2020,jour.1017827,Journal of Psychosomatic Research,25,8
2020,jour.1113735,Clinical Cancer Research,25,5
2018,jour.1300829,Communications Biology,24,6
2019,jour.1014075,New England Journal of Medicine,24,10
2018,jour.1014075,New England Journal of Medicine,24,5
2020,jour.1077125,Gut,24,4
2020,jour.1371339,arXiv,24,9
2018,jour.1294989,European Journal of Nutrition,24,5
2020,jour.1050984,EBioMedicine,24,6
2018,jour.1077125,Gut,24,7
2020,jour.1284458,Journal of the Endocrine Society,24,15
2020,jour.1014075,New England Journal of Medicine,24,9
2019,jour.1097884,European Respiratory Journal,24,5
2020,jour.1294989,European Journal of Nutrition,24,13
2018,jour.1297427,Clinical and Experimental Ophthalmology,24,8
2020,jour.1297427,Clinical and Experimental Ophthalmology,24,8
2018,jour.1284458,Journal of the Endocrine Society,24,1
2020,jour.1300829,Communications Biology,24,6
2019,jour.1371339,arXiv,24,8
2019,jour.1284458,Journal of the Endocrine Society,24,8
2018,jour.1371339,arXiv,24,7
2019,jour.1118362,Nature Neuroscience,24,12
2019,jour.1300829,Communications Biology,24,12
2019,jour.1294989,European Journal of Nutrition,24,6
2018,jour.1097884,European Respiratory Journal,24,9
2019,jour.1297427,Clinical and Experimental Ophthalmology,24,8
2019,jour.1077125,Gut,24,13
2020,jour.1097884,European Respiratory Journal,24,10
2018,jour.1050984,EBioMedicine,24,9
2019,jour.1050984,EBioMedicine,24,9
2018,jour.1118362,Nature Neuroscience,24,6
2020,jour.1118362,Nature Neuroscience,24,6
2018,jour.1021044,European Journal of Heart Failure,23,9
2019,jour.1085982,Human Genetics,23,9
2020,jour.1009788,Journal of Electrocardiology,23,6
2020,jour.1088755,Sleep,23,6
2019,jour.1040124,Genome Medicine,23,6
2020,jour.1044353,Frontiers in Psychiatry,23,11
2018,jour.1085982,Human Genetics,23,8
2018,jour.1040124,Genome Medicine,23,6
2019,jour.1021044,European Journal of Heart Failure,23,8
2019,jour.1088755,Sleep,23,12
2020,jour.1021044,European Journal of Heart Failure,23,6
2018,jour.1009788,Journal of Electrocardiology,23,9
2019,jour.1009788,Journal of Electrocardiology,23,8
2020,jour.1040124,Genome Medicine,23,11
2018,jour.1088755,Sleep,23,5
2018,jour.1044353,Frontiers in Psychiatry,23,6
2020,jour.1085982,Human Genetics,23,6
2019,jour.1044353,Frontiers in Psychiatry,23,6
2020,jour.1017031,American Journal of Respiratory and Critical Care Medicine,22,10
2018,jour.1017825,Journal of Psychiatric Research,22,10
2020,jour.1017825,Journal of Psychiatric Research,22,3
2020,jour.1023790,BMC Genomics,22,3
2020,jour.1059210,Clinical Chemistry,22,3
2019,jour.1017031,American Journal of Respiratory and Critical Care Medicine,22,7
2018,jour.1017031,American Journal of Respiratory and Critical Care Medicine,22,5
2019,jour.1017409,Clinical Pharmacology & Therapeutics,22,6
2019,jour.1105433,Human Brain Mapping,22,5
2020,jour.1105433,Human Brain Mapping,22,11
2018,jour.1105433,Human Brain Mapping,22,6
2018,jour.1034742,Clinical Nutrition,22,9
2018,jour.1059210,Clinical Chemistry,22,10
2020,jour.1017409,Clinical Pharmacology & Therapeutics,22,12
2019,jour.1023790,BMC Genomics,22,8
2018,jour.1017409,Clinical Pharmacology & Therapeutics,22,4
2020,jour.1034742,Clinical Nutrition,22,8
2018,jour.1023790,BMC Genomics,22,11
2019,jour.1034742,Clinical Nutrition,22,5
2019,jour.1059210,Clinical Chemistry,22,9
2019,jour.1017825,Journal of Psychiatric Research,22,9
2018,jour.1085913,Psychoneuroendocrinology,21,4
2018,jour.1055081,Journal of Allergy and Clinical Immunology,21,4
2019,jour.1085913,Psychoneuroendocrinology,21,11
2018,jour.1095137,Diabetic Medicine,21,5
2019,jour.1300619,JNCI Cancer Spectrum,21,5
2019,jour.1095137,Diabetic Medicine,21,8
2018,jour.1016325,"Nephrology,Dialysis and Transplantation",21,10
2020,jour.1016325,"Nephrology,Dialysis and Transplantation",21,7
2020,jour.1055081,Journal of Allergy and Clinical Immunology,21,7
2019,jour.1018580,Journal of Nutrition,21,7
2019,jour.1055081,Journal of Allergy and Clinical Immunology,21,10
2020,jour.1085913,Psychoneuroendocrinology,21,6
2020,jour.1095137,Diabetic Medicine,21,8
2020,jour.1018580,Journal of Nutrition,21,8
2019,jour.1016325,"Nephrology,Dialysis and Transplantation",21,4
2018,jour.1300619,JNCI Cancer Spectrum,21,9
2018,jour.1018580,Journal of Nutrition,21,6
2020,jour.1300619,JNCI Cancer Spectrum,21,7
2019,jour.1101564,"NMCD - Nutrition,Metabolism and Cardiovascular Diseases",20,8
2018,jour.1284211,Journal of Child Psychology and Psychiatry,20,7
2018,jour.1101564,"NMCD - Nutrition,Metabolism and Cardiovascular Diseases",20,6
2019,jour.1017305,Brain,20,8
2020,jour.1017305,Brain,20,8
2020,jour.1101564,"NMCD - Nutrition,Metabolism and Cardiovascular Diseases",20,6
2019,jour.1284211,Journal of Child Psychology and Psychiatry,20,6
2018,jour.1017305,Brain,20,4
2019,jour.1100917,Cancer Causes & Control,20,6
2019,jour.1102176,European Journal of Public Health,20,9
2020,jour.1284211,Journal of Child Psychology and Psychiatry,20,7
2020,jour.1100917,Cancer Causes & Control,20,5
2020,jour.1099176,Neuropsychopharmacology,20,3
2018,jour.1102176,European Journal of Public Health,20,11
2018,jour.1103045,Human Mutation,20,7
2018,jour.1099176,Neuropsychopharmacology,20,8
2019,jour.1099176,Neuropsychopharmacology,20,9
2018,jour.1100917,Cancer Causes & Control,20,9
2020,jour.1103045,Human Mutation,20,3
2019,jour.1103045,Human Mutation,20,10
2018,jour.1047731,GigaScience,19,13
2019,jour.1103053,NeuroImage,19,5
2019,jour.1017311,British Journal Of Nutrition,19,10
2018,jour.1095411,Bone,19,6
2020,jour.1103053,NeuroImage,19,9
2020,jour.1017311,British Journal Of Nutrition,19,2
2020,jour.1095411,Bone,19,6
2018,jour.1345647,JMIR Preprints,19,4
2018,jour.1103053,NeuroImage,19,5
2020,jour.1039135,Journal of Crohn's and Colitis,19,3
2019,jour.1039135,Journal of Crohn's and Colitis,19,4
2018,jour.1039135,Journal of Crohn's and Colitis,19,12
2020,jour.1345647,JMIR Preprints,19,6
2020,jour.1047731,GigaScience,19,2
2018,jour.1036857,Journal of Thoracic Oncology,19,8
2019,jour.1095411,Bone,19,7
2019,jour.1036857,Journal of Thoracic Oncology,19,9
2020,jour.1036857,Journal of Thoracic Oncology,19,2
2019,jour.1345647,JMIR Preprints,19,9
2018,jour.1017311,British Journal Of Nutrition,19,7
2019,jour.1047731,GigaScience,19,4
2020,jour.1039049,Stem Cell Research,18,4
2019,jour.1039049,Stem Cell Research,18,10
2018,jour.1086359,Investigative Ophthalmology & Visual Science,18,8
2018,jour.1082976,Proceedings of The Nutrition Society,18,3
2018,jour.1095400,Journal of Hepatology,18,5
2020,jour.1097936,European Journal of Clinical Nutrition,18,7
2018,jour.1039049,Stem Cell Research,18,4
2020,jour.1027238,The Pharmacogenomics Journal,18,5
2018,jour.1009554,Environmental Research,18,9
2019,jour.1027238,The Pharmacogenomics Journal,18,4
2020,jour.1030586,The Lancet Neurology,18,5
2019,jour.1082976,Proceedings of The Nutrition Society,18,2
2018,jour.1027238,The Pharmacogenomics Journal,18,9
2019,jour.1097936,European Journal of Clinical Nutrition,18,6
2019,jour.1294812,Scandinavian Journal of Public Health,18,3
2019,jour.1009554,Environmental Research,18,3
2020,jour.1086359,Investigative Ophthalmology & Visual Science,18,3
2019,jour.1095400,Journal of Hepatology,18,7
2020,jour.1095400,Journal of Hepatology,18,6
2019,jour.1030586,The Lancet Neurology,18,6
2018,jour.1097936,European Journal of Clinical Nutrition,18,5
2020,jour.1294812,Scandinavian Journal of Public Health,18,8
2018,jour.1030586,The Lancet Neurology,18,7
2020,jour.1082976,Proceedings of The Nutrition Society,18,13
2018,jour.1294812,Scandinavian Journal of Public Health,18,7
2020,jour.1009554,Environmental Research,18,6
2019,jour.1086359,Investigative Ophthalmology & Visual Science,18,7
2019,jour.1030524,Endocrine Abstracts,17,7
2018,jour.1034947,International Journal of Environmental Research and Public Health,17,4
2020,jour.1115480,Annals of Noninvasive Electrocardiology,17,5
2019,jour.1034947,International Journal of Environmental Research and Public Health,17,8
2018,jour.1115480,Annals of Noninvasive Electrocardiology,17,5
2019,jour.1091552,Carcinogenesis,17,3
2018,jour.1036439,Obesity,17,9
2019,jour.1036439,Obesity,17,6
2020,jour.1036439,Obesity,17,2
2019,jour.1031710,Clinical Gastroenterology and Hepatology,17,10
2019,jour.1294974,European Journal of Cancer,17,4
2018,jour.1294974,European Journal of Cancer,17,7
2019,jour.1319882,Journal of Internal Medicine,17,3
2018,jour.1030524,Endocrine Abstracts,17,7
2018,jour.1319882,Journal of Internal Medicine,17,7
2018,jour.1091552,Carcinogenesis,17,9
2018,jour.1031710,Clinical Gastroenterology and Hepatology,17,3
2020,jour.1038403,Journal of Clinical Lipidology,17,3
2020,jour.1319882,Journal of Internal Medicine,17,7
2019,jour.1115480,Annals of Noninvasive Electrocardiology,17,7
2020,jour.1030524,Endocrine Abstracts,17,3
2020,jour.1031710,Clinical Gastroenterology and Hepatology,17,4
2020,jour.1091552,Carcinogenesis,17,5
2019,jour.1038403,Journal of Clinical Lipidology,17,3
2020,jour.1294974,European Journal of Cancer,17,6
2018,jour.1038403,Journal of Clinical Lipidology,17,11
2020,jour.1034947,International Journal of Environmental Research and Public Health,17,5
2020,jour.1050736,BMJ Open Diabetes Research & Care,16,12
2020,jour.1041454,Science Translational Medicine,16,5
2018,jour.1023786,BMC Bioinformatics,16,5
2019,jour.1023786,BMC Bioinformatics,16,7
2019,jour.1097694,Brain Behavior and Immunity,16,4
2020,jour.1007282,Cardiovascular Research,16,7
2018,jour.1030059,Cancer Cell,16,8
2020,jour.1097065,Leukemia,16,3
2019,jour.1097065,Leukemia,16,6
2018,jour.1041454,Science Translational Medicine,16,8
2018,jour.1050736,BMJ Open Diabetes Research & Care,16,1
2020,jour.1030059,Cancer Cell,16,4
2020,jour.1023786,BMC Bioinformatics,16,4
2018,jour.1007282,Cardiovascular Research,16,8
2018,jour.1097694,Brain Behavior and Immunity,16,4
2020,jour.1045166,Frontiers in Immunology,16,2
2019,jour.1030059,Cancer Cell,16,4
2020,jour.1000907,Addiction,16,6
2018,jour.1045166,Frontiers in Immunology,16,6
2019,jour.1050736,BMJ Open Diabetes Research & Care,16,3
2018,jour.1020801,Diabetes Obesity and Metabolism,16,8
2019,jour.1020801,Diabetes Obesity and Metabolism,16,4
2019,jour.1007282,Cardiovascular Research,16,1
2019,jour.1021970,Sleep Medicine,16,9
2020,jour.1097694,Brain Behavior and Immunity,16,8
2019,jour.1042348,Arthritis Care & Research,16,7
2020,jour.1042348,Arthritis Care & Research,16,6
2018,jour.1042348,Arthritis Care & Research,16,3
2018,jour.1000907,Addiction,16,6
2019,jour.1000907,Addiction,16,4
2020,jour.1020801,Diabetes Obesity and Metabolism,16,4
2019,jour.1045166,Frontiers in Immunology,16,8
2019,jour.1041454,Science Translational Medicine,16,3
2018,jour.1021970,Sleep Medicine,16,3
2020,jour.1021970,Sleep Medicine,16,4
2018,jour.1097065,Leukemia,16,7
2020,jour.1284453,Nature Human Behaviour,15,5
2019,jour.1002368,The British Journal of Psychiatry,15,4
2018,jour.1043645,Oncotarget,15,10
2019,jour.1327770,Cerebral Cortex,15,6
2018,jour.1036466,Epigenetics,15,9
