,acronym,country_name,id,name,grant_id,grant_year,grant_title
67,,United States,grid.420902.d,Immersion (United States),US-9898903-B2,2016,Systems and methods for haptic surface elements
68,FHG,Germany,grid.4561.6,Fraunhofer Society,DE-102014207723-A1,2014,Laser with a distributed feedback
69,,United States,grid.21940.3e,Rice University,WO-2018017369-A2,2017,THREE-DIMENSIONAL (3D) PRINTING OF GRAPHENE MATERIALS
70,UWO,Canada,grid.39381.30,Western University,US-9855187-B2,2013,Oral device and method for the use thereof
71,TMI,Canada,grid.417314.4,Trudell Medical International (Canada),US-9855187-B2,2013,Oral device and method for the use thereof
72,,United States,grid.20627.31,Ohio University,US-9855187-B2,2013,Oral device and method for the use thereof
73,,United States,grid.38142.3c,Harvard University,US-10024796-B2,2011,Nucleic acid nanostructure barcode probes
74,,United States,grid.65499.37,Dana-Farber Cancer Institute,US-10024796-B2,2011,Nucleic acid nanostructure barcode probes
75,,United Kingdom,grid.7340.0,University of Bath,WO-2017068350-A1,2016,METHODS OF MAKING METAL OXIDE CATALYSTS
76,,United Kingdom,grid.420918.6,Imperial Innovations (United Kingdom),WO-2017068350-A1,2016,METHODS OF MAKING METAL OXIDE CATALYSTS
77,NU,United States,grid.16753.36,Northwestern University,US-9393550-B2,2013,Methods of making non-covalently bonded carbon-titania nanocomposite thin films and applications of the same
78,,United States,grid.480111.d,ConvergeOne (United States),US-8518499-B2,2012,Liquid crystal blue phase
79,ECUST,China,grid.28056.39,East China University of Science and Technology,US-8518499-B2,2012,Liquid crystal blue phase
80,WSU,United States,grid.254444.7,Wayne State University,US-8518499-B2,2012,Liquid crystal blue phase
81,,United States,grid.422038.f,UT-Battelle,US-9249241-B2,2013,Surface-functionalized mesoporous carbon materials
82,NUS,Singapore,grid.4280.e,National University of Singapore,US-20140147377-A1,2012,PHOTOCATALYST FOR WATER SPLITTING
83,,Germany,grid.5406.7,Siemens (Germany),WO-2018095539-A1,2016,EFFICIENT DATA PROPAGATION IN A COMPUTER NETWORK
84,,United States,grid.470939.0,MSP Analytics (United States),US-20130110480-A1,2012,Agent Awareness Modeling for Agent-Based Modeling Systems
85,NIIST,India,grid.419023.d,National Institute for Interdisciplinary Science and Technology,US-9776162-B2,2014,"CuO—TiO2 nanocomposite photocatalyst for hydrogen production, process for the preparation thereof"
86,CSIR,India,grid.418099.d,Council of Scientific and Industrial Research,US-9776162-B2,2014,"CuO—TiO2 nanocomposite photocatalyst for hydrogen production, process for the preparation thereof"
87,,United Kingdom,grid.5491.9,University of Southampton,US-9745577-B2,2015,Reducing intron retention
88,,United Kingdom,grid.5491.9,University of Southampton,US-9714422-B2,2016,Reducing intron retention
89,CSHL,United States,grid.225279.9,Cold Spring Harbor Laboratory,US-9976143-B2,2015,Targeted augmentation of nuclear gene output
90,,Italy,grid.6093.c,Scuola Normale Superiore di Pisa,US-9365420-B2,2013,"Three-dimensional dispersible nanoresonator structure for biological, medical and environmental applications and method for manufacture thereof"
91,,Italy,grid.263145.7,Sant'Anna School of Advanced Studies,US-9365420-B2,2013,"Three-dimensional dispersible nanoresonator structure for biological, medical and environmental applications and method for manufacture thereof"
92,,Italy,grid.25786.3e,Italian Institute of Technology,US-9365420-B2,2013,"Three-dimensional dispersible nanoresonator structure for biological, medical and environmental applications and method for manufacture thereof"
93,,Saudi Arabia,grid.454873.9,Saudi Aramco (Saudi Arabia),US-9579639-B2,2014,Tethered transition metals promoted photocatalytic system for efficient hydrogen evolutions
94,KAUST,Saudi Arabia,grid.45672.32,King Abdullah University of Science and Technology,US-9579639-B2,2014,Tethered transition metals promoted photocatalytic system for efficient hydrogen evolutions
95,NIIST,India,grid.419023.d,National Institute for Interdisciplinary Science and Technology,US-20160045908-A1,2014,"CuO - TiO2 NANOCOMPOSITE PHOTOCATALYST FOR HYDROGEN PRODUCTION, PROCESS FOR THE PREPARATION THEREOF"
96,CSIR,India,grid.418099.d,Council of Scientific and Industrial Research,US-20160045908-A1,2014,"CuO - TiO2 NANOCOMPOSITE PHOTOCATALYST FOR HYDROGEN PRODUCTION, PROCESS FOR THE PREPARATION THEREOF"
97,PSU,United States,grid.29857.31,Pennsylvania State University,WO-2015002687-A1,2014,PROCESS FOR CHARACTERIZATION OF MICRO AND MESO POROUS MATERIALS
98,,United States,grid.456112.5,DigiLens (United States),US-10089516-B2,2017,Method and apparatus for contact image sensing
99,,United States,grid.423340.2,Pacific Biosciences (United States),US-9291569-B2,2015,Optics collection and detection system and method
100,,United States,grid.423340.2,Pacific Biosciences (United States),US-8465699-B2,2011,Illumination of integrated analytical systems
101,,United States,grid.423340.2,Pacific Biosciences (United States),US-9488584-B2,2015,Integrated analytical system and method
102,CSIC,Spain,grid.4711.3,Spanish National Research Council,WO-2016016505-A1,2015,HYBRID MATERIAL AS CONTRAST AGENT IN MAGNETIC RESONANCE IMAGES
103,UPV,Spain,grid.157927.f,Polytechnic University of Valencia,WO-2016016505-A1,2015,HYBRID MATERIAL AS CONTRAST AGENT IN MAGNETIC RESONANCE IMAGES
104,,South Korea,grid.419666.a,Samsung (South Korea),EP-2990865-A1,2015,Liquid crystal optical phase modulator based on diffraction for use in a stereoscopic display device and method of driving the optical phase modulator
105,FB,United States,grid.453567.6,Facebook (United States),US-9584465-B2,2016,Optimizing messages to users of a social network using a prediction model that determines likelihood of user performing desired activity
106,FB,United States,grid.453567.6,Facebook (United States),US-9363223-B2,2014,Optimizing messages to users of a social network using a message that includes a user's performance of a desired activity associated with a link included in the message
107,,United States,grid.423340.2,Pacific Biosciences (United States),US-9822410-B2,2016,Integrated analytical system and method
108,,United States,grid.423340.2,Pacific Biosciences (United States),US-9157864-B2,2013,Illumination of integrated analytical systems
109,,United States,grid.423340.2,Pacific Biosciences (United States),US-9410891-B2,2011,Optics collection and detection system and method
110,KSU,United States,grid.258518.3,Kent State University,US-9052562-B2,2011,Method for electrophoresis in liquid crystals
111,ITRI,Taiwan,grid.418030.e,Industrial Technology Research Institute,US-9425000-B2,2012,Porous carbon material and manufacturing method thereof and supercapacitor
112,,United States,grid.412675.3,University of Oklahoma Medical Center,US-9561183-B2,2014,Prussian blue-inspired constructs for multimodal imaging and therapy
113,,United States,grid.410332.7,Durham VA Medical Center,US-9561183-B2,2014,Prussian blue-inspired constructs for multimodal imaging and therapy
114,CNMC,United States,grid.239560.b,Children’s National Health System,US-9561183-B2,2014,Prussian blue-inspired constructs for multimodal imaging and therapy
115,,United States,grid.423340.2,Pacific Biosciences (United States),US-9291568-B2,2014,Integrated analytical system and method
116,,United States,grid.16750.35,Princeton University,US-8970842-B2,2013,Multi-harmonic inline reference cell for optical trace gas sensing
117,NTU,Singapore,grid.59025.3b,Nanyang Technological University,WO-2014209225-A1,2014,PREDICTION OF GENE TRANSCRIPTION INTENSITY AND GENE PERTURBATION
118,PSU,United States,grid.29857.31,Pennsylvania State University,US-9274040-B2,2014,Process for characterization of micro and meso porous materials
119,CNMC,United States,grid.239560.b,Children’s National Health System,US-9987378-B2,2016,Prussian blue-inspired constructs for multimodal imaging and therapy
120,,United States,grid.410332.7,Durham VA Medical Center,US-9987378-B2,2016,Prussian blue-inspired constructs for multimodal imaging and therapy
121,,United States,grid.412675.3,University of Oklahoma Medical Center,US-9987378-B2,2016,Prussian blue-inspired constructs for multimodal imaging and therapy
122,FB,United States,grid.453567.6,Facebook (United States),US-9882863-B2,2017,Methods and systems for optimizing messages to users of a social network
123,,United States,grid.423340.2,Pacific Biosciences (United States),US-8994946-B2,2012,Integrated analytical system and method
124,FB,United States,grid.453567.6,Facebook (United States),US-20150074215-A1,2014,Methods And Systems For Optimizing Messages To Users Of A Social Network
125,ECUST,China,grid.28056.39,East China University of Science and Technology,US-9238776-B2,2012,Liquid crystal blue phase
126,BOE,China,grid.471141.6,BOE Technology Group (China),US-9310659-B2,2012,"Colorful liquid crystal thin film, method of manufacturing thereof and display device"
127,,United States,grid.423340.2,Pacific Biosciences (United States),US-8867038-B2,2013,Integrated analytical system and method
128,,United States,grid.423340.2,Pacific Biosciences (United States),US-20120014837-A1,2011,ILLUMINATION OF INTEGRATED ANALYTICAL SYSTEMS
129,PSU,United States,grid.29857.31,Pennsylvania State University,US-20150000377-A1,2014,Process for Characterization of Micro and Meso Porous Materials
130,,United States,grid.480111.d,ConvergeOne (United States),US-8518499-B2,2012,Liquid crystal blue phase
131,ECUST,China,grid.28056.39,East China University of Science and Technology,US-8518499-B2,2012,Liquid crystal blue phase
132,WSU,United States,grid.254444.7,Wayne State University,US-8518499-B2,2012,Liquid crystal blue phase
133,,United States,grid.471206.6,Guardian Industries (United States),US-9469767-B2,2015,Articles including anticondensation coatings and/or methods of making the same
134,,United States,grid.471206.6,Guardian Industries (United States),US-9695085-B2,2016,Articles including anticondensation coatings and/or methods of making the same
135,,United States,grid.471206.6,Guardian Industries (United States),US-9670092-B2,2015,Articles including anticondensation and/or low-E coatings and/or methods of making the same
136,,United States,grid.471206.6,Guardian Industries (United States),US-9573845-B2,2015,Articles including anticondensation and/or low-E coatings and/or methods of making the same
137,,United States,grid.471206.6,Guardian Industries (United States),US-8871349-B2,2013,Articles including anticondensation and/or low-E coatings and/or methods of  making the same
138,,United States,grid.471206.6,Guardian Industries (United States),US-8790757-B2,2012,Articles including anticondensation coatings and/or methods of making the same
139,,United States,grid.471206.6,Guardian Industries (United States),US-9199875-B2,2014,Articles including anticondensation and/or low-E coatings and/or methods of making the same
140,,United States,grid.471206.6,Guardian Industries (United States),US-8304045-B2,2010,Articles including anticondensation coatings and/or methods of making the same
141,CNRS,France,grid.4444.0,French National Centre for Scientific Research,US-9714261-B2,2015,Ionic liquid supported organotin reagents for the manufacturing of radiopharmaceuticals compounds
142,,France,grid.7252.2,University of Angers,US-9714261-B2,2015,Ionic liquid supported organotin reagents for the manufacturing of radiopharmaceuticals compounds
143,INSERM,France,grid.7429.8,French Institute of Health and Medical Research,US-9714261-B2,2015,Ionic liquid supported organotin reagents for the manufacturing of radiopharmaceuticals compounds
144,,France,grid.4817.a,University of Nantes,US-9714261-B2,2015,Ionic liquid supported organotin reagents for the manufacturing of radiopharmaceuticals compounds
145,,France,grid.34566.32,University of Maine,US-9714261-B2,2015,Ionic liquid supported organotin reagents for the manufacturing of radiopharmaceuticals compounds
146,CHU,France,grid.277151.7,Centre Hospitalier Universitaire de Nantes,US-9714261-B2,2015,Ionic liquid supported organotin reagents for the manufacturing of radiopharmaceuticals compounds
147,,United States,grid.471206.6,Guardian Industries (United States),US-9725356-B2,2015,"Heatable lens for luminaires, and/or methods of making the same"
148,,United States,grid.471206.6,Guardian Industries (United States),US-9090500-B2,2014,Articles including anticondensation coatings and/or methods of making the same
149,,United States,grid.471206.6,Guardian Industries (United States),US-8524337-B2,2010,Heat treated coated article having glass substrate(s) and indium-tin-oxide (ITO) inclusive coating
150,,United States,grid.471206.6,Guardian Industries (United States),US-8834976-B2,2011,Articles including anticondensation and/or low-E coatings and/or methods of making the same
151,,United States,grid.471206.6,Guardian Industries (United States),US-9353000-B2,2015,Articles including anticondensation coatings and/or methods of making the same
152,,United States,grid.471206.6,Guardian Industries (United States),US-9266773-B2,2014,Articles including anticondensation and/or low-E coatings and/or methods of making the same
153,,United States,grid.471206.6,Guardian Industries (United States),US-8293344-B2,2010,Articles including anticondensation coatings and/or methods of making the same
154,,United States,grid.471206.6,Guardian Industries (United States),US-8939606-B2,2012,"Heatable lens for luminaires, and/or methods of making the same"
155,,United States,grid.412675.3,University of Oklahoma Medical Center,US-9561183-B2,2014,Prussian blue-inspired constructs for multimodal imaging and therapy
156,,United States,grid.410332.7,Durham VA Medical Center,US-9561183-B2,2014,Prussian blue-inspired constructs for multimodal imaging and therapy
157,CNMC,United States,grid.239560.b,Children’s National Health System,US-9561183-B2,2014,Prussian blue-inspired constructs for multimodal imaging and therapy
158,,Japan,grid.471202.2,DIC (Japan),US-9410086-B2,2013,Liquid crystal-polymer composite material
159,CNMC,United States,grid.239560.b,Children’s National Health System,US-9987378-B2,2016,Prussian blue-inspired constructs for multimodal imaging and therapy
160,,United States,grid.410332.7,Durham VA Medical Center,US-9987378-B2,2016,Prussian blue-inspired constructs for multimodal imaging and therapy
161,,United States,grid.412675.3,University of Oklahoma Medical Center,US-9987378-B2,2016,Prussian blue-inspired constructs for multimodal imaging and therapy
162,,United States,grid.471206.6,Guardian Industries (United States),US-8815059-B2,2010,System and/or method for heat treating conductive coatings using wavelength-tuned infrared radiation
163,,United States,grid.471206.6,Guardian Industries (United States),US-8445083-B2,2012,Articles including anticondensation coatings and/or methods of making the same
164,,United States,grid.471206.6,Guardian Industries (United States),US-8980386-B2,2013,Articles including anticondensation coatings and/or methods of making the same
165,,South Korea,grid.419666.a,Samsung (South Korea),US-9767745-B2,2015,"Optical modulation device, optical device including the same, and driving method thereof"
166,,Japan,grid.177174.3,Kyushu University,WO-2013172401-A1,2013,"NOVEL COMPOUND, POLYMERIZABLE LIQUID CRYSTALLINE COMPOUND, MONOMER/LIQUID CRYSTAL MIXTURE, AND POLYMER/LIQUID CRYSTAL COMPOSITE"
167,TSUS,United States,grid.469273.d,Texas State University System,US-9811730-B2,2015,Person identification using ocular biometrics with liveness detection
168,,United States,grid.264772.2,Texas State University,US-9811730-B2,2015,Person identification using ocular biometrics with liveness detection
169,,United States,grid.38142.3c,Harvard University,US-9077975-B2,2013,Sub-diffraction limit image resolution in three dimensions
170,,South Korea,grid.419666.a,Samsung (South Korea),US-10036894-B2,2017,Image display and liquid crystal lens therefor
171,SU,United States,grid.168010.e,Stanford University,US-8153446-B2,2009,Fluorogenic compounds converted to fluorophores by photochemical or chemical means and their use in biological systems
172,KSU,United States,grid.258518.3,Kent State University,US-8153446-B2,2009,Fluorogenic compounds converted to fluorophores by photochemical or chemical means and their use in biological systems
173,,United States,grid.38142.3c,Harvard University,US-10006917-B2,2015,Methods and compositions relating to super-resolution imaging and modification
174,,United States,grid.456112.5,DigiLens (United States),US-10089516-B2,2017,Method and apparatus for contact image sensing
175,,United States,grid.421234.2,ExxonMobil (United States),US-10022700-B2,2015,Organosilica materials and uses thereof
176,HHMI,United States,grid.413575.1,Howard Hughes Medical Institute,US-7924432-B2,2009,Three-dimensional interferometric microscopy
177,,United States,grid.417480.e,Raytheon (United States),US-9772451-B2,2016,High power optical switch
178,NU,United States,grid.16753.36,Northwestern University,US-8609902-B2,2010,"Organoactinide-, organolanthanide-, and organogroup-4-mediated hydrothiolation of terminal alkynes with aliphatic, aromatic and benzylic thiols"
179,,United States,grid.38142.3c,Harvard University,US-9712805-B2,2015,Sub-diffraction limit image resolution in three dimensions
180,SU,United States,grid.168010.e,Stanford University,US-9810893-B2,2015,Phase mask imaging with characterization of rotational mobility
181,,South Korea,grid.419666.a,Samsung (South Korea),US-9823461-B2,2015,Fluid for electrowetting device and electrowetting device including same
182,SNU,South Korea,grid.31501.36,Seoul National University,US-9823461-B2,2015,Fluid for electrowetting device and electrowetting device including same
183,,United States,grid.249880.f,Jackson Laboratory,EP-2631632-A1,2009,3D biplane microscopy
184,UMS,United States,grid.411025.3,University of Maine System,EP-2631632-A1,2009,3D biplane microscopy
185,,United States,grid.421234.2,ExxonMobil (United States),US-9956541-B2,2015,Methods of separating aromatic compounds from lube base stocks
186,CU,United States,grid.266185.e,University of Colorado System,US-20110249866-A1,2011,"METHODS AND SYSTEMS FOR THREE DIMENSIONAL OPTICAL IMAGING, SENSING, PARTICLE LOCALIZATION AND MANIPULATION"
187,UCB,United States,grid.266190.a,University of Colorado Boulder,US-20110249866-A1,2011,"METHODS AND SYSTEMS FOR THREE DIMENSIONAL OPTICAL IMAGING, SENSING, PARTICLE LOCALIZATION AND MANIPULATION"
188,KSU,United States,grid.258518.3,Kent State University,US-8772048-B2,2012,Fluorogenic compounds converted to fluorophores by photochemical or chemical means and their use in biological systems
189,SU,United States,grid.168010.e,Stanford University,US-8772048-B2,2012,Fluorogenic compounds converted to fluorophores by photochemical or chemical means and their use in biological systems
190,,Japan,grid.410831.f,Sharp (Japan),US-9810948-B2,2012,Spatial light modulator comprising a liquid crystal device having reduced stray light
191,,United States,grid.417533.7,Draper Laboratory,WO-2018075115-A2,2017,ALL-FIBER PHASE-MODULATED FIBER OPTIC SENSOR AND PHASED ARRAY
192,,Switzerland,grid.5801.c,Swiss Federal Institute of Technology in Zurich,US-9971136-B2,2014,Method and device to achieve spatially confined photointeraction at the focal volume of a microscope
193,CIT,United States,grid.20861.3d,California Institute of Technology,US-9971136-B2,2014,Method and device to achieve spatially confined photointeraction at the focal volume of a microscope
194,,United States,grid.421234.2,ExxonMobil (United States),US-10022701-B2,2015,Coating methods using organosilica materials and uses thereof
195,,United States,grid.417480.e,Raytheon (United States),US-9865988-B2,2016,High-power planar waveguide (PWG) pumphead with modular components for high-power laser system
196,SU,United States,grid.168010.e,Stanford University,US-9693034-B2,2012,Apparatus and method for localizing objects for distance and/or in three dimensions using a spiral point spread function
197,MPG,Germany,grid.4372.2,Max Planck Society,US-9291562-B2,2013,"Method and apparatus for tracking a particle, particularly a single molecule, in a sample"
198,,United States,grid.38142.3c,Harvard University,US-10041108-B2,2014,Methods and compositions relating to optical super-resolution patterning
199,,United States,grid.421234.2,ExxonMobil (United States),US-10047304-B2,2015,Aromatic hydrogenation catalysts and uses thereof
200,,Germany,grid.424549.a,Carl Zeiss (Germany),US-9201011-B2,2011,Increased depth-resolution microscopy
