,name,position,score,frequency,pubid,title,year
3,fabrication,4,0.86,23,pub.1061597118,,2015
4,methodology,5,0.81,7,pub.1061597118,,2015
5,profile control system,6,0.76,3,pub.1061597118,,2015
6,control system,7,0.71,8,pub.1061597118,,2015
7,thermocompression bonding process,8,0.67,3,pub.1061597118,,2015
8,bonding process,9,0.62,4,pub.1061597118,,2015
10,experimental results,11,0.52,20,pub.1061597118,,2015
11,results,12,0.48,56,pub.1061597118,,2015
12,alignment capability,13,0.43,6,pub.1061597118,,2015
13,capability,14,0.38,14,pub.1061597118,,2015
14,overlay accuracy,15,0.33,4,pub.1061597118,,2015
15,accuracy,16,0.29,31,pub.1061597118,,2015
16,permanent bonding,17,0.24,4,pub.1061597118,,2015
17,bonding,18,0.19,6,pub.1061597118,,2015
18,wafer-level Cu,19,0.14,2,pub.1061597118,,2015
19,Cu,20,0.1,3,pub.1061597118,,2015
20,Cu bonding,21,0.05,2,pub.1061597118,,2015
0,monitor,1,1.0,3,pub.1037042177,,2015
1,ITER,2,0.96,2,pub.1037042177,,2015
2,diagnostic system,3,0.91,1,pub.1037042177,,2015
4,light,5,0.83,23,pub.1037042177,,2015
5,nuclear fusion plasmas,6,0.78,1,pub.1037042177,,2015
6,fusion plasmas,7,0.74,1,pub.1037042177,,2015
7,plasma,8,0.7,6,pub.1037042177,,2015
8,aberrations,9,0.65,9,pub.1037042177,,2015
9,divertor,10,0.61,1,pub.1037042177,,2015
10,infrared wavelength range,11,0.57,1,pub.1037042177,,2015
11,wavelength range,12,0.52,2,pub.1037042177,,2015
12,range,13,0.48,16,pub.1037042177,,2015
13,high spatial resolution,14,0.43,1,pub.1037042177,,2015
14,spatial resolution,15,0.39,1,pub.1037042177,,2015
15,resolution,16,0.35,18,pub.1037042177,,2015
16,preliminary design,17,0.3,1,pub.1037042177,,2015
17,spot diagram,18,0.26,1,pub.1037042177,,2015
18,diagram,19,0.22,3,pub.1037042177,,2015
19,core,20,0.17,1,pub.1037042177,,2015
20,fiber cross section,21,0.13,1,pub.1037042177,,2015
21,cross sections,22,0.09,1,pub.1037042177,,2015
22,sections,23,0.04,5,pub.1037042177,,2015
0,new method,1,1.0,3,pub.1036021396,,2015
1,method,2,0.98,84,pub.1036021396,,2015
2,robot programming,3,0.96,1,pub.1036021396,,2015
3,programming,4,0.94,1,pub.1036021396,,2015
4,view-based teaching/playback,5,0.91,1,pub.1036021396,,2015
5,playback,6,0.89,1,pub.1036021396,,2015
6,motivation,7,0.87,1,pub.1036021396,,2015
7,development,8,0.85,27,pub.1036021396,,2015
8,more robustness,9,0.83,1,pub.1036021396,,2015
9,robustness,10,0.81,3,pub.1036021396,,2015
10,task conditions,11,0.79,1,pub.1036021396,,2015
11,conventional teaching/playback,12,0.77,1,pub.1036021396,,2015
12,general versatility,13,0.74,1,pub.1036021396,,2015
13,proof of concept,14,0.72,1,pub.1036021396,,2015
14,proof,15,0.7,4,pub.1036021396,,2015
15,concept,16,0.68,6,pub.1036021396,,2015
16,virtual environment,17,0.66,1,pub.1036021396,,2015
17,environment,18,0.64,8,pub.1036021396,,2015
18,part,19,0.62,3,pub.1036021396,,2015
19,teaching phase,20,0.6,1,pub.1036021396,,2015
20,playback phase,21,0.57,1,pub.1036021396,,2015
21,human operator,22,0.55,1,pub.1036021396,,2015
22,operators,23,0.53,4,pub.1036021396,,2015
23,robot,24,0.51,3,pub.1036021396,,2015
24,manipulation tasks,25,0.49,1,pub.1036021396,,2015
25,task,26,0.47,4,pub.1036021396,,2015
26,movement,27,0.45,1,pub.1036021396,,2015
27,images,28,0.43,28,pub.1036021396,,2015
28,teaching scene,29,0.4,1,pub.1036021396,,2015
29,scene,30,0.38,2,pub.1036021396,,2015
30,camera,31,0.36,10,pub.1036021396,,2015
31,mapping,32,0.34,3,pub.1036021396,,2015
32,artificial neural network,33,0.32,1,pub.1036021396,,2015
33,neural network,34,0.3,5,pub.1036021396,,2015
34,network,35,0.28,5,pub.1036021396,,2015
35,motion,36,0.26,6,pub.1036021396,,2015
36,output,37,0.23,6,pub.1036021396,,2015
37,scene images,38,0.21,1,pub.1036021396,,2015
38,robot hand,39,0.19,1,pub.1036021396,,2015
39,hand,40,0.17,2,pub.1036021396,,2015
40,humans,41,0.15,3,pub.1036021396,,2015
41,manipulation,42,0.13,1,pub.1036021396,,2015
42,objects,43,0.11,9,pub.1036021396,,2015
43,initial position,44,0.09,2,pub.1036021396,,2015
44,position,45,0.06,12,pub.1036021396,,2015
45,demonstration,46,0.04,2,pub.1036021396,,2015
46,robotic manipulation,47,0.02,1,pub.1036021396,,2015
0,damage,1,1.0,8,pub.1032858688,,2015
0,laser-induced damage,1,1.0,2,pub.1032080331,,2015
1,crystalline quartz,2,0.97,2,pub.1032080331,,2015
2,quartz,3,0.95,7,pub.1032080331,,2015
3,single-mode Nd,4,0.92,1,pub.1032080331,,2015
4,Nd,5,0.9,2,pub.1032080331,,2015
5,YAG laser,6,0.87,2,pub.1032080331,,2015
6,laser,7,0.85,16,pub.1032080331,,2015
7,temperature,8,0.82,14,pub.1032080331,,2015
8,experiments,9,0.79,31,pub.1032080331,,2015
9,direction,10,0.77,8,pub.1032080331,,2015
10,damage morphology,11,0.74,1,pub.1032080331,,2015
11,morphology,12,0.72,4,pub.1032080331,,2015
12,crystal structure,13,0.69,4,pub.1032080331,,2015
13,structure,14,0.67,33,pub.1032080331,,2015
14,cut samples,15,0.64,1,pub.1032080331,,2015
15,samples,16,0.62,14,pub.1032080331,,2015
16,crystal axis,17,0.59,1,pub.1032080331,,2015
17,axis,18,0.56,3,pub.1032080331,,2015
18,temperature dependence,19,0.54,2,pub.1032080331,,2015
19,dependence,20,0.51,10,pub.1032080331,,2015
20,glass materials,21,0.49,1,pub.1032080331,,2015
21,materials,22,0.46,15,pub.1032080331,,2015
22,laser-induced damage threshold,23,0.44,1,pub.1032080331,,2015
23,damage threshold,24,0.41,1,pub.1032080331,,2015
24,threshold,25,0.38,1,pub.1032080331,,2015
25,temperature-dependent behavior,26,0.36,1,pub.1032080331,,2015
26,behavior,27,0.33,4,pub.1032080331,,2015
27,physical model,28,0.31,2,pub.1032080331,,2015
28,model,29,0.28,23,pub.1032080331,,2015
29,electron resistivity,30,0.26,1,pub.1032080331,,2015
30,resistivity,31,0.23,1,pub.1032080331,,2015
31,electron avalanche process,32,0.21,1,pub.1032080331,,2015
32,avalanche process,33,0.18,1,pub.1032080331,,2015
34,laser-induced damage mechanisms,35,0.13,1,pub.1032080331,,2015
35,damage mechanisms,36,0.1,1,pub.1032080331,,2015
36,mechanism,37,0.08,7,pub.1032080331,,2015
37,results,38,0.05,56,pub.1032080331,,2015
38,effect,39,0.03,49,pub.1032080331,,2015
0,new precision,1,1.0,1,pub.1095268752,,2015
1,precision,2,0.95,6,pub.1095268752,,2015
2,wafer bonding system,3,0.9,2,pub.1095268752,,2015
3,bonding systems,4,0.86,5,pub.1095268752,,2015
5,circuit fabrication,6,0.76,4,pub.1095268752,,2015
6,fabrication,7,0.71,23,pub.1095268752,,2015
7,bonding procedure,8,0.67,1,pub.1095268752,,2015
8,experimental results,9,0.62,20,pub.1095268752,,2015
9,results,10,0.57,56,pub.1095268752,,2015
10,alignment capability,11,0.52,6,pub.1095268752,,2015
11,capability,12,0.48,14,pub.1095268752,,2015
12,bonding accuracy,13,0.43,1,pub.1095268752,,2015
13,accuracy,14,0.38,31,pub.1095268752,,2015
14,Cu,15,0.33,3,pub.1095268752,,2015
15,components,16,0.29,9,pub.1095268752,,2015
16,error,17,0.24,15,pub.1095268752,,2015
17,conditions,18,0.19,25,pub.1095268752,,2015
18,manufacturing,19,0.14,8,pub.1095268752,,2015
19,bonding technology,20,0.1,1,pub.1095268752,,2015
20,technology,21,0.05,19,pub.1095268752,,2015
0,nonlinear structured illumination microscopy,1,1.0,2,pub.1021438827,,2015
1,structured illumination microscopy,2,0.98,2,pub.1021438827,,2015
2,illumination microscopy,3,0.96,2,pub.1021438827,,2015
3,microscopy,4,0.94,22,pub.1021438827,,2015
4,optical resolution,5,0.92,5,pub.1021438827,,2015
5,resolution,6,0.9,18,pub.1021438827,,2015
6,nonlinear phenomena,7,0.88,1,pub.1021438827,,2015
7,phenomenon,8,0.86,6,pub.1021438827,,2015
8,nonlinear effects,9,0.84,1,pub.1021438827,,2015
9,effect,10,0.82,49,pub.1021438827,,2015
10,excitation saturation,11,0.8,1,pub.1021438827,,2015
11,saturation,12,0.78,1,pub.1021438827,,2015
12,photoswitchable fluorophores,13,0.76,1,pub.1021438827,,2015
13,fluorophores,14,0.74,1,pub.1021438827,,2015
14,photobleaching,15,0.72,2,pub.1021438827,,2015
15,slow switching times,16,0.7,1,pub.1021438827,,2015
16,switching time,17,0.68,1,pub.1021438827,,2015
17,time,18,0.66,22,pub.1021438827,,2015
18,contrast,19,0.64,7,pub.1021438827,,2015
19,emission depletion,20,0.62,2,pub.1021438827,,2015
20,STED,21,0.6,1,pub.1021438827,,2015
21,excitation light,22,0.58,1,pub.1021438827,,2015
22,light,23,0.56,23,pub.1021438827,,2015
23,STED light,24,0.54,1,pub.1021438827,,2015
24,structured illumination,25,0.52,2,pub.1021438827,,2015
25,illumination,26,0.5,5,pub.1021438827,,2015
26,same pitch,27,0.48,1,pub.1021438827,,2015
27,pitch,28,0.46,5,pub.1021438827,,2015
28,orientation,29,0.44,5,pub.1021438827,,2015
29,sample plane,30,0.42,1,pub.1021438827,,2015
30,plane,31,0.4,6,pub.1021438827,,2015
31,theoretical analysis,32,0.38,4,pub.1021438827,,2015
