Grant Number,Title,Funding Amount in USD,Start Year,End Year,Funder,Funder Country,Dimensions ID
N01CB021155,CANCER VACCINE PRODUCTION,0.0,1992,1993,National Cancer Institute,United States,grant.2426045
N01CB021154,CANCER VACCINE PRODUCTION,0.0,1992,1993,National Cancer Institute,United States,grant.2426044
N01CB021026,CANCER VACCINE PRODUCTION,0.0,1992,1993,National Cancer Institute,United States,grant.2426039
N01BC021155,CANCER VACCINE PRODUCTION,0.0,1992,1996,National Cancer Institute,United States,grant.2425936
N01BC021154,CANCER VACCINE PRODUCTION,0.0,1992,1993,National Cancer Institute,United States,grant.2425935
N01BC021026,CANCER VACCINE PRODUCTION,0.0,1992,1996,National Cancer Institute,United States,grant.2425932
N01AI095375,HIV VACCINE PRODUCTION,61313.0,1999,2006,National Institute of Allergy and Infectious Diseases,United States,grant.2425010
N01AI015093,VACCINES FOR SAIDS,0.0,1990,1996,National Institute of Allergy and Infectious Diseases,United States,grant.2424436
2813100406,Entwicklung viraler Vektorvakzinen/Markervakzinen,1136603.0,2006,2010,Federal Ministry of Food and Agriculture,Germany,grant.8068979
2010-00636,Herpes Vaccine project,29617.0,2010,2011,VINNOVA,Sweden,grant.7106480
R43AI030577,VACCINE DELIVERY SYSTEM FOR LIVE ROTAVIRUS VACCINES,0.0,1990,1991,National Institute of Allergy and Infectious Diseases,United States,grant.2639983
F05TW003686,IMMUNOLOGICAL STUDIES IN VACCINES OF RABIES VACCINE,0.0,1986,1986,Fogarty International Center,United States,grant.2355874
IRLX0703,Vaccine adjuvant commercialisation project,22635.0,2007,2008,"Ministry of Business, Innovation and Employment",New Zealand,grant.7566903
SE1202,Shelf life of vaccines,67917.0,1990,1993,Department for Environment Food and Rural Affairs,United Kingdom,grant.7042623
OD0302,Duck viral Hepatitis vaccine,6767.0,1992,1993,Department for Environment Food and Rural Affairs,United Kingdom,grant.7040393
946099,Novel vaccines against AIDS,70976.0,1994,1995,National Health and Medical Research Council,Australia,grant.6731478
980664,Synthetic peptides as vaccines,447769.0,1998,2002,National Health and Medical Research Council,Australia,grant.6728996
145882,Klebsiella Vaccines and Immunotherapeutics,63197.0,2002,2004,National Health and Medical Research Council,Australia,grant.6723289
943201,Malaria and Vaccine Research,1750550.0,1994,1998,National Health and Medical Research Council,Australia,grant.6718929
930849,Vaccines for complex organisms,36032.0,1993,1993,National Health and Medical Research Council,Australia,grant.6713873
,DENGUE VACCINE DEVELOPMENT,50000.0,1985,1986,United States Department of the Army,United States,grant.8579320
2196,Novel Vaccines for Measles,86356.0,2008,2010,Saskatchewan Health Research Foundation,Canada,grant.4035473
79426,Streptococcal mastitis vaccine development,20686.0,1992,1993,Natural Sciences and Engineering Research Council,Canada,grant.2987461
153466,Bovine adenovirus vectored vaccines,259061.0,1997,2000,Natural Sciences and Engineering Research Council,Canada,grant.2972379
388654,Vaccine formulation and delivery,178772.0,2005,2009,Natural Sciences and Engineering Research Council,Canada,grant.2964974
60520,Streptococcal mastitis vaccine development,38760.0,1993,1994,Natural Sciences and Engineering Research Council,Canada,grant.2957579
519469,Vaccins thérapeutiques anti-cancer,4498.0,2012,2013,Natural Sciences and Engineering Research Council,Canada,grant.2950584
464727,Subunit vaccines for aquaculture,31616.0,2010,2011,Natural Sciences and Engineering Research Council,Canada,grant.2920553
366693,Pan-PRovincial Vaccine ENTerprise,3230548.0,2007,2008,Natural Sciences and Engineering Research Council,Canada,grant.2915638
285269,Vaccine formulation and delivery,49951.0,2004,2005,Natural Sciences and Engineering Research Council,Canada,grant.2912254
379652,Vaccines for farm fish,4184.0,2007,2008,Natural Sciences and Engineering Research Council,Canada,grant.2880945
516321,Vaccins thérapeutiques anti-cancer,4498.0,2012,2013,Natural Sciences and Engineering Research Council,Canada,grant.2877426
495065,Vaccins thérapeutiques anti-cancer,4546.0,2011,2012,Natural Sciences and Engineering Research Council,Canada,grant.2828580
379651,Vaccines for farm fish,4184.0,2007,2008,Natural Sciences and Engineering Research Council,Canada,grant.2805504
330169,Improving cancer vaccine efficacy,15247.0,2006,2007,Natural Sciences and Engineering Research Council,Canada,grant.2795214
U01IP000464,NEW VACCINE SURVEILLANCE NETWORK,3455122.0,2011,2017,Centers for Disease Control and Prevention,United States,grant.2692263
U01CA061398,MACROPHAGE-BASED MELANOMA VACCINE,0.0,1993,1997,National Cancer Institute,United States,grant.2688631
R44AI034679,HELICOBACTER PYLORI MUCOSAL VACCINE,0.0,1993,1997,National Institute of Allergy and Infectious Diseases,United States,grant.2657670
R43AI040433,MALARIA VACCINE ADJUVANT DEVELOPMENT,0.0,1996,1997,National Institute of Allergy and Infectious Diseases,United States,grant.2640366
R21AI045391,HIV GP120 GLYCOCONJUGATE VACCINES,485633.0,2000,2004,National Institute of Allergy and Infectious Diseases,United States,grant.2597598
N01AI065303,SIMIAN VACCINE EVALUATION UNITS,838646.0,1996,2001,National Institute of Allergy and Infectious Diseases,United States,grant.2424826
N01AI052576,TESTING VACCINES IN CHILDREN,0.0,1985,1990,National Institute of Allergy and Infectious Diseases,United States,grant.2424691
N01AI045240,HLA AND VACCINES (BAA),0.0,1994,1999,National Institute of Allergy and Infectious Diseases,United States,grant.2424653
N01AI045211,AIDS VACCINE EVALUATION UNITS,52371.0,1994,2000,National Institute of Allergy and Infectious Diseases,United States,grant.2424634
N01AI045210,AIDS VACCINE EVALUATION UNITS,113783.0,1994,2000,National Institute of Allergy and Infectious Diseases,United States,grant.2424633
N01AI045209,AIDS VACCINE EVALUATION UNITS,378543.0,1994,2000,National Institute of Allergy and Infectious Diseases,United States,grant.2424632
N01AI045208,AIDS VACCINE EVALUATION UNITS,113000.0,1994,2000,National Institute of Allergy and Infectious Diseases,United States,grant.2424631
N01AI045207,AIDS VACCINE EVALUATION UNITS,534630.0,1994,2000,National Institute of Allergy and Infectious Diseases,United States,grant.2424630
N01AI045206,AIDS VACCINE EVALUATION UNITS,39000.0,1994,2000,National Institute of Allergy and Infectious Diseases,United States,grant.2424629
N01AI015114,EVALUATION OF CANDIDATE VACCINES,0.0,1991,1996,National Institute of Allergy and Infectious Diseases,United States,grant.2424455
N01AI005065,AIDS VACCINE EVALUATION UNITS,0.0,1990,1995,National Institute of Allergy and Infectious Diseases,United States,grant.2424372
H23IP000735,IMMUNIZATION & VACCINES FOR CHILDREN,8807296.0,2013,2017,Centers for Disease Control and Prevention,United States,grant.2393802
H23IP000689,Hepatatis B Vaccine Pilot,1265722.0,2012,2015,Centers for Disease Control and Prevention,United States,grant.2393756
0311300 /8,Verbundprojekt: Verfahren zur Impfstoffentwicklung: Rekombinante Impfstoffe Impfstoffe gegen virale Erkrankungen von Salmoniden,183534.0,1996,1999,Federal Ministry of Education and Research,Germany,grant.7987079
39789010,基因工程疫苗的机理,120798.0,1998,2000,National Natural Science Foundation of China,China,grant.8217971
31210103063,坏死杆菌重组亚单位疫苗研究,1901.0,2012,2012,National Natural Science Foundation of China,China,grant.8176576
30910303037,2009亚洲DNA疫苗国际年会,5854.0,2009,2009,National Natural Science Foundation of China,China,grant.8175344
30410203257,2004年DNA疫苗国际会议,1691.0,2004,2004,National Natural Science Foundation of China,China,grant.8172020
30010427,第三届疫苗研究年会,1086.0,2000,2000,National Natural Science Foundation of China,China,grant.8166566
313170,BioChancePLUS: Therapeutische Vakzinierung gegen Multiple Sklerose,512009.0,2004,2007,Federal Ministry of Education and Research,Germany,grant.7988463
BCTR9831,Improved Vaccines for Breast Cancer Immunotherapy,200000.0,1998,2001,Susan G. Komen Breast Cancer Foundation,United States,grant.7821014
,Sterilization Vaccine for Cattle,0.0,2006,2006,Council for International Exchange of Scholars,United States,grant.7688859
,Vaccine Production in Plants,0.0,2011,2011,Council for International Exchange of Scholars,United States,grant.7685445
,Novel vaccine formulations against tuberculosis,295003.0,2002,2005,Canadian Institutes of Health Research,Canada,grant.7666696
UM1AI148373,Kaiser Washington VTEU supplement 20-0003,8621578.0,2019,2022,National Institute of Allergy and Infectious Diseases,United States,
U54CA242639,"Partnership for Prevention of HPV-Associated Cancers in People Living with HIV: Brazil, Mexico, and Puerto Rico",3462240.0,2019,2024,National Cancer Institute,United States,grant.8633207
R21CA230878,Engaging practices and communities in the development of interventions to promote HPV vaccine uptake,202928.0,2019,2021,National Cancer Institute,United States,grant.8633389
U54CA242977,Colaboracion Evita: HPV-Related Cancer Prevention Partnership Center,3574360.0,2019,2024,National Cancer Institute,United States,grant.8633097
R01AI147839,Understanding the rectal mucosal effects of cross-sex hormone therapy among US and Thai transgender women,1416359.0,2019,2024,National Institute of Allergy and Infectious Diseases,United States,grant.8557183
R01CA240983,Targeting Neoantigens in Triple Negative Breast Cancer,1266874.0,2019,2024,National Cancer Institute,United States,grant.8554194
K08HS026510,Improving Immunization Rates in Transplant Candidates Through the Use of a Health Information Technology Tool,297078.0,2019,2024,Agency for Healthcare Research and Quality,United States,grant.8553708
R01CA235615,RCT to Evaluate an Implementation Strategy to Increase Optimal Use of HPV Vaccine in Primary Care,1132371.0,2019,2024,National Cancer Institute,United States,grant.8554075
R21AI141822,Adapting Motivational Interviewing for Maternal Immunization (MI4MI),436589.0,2019,2021,National Institute of Allergy and Infectious Diseases,United States,grant.8553908
R01AG064800,Cutaneous pathogen-specific tissue resident memory T cells in human aging,1276621.0,2019,2024,National Institute on Aging,United States,grant.8473170
P01CA229143,Improving Uptake of Cervical Cancer Prevention Services in Appalachia,4819553.0,2019,2024,National Cancer Institute,United States,grant.8387795
U01AI141919,PERSISTENCE OF PROTECTION CONFERRED BY SHINGRIX AGAINST HERPES ZOSTER IN OLDER ADULTS,1444740.0,2019,2024,National Institute of Allergy and Infectious Diseases,United States,grant.8384515
U01AI141981,The effect of inflammation and damage to lymph node structures on durable protective immunity following vaccination,1221707.0,2019,2024,National Institute of Allergy and Infectious Diseases,United States,grant.8383668
K01AI137123,Characterizing parental beliefs to support optimization of vaccine introduction,197368.0,2018,2023,National Institute of Allergy and Infectious Diseases,United States,grant.7909702
R01AI141712,Eliminating human rabies: impact of enhanced vaccination coverage,1143705.0,2018,2023,National Institute of Allergy and Infectious Diseases,United States,grant.7908868
R01HD093628,Evaluation of the Presumptively Initiating Vaccines and Optimizing Talk with Motivational Interviewing (PIVOT with MI) Intervention,1902392.0,2018,2023,National Institute of Child Health and Human Development,United States,grant.7752832
R01CA229261,Dissecting neoepitope-specific clonal T cell populations in advanced melanoma patients vaccinated with personal neoantigen peptides partnered with local and systemic immune checkpoint Inhibition,627949.0,2018,2024,National Cancer Institute,United States,grant.7754464
R01HD096277,Group Antenatal Care to Promote a Healthy Pregnancy and Optimize Maternal and Newborn Outcomes:  A Cluster Randomized Controlled Trial,1137876.0,2018,2023,National Institute of Child Health and Human Development,United States,grant.7752982
UG3HD096908,Developing and Testing a Multi-level Package of Interventions for an Integrated Care Delivery Model of HIV Prevention and Treatment Targeting Adolescent Girls in Zambia,2125858.0,2018,2020,National Institute of Child Health and Human Development,United States,grant.7752239
R21CA222936,Improving Transition Readiness in Adolescent and Young Adult (AYA) Survivors of Childhood Cancer,376258.0,2018,2021,National Cancer Institute,United States,grant.7570107
KL2TR002554,Institutional Career Development Core,4921290.0,2018,2023,National Center for Advancing Translational Sciences,United States,grant.7552760
R01CA217889,"Less Pain, Less Fuss, Right Now! and Make It Count!- Multilevel Interventions for Patient, Parent, and Practice to Enhance Provider Recommendations for HPV Vaccination",1721894.0,2018,2023,National Cancer Institute,United States,grant.7519279
R37CA226682,A Randomized Controlled Trial of an HPV Vaccine Intervention for Young Sexual Minority Men,1634563.0,2018,2022,National Cancer Institute,United States,grant.7908654
R01AI132348,Transcriptomic Signatures of Influenza Vaccine Responses,2346427.0,2018,2022,National Institute of Allergy and Infectious Diseases,United States,grant.7211786
R01AI135029,Improving Influenza Vaccination Delivery Across a Health System by the Electronic Health Records Patient Portal,2176605.0,2018,2022,National Institute of Allergy and Infectious Diseases,United States,grant.7211819
R01AI129709,Non-inferiority study of adjuvanted vs. high dose flu vaccine in residents of long term care,3385066.0,2017,2020,National Institute of Allergy and Infectious Diseases,United States,grant.7172267
UH3AG056925,Physical Resiliencies:  Indicators and Mechanisms in the Elderly Collaborative,1719272.0,2017,2022,National Institute on Aging,United States,grant.7072290
P50CA206963,SPORE in Myeloid Malignancies,8505691.0,2017,2022,National Cancer Institute,United States,grant.7073139
R03AG052778,Resistance Exercise to Improve Vaccine Outcomes in Older Adults,153000.0,2017,2020,National Institute on Aging,United States,grant.7028511
R01HD089939,Microfluidic Assessment of Clinical Outcomes in Preterm Newborns,2707925.0,2017,2022,National Institute of Child Health and Human Development,United States,grant.7026885
U01IP001073,Impact of AFIX and Physician-to-Physician Engagement on HPV Vaccination in Primary Care: An RCT,1499255.0,2017,2020,Centers for Disease Control and Prevention,United States,grant.7029428
U01AI131310,Phase I therapeutic testing of viral-vectored vaccines that shift CD8+ T cell immunodominance to conserved regions of HIV-1,4567862.0,2017,2022,National Institute of Allergy and Infectious Diseases,United States,grant.6953393
U01AI131285,Comparison of Dendritic Cell-Based Therapeutic Vaccine Strategies for HIV Functional Cure,6204118.0,2017,2022,National Institute of Allergy and Infectious Diseases,United States,grant.6952716
R01AI129715,Evaluating the relationship of CD101 and UBE2V1 to genital mucosal inflammation,2850090.0,2017,2022,National Institute of Allergy and Infectious Diseases,United States,grant.6953451
R01AI131914,Identification of Novel Mucosal Immune Mechanisms Involved in Protection from HIV-1,3117491.0,2017,2022,National Institute of Allergy and Infectious Diseases,United States,grant.6918902
U01AI129789,Controlled Infection Trial to Test Efficacy of Hookworm Vaccine with Different TLR Agonists,3136765.0,2017,2021,National Institute of Allergy and Infectious Diseases,United States,grant.6803779
R01AI130398,Effects of aging on primary and secondary vaccine responses in a 15-year longitudinal cohort,3339739.0,2017,2022,National Institute of Allergy and Infectious Diseases,United States,grant.6618975
U01AI131296,Therapeutic vaccination and PD-1 blockade in treated HIV disease,5933389.0,2017,2022,National Institute of Allergy and Infectious Diseases,United States,grant.6618566
R01CA213130,Therapeutic use of HPV L1 Vaccine in Anogenital Neoplasia: VIVA Trial,3324968.0,2017,2022,National Cancer Institute,United States,grant.6617517
R01CA202261,Improving HPV Vaccination Delivery in Pediatric Primary Care: The STOP-HPV Trial,2094641.0,2017,2023,National Cancer Institute,United States,grant.6616704
R01CA207401,Increasing HPV vaccine uptake in community-based pediatric practices,2177346.0,2016,2021,National Cancer Institute,United States,grant.6501723
R01HD086045,Flu2Text: A Multi-Site Study assessing an Intervention for 2nd Dose of Influenza Vaccine,2414954.0,2016,2020,National Institute of Child Health and Human Development,United States,grant.6377370
R01DA038875,Non-Metabolized Pregnenolone Derivatives:New Treatment for Cannabis Use Disorder,3077623.0,2016,2020,National Institute on Drug Abuse,United States,grant.6377835
U01IP001035,"Outpatient VE for seasonal flu, pandemic flu and RSV in a large, diverse network",7800000.0,2016,2021,Centers for Disease Control and Prevention,United States,grant.5503773
P50CA196510,Washington University SPORE in Pancreatic Cancer,10948829.0,2016,2021,National Cancer Institute,United States,grant.5504846
U01MD011281,A Pragmatic Trial of An Adaptive eHealth HIV Prevention Program for Diverse Adolescent MSM,9657789.0,2016,2021,National Institute on Minority Health and Health Disparities,United States,grant.5503968
R01CA201429,Helping the poor quit smoking: specialized quitlines and meeting basic needs,2896141.0,2016,2021,National Cancer Institute,United States,grant.5475490
R21CA208329,Using Text Messaging to Increase HPV Vaccination among Young Sexual Minority Men,381753.0,2016,2019,National Cancer Institute,United States,grant.5475455
R01HL134211,Malaria chemoprevention in children with sickle cell anemia in Western Kenya,2867299.0,2016,2021,National Heart Lung and Blood Institute,United States,grant.5244126
R01MH107297,PC4PrEP: Integrating PrEP into Primary Care,3601728.0,2016,2021,National Institute of Mental Health,United States,grant.5244595
R01AG052495,Mindfulness based stress reduction for family caregivers of dementia patients,2814138.0,2016,2021,National Institute on Aging,United States,grant.5124204
K01MH109871,Effects of inflammation on neural mechanisms of threat sensitivity in posttraumatic stress disorder,736508.0,2016,2021,National Institute of Mental Health,United States,grant.5054465
U01HL130163,INfluenza Vaccine to Effectively Stop Cardio Thoracic Events and Decompensated heart failure (INVESTED),19063816.0,2016,2021,National Heart Lung and Blood Institute,United States,grant.4897681
R21TW010262,mHealth-assisted conditional cash transfers to improve timeliness of vaccinations,353570.0,2016,2018,Fogarty International Center,United States,grant.4897863
R21CA202011,"Maximizing HPV vaccination: Real-time Reminders, Guidance, and Recommendations",371547.0,2016,2020,National Cancer Institute,United States,grant.4897922
R01AI118422,Perturbing the HIV Reservoir with Immune Stimulation,3818277.0,2016,2021,National Institute of Allergy and Infectious Diseases,United States,grant.4897999
R01CA187219,Peptide vaccine immunotherapy for children with recurrent low-grade astrocytomas,1761886.0,2016,2020,National Cancer Institute,United States,grant.4729155
R03EB015955,Enhancing Health Care Access with Cellular Technology,256339.0,2015,2018,National Institute of Biomedical Imaging and Bioengineering,United States,grant.4454777
R21TW010252,Point-of-Delivery Prenatal Test Results through mHealth to Improve Birth Outcome,322369.0,2015,2018,Fogarty International Center,United States,grant.4454801
R35CA197633,Immuno-Targeted Therapy for Melanoma,3979310.0,2015,2022,National Cancer Institute,United States,grant.4316569
R01CA187707,State Immunization Information Systems to Improve HPV Vaccination Rates,2378680.0,2015,2020,National Cancer Institute,United States,grant.4243510
R01CA175517,Efficacy of Dendritic Cell Vaccines Targeting CMV in Glioblastoma (phase 2 DC vaccine),3086214.0,2015,2021,National Cancer Institute,United States,grant.4244081
R01CA197296,Reprogramming the pancreatic tumor microenvironment with immunotherapy,2305214.0,2015,2021,National Cancer Institute,United States,grant.4177200
R01HS023582,SINC: Synchronized Immunization Notifications,749875.0,2015,2019,Agency for Healthcare Research and Quality,United States,grant.4103605
R21CA194831,Increasing HPV Vaccine Coverage among Young Adult Gay and Bisexual Men,382920.0,2015,2018,National Cancer Institute,United States,grant.4103659
R01CA195563,Enhancing Adoptive Immunotherapy Targeting Pediatric High-Grade Gliomas,2836396.0,2015,2020,National Cancer Institute,United States,grant.4102763
R01AI114903,Centralized IIS-Based Reminder-Recall to Increase Influenza Vaccination Rates,2811087.0,2015,2020,National Institute of Allergy and Infectious Diseases,United States,grant.4054900
R21HD084115,SMS mobile technology to improve early childhood vaccine coverage in Guatemala,340715.0,2015,2019,National Institute of Child Health and Human Development,United States,grant.3936039
R01AI110482,A Comprehensive Pre-Natal Intervention to Increase Vaccine Coverage,3956523.0,2014,2019,National Institute of Allergy and Infectious Diseases,United States,grant.3858813
R01CA181045,CMVPepVax to Protect HCT Recipients from Cytomegalovirus Infection,3593996.0,2014,2020,National Cancer Institute,United States,grant.3801786
R44CA183075,In-Situ Autovaccination against Solid Cancers with Intratumoral Hiltonol (Poly-ICLC): A phase II Adaptive Multicenter Clinical Study,1689340.0,2014,2020,National Cancer Institute,United States,grant.3801873
R01AG047922,ACTIVE IMMUNOTHERAPY FOR COGNITIVE DECLINE IN ADULTS WITH DOWN SYNDROME,1607948.0,2014,2019,National Institute on Aging,United States,grant.3801962
R01CA187076,The role of the PI3K pathway in immune resistance,1980000.0,2014,2020,National Cancer Institute,United States,grant.3802322
R21DA036407,Improving Identification of Social Harm among Substance Abusers in HIV Trials,405419.0,2014,2017,National Institute on Drug Abuse,United States,grant.3625586
R21HD076216,"Spillover effects of water, sanitation, and hygiene interventions on child health",364537.0,2014,2017,National Institute of Child Health and Human Development,United States,grant.3537186
U10CA180794,ECOG-ACRIN Network Group Statistics and Data Management Center,51333324.0,2014,2025,National Cancer Institute,United States,grant.3535432
U10CA180820,ECOG-ACRIN Network Group Operations Center,87255624.0,2014,2025,National Cancer Institute,United States,grant.3536099
U10CA180888,SWOG Network Group Operations Center of the NCTN,72999856.0,2014,2025,National Cancer Institute,United States,grant.3535073
U10CA180868,NRG Oncology Network Group Operations Center,104891832.0,2014,2025,National Cancer Institute,United States,grant.3536471
U10CA180830,NCI NCTN- Network Lead Academic Participating Site: USC,3023086.0,2014,2019,National Cancer Institute,United States,grant.3536949
UM1CA186704,Duke-UNC-Wash U Partnership for Early Phase Clinical Trials in Cancer,6775451.0,2014,2021,National Cancer Institute,United States,grant.3537031
U19AI111825,Integrating innate and adaptive pathways in vaccine responses,18260314.0,2014,2024,National Institute of Allergy and Infectious Diseases,United States,grant.3535806
R21AI110736,Simultaneous Immune Enhancement and Disruption of HIV-1 Latency by Poly ICLC,148064.0,2014,2016,National Institute of Allergy and Infectious Diseases,United States,grant.3493683
K01AI106961,A Practice-Provider-Parent-Adolescent intervention to increase HPV vaccination,471220.0,2014,2019,National Institute of Allergy and Infectious Diseases,United States,grant.3493163
R01AI108479,Mechanisms of Impaired HIV-associated B cell and Pneumococcal Vaccine responses,2288600.0,2013,2019,National Institute of Allergy and Infectious Diseases,United States,grant.2459965
P50CA159981,RPCI-UPCI Ovarian Cancer SPORE,11641270.0,2013,2020,National Cancer Institute,United States,grant.2440246
R01AG045973,Immune response to pneumococcal vaccination in aging HIV positive adults.,1514444.0,2013,2020,National Institute on Aging,United States,grant.2449124
R01CA178414,Developing a self-persuasion intervention promoting adolescent HPV vaccination,2250510.0,2013,2019,National Cancer Institute,United States,grant.2482400
R01CA178846,MELANOMA VACCINE FOR HELPER T CELLS COMBINED WITH TARGETED OR IMMUNE THERAPIES,1184376.0,2013,2019,National Cancer Institute,United States,grant.4102133
R01CA174858,Peptide vaccine-based immunotherapy for children with recurrent ependymomas.,945448.0,2013,2017,National Cancer Institute,United States,grant.2482297
U01AI105872,Reversing Tissue Fibrosis to Improve Immune Reconstitution in HIV,5275178.0,2013,2019,National Institute of Allergy and Infectious Diseases,United States,grant.2688187
R18HS021163,School Located Influenza Vaccinations for Children: Community-Wide Dissemination,952829.0,2012,2018,Agency for Healthcare Research and Quality,United States,grant.2595180
UC4DK097835,NIDDK Type 1 Diabetes TrialNet Data Coordinating Center,45000000.0,2012,2017,National Institute of Diabetes and Digestive and Kidney Diseases,United States,grant.2704745
R01AI099243,Assessing measures to eliminate transmission of cholera in Haiti,6805175.0,2012,2022,National Institute of Allergy and Infectious Diseases,United States,grant.2459576
R42CA153845,Therapeutic Vaccine Targeting CMV Antigens in Glioblastoma,2000000.0,2012,2020,National Cancer Institute,United States,grant.4244457
R01CA169118,Combinational Immunotherapy Targeting the Melanoma-Associated Vasculature,2070886.0,2012,2018,National Cancer Institute,United States,grant.2482026
R01DA035145,Efficacy of Internet-based HIV prevention,3734615.0,2012,2018,National Institute on Drug Abuse,United States,grant.2487364
U01HD071889,Antiviral prophylaxis to prevent perinatal transmission of HBV in Thailand,1980750.0,2012,2017,National Institute of Child Health and Human Development,United States,grant.2691196
R01AI099601,Causes of rotavirus vaccine failure in Zambian children,643442.0,2012,2017,National Institute of Allergy and Infectious Diseases,United States,grant.2459603
R01CA168719,Measles Virotherapy for Multiple Myeloma,1495557.0,2012,2015,National Cancer Institute,United States,grant.2481994
R01CA166559,Quadrivalent Human Papillomavirus (HPV) Vaccine in Cancer Survivors,3020788.0,2012,2019,National Cancer Institute,United States,grant.2481879
U19AI100266,The effect of peptide therapy and allergen provocation on Fel d1-specific T Cells,6510000.0,2012,2019,National Institute of Allergy and Infectious Diseases,United States,grant.2695898
U01IP000475,Influenza Immunization of Children in India,3070024.0,2011,2016,Centers for Disease Control and Prevention,United States,grant.2692269
U01IP000497,EMIT: Evaluating Modes of Influenza Transmission using a Human Challenge Model,10849395.0,2011,2014,Centers for Disease Control and Prevention,United States,grant.2692273
P01HS021138,Center for Research in Implementation Science and Prevention (CRISP),4466826.0,2011,2015,Agency for Healthcare Research and Quality,United States,grant.2437148
R01HD070821,"Integrated Brain, Body and Social Intervention for ADHD",4162049.0,2011,2016,National Institute of Child Health and Human Development,United States,grant.2528433
K23AG040708,Vitamin D and Immunosenescence in Older Long-Term Care Residents,623572.0,2011,2015,National Institute on Aging,United States,grant.2417946
R01CA158318,mTOR inhibition for generating memory T cells to enhance ovarian tumor immunity,1663124.0,2011,2019,National Cancer Institute,United States,grant.2481398
U01IP000501,Immunization Delivery in Obstetrics and Gynecology Settings,1049974.0,2011,2015,Centers for Disease Control and Prevention,United States,grant.2692276
U01GH000152,CONDUCTING PUBLIC HEALTH RESEARCH IN THAILAND BY THE MINISTRY OF PUBLIC HEALTH (MO,10590632.0,2011,2016,Centers for Disease Control and Prevention,United States,grant.2690826
R01DA030296,"Couples-Based HIV/STI Prevention for Drug-Involved, African American MSM",2981836.0,2011,2018,National Institute on Drug Abuse,United States,grant.2486959
U19AI096113,Martin Delaney Collaboratory to Eradicate HIV-1 Infection,39466444.0,2011,2017,National Institute of Allergy and Infectious Diseases,United States,grant.2695895
R01GM097531,Novel Mechanisms and Approaches to Treat Neonatal Sepsis,2333507.0,2011,2020,National Institute of General Medical Sciences,United States,grant.2521249
U01IP000310,Adolescent Vaccination in the Medical Home: Established and Innovative Strategies,887375.0,2010,2014,Centers for Disease Control and Prevention,United States,grant.2692237
U19AT006028,Bastyr/UW Oncomycology Translational Research Center,4038890.0,2010,2015,National Center for Complementary and Integrative Health,United States,grant.2695923
U01CA154967,Cancer Immunotherapy Trials Network Central Operations and Statistical Center,16826048.0,2010,2017,National Cancer Institute,United States,grant.2689217
P50CA138293,Seattle Cancer Consortium Breast SPORE,10967142.0,2010,2017,National Cancer Institute,United States,grant.2440235
U54CA153513,Asian Community Cancer Health Disparities Center (ACCHDC),5202041.0,2010,2017,National Cancer Institute,United States,grant.2699112
D43CA153784,Zambian Cervical Cancer Research Capacity Initiative,1814038.0,2010,2015,National Cancer Institute,United States,grant.2354594
U19AI090019,Vaccination and infection: indicators of immunological health and responsiveness,17337264.0,2010,2016,National Institute of Allergy and Infectious Diseases,United States,grant.2695874
