first_name,id,last_name,orcid_id,research_orgs,total_publications,full_name,url
Xi Cheng,ur.0576753370.03,Zhang,['0000-0003-3721-1357'],"[{'id': 'grid.462167.0', 'acronym': 'WNLO', 'name': 'Wuhan National Laboratory for Optoelectronics', 'country_name': 'China'}, {'id': 'grid.33199.31', 'acronym': 'HUST', 'name': 'Huazhong University of Science and Technology', 'country_name': 'China'}, {'id': 'grid.456365.7', 'name': 'Zomega Terahertz (United States)', 'country_name': 'United States'}, {'id': 'grid.455223.7', 'name': 'Applied Materials (United States)', 'country_name': 'United States'}, {'id': 'grid.40263.33', 'name': 'Brown University', 'country_name': 'United States'}, {'id': 'grid.35915.3b', 'acronym': 'ITMO', 'name': 'ITMO University', 'country_name': 'Russia'}, {'id': 'grid.11135.37', 'acronym': 'PKU', 'name': 'Peking University', 'country_name': 'China'}, {'id': 'grid.33647.35', 'acronym': 'RPI', 'name': 'Rensselaer Polytechnic Institute', 'country_name': 'United States'}, {'id': 'grid.49470.3e', 'acronym': 'WHU', 'name': 'Wuhan University', 'country_name': 'China'}, {'id': 'grid.21729.3f', 'acronym': 'CU', 'name': 'Columbia University', 'country_name': 'United States'}, {'id': 'grid.253663.7', 'acronym': 'CNU', 'name': 'Capital Normal University', 'country_name': 'China'}, {'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}]",398,Xi Cheng Zhang,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0576753370.03
Jie-Bo,ur.016713502333.92,Luo,,"[{'id': 'grid.59053.3a', 'acronym': 'USTC', 'name': 'University of Science and Technology of China', 'country_name': 'China'}, {'id': 'grid.49470.3e', 'acronym': 'WHU', 'name': 'Wuhan University', 'country_name': 'China'}, {'id': 'grid.420144.7', 'name': 'Xerox (United States)', 'country_name': 'United States'}, {'id': 'grid.147455.6', 'acronym': 'CMU', 'name': 'Carnegie Mellon University', 'country_name': 'United States'}, {'id': 'grid.418652.c', 'name': 'Kodak (United States)', 'country_name': 'United States'}, {'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.35403.31', 'acronym': 'UIUC', 'name': 'University of Illinois at Urbana Champaign', 'country_name': 'United States'}, {'id': 'grid.481554.9', 'name': 'IBM Research – Thomas J. Watson Research Center', 'country_name': 'United States'}]",384,Jie-Bo Luo,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.016713502333.92
Yongli,ur.01347531607.46,Gao,['0000-0001-9765-5246'],"[{'id': 'grid.7645.0', 'name': 'University of Kaiserslautern', 'country_name': 'Germany'}, {'id': 'grid.169077.e', 'name': 'Purdue University West Lafayette', 'country_name': 'United States'}, {'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.17635.36', 'name': 'University of Minnesota', 'country_name': 'United States'}, {'id': 'grid.216417.7', 'acronym': 'CSU', 'name': 'Central South University', 'country_name': 'China'}]",375,Yongli Gao,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01347531607.46
John M,ur.01203566755.18,Bennett,,"[{'id': 'grid.416663.0', 'acronym': 'SMH', 'name': 'Strong Memorial Hospital', 'country_name': 'United States'}, {'id': 'grid.413636.5', 'name': 'Allina Health', 'country_name': 'United States'}, {'id': 'grid.240952.8', 'name': 'Stanford Medicine', 'country_name': 'United States'}, {'id': 'grid.477024.2', 'acronym': 'CCK', 'name': 'Cancer Center of Kansas', 'country_name': 'United States'}, {'id': 'grid.239838.b', 'name': 'Hahnemann University Hospital', 'country_name': 'United States'}, {'id': 'grid.280747.e', 'acronym': 'VAPAHCS', 'name': 'VA Palo Alto Health Care System', 'country_name': 'United States'}, {'id': 'grid.240871.8', 'name': ""St. Jude Children's Research Hospital"", 'country_name': 'United States'}, {'id': 'grid.468206.e', 'name': 'Alliance for Clinical Trials in Oncology', 'country_name': 'United States'}, {'id': 'grid.417317.7', 'acronym': 'OLM', 'name': 'Lady of Mercy Medical Center', 'country_name': 'United States'}, {'id': 'grid.414812.a', 'name': 'Heritage Valley Beaver', 'country_name': 'United States'}, {'id': 'grid.469474.c', 'name': 'Johns Hopkins Medicine', 'country_name': 'United States'}, {'id': 'grid.410721.1', 'acronym': 'UMMC', 'name': 'University of Mississippi Medical Center', 'country_name': 'United States'}, {'id': 'grid.48336.3a', 'acronym': 'NCI', 'name': 'National Cancer Institute', 'country_name': 'United States'}, {'id': 'grid.66875.3a', 'name': 'Mayo Clinic', 'country_name': 'United States'}, {'id': 'grid.496763.9', 'acronym': 'SWOG', 'name': 'Southwest Oncology Group', 'country_name': 'United States'}, {'id': 'grid.412468.d', 'acronym': 'UKSH', 'name': 'University Hospital Schleswig-Holstein', 'country_name': 'Germany'}, {'id': 'grid.412750.5', 'acronym': 'URMC', 'name': 'University of Rochester Medical Center', 'country_name': 'United States'}, {'id': 'grid.468198.a', 'name': 'Moffitt Cancer Center', 'country_name': 'United States'}, {'id': 'grid.478063.e', 'acronym': 'UPCI', 'name': 'University of Pittsburgh Cancer Institute', 'country_name': 'United States'}, {'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.251993.5', 'acronym': 'AECOM', 'name': 'Albert Einstein College of Medicine', 'country_name': 'United States'}, {'id': 'grid.270240.3', 'acronym': 'FHCRC', 'name': 'Fred Hutchinson Cancer Research Center', 'country_name': 'United States'}, {'id': 'grid.170205.1', 'acronym': 'UC', 'name': 'University of Chicago', 'country_name': 'United States'}, {'id': 'grid.260917.b', 'acronym': 'NYMC', 'name': 'New York Medical College', 'country_name': 'United States'}, {'id': 'grid.67033.31', 'name': 'Tufts Medical Center', 'country_name': 'United States'}, {'id': 'grid.261331.4', 'acronym': 'OSU', 'name': 'The Ohio State University', 'country_name': 'United States'}, {'id': 'grid.239578.2', 'name': 'Cleveland Clinic', 'country_name': 'United States'}, {'id': 'grid.413731.3', 'name': 'Rambam Health Care Campus', 'country_name': 'Israel'}, {'id': 'grid.428556.8', 'name': 'Eastern Cooperative Oncology Group', 'country_name': 'United States'}, {'id': 'grid.65499.37', 'name': 'Dana-Farber Cancer Institute', 'country_name': 'United States'}, {'id': 'grid.411570.6', 'name': 'Indiana University Hospital', 'country_name': 'United States'}, {'id': 'grid.16753.36', 'acronym': 'NU', 'name': 'Northwestern University', 'country_name': 'United States'}, {'id': 'grid.26790.3a', 'acronym': 'UM', 'name': 'University of Miami', 'country_name': 'United States'}]",358,John M Bennett,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01203566755.18
Thomas C,ur.0724640220.88,Sangster,['0000-0003-4040-2672'],"[{'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.250008.f', 'acronym': 'LLL', 'name': 'Lawrence Livermore National Laboratory', 'country_name': 'United States'}, {'id': 'grid.159791.2', 'acronym': 'GSI', 'name': 'GSI Helmholtz Centre for Heavy Ion Research', 'country_name': 'Germany'}, {'id': 'grid.5802.f', 'name': 'Johannes Gutenberg University of Mainz', 'country_name': 'Germany'}]",349,Thomas C Sangster,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0724640220.88
Richard S,ur.01043533754.00,Eisenberg,['0000-0003-1762-535X'],"[{'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.40263.33', 'name': 'Brown University', 'country_name': 'United States'}]",348,Richard S Eisenberg,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01043533754.00
Bradford C,ur.012523312277.63,Berk,['0000-0002-2767-4115'],"[{'id': 'grid.416663.0', 'acronym': 'SMH', 'name': 'Strong Memorial Hospital', 'country_name': 'United States'}, {'id': 'grid.11804.3c', 'name': 'Semmelweis University', 'country_name': 'Hungary'}, {'id': 'grid.38142.3c', 'name': 'Harvard University', 'country_name': 'United States'}, {'id': 'grid.418648.7', 'acronym': 'IEC CRC', 'name': 'Institute of Experimental Cardiology', 'country_name': 'Russia'}, {'id': 'grid.475010.7', 'acronym': 'BUSM', 'name': 'Boston University School of Medicine', 'country_name': 'United States'}, {'id': 'grid.67105.35', 'acronym': 'CWRU', 'name': 'Case Western Reserve University', 'country_name': 'United States'}, {'id': 'grid.26009.3d', 'name': 'Duke University', 'country_name': 'United States'}, {'id': 'grid.62560.37', 'acronym': 'BWH', 'name': ""Brigham and Women's Hospital"", 'country_name': 'United States'}, {'id': 'grid.266102.1', 'acronym': 'UCSF', 'name': 'University of California, San Francisco', 'country_name': 'United States'}, {'id': 'grid.69566.3a', 'name': 'Tohoku University', 'country_name': 'Japan'}, {'id': 'grid.213917.f', 'acronym': 'GT', 'name': 'Georgia Institute of Technology', 'country_name': 'United States'}, {'id': 'grid.164971.c', 'acronym': 'LUC', 'name': 'Loyola University Chicago', 'country_name': 'United States'}, {'id': 'grid.458387.5', 'acronym': 'MS', 'name': 'Morgan Stanley (United States)', 'country_name': 'United States'}, {'id': 'grid.189967.8', 'name': 'Emory University', 'country_name': 'United States'}, {'id': 'grid.280051.e', 'acronym': 'GRC', 'name': 'Gordon Research Conferences', 'country_name': 'United States'}, {'id': 'grid.279863.1', 'acronym': 'LSUHSC', 'name': 'Louisiana State University Health Sciences Center New Orleans', 'country_name': 'United States'}, {'id': 'grid.412750.5', 'acronym': 'URMC', 'name': 'University of Rochester Medical Center', 'country_name': 'United States'}, {'id': 'grid.59734.3c', 'acronym': 'MSSM', 'name': 'Icahn School of Medicine at Mount Sinai', 'country_name': 'United States'}, {'id': 'grid.266100.3', 'acronym': 'UCSD', 'name': 'University of California, San Diego', 'country_name': 'United States'}, {'id': 'grid.265061.6', 'name': 'Tokai University', 'country_name': 'Japan'}, {'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.420683.b', 'name': 'QLT (Canada)', 'country_name': 'Canada'}, {'id': 'grid.189509.c', 'name': 'Duke University Hospital', 'country_name': 'United States'}, {'id': 'grid.34477.33', 'acronym': 'UW', 'name': 'University of Washington', 'country_name': 'United States'}, {'id': 'grid.416311.0', 'acronym': 'MMCRI', 'name': 'Maine Medical Center Research Institute', 'country_name': 'United States'}, {'id': 'grid.413999.f', 'acronym': 'AAHC', 'name': 'Association of Academic Health Centers', 'country_name': 'United States'}, {'id': 'grid.11899.38', 'acronym': 'USP', 'name': 'University of Sao Paulo', 'country_name': 'Brazil'}]",345,Bradford C Berk,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.012523312277.63
Roman,ur.010120700563.82,Sobolewski,,"[{'id': 'grid.4612.1', 'acronym': 'ITE', 'name': 'Institute of Electron Technology', 'country_name': 'Poland'}, {'id': 'grid.413454.3', 'acronym': 'PAN', 'name': 'Polish Academy of Sciences', 'country_name': 'Poland'}, {'id': 'grid.410351.2', 'acronym': 'NPL', 'name': 'National Physical Laboratory', 'country_name': 'United Kingdom'}, {'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.10420.37', 'name': 'University of Vienna', 'country_name': 'Austria'}, {'id': 'grid.425078.c', 'acronym': 'IFPAN', 'name': 'Institute of Physics', 'country_name': 'Poland'}]",341,Roman Sobolewski,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.010120700563.82
Bruce Robert,ur.0640471313.99,Smoller,['0000-0002-7301-8274'],"[{'id': 'grid.224260.0', 'acronym': 'VCU', 'name': 'Virginia Commonwealth University', 'country_name': 'United States'}, {'id': 'grid.265008.9', 'name': 'Thomas Jefferson University', 'country_name': 'United States'}, {'id': 'grid.470119.a', 'name': 'Rockefeller University Hospital', 'country_name': 'United States'}, {'id': 'grid.411417.6', 'name': 'Louisiana State University Health Sciences Center Shreveport', 'country_name': 'United States'}, {'id': 'grid.189509.c', 'name': 'Duke University Hospital', 'country_name': 'United States'}, {'id': 'grid.241054.6', 'acronym': 'UAMS', 'name': 'University of Arkansas for Medical Sciences', 'country_name': 'United States'}, {'id': 'grid.266900.b', 'acronym': 'UO', 'name': 'University of Oklahoma', 'country_name': 'United States'}, {'id': 'grid.417307.6', 'acronym': 'YNHH', 'name': 'Yale New Haven Hospital', 'country_name': 'United States'}, {'id': 'grid.453839.0', 'acronym': 'NPF', 'name': 'National Psoriasis Foundation', 'country_name': 'United States'}, {'id': 'grid.2515.3', 'name': ""Boston Children's Hospital"", 'country_name': 'United States'}, {'id': 'grid.11598.34', 'name': 'Medical University of Graz', 'country_name': 'Austria'}, {'id': 'grid.38142.3c', 'name': 'Harvard University', 'country_name': 'United States'}, {'id': 'grid.412750.5', 'acronym': 'URMC', 'name': 'University of Rochester Medical Center', 'country_name': 'United States'}, {'id': 'grid.168010.e', 'acronym': 'SU', 'name': 'Stanford University', 'country_name': 'United States'}, {'id': 'grid.170693.a', 'acronym': 'USF', 'name': 'University of South Florida', 'country_name': 'United States'}, {'id': 'grid.194632.b', 'name': 'University of Arkansas System', 'country_name': 'United States'}, {'id': 'grid.413734.6', 'name': 'NewYork–Presbyterian Hospital', 'country_name': 'United States'}, {'id': 'grid.240952.8', 'name': 'Stanford Medicine', 'country_name': 'United States'}, {'id': 'grid.413916.8', 'acronym': 'CAVHS', 'name': 'Central Arkansas Veterans Healthcare System', 'country_name': 'United States'}, {'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.189504.1', 'acronym': 'BU', 'name': 'Boston University', 'country_name': 'United States'}, {'id': 'grid.415598.4', 'acronym': 'QMC ', 'name': ""Queen's Medical Centre"", 'country_name': 'United Kingdom'}, {'id': 'grid.454120.6', 'name': 'New York Sea Grant', 'country_name': 'United States'}, {'id': 'grid.416947.9', 'acronym': 'UAMS', 'name': 'University of Arkansas Medical Center', 'country_name': 'United States'}, {'id': 'grid.413249.9', 'acronym': 'RPAH', 'name': 'Royal Prince Alfred Hospital', 'country_name': 'Australia'}, {'id': 'grid.152326.1', 'name': 'Vanderbilt University', 'country_name': 'United States'}]",335,Bruce Robert Smoller,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0640471313.99
Emil,ur.010316642762.32,Wolf,,"[{'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.170430.1', 'acronym': 'UCF', 'name': 'University of Central Florida', 'country_name': 'United States'}, {'id': 'grid.419571.f', 'name': 'Schlumberger (United States)', 'country_name': 'United States'}, {'id': 'grid.465082.d', 'acronym': 'PRL', 'name': 'Physical Research Laboratory', 'country_name': 'India'}, {'id': 'grid.148313.c', 'acronym': 'LANL', 'name': 'Los Alamos National Laboratory', 'country_name': 'United States'}]",326,Emil Wolf,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.010316642762.32
Maiken,ur.0612652701.07,Nedergaard,['0000-0001-6502-6031'],"[{'id': 'grid.412701.1', 'acronym': 'UPHS', 'name': 'University of Pennsylvania Health System', 'country_name': 'United States'}, {'id': 'grid.412750.5', 'acronym': 'URMC', 'name': 'University of Rochester Medical Center', 'country_name': 'United States'}, {'id': 'grid.5386.8', 'acronym': 'CU', 'name': 'Cornell University', 'country_name': 'United States'}, {'id': 'grid.5254.6', 'acronym': 'UCPH', 'name': 'University of Copenhagen', 'country_name': 'Denmark'}, {'id': 'grid.137628.9', 'acronym': 'NYU', 'name': 'New York University', 'country_name': 'United States'}, {'id': 'grid.413734.6', 'name': 'NewYork–Presbyterian Hospital', 'country_name': 'United States'}, {'id': 'grid.414905.d', 'acronym': 'JMH', 'name': 'Jackson Memorial Hospital', 'country_name': 'United States'}, {'id': 'grid.47100.32', 'name': 'Yale University', 'country_name': 'United States'}, {'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.459987.e', 'name': 'Stony Brook Medicine', 'country_name': 'United States'}, {'id': 'grid.415197.f', 'name': 'Prince of Wales Hospital', 'country_name': 'China'}, {'id': 'grid.416986.4', 'acronym': 'TMC', 'name': 'Texas Medical Center', 'country_name': 'United States'}, {'id': 'grid.24827.3b', 'acronym': 'UC', 'name': 'University of Cincinnati', 'country_name': 'United States'}, {'id': 'grid.417052.5', 'acronym': 'WMC', 'name': 'Westchester Medical Center', 'country_name': 'United States'}, {'id': 'grid.32224.35', 'acronym': 'MGH', 'name': 'Massachusetts General Hospital', 'country_name': 'United States'}, {'id': 'grid.168010.e', 'acronym': 'SU', 'name': 'Stanford University', 'country_name': 'United States'}, {'id': 'grid.260917.b', 'acronym': 'NYMC', 'name': 'New York Medical College', 'country_name': 'United States'}]",305,Maiken Nedergaard,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0612652701.07
William W,ur.0615746173.84,Brennessel,['0000-0001-5461-1825'],"[{'id': 'grid.152326.1', 'name': 'Vanderbilt University', 'country_name': 'United States'}, {'id': 'grid.17635.36', 'name': 'University of Minnesota', 'country_name': 'United States'}, {'id': 'grid.162346.4', 'acronym': 'UH', 'name': 'University of Hawaii System', 'country_name': 'United States'}, {'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}, {'id': 'grid.47100.32', 'name': 'Yale University', 'country_name': 'United States'}, {'id': 'grid.261277.7', 'acronym': 'OU', 'name': 'Oakland University', 'country_name': 'United States'}]",291,William W Brennessel,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0615746173.84
