altmetric,doi,title
746,10.1177/1529100612451018,Misinformation and Its Correction
742,10.1126/science.1257570,Phylogenomics resolves the timing and pattern of insect evolution
742,10.1038/d41586-019-00758-x,Huge US university cancels subscription with Elsevier
736,10.1111/jcc4.12009,The “Nasty Effect:” Online Incivility and Risk Perceptions of Emerging Technologies
714,10.1098/rsif.2016.0764,Frogs use a viscoelastic tongue and non-Newtonian saliva to catch prey
712,10.1158/0008-5472.can-16-1681,A Hyaluronidase-Responsive Nanoparticle-Based Drug Delivery System for Targeting Colon Cancer Cells
711,10.1016/j.envpol.2016.03.033,Vertical and horizontal variability in airborne nanoparticles and their exposure around signalised traffic intersections
703,10.1371/journal.pone.0075637,The Role of Conspiracist Ideation and Worldviews in Predicting Rejection of Science
700,10.1073/pnas.1901274116,A nanoelectronics-blood-based diagnostic biomarker for myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS)
677,10.1038/nnano.2016.38,A graphene-based electrochemical device with thermoresponsive microneedles for diabetes monitoring and therapy
662,10.1016/j.biomaterials.2016.05.051,Nanocatalysts promote Streptococcus mutans biofilm matrix degradation and enhance bacterial killing to suppress dental caries in vivo
661,10.1038/nnano.2016.137,Magneto-aerotactic bacteria deliver drug-containing nanoliposomes to tumour hypoxic regions
658,10.7717/peerj.3972,Record breaking achievements by spiders and the scientists who study them
658,10.1126/scirobotics.aat5276,Rotary-actuated folding polyhedrons for midwater investigation of delicate marine organisms
654,10.1056/nejmp1904482,Saving the Endangered Physician-Scientist — A Plan for Accelerating Medical Breakthroughs
653,10.1038/s41586-019-1287-z,To catch and reverse a quantum jump mid-flight
648,10.1038/s41467-017-00378-x,Silicon quantum processor with robust long-distance qubit couplings
643,10.1038/s41586-018-0289-6,Scaling up molecular pattern recognition with DNA-based winner-take-all neural networks
640,10.1073/pnas.1320645111,Using narratives and storytelling to communicate science with nonexpert audiences
635,10.1126/science.1228102,A Reconciled Estimate of Ice-Sheet Mass Balance
631,10.1167/iovs.16-20072,Topical Delivery of Anti-VEGF Drugs to the Ocular Posterior Segment Using Cell-Penetrating PeptidesCPP Delivery of Anti-VEGF Drugs to the Retina
624,10.1371/journal.pone.0166340,Arnica montana Stimulates Extracellular Matrix Gene Expression in a Macrophage Cell Line Differentiated to Wound-Healing Phenotype
620,10.1088/0957-4484/27/44/44lt03,"Static micro-array isolation, dynamic time series classification, capture and enumeration of spiked breast cancer cells in blood: the nanotube–CTC chip"
617,10.1126/science.aah4698,MoS<sub>2</sub> transistors with 1-nanometer gate lengths
616,10.1016/j.bios.2017.11.018,A screen-printed paper microbial fuel cell biosensor for detection of toxic compounds in water
605,10.1038/485561a,Anarchists attack science
605,10.1038/nnano.2007.260,Intrinsic peroxidase-like activity of ferromagnetic nanoparticles
601,10.7554/elife.12620,Cyanobacteria use micro-optics to sense light direction
591,10.1371/journal.pone.0089934,Water Filtration Using Plant Xylem
574,10.1038/d41586-018-05752-3,Ten years left to redesign lithium-ion batteries
561,10.1038/nnano.2013.125,Destructive extraction of phospholipids from Escherichia coli membranes by graphene nanosheets
555,10.1038/nnano.2015.309,Tailoring high-temperature radiation and the resurrection of the incandescent source
554,10.1038/ncomms10874,Temperature mapping of operating nanoscale devices by scanning probe thermometry
551,10.1038/nature15695,Kidney organoids from human iPS cells contain multiple lineages and model human nephrogenesis
551,10.1126/science.aaf4454,Unexpected rewards induce dopamine-dependent positive emotion–like state changes in bumblebees
546,10.1371/journal.pone.0192025,The effect of ad hominem attacks on the evaluation of claims promoted by scientists
545,10.1126/scirobotics.aax7329,Ferromagnetic soft continuum robots
533,10.1073/pnas.1510825113,Parallel computation with molecular-motor-propelled agents in nanofabricated networks
533,10.1126/science.1254295,Programmable self-assembly in a thousand-robot swarm
531,10.1038/nnano.2016.269,Complement proteins bind to nanoparticle protein corona and undergo dynamic exchange in vivo
526,10.1126/science.aan6558,A cargo-sorting DNA robot
524,10.1038/s41467-017-02725-4,Double-layered protein nanoparticles induce broad protection against divergent influenza A viruses
523,10.1126/science.1245842,Designing Collective Behavior in a Termite-Inspired Robot Construction Team
523,10.1038/s41560-017-0029-4,Thermo-electrochemical production of compressed hydrogen from methane with near-zero energy loss
522,10.1007/s10570-013-9929-z,The sonochemical coating of cotton withstands 65 washing cycles at hospital washing standards and retains its antibacterial properties
518,10.1002/adma.201803980,3D Printed Polymer Photodetectors
518,10.1177/1077699016685558,Science in the Social Media Age: Profiles of Science Blog Readers
518,10.1016/j.jaci.2016.12.985,Toll-like receptor 8 agonist nanoparticles mimic immunomodulating effects of the live BCG vaccine and enhance neonatal innate and adaptive immune responses
516,10.1038/nature15263,A two-qubit logic gate in silicon
