aff_city,aff_city_id,aff_country,aff_country_code,aff_id,aff_name,aff_raw_affiliation,aff_state,aff_state_code,pub_id,researcher_id,first_name,last_name
Moscow,524901.0,Russia,RU,,"Department of Neurology, Bujanov Moscow Clinical Hospital, Moscow, Russia","Department of Neurology, Bujanov Moscow Clinical Hospital, Moscow, Russia",Moscow,,pub.1143651563,ur.013467634507.19,Anastasia,Ataulina
Ljubljana,3196359.0,Slovenia,SI,,"Biomedical Research Institute BRIS, Ljubljana, Slovenia","Biomedical Research Institute BRIS, Ljubljana, Slovenia",Ljubljana,,pub.1143651563,ur.0706220751.20,Boris,Rogelj
,,,,,"Clinic of Neurology, Clinical Center of Serbia, School of Medicine, University of Belgrade, Belgrade, Serbia",,,,pub.1143651563,ur.0755311701.37,Zorica,Stević
Fremantle,2071223.0,Australia,AU,,"Notre Dame University, Fremantle, Western Australia Australia","Notre Dame University, Fremantle, Western Australia Australia",Western Australia,AU-WA,pub.1143651563,ur.01170445225.39,Merrilee,Needham
,,,,,"EMBL-EBI, Wellcome Genome Campus, Hinxton, UK",,,,pub.1143540893,,Benjamin,Woodhams
,,,,,"EMBL-EBI, Wellcome Genome Campus, Hinxton, UK",,,,pub.1143540893,ur.014022740015.82,Kwasi,Kwakwa
Mountain View,5375480.0,United States,US,,"GV, Mountain View, CA, USA","GV, Mountain View, CA, USA",California,US-CA,pub.1143198625,ur.01174174715.87,Anthony A.,Philippakis
,,,,,"Institute of Pathology, University of Luebeck and University Hospital Schleswig-Holstein, Campus Luebeck, Luebeck, Germany",,,,pub.1142580664,ur.01177462354.99,Sven,Perner
,,,,,"Institute of Pathology, University of Luebeck and University Hospital Schleswig-Holstein, Campus Luebeck, Luebeck, Germany",,,,pub.1142580664,ur.0662025430.94,Wenzel,Vogel
Paris,2988507.0,France,FR,,"Proteomics Mass Spectrometry Laboratory, Paris, France","Proteomics Mass Spectrometry Laboratory, Paris, France",Ile-de-France,,pub.1142575341,ur.01017033064.34,Bérangère,Lombard
Paris,2988507.0,France,FR,,"Proteomics Mass Spectrometry Laboratory, Paris, France","Proteomics Mass Spectrometry Laboratory, Paris, France",Ile-de-France,,pub.1142575341,ur.01065146264.36,Damarys,Loew
Namsos,3145023.0,Norway,NO,,"Department of Psychiatry, Hospital Namsos, Nord-Trøndelag Health Trust, Namsos, Norway","Department of Psychiatry, Hospital Namsos, Nord-Trøndelag Health Trust, Namsos, Norway",Trondelag,,pub.1142536256,ur.016302774571.18,Ingunn,Bosnes
Namsos,3145023.0,Norway,NO,,"Department of Psychiatry, Hospital Namsos, Nord-Trøndelag Health Trust, Namsos, Norway","Department of Psychiatry, Hospital Namsos, Nord-Trøndelag Health Trust, Namsos, Norway",Trondelag,,pub.1142536256,ur.01372431516.49,Eystein,Stordal
Sunnyvale,5400075.0,United States,US,,"Me, Inc., Sunnyvale, CA USA","Me, Inc., Sunnyvale, CA USA",California,US-CA,pub.1142398482,ur.015333714123.64,Jingchunzi,Shi
Sunnyvale,5400075.0,United States,US,,"Me, Inc., Sunnyvale, CA USA","Me, Inc., Sunnyvale, CA USA",California,US-CA,pub.1142398482,ur.01102501523.97,Suyash,Shringarpure
Sunnyvale,5400075.0,United States,US,,"Me, Inc., Sunnyvale, CA USA","Me, Inc., Sunnyvale, CA USA",California,US-CA,pub.1142398482,ur.015200360034.18,Michelle,Agee
Sunnyvale,5400075.0,United States,US,,"Me, Inc., Sunnyvale, CA USA","Me, Inc., Sunnyvale, CA USA",California,US-CA,pub.1142398482,ur.01177654551.19,Stella,Aslibekyan
Sunnyvale,5400075.0,United States,US,,"Me, Inc., Sunnyvale, CA USA","Me, Inc., Sunnyvale, CA USA",California,US-CA,pub.1142398482,ur.01340561230.61,Adam,Auton
Sunnyvale,5400075.0,United States,US,,"Me, Inc., Sunnyvale, CA USA","Me, Inc., Sunnyvale, CA USA",California,US-CA,pub.1142398482,ur.016573321034.83,Robert K.,Bell
Sunnyvale,5400075.0,United States,US,,"Me, Inc., Sunnyvale, CA USA","Me, Inc., Sunnyvale, CA USA",California,US-CA,pub.1142398482,ur.010070247634.47,Katarzyna,Bryc
Sunnyvale,5400075.0,United States,US,,"Me, Inc., Sunnyvale, CA USA","Me, Inc., Sunnyvale, CA USA",California,US-CA,pub.1142398482,ur.011160567662.07,Sarah K.,Clark
Sunnyvale,5400075.0,United States,US,,"Me, Inc., Sunnyvale, CA USA","Me, Inc., Sunnyvale, CA USA",California,US-CA,pub.1142398482,ur.014014510145.47,Sarah L.,Elson
Sunnyvale,5400075.0,United States,US,,"Me, Inc., Sunnyvale, CA USA","Me, Inc., Sunnyvale, CA USA",California,US-CA,pub.1142398482,ur.0575542437.08,Kipper,Fletez-Brant
Sunnyvale,5400075.0,United States,US,,"Me, Inc., Sunnyvale, CA USA","Me, Inc., Sunnyvale, CA USA",California,US-CA,pub.1142398482,ur.0753355175.74,Pierre,Fontanillas
Sunnyvale,5400075.0,United States,US,,"Me, Inc., Sunnyvale, CA USA","Me, Inc., Sunnyvale, CA USA",California,US-CA,pub.1142398482,ur.012260571234.59,Nicholas A.,Furlotte
Sunnyvale,5400075.0,United States,US,,"Me, Inc., Sunnyvale, CA USA","Me, Inc., Sunnyvale, CA USA",California,US-CA,pub.1142398482,ur.014744052262.26,Pooja M.,Gandhi
Sunnyvale,5400075.0,United States,US,,"Me, Inc., Sunnyvale, CA USA","Me, Inc., Sunnyvale, CA USA",California,US-CA,pub.1142398482,ur.015541432662.62,Karl,Heilbron
Sunnyvale,5400075.0,United States,US,,"Me, Inc., Sunnyvale, CA USA","Me, Inc., Sunnyvale, CA USA",California,US-CA,pub.1142398482,ur.013056151634.56,Barry,Hicks
Sunnyvale,5400075.0,United States,US,,"Me, Inc., Sunnyvale, CA USA","Me, Inc., Sunnyvale, CA USA",California,US-CA,pub.1142398482,ur.0767750151.59,David A.,Hinds
Sunnyvale,5400075.0,United States,US,,"Me, Inc., Sunnyvale, CA USA","Me, Inc., Sunnyvale, CA USA",California,US-CA,pub.1142398482,ur.014451112634.29,Karen E.,Huber
Sunnyvale,5400075.0,United States,US,,"Me, Inc., Sunnyvale, CA USA","Me, Inc., Sunnyvale, CA USA",California,US-CA,pub.1142398482,ur.0653773703.07,Ethan M.,Jewett
Sunnyvale,5400075.0,United States,US,,"Me, Inc., Sunnyvale, CA USA","Me, Inc., Sunnyvale, CA USA",California,US-CA,pub.1142398482,,Yunxuan,Jiang
Sunnyvale,5400075.0,United States,US,,"Me, Inc., Sunnyvale, CA USA","Me, Inc., Sunnyvale, CA USA",California,US-CA,pub.1142398482,ur.012246776476.28,Aaron,Kleinman
Sunnyvale,5400075.0,United States,US,,"Me, Inc., Sunnyvale, CA USA","Me, Inc., Sunnyvale, CA USA",California,US-CA,pub.1142398482,,Keng-Han,Lin
Sunnyvale,5400075.0,United States,US,,"Me, Inc., Sunnyvale, CA USA","Me, Inc., Sunnyvale, CA USA",California,US-CA,pub.1142398482,ur.013225147227.16,Nadia K.,Litterman
Sunnyvale,5400075.0,United States,US,,"Me, Inc., Sunnyvale, CA USA","Me, Inc., Sunnyvale, CA USA",California,US-CA,pub.1142398482,ur.013546765133.39,Marie K.,Luff
Sunnyvale,5400075.0,United States,US,,"Me, Inc., Sunnyvale, CA USA","Me, Inc., Sunnyvale, CA USA",California,US-CA,pub.1142398482,ur.013452414262.42,Jey C.,McCreight
Sunnyvale,5400075.0,United States,US,,"Me, Inc., Sunnyvale, CA USA","Me, Inc., Sunnyvale, CA USA",California,US-CA,pub.1142398482,ur.010733743434.90,Matthew H.,McIntyre
Sunnyvale,5400075.0,United States,US,,"Me, Inc., Sunnyvale, CA USA","Me, Inc., Sunnyvale, CA USA",California,US-CA,pub.1142398482,ur.011531324034.53,Kimberly F.,McManus
Sunnyvale,5400075.0,United States,US,,"Me, Inc., Sunnyvale, CA USA","Me, Inc., Sunnyvale, CA USA",California,US-CA,pub.1142398482,ur.012326704434.70,Joanna L.,Mountain
Sunnyvale,5400075.0,United States,US,,"Me, Inc., Sunnyvale, CA USA","Me, Inc., Sunnyvale, CA USA",California,US-CA,pub.1142398482,ur.01210524223.26,Sahar V.,Mozaffari
Sunnyvale,5400075.0,United States,US,,"Me, Inc., Sunnyvale, CA USA","Me, Inc., Sunnyvale, CA USA",California,US-CA,pub.1142398482,ur.012072376662.37,Priyanka,Nandakumar
Sunnyvale,5400075.0,United States,US,,"Me, Inc., Sunnyvale, CA USA","Me, Inc., Sunnyvale, CA USA",California,US-CA,pub.1142398482,ur.010173752315.34,Elizabeth S.,Noblin
Sunnyvale,5400075.0,United States,US,,"Me, Inc., Sunnyvale, CA USA","Me, Inc., Sunnyvale, CA USA",California,US-CA,pub.1142398482,ur.013721645434.55,Carrie A. M.,Northover
Sunnyvale,5400075.0,United States,US,,"Me, Inc., Sunnyvale, CA USA","Me, Inc., Sunnyvale, CA USA",California,US-CA,pub.1142398482,ur.010521343317.33,Jared,O’Connell
Sunnyvale,5400075.0,United States,US,,"Me, Inc., Sunnyvale, CA USA","Me, Inc., Sunnyvale, CA USA",California,US-CA,pub.1142398482,ur.016145537637.45,Aaron A.,Petrakovitz
Sunnyvale,5400075.0,United States,US,,"Me, Inc., Sunnyvale, CA USA","Me, Inc., Sunnyvale, CA USA",California,US-CA,pub.1142398482,ur.014517226034.03,Steven J.,Pitts
Sunnyvale,5400075.0,United States,US,,"Me, Inc., Sunnyvale, CA USA","Me, Inc., Sunnyvale, CA USA",California,US-CA,pub.1142398482,ur.0635017524.00,G. David,Poznik
Sunnyvale,5400075.0,United States,US,,"Me, Inc., Sunnyvale, CA USA","Me, Inc., Sunnyvale, CA USA",California,US-CA,pub.1142398482,ur.01320260575.53,J. Fah,Sathirapongsasuti
Sunnyvale,5400075.0,United States,US,,"Me, Inc., Sunnyvale, CA USA","Me, Inc., Sunnyvale, CA USA",California,US-CA,pub.1142398482,ur.0745431770.87,Anjali J.,Shastri
Sunnyvale,5400075.0,United States,US,,"Me, Inc., Sunnyvale, CA USA","Me, Inc., Sunnyvale, CA USA",California,US-CA,pub.1142398482,ur.0626362447.37,Janie F.,Shelton
Sunnyvale,5400075.0,United States,US,,"Me, Inc., Sunnyvale, CA USA","Me, Inc., Sunnyvale, CA USA",California,US-CA,pub.1142398482,,Chao,Tian
Sunnyvale,5400075.0,United States,US,,"Me, Inc., Sunnyvale, CA USA","Me, Inc., Sunnyvale, CA USA",California,US-CA,pub.1142398482,ur.011005717734.11,Joyce Y.,Tung
Sunnyvale,5400075.0,United States,US,,"Me, Inc., Sunnyvale, CA USA","Me, Inc., Sunnyvale, CA USA",California,US-CA,pub.1142398482,ur.014331033462.16,Robert J.,Tunney
Sunnyvale,5400075.0,United States,US,,"Me, Inc., Sunnyvale, CA USA","Me, Inc., Sunnyvale, CA USA",California,US-CA,pub.1142398482,ur.011603300334.20,Vladimir,Vacic
Sunnyvale,5400075.0,United States,US,,"Me, Inc., Sunnyvale, CA USA","Me, Inc., Sunnyvale, CA USA",California,US-CA,pub.1142398482,,Xin,Wang
Sunnyvale,5400075.0,United States,US,,"Me, Inc., Sunnyvale, CA USA","Me, Inc., Sunnyvale, CA USA",California,US-CA,pub.1142398482,ur.015671462410.51,Amir S.,Zare
,,Italy,IT,,"Gastroenterology Unit, Department of Medical Science, ‘Sant’Anna e San Sebastiano’ Hospital, Caserta, Italy","Gastroenterology Unit, Department of Medical Science, ‘Sant’Anna e San Sebastiano’ Hospital, Caserta, Italy",,,pub.1142398482,,Rosario,Cuomo
Rottweil,2843636.0,Germany,DE,,"Department of Internal Medicine and Gastroenterology, HELIOS Clinic Rottweil, Rottweil, Germany","Department of Internal Medicine and Gastroenterology, HELIOS Clinic Rottweil, Rottweil, Germany",Baden-Wuerttemberg,,pub.1142398482,ur.0615676351.40,Miriam,Goebel-Stengel
Krefeld,2884509.0,Germany,DE,,"Helios Klinik Krefeld, Krefeld, Germany","Helios Klinik Krefeld, Krefeld, Germany",North Rhine-Westphalia,,pub.1142398482,ur.016455545565.01,Thomas,Frieling
Vilsbiburg,2817209.0,Germany,DE,,"Krankenhaus Vilsbiburg, Vilsbiburg, Germany","Krankenhaus Vilsbiburg, Vilsbiburg, Germany",Bavaria,,pub.1142398482,ur.010550054765.19,Christian,Pehl
,,,,,"Research Unit for General Practice, NORCE Norwegian Research Centre, Bergen, Norway",,,,pub.1142398482,ur.01341404067.40,Knut-Arne,Wensaas
Ann Arbor,4984247.0,United States,US,,"Ann Arbor Veterans Affairs Hospital, Ann Arbor, MI, USA","Ann Arbor Veterans Affairs Hospital, Ann Arbor, MI, USA",Michigan,US-MI,pub.1142325350,ur.013323152642.06,James T.,Elder
,,,,,"European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Genome Campus, Hinxton, UK",,,,pub.1142214004,ur.012517755103.42,Miguel,Carmona
,,,,,"European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Genome Campus, Hinxton, UK",,,,pub.1142214004,ur.01153530112.60,Jeremy,Schwartzentruber
,,,,,"European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Genome Campus, Hinxton, UK",,,,pub.1142214004,ur.011502035624.07,Gareth,Peat
,,,,,"European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Genome Campus, Hinxton, UK",,,,pub.1142214004,ur.015505657103.88,Alfredo,Miranda
,,,,,"European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Genome Campus, Hinxton, UK",,,,pub.1142214004,ur.014147523721.60,Luca,Fumis
,,,,,"European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Genome Campus, Hinxton, UK",,,,pub.1142214004,ur.0745100132.96,James,Hayhurst
,,,,,"European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Genome Campus, Hinxton, UK",,,,pub.1142214004,ur.0712251256.93,Annalisa,Buniello
,,,,,"European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Genome Campus, Hinxton, UK",,,,pub.1142214004,ur.014112716103.37,Andrew,Hercules
,,United States,US,,"Integrative Biology, Internal Medicine Research Unit, Pfizer Worldwide Research, Development and Medical, Cambridge, MA, USA","Integrative Biology, Internal Medicine Research Unit, Pfizer Worldwide Research, Development and Medical, Cambridge, MA, USA",,,pub.1142214004,ur.01170205402.42,Eric B.,Fauman
,,,,,"Wellcome Centre for Human Genetics, Nuffield Department of Medicine, NIHR Oxford Biomedical Research Centre, University of Oxford, Oxford, UK",,,,pub.1142214004,ur.01134314703.76,John A.,Todd
,,,,,"European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Genome Campus, Hinxton, UK",,,,pub.1142214004,ur.0633421566.27,David,Ochoa
