year,journal.id,journal.title,total,total_year
2020,jour.1102504,Human Molecular Genetics,140,19
2018,jour.1102504,Human Molecular Genetics,140,47
2019,jour.1380788,Research Square,140,17
2020,jour.1046624,Journal of the American Heart Association,134,41
2018,jour.1046624,Journal of the American Heart Association,134,26
2021,jour.1046624,Journal of the American Heart Association,134,39
2019,jour.1046624,Journal of the American Heart Association,134,28
2019,jour.1017738,The Journal of Clinical Endocrinology & Metabolism,132,30
2021,jour.1017738,The Journal of Clinical Endocrinology & Metabolism,132,31
2020,jour.1017738,The Journal of Clinical Endocrinology & Metabolism,132,33
2018,jour.1017738,The Journal of Clinical Endocrinology & Metabolism,132,38
2019,jour.1115540,Molecular Psychiatry,131,39
2018,jour.1101916,Cancer Epidemiology Biomarkers & Prevention,131,23
2021,jour.1115540,Molecular Psychiatry,131,31
2019,jour.1101916,Cancer Epidemiology Biomarkers & Prevention,131,32
2020,jour.1115540,Molecular Psychiatry,131,27
2020,jour.1101916,Cancer Epidemiology Biomarkers & Prevention,131,47
2021,jour.1101916,Cancer Epidemiology Biomarkers & Prevention,131,29
2018,jour.1115540,Molecular Psychiatry,131,34
2018,jour.1042723,Nutrients,123,14
2021,jour.1042723,Nutrients,123,42
2019,jour.1042723,Nutrients,123,32
2020,jour.1042723,Nutrients,123,35
2019,jour.1103715,Diabetes Care,114,27
2021,jour.1103715,Diabetes Care,114,25
2018,jour.1103715,Diabetes Care,114,27
2022,jour.1103715,Diabetes Care,114,1
2020,jour.1103715,Diabetes Care,114,34
2020,jour.1312191,Journal of Clinical Oncology,112,16
2019,jour.1312191,Journal of Clinical Oncology,112,29
2021,jour.1312191,Journal of Clinical Oncology,112,25
2018,jour.1312191,Journal of Clinical Oncology,112,42
2021,jour.1085025,Blood,110,33
2020,jour.1085025,Blood,110,16
2019,jour.1085025,Blood,110,26
2018,jour.1085025,Blood,110,35
2021,jour.1044693,BMJ Open,104,28
2018,jour.1044693,BMJ Open,104,23
2019,jour.1044693,BMJ Open,104,27
2020,jour.1044693,BMJ Open,104,26
2018,jour.1100417,Annals of Oncology,101,22
2020,jour.1100417,Annals of Oncology,101,26
2019,jour.1019114,Cell,101,28
2018,jour.1019114,Cell,101,28
2021,jour.1100417,Annals of Oncology,101,27
2019,jour.1100417,Annals of Oncology,101,26
2021,jour.1019114,Cell,101,24
2020,jour.1019114,Cell,101,21
2021,jour.1284430,Wellcome Open Research,99,36
2019,jour.1284430,Wellcome Open Research,99,23
2020,jour.1284430,Wellcome Open Research,99,17
2018,jour.1284430,Wellcome Open Research,99,23
2021,jour.1040791,Circulation Genomic and Precision Medicine,97,25
2019,jour.1040791,Circulation Genomic and Precision Medicine,97,17
2018,jour.1040791,Circulation Genomic and Precision Medicine,97,26
2020,jour.1040791,Circulation Genomic and Precision Medicine,97,29
2021,jour.1034974,PLOS Genetics,96,29
2021,jour.1018238,Neurology,96,23
2018,jour.1034974,PLOS Genetics,96,23
2020,jour.1018238,Neurology,96,25
2019,jour.1034974,PLOS Genetics,96,18
2019,jour.1018238,Neurology,96,34
2020,jour.1034974,PLOS Genetics,96,26
2018,jour.1018238,Neurology,96,14
2021,jour.1001482,Diabetologia,93,25
2019,jour.1001482,Diabetologia,93,25
2020,jour.1001482,Diabetologia,93,19
2018,jour.1001482,Diabetologia,93,24
2020,jour.1095636,European Journal of Epidemiology,92,26
2018,jour.1095636,European Journal of Epidemiology,92,27
2021,jour.1095636,European Journal of Epidemiology,92,18
2019,jour.1095636,European Journal of Epidemiology,92,21
2020,jour.1103410,European Journal of Human Genetics,90,18
2021,jour.1103410,European Journal of Human Genetics,90,22
2019,jour.1103410,European Journal of Human Genetics,90,25
2018,jour.1103410,European Journal of Human Genetics,90,25
2019,jour.1094093,Journal of Hypertension,86,16
2021,jour.1094093,Journal of Hypertension,86,36
2018,jour.1094093,Journal of Hypertension,86,26
2020,jour.1094093,Journal of Hypertension,86,8
2021,jour.1054214,Psychological Medicine,85,22
2019,jour.1054214,Psychological Medicine,85,19
2020,jour.1054214,Psychological Medicine,85,23
2018,jour.1054214,Psychological Medicine,85,21
2018,jour.1043163,Cancers,84,2
2020,jour.1043163,Cancers,84,25
2019,jour.1043163,Cancers,84,11
2021,jour.1043163,Cancers,84,46
2019,jour.1017790,American Journal of Clinical Nutrition,83,25
2021,jour.1017790,American Journal of Clinical Nutrition,83,26
2018,jour.1017790,American Journal of Clinical Nutrition,83,12
2020,jour.1017790,American Journal of Clinical Nutrition,83,20
2018,jour.1013101,Stroke,81,20
2021,jour.1013101,Stroke,81,28
2019,jour.1013101,Stroke,81,17
2020,jour.1013101,Stroke,81,16
2021,jour.1017616,Gastroenterology,78,11
2018,jour.1017616,Gastroenterology,78,21
2020,jour.1017616,Gastroenterology,78,26
2019,jour.1017616,Gastroenterology,78,20
2018,jour.1019815,British Journal of Ophthalmology,77,16
2019,jour.1019815,British Journal of Ophthalmology,77,18
2020,jour.1019815,British Journal of Ophthalmology,77,21
2021,jour.1019815,British Journal of Ophthalmology,77,22
2021,jour.1113716,Nature Medicine,75,24
2018,jour.1113716,Nature Medicine,75,9
2019,jour.1113716,Nature Medicine,75,21
2020,jour.1113716,Nature Medicine,75,21
2018,jour.1034427,PLOS Medicine,73,20
2020,jour.1034427,PLOS Medicine,73,19
2019,jour.1034427,PLOS Medicine,73,20
2021,jour.1034427,PLOS Medicine,73,14
2019,jour.1113743,The Journals of Gerontology Series A,70,12
2021,jour.1042271,Clinical Epigenetics,70,26
2020,jour.1042271,Clinical Epigenetics,70,15
2020,jour.1346339,Science,70,14
2021,jour.1346339,Science,70,19
2019,jour.1042271,Clinical Epigenetics,70,16
2021,jour.1032885,BMC Medicine,70,21
2020,jour.1113743,The Journals of Gerontology Series A,70,18
2019,jour.1346339,Science,70,15
2020,jour.1032885,BMC Medicine,70,21
2018,jour.1113743,The Journals of Gerontology Series A,70,17
2021,jour.1113743,The Journals of Gerontology Series A,70,23
2019,jour.1032885,BMC Medicine,70,15
2018,jour.1346339,Science,70,22
2018,jour.1032885,BMC Medicine,70,13
2018,jour.1042271,Clinical Epigenetics,70,13
2021,jour.1358108,Journal of the National Cancer Institute,68,8
2018,jour.1358108,Journal of the National Cancer Institute,68,22
2021,jour.1005854,Hypertension,68,19
2020,jour.1005854,Hypertension,68,15
2018,jour.1005854,Hypertension,68,13
2019,jour.1358108,Journal of the National Cancer Institute,68,19
2019,jour.1005854,Hypertension,68,21
2020,jour.1358108,Journal of the National Cancer Institute,68,19
2018,jour.1321825,JAMA Network Open,67,6
2021,jour.1119070,Journal of Alzheimer's Disease,67,23
2021,jour.1321825,JAMA Network Open,67,17
2019,jour.1321825,JAMA Network Open,67,23
2022,jour.1119070,Journal of Alzheimer's Disease,67,1
2020,jour.1119070,Journal of Alzheimer's Disease,67,15
2018,jour.1119070,Journal of Alzheimer's Disease,67,15
2019,jour.1119070,Journal of Alzheimer's Disease,67,13
2020,jour.1321825,JAMA Network Open,67,21
2020,jour.1345383,Bioinformatics,66,12
2019,jour.1345383,Bioinformatics,66,19
2021,jour.1345383,Bioinformatics,66,17
2018,jour.1345383,Bioinformatics,66,18
2018,jour.1297397,Twin Research and Human Genetics,64,11
2019,jour.1297397,Twin Research and Human Genetics,64,23
2018,jour.1284558,Innovation in Aging,64,21
2019,jour.1284558,Innovation in Aging,64,14
2021,jour.1358061,Journal of Investigative Dermatology,64,19
2020,jour.1017377,The BMJ,64,13
2019,jour.1358061,Journal of Investigative Dermatology,64,19
2020,jour.1358061,Journal of Investigative Dermatology,64,6
2021,jour.1017377,The BMJ,64,9
2020,jour.1284558,Innovation in Aging,64,12
2021,jour.1297397,Twin Research and Human Genetics,64,6
2021,jour.1284558,Innovation in Aging,64,17
2018,jour.1017377,The BMJ,64,20
2018,jour.1358061,Journal of Investigative Dermatology,64,20
2019,jour.1017377,The BMJ,64,22
2020,jour.1297397,Twin Research and Human Genetics,64,24
2021,jour.1297439,European Journal of Preventive Cardiology,63,23
2019,jour.1297439,European Journal of Preventive Cardiology,63,9
2020,jour.1297439,European Journal of Preventive Cardiology,63,22
2021,jour.1045144,Frontiers in Genetics,63,19
2019,jour.1035838,International Journal of Obesity,63,16
2020,jour.1045144,Frontiers in Genetics,63,13
2018,jour.1035838,International Journal of Obesity,63,16
2018,jour.1045144,Frontiers in Genetics,63,15
2020,jour.1035838,International Journal of Obesity,63,13
2019,jour.1045144,Frontiers in Genetics,63,16
2018,jour.1297439,European Journal of Preventive Cardiology,63,9
2021,jour.1035838,International Journal of Obesity,63,18
2018,jour.1017226,Annals of the Rheumatic Diseases,62,20
2020,jour.1017226,Annals of the Rheumatic Diseases,62,15
2019,jour.1017226,Annals of the Rheumatic Diseases,62,9
2021,jour.1017226,Annals of the Rheumatic Diseases,62,18
2020,jour.1119411,Genetics in Medicine,60,15
2019,jour.1013236,Schizophrenia Bulletin,60,10
2021,jour.1119411,Genetics in Medicine,60,11
2019,jour.1034222,Ophthalmology,60,7
2021,jour.1034222,Ophthalmology,60,12
2021,jour.1013236,Schizophrenia Bulletin,60,8
2018,jour.1119411,Genetics in Medicine,60,20
2020,jour.1034222,Ophthalmology,60,20
2020,jour.1013236,Schizophrenia Bulletin,60,13
2019,jour.1119411,Genetics in Medicine,60,14
2018,jour.1013236,Schizophrenia Bulletin,60,29
2018,jour.1034222,Ophthalmology,60,21
2018,jour.1371339,arXiv,59,11
2020,jour.1371339,arXiv,59,23
2021,jour.1371339,arXiv,59,11
2019,jour.1371339,arXiv,59,14
2020,jour.1082971,Proceedings of the National Academy of Sciences of the United States of America,58,10
2018,jour.1077219,The Lancet,58,23
2021,jour.1082971,Proceedings of the National Academy of Sciences of the United States of America,58,15
2019,jour.1100952,Arteriosclerosis Thrombosis and Vascular Biology,58,11
2019,jour.1077219,The Lancet,58,12
2018,jour.1082971,Proceedings of the National Academy of Sciences of the United States of America,58,16
2021,jour.1100952,Arteriosclerosis Thrombosis and Vascular Biology,58,12
2019,jour.1082971,Proceedings of the National Academy of Sciences of the United States of America,58,17
2018,jour.1100952,Arteriosclerosis Thrombosis and Vascular Biology,58,21
2020,jour.1100952,Arteriosclerosis Thrombosis and Vascular Biology,58,14
2021,jour.1077219,The Lancet,58,9
2020,jour.1077219,The Lancet,58,14
2018,jour.1300829,Communications Biology,57,6
2021,jour.1300829,Communications Biology,57,25
2018,jour.1094974,Genetic Epidemiology,57,18
2019,jour.1094974,Genetic Epidemiology,57,13
2021,jour.1094974,Genetic Epidemiology,57,8
2020,jour.1094974,Genetic Epidemiology,57,18
2020,jour.1300829,Communications Biology,57,15
2019,jour.1300829,Communications Biology,57,11
2018,jour.1046010,Cell Reports,56,21
2019,jour.1053069,JAMA Cardiology,56,10
2022,jour.1053069,JAMA Cardiology,56,1
2018,jour.1053069,JAMA Cardiology,56,15
2019,jour.1046010,Cell Reports,56,10
2021,jour.1053069,JAMA Cardiology,56,14
2020,jour.1053069,JAMA Cardiology,56,16
2021,jour.1046010,Cell Reports,56,11
2020,jour.1046010,Cell Reports,56,14
2018,jour.1040124,Genome Medicine,55,8
2019,jour.1040124,Genome Medicine,55,11
2021,jour.1040124,Genome Medicine,55,22
2020,jour.1040124,Genome Medicine,55,14
2019,jour.1091979,Neurobiology of Aging,54,18
2021,jour.1091979,Neurobiology of Aging,54,8
2019,jour.1017081,Heart,54,22
2019,jour.1103682,Osteoarthritis and Cartilage,54,13
2018,jour.1103682,Osteoarthritis and Cartilage,54,13
2020,jour.1103682,Osteoarthritis and Cartilage,54,15
2018,jour.1091979,Neurobiology of Aging,54,20
2020,jour.1017081,Heart,54,5
2021,jour.1017081,Heart,54,15
2020,jour.1091979,Neurobiology of Aging,54,8
2021,jour.1103682,Osteoarthritis and Cartilage,54,13
2018,jour.1017081,Heart,54,12
2020,jour.1017082,British Journal of Cancer,52,9
2021,jour.1017082,British Journal of Cancer,52,14
2019,jour.1017082,British Journal of Cancer,52,13
2018,jour.1017082,British Journal of Cancer,52,16
2021,jour.1355527,ISEE Conference Abstracts,51,13
2020,jour.1046517,eLife,51,16
2021,jour.1090493,American Journal of Epidemiology,51,7
2020,jour.1355527,ISEE Conference Abstracts,51,11
2018,jour.1355527,ISEE Conference Abstracts,51,27
2021,jour.1046517,eLife,51,14
2019,jour.1046517,eLife,51,15
2018,jour.1046517,eLife,51,6
2019,jour.1090493,American Journal of Epidemiology,51,14
2020,jour.1090493,American Journal of Epidemiology,51,16
2018,jour.1090493,American Journal of Epidemiology,51,14
2020,jour.1048290,Journal of Clinical Medicine,50,17
2019,jour.1081531,JAMA,50,19
2021,jour.1048290,Journal of Clinical Medicine,50,19
2018,jour.1081531,JAMA,50,8
2021,jour.1081531,JAMA,50,6
2019,jour.1048290,Journal of Clinical Medicine,50,12
2018,jour.1048290,Journal of Clinical Medicine,50,2
2020,jour.1081531,JAMA,50,17
2020,jour.1014525,Journal of Neurology,49,11
2018,jour.1021029,Neuro-Oncology,49,11
2020,jour.1021029,Neuro-Oncology,49,15
2018,jour.1137590,Senologie - Zeitschrift für Mammadiagnostik und -therapie,49,14
2020,jour.1137590,Senologie - Zeitschrift für Mammadiagnostik und -therapie,49,10
2018,jour.1014525,Journal of Neurology,49,16
2020,jour.1077125,Gut,49,9
2018,jour.1077125,Gut,49,8
2019,jour.1021029,Neuro-Oncology,49,10
2021,jour.1021029,Neuro-Oncology,49,13
2021,jour.1014525,Journal of Neurology,49,10
2019,jour.1137590,Senologie - Zeitschrift für Mammadiagnostik und -therapie,49,17
2021,jour.1077125,Gut,49,23
2019,jour.1014525,Journal of Neurology,49,12
2021,jour.1137590,Senologie - Zeitschrift für Mammadiagnostik und -therapie,49,8
2019,jour.1077125,Gut,49,9
2020,jour.1412088,International Journal of Cardiology,48,3
2020,jour.1312353,JAMA Psychiatry,48,11
2018,jour.1312353,JAMA Psychiatry,48,10
2021,jour.1023439,Genome Biology,48,13
2019,jour.1412088,International Journal of Cardiology,48,7
2021,jour.1412088,International Journal of Cardiology,48,7
2022,jour.1312353,JAMA Psychiatry,48,1
2021,jour.1312353,JAMA Psychiatry,48,14
2019,jour.1023439,Genome Biology,48,15
2020,jour.1023439,Genome Biology,48,12
2018,jour.1023439,Genome Biology,48,8
2018,jour.1412088,International Journal of Cardiology,48,31
2019,jour.1312353,JAMA Psychiatry,48,12
2019,jour.1292489,Current Developments in Nutrition,47,25
2020,jour.1292489,Current Developments in Nutrition,47,14
2021,jour.1292489,Current Developments in Nutrition,47,8
2020,jour.1034947,International Journal of Environmental Research and Public Health,46,11
2019,jour.1049139,The Lancet Diabetes & Endocrinology,46,14
2021,jour.1034947,International Journal of Environmental Research and Public Health,46,18
2018,jour.1049139,The Lancet Diabetes & Endocrinology,46,15
2021,jour.1049139,The Lancet Diabetes & Endocrinology,46,7
2018,jour.1034947,International Journal of Environmental Research and Public Health,46,7
2020,jour.1049139,The Lancet Diabetes & Endocrinology,46,10
2019,jour.1034947,International Journal of Environmental Research and Public Health,46,10
2021,jour.1092777,Breast Cancer Research and Treatment,45,10
2019,jour.1032051,Journal of Thrombosis and Haemostasis,45,8
2019,jour.1092777,Breast Cancer Research and Treatment,45,11
2020,jour.1092777,Breast Cancer Research and Treatment,45,7
2018,jour.1092777,Breast Cancer Research and Treatment,45,17
2018,jour.1032051,Journal of Thrombosis and Haemostasis,45,21
2021,jour.1032051,Journal of Thrombosis and Haemostasis,45,8
2019,jour.1045166,Frontiers in Immunology,45,9
2018,jour.1045166,Frontiers in Immunology,45,7
2021,jour.1045166,Frontiers in Immunology,45,19
2020,jour.1045166,Frontiers in Immunology,45,10
2020,jour.1032051,Journal of Thrombosis and Haemostasis,45,8
2020,jour.1050984,EBioMedicine,44,9
2018,jour.1319913,Cancer Research,44,10
2020,jour.1319913,Cancer Research,44,12
2018,jour.1050984,EBioMedicine,44,8
2021,jour.1319913,Cancer Research,44,11
2019,jour.1319913,Cancer Research,44,11
2019,jour.1050984,EBioMedicine,44,10
2021,jour.1050984,EBioMedicine,44,17
2018,jour.1014075,New England Journal of Medicine,43,9
2020,jour.1014075,New England Journal of Medicine,43,14
2020,jour.1059210,Clinical Chemistry,43,7
2019,jour.1088587,Environment International,43,11
2019,jour.1014075,New England Journal of Medicine,43,9
2021,jour.1014075,New England Journal of Medicine,43,11
2018,jour.1017376,Journal of Epidemiology & Community Health,43,8
2018,jour.1088587,Environment International,43,15
2019,jour.1059210,Clinical Chemistry,43,14
2020,jour.1088587,Environment International,43,11
2021,jour.1059210,Clinical Chemistry,43,9
2020,jour.1017376,Journal of Epidemiology & Community Health,43,5
2018,jour.1059210,Clinical Chemistry,43,13
2019,jour.1017376,Journal of Epidemiology & Community Health,43,17
2021,jour.1017376,Journal of Epidemiology & Community Health,43,13
2021,jour.1088587,Environment International,43,6
2021,jour.1089762,Journal of Affective Disorders,42,15
2018,jour.1089762,Journal of Affective Disorders,42,8
2019,jour.1011551,Medicine & Science in Sports & Exercise,42,16
2018,jour.1011551,Medicine & Science in Sports & Exercise,42,11
2019,jour.1089762,Journal of Affective Disorders,42,14
2020,jour.1011551,Medicine & Science in Sports & Exercise,42,8
2021,jour.1011551,Medicine & Science in Sports & Exercise,42,7
2020,jour.1089762,Journal of Affective Disorders,42,5
2021,jour.1097961,Schizophrenia Research,41,5
2020,jour.1097961,Schizophrenia Research,41,8
2021,jour.1345647,JMIR Preprints,41,10
2020,jour.1294974,European Journal of Cancer,41,12
2021,jour.1294974,European Journal of Cancer,41,16
2019,jour.1097961,Schizophrenia Research,41,11
2018,jour.1294974,European Journal of Cancer,41,9
2020,jour.1345647,JMIR Preprints,41,19
2019,jour.1345647,JMIR Preprints,41,8
2018,jour.1097961,Schizophrenia Research,41,17
2018,jour.1345647,JMIR Preprints,41,4
2019,jour.1294974,European Journal of Cancer,41,4
2019,jour.1044864,Archives of Cardiovascular Diseases Supplements,40,11
2020,jour.1044864,Archives of Cardiovascular Diseases Supplements,40,9
2020,jour.1118362,Nature Neuroscience,40,7
2021,jour.1044864,Archives of Cardiovascular Diseases Supplements,40,11
2018,jour.1050736,BMJ Open Diabetes Research & Care,40,6
2021,jour.1118362,Nature Neuroscience,40,9
2018,jour.1044864,Archives of Cardiovascular Diseases Supplements,40,9
2020,jour.1050736,BMJ Open Diabetes Research & Care,40,18
2019,jour.1017305,Brain,40,11
2020,jour.1017305,Brain,40,10
2021,jour.1017305,Brain,40,12
2021,jour.1050736,BMJ Open Diabetes Research & Care,40,13
2018,jour.1118362,Nature Neuroscience,40,10
2018,jour.1017305,Brain,40,7
2019,jour.1050736,BMJ Open Diabetes Research & Care,40,3
2019,jour.1118362,Nature Neuroscience,40,14
2019,jour.1046459,Journal of Global Health,39,6
2020,jour.1046459,Journal of Global Health,39,13
2018,jour.1046459,Journal of Global Health,39,12
2021,jour.1046459,Journal of Global Health,39,8
2021,jour.1039135,Journal of Crohn's and Colitis,38,11
2021,jour.1294989,European Journal of Nutrition,38,6
2020,jour.1039135,Journal of Crohn's and Colitis,38,4
2019,jour.1018580,Journal of Nutrition,38,13
2020,jour.1018580,Journal of Nutrition,38,9
2020,jour.1294989,European Journal of Nutrition,38,9
2018,jour.1039135,Journal of Crohn's and Colitis,38,13
2019,jour.1294989,European Journal of Nutrition,38,14
2018,jour.1294989,European Journal of Nutrition,38,9
2021,jour.1018580,Journal of Nutrition,38,10
2018,jour.1018580,Journal of Nutrition,38,6
2019,jour.1039135,Journal of Crohn's and Colitis,38,10
2018,jour.1044865,Frontiers in Endocrinology,37,8
2021,jour.1095400,Journal of Hepatology,37,3
2019,jour.1097884,European Respiratory Journal,37,5
2019,jour.1044865,Frontiers in Endocrinology,37,13
2019,jour.1095400,Journal of Hepatology,37,11
2021,jour.1097884,European Respiratory Journal,37,8
2021,jour.1044865,Frontiers in Endocrinology,37,11
2020,jour.1044865,Frontiers in Endocrinology,37,5
2020,jour.1097884,European Respiratory Journal,37,16
2018,jour.1097884,European Respiratory Journal,37,8
2018,jour.1095400,Journal of Hepatology,37,8
2020,jour.1095400,Journal of Hepatology,37,15
2019,jour.1088755,Sleep,36,17
2021,jour.1005853,Circulation Research,36,7
2021,jour.1088755,Sleep,36,4
2019,jour.1105433,Human Brain Mapping,36,6
2020,jour.1381024,PsyArXiv,36,8
2020,jour.1088755,Sleep,36,7
2020,jour.1105433,Human Brain Mapping,36,14
2021,jour.1013844,Behavior Genetics,36,8
2020,jour.1086831,Annals of Neurology,36,10
2021,jour.1105433,Human Brain Mapping,36,11
2018,jour.1005853,Circulation Research,36,8
2021,jour.1024632,BMC Cancer,36,7
2019,jour.1028874,International Journal of Molecular Sciences,36,3
2019,jour.1024632,BMC Cancer,36,7
2020,jour.1028874,International Journal of Molecular Sciences,36,12
2021,jour.1381024,PsyArXiv,36,20
2020,jour.1013844,Behavior Genetics,36,7
2020,jour.1024632,BMC Cancer,36,6
2019,jour.1005853,Circulation Research,36,9
2021,jour.1028874,International Journal of Molecular Sciences,36,17
2018,jour.1086831,Annals of Neurology,36,9
2021,jour.1086831,Annals of Neurology,36,9
2018,jour.1088755,Sleep,36,8
2019,jour.1013844,Behavior Genetics,36,13
2019,jour.1086831,Annals of Neurology,36,8
2018,jour.1028874,International Journal of Molecular Sciences,36,4
2019,jour.1381024,PsyArXiv,36,7
2018,jour.1024632,BMC Cancer,36,16
2020,jour.1005853,Circulation Research,36,12
2018,jour.1105433,Human Brain Mapping,36,5
2018,jour.1381024,PsyArXiv,36,1
2018,jour.1013844,Behavior Genetics,36,8
2021,jour.1017023,American Journal of Psychiatry,35,5
2020,jour.1022375,Breast Cancer Research,35,6
2018,jour.1044605,Genes,35,4
2018,jour.1284458,Journal of the Endocrine Society,35,2
2018,jour.1022375,Breast Cancer Research,35,11
2019,jour.1113735,Clinical Cancer Research,35,9
2019,jour.1044605,Genes,35,6
2021,jour.1044605,Genes,35,22
2019,jour.1017023,American Journal of Psychiatry,35,12
2018,jour.1113735,Clinical Cancer Research,35,7
2019,jour.1022375,Breast Cancer Research,35,13
2020,jour.1044605,Genes,35,3
2020,jour.1113735,Clinical Cancer Research,35,9
2018,jour.1017023,American Journal of Psychiatry,35,9
2020,jour.1017023,American Journal of Psychiatry,35,9
2019,jour.1284458,Journal of the Endocrine Society,35,7
2020,jour.1284458,Journal of the Endocrine Society,35,14
2021,jour.1113735,Clinical Cancer Research,35,10
2021,jour.1022375,Breast Cancer Research,35,5
2021,jour.1284458,Journal of the Endocrine Society,35,12
2018,jour.1062273,Journal of Neurology Neurosurgery & Psychiatry,34,15
2021,jour.1062273,Journal of Neurology Neurosurgery & Psychiatry,34,6
2020,jour.1062273,Journal of Neurology Neurosurgery & Psychiatry,34,8
2019,jour.1062273,Journal of Neurology Neurosurgery & Psychiatry,34,5
2018,jour.1016325,Nephrology Dialysis Transplantation,33,16
2020,jour.1085982,Human Genetics,33,5
2021,jour.1085982,Human Genetics,33,8
2020,jour.1000902,British Journal of Dermatology,33,5
2019,jour.1000902,British Journal of Dermatology,33,5
2018,jour.1319882,Journal of Internal Medicine,33,10
2020,jour.1086359,Investigative Ophthalmology & Visual Science,33,11
2020,jour.1016325,Nephrology Dialysis Transplantation,33,6
2020,jour.1041454,Science Translational Medicine,33,9
2019,jour.1007282,Cardiovascular Research,33,4
2018,jour.1007282,Cardiovascular Research,33,11
2019,jour.1086359,Investigative Ophthalmology & Visual Science,33,10
2021,jour.1007282,Cardiovascular Research,33,14
2019,jour.1041454,Science Translational Medicine,33,6
2021,jour.1016325,Nephrology Dialysis Transplantation,33,6
2018,jour.1000902,British Journal of Dermatology,33,13
2018,jour.1085982,Human Genetics,33,8
2018,jour.1086359,Investigative Ophthalmology & Visual Science,33,8
2019,jour.1085982,Human Genetics,33,12
2018,jour.1041454,Science Translational Medicine,33,7
2019,jour.1016325,Nephrology Dialysis Transplantation,33,5
2019,jour.1319882,Journal of Internal Medicine,33,4
