,for_name,id,year,title
97,Biochemistry and Cell Biology,WO-2018091729-A2,2017,AQUEOUS PHARMACEUTICAL FORMULATIONS
98,Oncology and Carcinogenesis,WO-2018099884-A1,2017,RISK SCORES BASED ON HUMAN PHOSPHODIESTERASE 4D VARIANT 7 EXPRESSION
99,Immunology,WO-2017211928-A1,2017,ANTI-IgE ANTIBODIES
100,Interdisciplinary Engineering,WO-2017163030-A3,2017,FLUID FLOW ANALYSIS
101,Other Physical Sciences,US-9980673-B2,2016,"SEM scanner sensing apparatus, system and methodology for early detection of ulcers"
102,Clinical Sciences,US-9877990-B2,2016,"Compositions and methods for the treatment of wounds, disorders, and diseases of the skin"
103,Clinical Sciences,WO-2017176336-A1,2016,"COMPOSITIONS AND METHODS FOR THE TREATMENT OF WOUNDS, DISORDERS, AND DISEASES OF THE SKIN"
104,Electrical and Electronic Engineering,US-10016600-B2,2014,Topical neurological stimulation
105,Neurosciences,US-10016600-B2,2014,Topical neurological stimulation
106,Biomedical Engineering,US-10016600-B2,2014,Topical neurological stimulation
107,Oncology and Carcinogenesis,US-9982041-B2,2015,Compositions and methods for treatment and detection of cancers
108,Immunology,US-10087236-B2,2010,Methods for modifying human antibodies by glycan engineering
109,Immunology,WO-2017023671-A1,2016,EZH2 INHIBITORS AND MODULATION OF REGULATORY T-CELL FUNCTION
110,Immunology,US-10005847-B2,2015,Anti-HER2 glycoantibodies and uses thereof
111,Organic Chemistry,US-10086054-B2,2014,RM2 antigens and use thereof
112,Biomedical Engineering,WO-2017208153-A1,2017,WAVEGUIDE COMPRISING A THICK CONDUCTIVE LAYER
113,Immunology,US-10023892-B2,2015,Compositions and methods relating to universal glycoforms for enhanced antibody efficacy
114,Oncology and Carcinogenesis,US-9975965-B2,2016,Compositions and methods for treatment and detection of cancers
115,Clinical Sciences,US-9975965-B2,2016,Compositions and methods for treatment and detection of cancers
116,Electrical and Electronic Engineering,US-10016600-B2,2014,Topical neurological stimulation
117,Neurosciences,US-10016600-B2,2014,Topical neurological stimulation
118,Biomedical Engineering,US-10016600-B2,2014,Topical neurological stimulation
119,Organic Chemistry,US-9981030-B2,2014,Glycan conjugates and use thereof
120,Biochemistry and Cell Biology,US-9402831-B2,2012,Combination therapy of HSP90 inhibitors with BRAF inhibitors
121,Nutrition and Dietetics,WO-2017194607-A1,2017,FERMENTED INFANT FORMULA
122,Neurosciences,US-9974791-B2,2015,Pyrazolo pyridine derivatives as NADPH oxidase inhibitors
123,Clinical Sciences,WO-2016174130-A1,2016,CLINICAL GENE SIGNATURE-BASED HUMAN CELL CULTURE MODEL AND USES THEREOF
124,Cardiorespiratory Medicine and Haematology,WO-2017070064-A1,2016,SYSTEM AND METHOD FOR PROVIDING BLOOD PRESSURE SAFE ZONE INDICATION DURING AUTOREGULATION MONITORING
125,Cardiorespiratory Medicine and Haematology,WO-2017192304-A1,2017,ARYLCARBOXAMIDES AND USES THEREOF
126,Clinical Sciences,WO-2017192304-A1,2017,ARYLCARBOXAMIDES AND USES THEREOF
127,Genetics,WO-2018002783-A1,2017,MATERIALS AND METHODS FOR TREATMENT OF FRIEDREICH ATAXIA AND OTHER RELATED DISORDERS
128,Neurosciences,WO-2018057514-A1,2017,COMPOSITIONS FOR RESTORING GENE EXPRESSION IN NEUROPSYCHIATRIC OR NEURODEGENERATIVE DISORDERS
129,Genetics,WO-2018051072-A1,2017,METHODS AND APPARATUS FOR IDENTIFYING ONE OR MORE GENETIC VARIANTS ASSOCIATED WITH DISEASE IN AN INDIVIDUAL OR GROUP OF RELATED INDIVIDUALS
130,Biochemistry and Cell Biology,US-10041044-B2,2017,Age-associated clonal hematopoiesis accelerates cardio-metabolic disease development
131,Biomedical Engineering,WO-2017207855-A1,2017,CIRCULATING MICRO-RNAS AS BIOMARKERS FOR PRIMARY ANTIPHOSPHOLIPID SYNDROME
132,Artificial Intelligence and Image Processing,WO-2017191248-A1,2017,MEDICAL ATLAS REGISTRATION
133,Clinical Sciences,WO-2017208001-A1,2017,BIOMARKERS FOR PLATELET DISORDERS
134,Biochemistry and Cell Biology,WO-2017208001-A1,2017,BIOMARKERS FOR PLATELET DISORDERS
135,Artificial Intelligence and Image Processing,WO-2017031088-A1,2016,THREE-DIMENSIONAL (3D) CONVOLUTION WITH 3D BATCH NORMALIZATION
136,Analytical Chemistry,WO-2017147186-A1,2017,SYSTEM AND METHOD FOR DETECTING THERAPEUTIC AGENTS TO MONITOR ADHERENCE TO A TREATMENT REGIMEN
137,Neurosciences,WO-2018015868-A1,2017,AN OXAZINE DERIVATIVE FOR USE IN THE PREVENTION OF ALZHEIMER'S DISEASE IN AT RISK PATIENTS
138,Clinical Sciences,WO-2016198859-A1,2016,PRECISION THERAPEUTICS
139,Clinical Sciences,US-9973993-B2,2017,System and method for programmable joint optimization of mobility load balancing and mobility robustness optimization
140,Communications Technologies,US-9942819-B2,2017,System and method for group based handover parameter optimization for wireless radio access network load balancing
141,Genetics,WO-2018053039-A1,2017,"METHODS OF DIAGNOSING AND TREATING CD55 DEFICIENCY, HYPERACTIVATION OF COMPLEMENT, ANGIOPATHIC THROMBOSIS AND PROTEIN LOSING ENTEROPATHY (CHAPLE), A NEWLY IDENTIFIED ORPHAN DISEASE"
142,Artificial Intelligence and Image Processing,WO-2017070571-A2,2016,"DEVICES, SYSTEMS AND METHODS FOR SAMPLE DETECTION"
143,Genetics,WO-2018015551-A1,2017,METHODS FOR DISCRIMINATING A TOLERANT SUBJECT
144,Public Health and Health Services,US-10034874-B2,2017,Nalmefene for reduction of alcohol consumption in specific target populations
145,Public Health and Health Services,US-9642849-B2,2016,Nalmefene for reduction of alcohol consumption in specific target populations
146,Immunology,WO-2017205014-A1,2017,MIXTURES OF ANTIBODIES
147,Artificial Intelligence and Image Processing,WO-2017064370-A1,2016,VIDEO CODING WITH HELPER DATA FOR SPATIAL INTRA-PREDICTION
148,Artificial Intelligence and Image Processing,EP-3086287-A1,2015,FLOW ANALYSIS IN 4D MR IMAGE DATA
149,Neurosciences,WO-2017118857-A1,2017,TACROLIMUS FOR TREATING TDP-43 PROTEINOPATHY
150,Artificial Intelligence and Image Processing,US-10034645-B1,2017,Systems and methods for detecting complex networks in MRI image data
151,Other Physical Sciences,DE-102016211743-A1,2016,Optical arrangement and method for operating in two modes
152,Genetics,WO-2018051072-A1,2017,METHODS AND APPARATUS FOR IDENTIFYING ONE OR MORE GENETIC VARIANTS ASSOCIATED WITH DISEASE IN AN INDIVIDUAL OR GROUP OF RELATED INDIVIDUALS
153,Other Physical Sciences,US-9946066-B1,2017,Optics for diffraction limited focusing inside transparent media
154,Genetics,US-9670486-B2,2011,RNAi-based method of screening and characterizing drug combinations
155,Biochemistry and Cell Biology,US-9683231-B2,2011,RNAi-based method of drug screening and characterization
156,Genetics,US-9683231-B2,2011,RNAi-based method of drug screening and characterization
157,Clinical Sciences,WO-2017042567-A1,2016,USE OF CANNABINOIDS IN THE TREATMENT OF MENTAL DISORDERS
158,Biochemistry and Cell Biology,WO-2016174434-A1,2016,RECEPTOR TYROSINE KINASE BIOMARKERS
159,Immunology,WO-2017055404-A1,2016,BISPECIFIC ANTIBODIES SPECIFIC FOR PD1 AND TIM3
160,Clinical Sciences,WO-2017143430-A1,2017,MIRNA BIOMARKERS FOR CARTILAGE DEGENERATION
161,Computer Software,US-10061916-B1,2016,Systems and methods for measuring peer influence on a child
162,Oncology and Carcinogenesis,WO-2017198870-A1,2017,METHOD FOR THE PROGNOSIS AND/OR TREATMENT OF ACUTE PROMYELOCYTIC LEUKEMIA
163,Electrical and Electronic Engineering,WO-2017174998-A1,2017,ENDOSCOPIC IMAGING APPARATUS AND METHOD
164,Clinical Sciences,WO-2017208001-A1,2017,BIOMARKERS FOR PLATELET DISORDERS
165,Biochemistry and Cell Biology,WO-2017208001-A1,2017,BIOMARKERS FOR PLATELET DISORDERS
166,Genetics,WO-2017162604-A1,2017,METHODS FOR DIAGNOSIS AND TREATMENT OF SOLAR LENTIGO
167,Biochemistry and Cell Biology,WO-2018037091-A1,2017,METHODS FOR THE IDENTIFICATION AND ISOLATION OF HEMATOPOIETIC STEM AND PROGENITOR CELLS
168,Immunology,US-9884907-B2,2017,Methods for treating headache using antagonist antibodies directed against calcitonin gene-related peptide
169,Immunology,US-9890211-B2,2017,Antagonist antibodies directed against calcitonin gene-related peptide
170,Immunology,US-9890210-B2,2017,Antagonist antibodies directed against calcitonin gene-related peptide
171,Immunology,US-9884908-B2,2017,Methods for treating headache using antagonist antibodies directed against calcitonin gene-related peptide
172,Clinical Sciences,WO-2017105565-A3,2016,"COMPOSITIONS FOR THERAPEUTICS, TARGETED PET IMAGING AND METHODS OF THEIR USE"
173,Oncology and Carcinogenesis,US-9943570-B2,2013,Manipulation of hairy and enhancer of split 3 (Hes3) and its regulators/mediators as an anti-cancer strategy
174,Clinical Sciences,US-9758561-B2,2015,Dual GLP-1/glucagon receptor agonists derived from exendin-4
175,Clinical Sciences,US-9745360-B2,2013,Dual GLP1/GIP or trigonal GLP1/GIP/glucagon agonists
176,Information Systems,WO-2016173865-A1,2016,METHOD OF AND APPARATUS FOR OPERATING A DEVICE BY MEMBERS OF A GROUP
177,Clinical Sciences,US-9771406-B2,2015,Peptidic dual GLP-1/glucagon receptor agonists derived from exendin-4
178,Immunology,WO-2017106578-A1,2016,PACAP ANTIBODIES AND USES THEREOF
179,Clinical Sciences,US-9775904-B2,2015,Exendin-4 derivatives as peptidic dual GLP-1/glucagon receptor agonists
180,Clinical Sciences,US-9982029-B2,2016,Exendin-4 derivatives as selective peptidic dual GLP-1/glucagon receptor agonists
181,Biomedical Engineering,US-10058415-B2,2015,Silicone breast implant delivery
182,Clinical Sciences,US-9789165-B2,2014,Exendin-4 peptide analogues as dual GLP-1/GIP receptor agonists
183,Oncology and Carcinogenesis,EP-2929352-A4,2013,METABOLOMIC PROFILING DEFINES ONCOGENES DRIVING PROSTATE TUMORS
184,Biochemistry and Cell Biology,WO-2017178838-A1,2017,BINDING MODULATION
185,Biochemistry and Cell Biology,WO-2016096843-A1,2015,RADIO-PHARMACEUTICAL COMPLEXES
186,Information Systems,WO-2016164193-A1,2016,FORCE-SENSITIVE TOUCH SENSOR COMPENSATION
187,Clinical Sciences,WO-2016067238-A1,2015,QUINOLINE-3-CARBOXAMIDE COMPOUNDS AND THEIR USE IN DIAGNOSIS
188,Information Systems,US-9612685-B2,2015,Force-sensitive touch sensor compensation
189,Oncology and Carcinogenesis,US-9993482-B2,2015,Pharmaceutical combination comprising a class III receptor tyrosine kinase inhibitor and the alkylating histone-deacetylase inhibitor fusion molecule EDO-S101 together with its use in the treatment of cancer
190,Communications Technologies,US-10021596-B2,2016,"Communication system, communication device, base station and method thereof for D2D communications"
191,Biomedical Engineering,WO-2016180786-A1,2016,MAGNETIC RESONANCE EXAMINATION SYSTEM WITH FIELD PROBES
192,Biochemistry and Cell Biology,WO-2016193829-A1,2016,PHARMACEUTICAL AND FOOD COMPOSITIONS FOR INDUCING SATIATION AND PROLONGING SATIETY IN SUBJECTS IN NEED THEREOF.
193,Biochemistry and Cell Biology,WO-2017060400-A1,2016,PROTECTED CARBOXYLIC ACID-BASED METABOLITES FOR THE TREATMENT OF DISESASES RELATED TO MITOCHONDRIAL DYSFUNCTIONS
194,Genetics,EP-3215633-A4,2015,"SYSTEM, METHOD AND APPARATUS FOR DETERMINING THE EFFECT OF GENETIC VARIANTS"
195,Biochemistry and Cell Biology,WO-2016156527-A1,2016,COMPOSITION FOR THE TREATMENT OF A PATHOGENIC METABOLIC STATE OF THE INTESTINAL MICROBIOTA AND OF DERIVED DISEASES
196,Oncology and Carcinogenesis,WO-2017167972-A1,2017,FERRIC MALTOL COMPOSITIONS FOR USE IN THE TREATMENT OR PREVENTION OF CANCER AND TUMOURS
197,Biochemistry and Cell Biology,WO-2017060422-A1,2016,PROTECTED CARBOXYLIC ACID-BASED METABOLITES FOR THE TREATMENT OF MITOCHONDRIAL DISORDERS
198,Clinical Sciences,WO-2017208001-A1,2017,BIOMARKERS FOR PLATELET DISORDERS
199,Biochemistry and Cell Biology,WO-2017208001-A1,2017,BIOMARKERS FOR PLATELET DISORDERS
200,Biochemistry and Cell Biology,US-10064895-B2,2016,Compositions and methods for treating a pathogenic metabolic condition of the gut microbiota and derived diseases
201,Biochemistry and Cell Biology,WO-2016059455-A1,2015,PHARMACEUTICAL AND FOOD COMPOSITIONS FOR INDUCING SATIATION AND PROLONGING SATIETY IN SUBJECTS IN NEED THEREOF
202,Biochemistry and Cell Biology,WO-2017060418-A1,2016,PROTECTED CARBOXYLIC ACID-BASED METABOLITES FOR THE TREATMENT OF MITOCHONDRIA-RELATED DISEASES
203,Biochemistry and Cell Biology,WO-2016001686-A1,2015,SUCCINATE DEHYDROGENASE INHIBITORS (SDHi's)
204,Biochemistry and Cell Biology,FR-3034317-A1,2015,Composition for the treatment of a state of the intestinal metabolic pathogenic microbiota and of diseases derived
205,Genetics,WO-2016049163-A2,2015,USE AND PRODUCTION OF CHD8+/- TRANSGENIC ANIMALS WITH BEHAVIORAL PHENOTYPES CHARACTERISTIC OF AUTISM SPECTRUM DISORDER
206,Clinical Sciences,US-9114146-B2,2014,Natural combination hormone replacement formulations and therapies
207,Other Medical and Health Sciences,WO-2017007403-A1,2016,METHODS AND COMPOUNDS FOR THE ALLEVIATION AND/OR PREVENTION OF PAIN
208,Neurosciences,WO-2015087087-A1,2014,BIOMARKERS AND METHODS RELATING TO ALZHEIMER'S DISEASE
209,Clinical Sciences,US-9328167-B2,2015,Methods of treating chronic pain
210,Neurosciences,WO-2018008763-A1,2017,METHOD FOR EVALUATING FUTURE ONSET RISK OF ALZHEIMER'S TYPE DEMENTIA
211,Immunology,US-10066009-B2,2016,Anti-CGRP compositions and use thereof
212,Cardiorespiratory Medicine and Haematology,US-9907795-B2,2017,Method of treatment of chronic cough administering orvepitant in combination with other therapeutic agents
213,Immunology,US-20150361173-A1,2015,ANTAGONIST ANTIBODIES DIRECTED AGAINST CALCITONIN GENE-RELATED PEPTIDE AND METHODS USING SAME
214,Immunology,US-9328168-B2,2015,Methods of using anti-CGRP antagonist antibodies
215,Biochemistry and Cell Biology,WO-2016085876-A1,2015,CLONAL HAEMATOPOIESIS
216,Medical Physiology,US-9669020-B2,2015,Sublingual apomorphine
217,"Film, Television and Digital Media",US-9669021-B2,2015,Sublingual apomorphine
218,Clinical Sciences,US-9289382-B2,2015,Vaginal inserted estradiol pharmaceutical compositions and methods
219,Immunology,US-9266951-B2,2015,Antagonist antibodies directed against calcitonin gene-related peptide and methods using same
220,Medical Biochemistry and Metabolomics,EP-3171174-A1,2015,LACTOFERRIN FOR USE IN THE DIAGNOSIS OR PROGNOSIS OF ALZHEIMER'S DISEASE
221,Immunology,US-9884907-B2,2017,Methods for treating headache using antagonist antibodies directed against calcitonin gene-related peptide
222,Immunology,US-9340614-B2,2015,Antagonist antibodies directed against calcitonin gene-related peptide and methods using same
223,Immunology,US-9745373-B2,2012,Anti-CGRP compositions and use thereof
224,Cardiorespiratory Medicine and Haematology,US-9750739-B2,2016,Orvepitant for chronic cough therapy
225,Immunology,US-9890211-B2,2017,Antagonist antibodies directed against calcitonin gene-related peptide
226,Clinical Sciences,US-9301920-B2,2013,Natural combination hormone replacement formulations and therapies
227,Organic Chemistry,US-9278093-B2,2013,Aldosterone synthase inhibitors
228,Medical Microbiology,WO-2017162678-A1,2017,HUMANIZED ANTI-CLAUDIN-1 ANTIBODIES AND USES THEREOF
229,Physical Chemistry (incl. Structural),US-9669019-B2,2015,Sublingual apomorphine
230,Immunology,US-9855332-B2,2012,Use of anti-CGRP antibodies and antibody fragments to treat diarrhea in subjects with diseases or treatments that result in elevated CGRP levels
231,Immunology,US-9365648-B1,2016,Methods of using anti-CGRP antagonist antibodies
