aff_city,aff_city_id,aff_country,aff_country_code,aff_id,aff_name,aff_state,aff_state_code,pub_id,researcher_id,first_name,last_name
,,,,,"Centre National de Recherche en Génomique Humaine, Institut de Biologie François Jacob, CEA, Université Paris-Saclay, and LabEx GENMED, Evry, France",,,pub.1120339349,,Jean-Guillaume,Garnier
,,,,,"Centre National de Recherche en Génomique Humaine, Institut de Biologie François Jacob, CEA, Université Paris-Saclay, and LabEx GENMED, Evry, France",,,pub.1120339349,,Marie-Laure,Moutet
,,,,,"Centre National de Recherche en Génomique Humaine, Institut de Biologie François Jacob, CEA, Université Paris-Saclay, and LabEx GENMED, Evry, France",,,pub.1120339349,,Delphine,Bacq
,,,,,"Neurology Service and CIBERNED, ‘Marqués de Valdecilla’ University Hospital (University of Cantabria and IDIVAL), Santander, Spain",,,pub.1120339349,,Ignacio,Mateo
,,,,,"Department of Immunology, Hospital Universitario Doctor Negrín, Las Palmas de Gran Canaria, Spain",,,pub.1120339349,,Florentino,Sanchez-Garcia
,,,,,"Department of Immunology, Hospital Universitario Doctor Negrín, Las Palmas de Gran Canaria, Spain",,,pub.1120339349,ur.0756031766.85,Maria Candida Deniz,Naranjo
,,,,,"Centre National de Recherche en Génomique Humaine, Institut de Biologie François Jacob, CEA, Université Paris-Saclay, and LabEx GENMED, Evry, France",,,pub.1120339349,,Fabienne,Garzia
,,,,,"Centre National de Recherche en Génomique Humaine, Institut de Biologie François Jacob, CEA, Université Paris-Saclay, and LabEx GENMED, Evry, France",,,pub.1120339349,,Bertrand,Fin
,,,,,"Centre National de Recherche en Génomique Humaine, Institut de Biologie François Jacob, CEA, Université Paris-Saclay, and LabEx GENMED, Evry, France",,,pub.1120339349,,Stéphane,Meslage
,,,,,"Department of Neurology and Memory Clinic, Hospital Network Antwerp, Antwerp, Belgium",,,pub.1120339349,,Sebastiaan,Engelborghs
,,,,,"Department of Psychiatry and Psychotherapy, University Hospital, Saarland, Germany",,,pub.1120339349,,Sabrina,Sordon
,,,,,"Department of Psychiatry and Psychotherapy, University Hospital, Saarland, Germany",,,pub.1120339349,,Manuel,Mayhaus
,,,,,"Framingham Heart Study, Framingham, MA, USA",,,pub.1120339349,,L. Adrienne,Cupples
,,,,,"Department of Neurology and Memory Clinic, Hospital Network Antwerp, Antwerp, Belgium",,,pub.1120339349,,Peter P.,De Deyn
,,,,,"Department of Psychiatry and Psychotherapy, University Hospital, Saarland, Germany",,,pub.1120339349,,Wei,Gu
,,,,,"Framingham Heart Study, Framingham, MA, USA",,,pub.1120339349,,Jayanadra J.,Himali
,,,,,"Department of Psychiatry, Massachusetts General Hospital/Harvard Medical School, Boston, MA, USA",,,pub.1120339349,,Deborah,Blacker
,,,,,"Neurology Service and CIBERNED, ‘Marqués de Valdecilla’ University Hospital (University of Cantabria and IDIVAL), Santander, Spain",,,pub.1120339349,,Eloy,Rodriguez-Rodriguez
,,,,,"Department of Immunology, Hospital Universitario Doctor Negrín, Las Palmas de Gran Canaria, Spain",,,pub.1120339349,,Carmen,Munoz-Fernadez
,,,,,"Department of Immunology, Hospital Universitario Doctor Negrín, Las Palmas de Gran Canaria, Spain",,,pub.1120339349,,Yolanda A.,Benito
,,,,,"Department for Neurodegenerative Diseases and Geriatric Psychiatry, University Hospital Bonn, Bonn, Germany",,,pub.1120339349,,Amit,Kawalia
,,,,,"Institute for Medical Informatics, Biometry and Epidemiology, University Hospital of Essen, University Duisburg-Essen, Essen, Germany",,,pub.1120339349,,Susanne,Moebus
,,,,,"Institute of Genetics, Queen’s Medical Centre, University of Nottingham, Nottingham, UK",,,pub.1120339349,,James,Turton
,,,,,"FERB-Alzheimer Center, Gazzaniga (Bergamo), Italy",,,pub.1120339349,,Letizia,Concari
,,,,,"Institute of Genetics, Queen’s Medical Centre, University of Nottingham, Nottingham, UK",,,pub.1120339349,,Jenny,Lord
,,,,,"Framingham Heart Study, Framingham, MA, USA",,,pub.1120339349,,Alexa S.,Beiser
,,,,,"Netherlands Consortium on Health Aging and National Genomics Initiative, Leiden, the Netherlands",,,pub.1120339349,,Fernando,Rivadeneira
,,,,,"Arizona Alzheimer’s Consortium, Phoenix, AZ, USA",,,pub.1120339349,,Eric M.,Reiman
,,,,,"Regional Neurogenetic Centre (CRN), ASP Catanzaro, Lamezia Terme, Italy",,,pub.1120339349,,Chiara,Cupidi
,,,,,"Netherlands Consortium on Health Aging and National Genomics Initiative, Leiden, the Netherlands",,,pub.1120339349,,A. G. Andre,Uitterlinden
,,,,,"Regional Neurogenetic Centre (CRN), ASP Catanzaro, Lamezia Terme, Italy",,,pub.1120339349,,Raffaele Giovanni,Maletta
,,,,,"Inserm U1061 Neuropsychiatry, La Colombière Hospital, Montpellier, France",,,pub.1120339349,,Karen,Ritchie
,,,,,"VA Puget Sound Health Care System/>GRECC, Seattle, WA, USA",,,pub.1120339349,,Debby W.,Tsuang
,,,,,"Sorbonne Universités, Université Pierre et Marie Curie, Hôpital de la Pitié-Salpêtrière, AP-HP, Paris, France",,,pub.1120339349,,Bruno,Dubois
,,,,,"Michigan Alzheimer Disease Center, Ann Arbor, MI, USA",,,pub.1120339349,,Roger L.,Albin
,,,,,"Wisconsin Alzheimer’s Disease Research Center, Madison, WI, USA",,,pub.1120339349,,Sanjay,Asthana
,,,,,"Institute of Genetics, Queen’s Medical Centre, University of Nottingham, Nottingham, UK",,,pub.1120339349,,Paolo,Caffarra
,,,,,"Sorbonne University, GRC n° 21, Alzheimer Precision Medicine (APM), AP-HP, Pitié-Salpêtrière Hospital, Paris, France",,,pub.1120339349,,Harald,Hampel
,,,,,"Institute of Memory and Alzheimer’s Disease, Department of Neurology, Pitié-Salpêtrière Hospital, AP-HP, Paris, France",,,pub.1120339349,,Harald,Hampel
,,,,,"Gertrude H. Sergievsky Center, Columbia University, New York, NY, USA",,,pub.1120339349,,Sandra,Barral
,,,,,"VA Puget Sound Health Care System/>GRECC, Seattle, WA, USA",,,pub.1120339349,,Thomas D.,Bird
,,,,,"Wisconsin Alzheimer’s Disease Research Center, Madison, WI, USA",,,pub.1120339349,,Chris S.,Carlson
,,,,,"Department of Psychiatry and Psychotherapy, University Hospital, Saarland, Germany",,,pub.1120339349,,Matthias,Riemenschneider
,,,,,"Department of Neurology, Massachusetts General Hospital/Harvard Medical School, Boston, MA, USA",,,pub.1120339349,,John H.,Growdon
,,,,,"Department of Psychiatry and Psychotherapy, University Hospital, Saarland, Germany",,,pub.1120339349,,Thomas,Feulner
,,,,,"Department of Neurology, Massachusetts General Hospital/Harvard Medical School, Boston, MA, USA",,,pub.1120339349,,Bradley T.,Hyman
,,,,,"Institute for Medical Informatics, Biometry and Epidemiology, University Hospital of Essen, University Duisburg-Essen, Essen, Germany",,,pub.1120339349,,Karl-Heinz,Jöckel
,,,,,"Joint Biobank Munich and KORA Biobank, Baltimore, MD, USA",,,pub.1120339349,,H-Erich,Wichmann
,,,,,"Institute of Genetics, Queen’s Medical Centre, University of Nottingham, Nottingham, UK",,,pub.1120339349,,Kristelle,Brown
,,,,,"Institute of Genetics, Queen’s Medical Centre, University of Nottingham, Nottingham, UK",,,pub.1120339349,,Christopher,Medway
,,,,,"Molecular Genetics Laboratory-Hospital, University of Central Asturias, Oviedo, Spain",,,pub.1120339349,,Victoria,Alvarez
,,,,,"Michigan Alzheimer Disease Center, Ann Arbor, MI, USA",,,pub.1120339349,,Henry L.,Paulson
,,,,,"IRCCS Fondazione Don Carlo Gnocchi, Florence, Italy",,,pub.1120339349,,Sandro,Sorbi
,,,,,"Gertrude H. Sergievsky Center, Columbia University, New York, NY, USA",,,pub.1120339349,,Christiane,Reitz
,,,,,"Oxford Project to Investigate Memory and Ageing, University of Oxford, Nuffield Department of Clinical Neurosciences, John Radcliffe Hospital, Oxford, UK",,,pub.1120339349,,A David,Smith
,,,,,"Oxford Project to Investigate Memory and Ageing, University of Oxford, Nuffield Department of Clinical Neurosciences, John Radcliffe Hospital, Oxford, UK",,,pub.1120339349,,Donald,Warden
,,,,,"Oxford Project to Investigate Memory and Ageing, University of Oxford, Nuffield Department of Clinical Neurosciences, John Radcliffe Hospital, Oxford, UK",,,pub.1120339349,,Gordon,Wilcock
,,,,,"Regional Neurogenetic Centre (CRN), ASP Catanzaro, Lamezia Terme, Italy",,,pub.1120339349,,Amalia Cecilia,Bruni
,,,,,"Regional Neurogenetic Centre (CRN), ASP Catanzaro, Lamezia Terme, Italy",,,pub.1120339349,,Maura,Gallo
,,,,,"Department of Neurology, Massachusetts General Hospital/Harvard Medical School, Boston, MA, USA",,,pub.1120339349,,Rudolph E.,Tanzi
,,,,,"Department of Neurology, University of California, Los Angeles, Los Angeles, CA, USA",,,pub.1120339349,,Harry V.,Vinters
,,,,,"Instituto di Ricovero e Cura a Carattere Scientifico, Associazione Oasi Maria Santissima Srl, Troina, Italy",,,pub.1120339349,,Paola,Bosco
,,,,,"Molecular Genetics Laboratory-Hospital, University of Central Asturias, Oviedo, Spain",,,pub.1120339349,,Eliecer,Coto
,,,,,"Memory Unit, Neurology Department and Sant Pau Biomedical Research Institute, Hospital de la Santa Creu i Sant Pau, Autonomous University Barcelona, Barcelona, Spain",,,pub.1120339349,,Alberto,Lleo
,,,,,"Neurology Service and CIBERNED, ‘Marqués de Valdecilla’ University Hospital (University of Cantabria and IDIVAL), Santander, Spain",,,pub.1120339349,,Pascual,Sanchez-Juan
,,,,,"University of Bristol Medical School, Learning & Research level 2, Southmead Hospital, Bristol, UK",,,pub.1120339349,,Patrick G.,Kehoe
,,,,,"Inserm U1061 Neuropsychiatry, La Colombière Hospital, Montpellier, France",,,pub.1120339349,,Claudine,Berr
,,,,,"University of Bristol Medical School, Learning & Research level 2, Southmead Hospital, Bristol, UK",,,pub.1120339349,,Seth,Love
,,,,,"Memory Research and Resources Center, CMRR de Bordeaux, Bordeaux, France",,,pub.1120339349,,Jean-Francois,Dartigues
,,,,,"Department of Research Rouvray Psychiatric Hospital, Sotteville-lès-Rouen, France",,,pub.1120339349,,Dominique,Campion
,,,,,"Center for Applied Genomics, Children’s Hospital of Philadelphia, The Perelman School of Medicine, University of Pennsylvania, Philadelphia, PA, USA",,,pub.1120339349,,Hakon,Hakonarson
,,,,,"Memory Unit, Neurology Department and Sant Pau Biomedical Research Institute, Hospital de la Santa Creu i Sant Pau, Autonomous University Barcelona, Barcelona, Spain",,,pub.1120339349,,Jordi,Clarimon
,,,,,"Centre National de Recherche en Génomique Humaine, Institut de Biologie François Jacob, CEA, Université Paris-Saclay, and LabEx GENMED, Evry, France",,,pub.1120339349,,Jean-Francois,Deleuze
,,,,,"Gertrude H. Sergievsky Center, Columbia University, New York, NY, USA",,,pub.1120339349,,Richard,Mayeux
,,,,,"Department for Neurodegenerative Diseases and Geriatric Psychiatry, University Hospital Bonn, Bonn, Germany",,,pub.1120339349,,Alfredo,Ramirez
,,,,,"Framingham Heart Study, Framingham, MA, USA",,,pub.1120339349,,Sudha,Seshadri
,,,,,"Glenn Biggs Institute for Alzheimer’s and Neurodegenerative Diseases, San Antonio, TX, USA",,,pub.1120339349,,Sudha,Seshadri
,,,,,"RIKEN Baton Zone Program, Yokohama, Japan",,,pub.1120764582,,Shigeki,Hirabayashi
,,,,,"RIKEN Center for Integrative Medical Sciences, Yokohama, Japan",,,pub.1120764582,,Shigeki,Hirabayashi
,,,,,"RIKEN Center for Integrative Medical Sciences, Yokohama, Japan",,,pub.1120764582,ur.011000413413.23,Shruti,Bhagat
,,,,,"RIKEN Center for Integrative Medical Sciences, Yokohama, Japan",,,pub.1120764582,ur.016404610411.37,Yu,Matsuki
,,,,,"K.K. DNAFORM, Yokohama, Japan",,,pub.1120764582,ur.016404610411.37,Yu,Matsuki
,,,,,"RIKEN Center for Integrative Medical Sciences, Yokohama, Japan",,,pub.1120764582,,Yujiro,Takegami
,,,,,"K.K. DNAFORM, Yokohama, Japan",,,pub.1120764582,,Yujiro,Takegami
,,,,,"K.K. DNAFORM, Yokohama, Japan",,,pub.1120764582,,Ai,Kanemaru
,,,,,"RIKEN Preventive Medicine and Diagnosis Innovation Program, Wako, Japan",,,pub.1120764582,,Masayoshi,Itoh
,,,,,"RIKEN Center for Integrative Medical Sciences, Yokohama, Japan",,,pub.1120764582,,Piero,Carninci
,,,,,"RIKEN Preventive Medicine and Diagnosis Innovation Program, Wako, Japan",,,pub.1120764582,,Yoshihide,Hayashizaki
,,,,,"RIKEN Center for Integrative Medical Sciences, Yokohama, Japan",,,pub.1120764582,,Hideya,Kawaji
,,,,,"RIKEN Preventive Medicine and Diagnosis Innovation Program, Wako, Japan",,,pub.1120764582,,Hideya,Kawaji
,,,,,"RIKEN Baton Zone Program, Yokohama, Japan",,,pub.1120764582,,Yasuhiro,Murakawa
,,,,,"RIKEN Center for Integrative Medical Sciences, Yokohama, Japan",,,pub.1120764582,,Yasuhiro,Murakawa
,,,,,"RIKEN Preventive Medicine and Diagnosis Innovation Program, Wako, Japan",,,pub.1120764582,,Yasuhiro,Murakawa
,,,,,"NORMENT, KG Jebsen Centre for Psychosis Research, Institute of Clinical Medicine, University of Oslo, Oslo, Norway",,,pub.1120394720,,Oleksandr,Frei
,,,,,"NORMENT, KG Jebsen Centre for Psychosis Research, Institute of Clinical Medicine, University of Oslo, Oslo, Norway",,,pub.1120394720,,Ole A.,Andreassen
,,,,,"Belfast Health and Social Care Trust, Belfast, Northern, Ireland",,,pub.1120284133,,Derek J.,Fairley
,,,,,"Institute of Bacterial Infections and Zoonoses, Federal Research Institute for Animal Health (Friedrich-Loeffler-Institut), Jena, Germany",,,pub.1120284133,,Christian,Seyboldt
,,,,,"Department of Microbiology, PathWest Laboratory Medicine, Queen Elizabeth II Medical Centre, Nedlands, Western Australia, Australia",,,pub.1120284133,ur.01006045430.46,Thomas V.,Riley
,,,,,"Brotman Baty Institute for Precision Medicine, Seattle, WA, USA",,,pub.1120762299,ur.01221110417.53,Jay,Shendure
,,,,,"Allen Discovery Center for Cell Lineage Tracing, Seattle, WA, USA",,,pub.1120762299,ur.01221110417.53,Jay,Shendure
,,,,,"Brotman Baty Institute for Precision Medicine, Seattle, WA, USA",,,pub.1120762299,,Cole,Trapnell
,,,,,"Allen Discovery Center for Cell Lineage Tracing, Seattle, WA, USA",,,pub.1120762299,,Cole,Trapnell
,,,,,"Gastroenterology Division, Brigham and Women’s Hospital, Harvard Medical School, Boston, MA, USA",,,pub.1120282066,,Sahar,Nissim
,,,,,"Genetics Division, Brigham and Women’s Hospital, Harvard Medical School, Boston, MA, USA",,,pub.1120282066,,Sahar,Nissim
,,,,,"Genetics Division, Brigham and Women’s Hospital, Harvard Medical School, Boston, MA, USA",,,pub.1120282066,,Ignaty,Leshchiner
,,,,,"Genetics Division, Brigham and Women’s Hospital, Harvard Medical School, Boston, MA, USA",,,pub.1120282066,,Ophélia,Maertens
,,,,,"Genetics Division, Brigham and Women’s Hospital, Harvard Medical School, Boston, MA, USA",,,pub.1120282066,,Christopher A.,Cassa
,,,,,"Genetics Division, Brigham and Women’s Hospital, Harvard Medical School, Boston, MA, USA",,,pub.1120282066,,John,Hedgepeth
,,,,,"Genetics Division, Brigham and Women’s Hospital, Harvard Medical School, Boston, MA, USA",,,pub.1120282066,,Julia I.,Wucherpfennig
,,,,,"Genetics Division, Brigham and Women’s Hospital, Harvard Medical School, Boston, MA, USA",,,pub.1120282066,,Andrew J.,Kim
,,,,,"Genetics Division, Brigham and Women’s Hospital, Harvard Medical School, Boston, MA, USA",,,pub.1120282066,,Jake E.,Henderson
,,,,,"Cancer Center and Department of Pathology, Massachusetts General Hospital, Harvard Medical School, Boston, MA, USA",,,pub.1120282066,,Gad,Getz
,,,,,"Genetics Division, Brigham and Women’s Hospital, Harvard Medical School, Boston, MA, USA",,,pub.1120282066,,Shamil R.,Sunyaev
,,,,,"Genetics Division, Brigham and Women’s Hospital, Harvard Medical School, Boston, MA, USA",,,pub.1120282066,,Karen,Cichowski
,,,,,"Gastroenterology Division, Brigham and Women’s Hospital, Harvard Medical School, Boston, MA, USA",,,pub.1120282066,,Sapna,Syngal
,,,,,"Genetics Division, Brigham and Women’s Hospital, Harvard Medical School, Boston, MA, USA",,,pub.1120282066,,Wolfram,Goessling
,,,,,"Division of Gastroenterology, Massachusetts General Hospital, Harvard Medical School, Boston, MA, USA",,,pub.1120282066,,Wolfram,Goessling
,,,,,"Chan-Zuckerberg Biohub, San Francisco, CA, USA",,,pub.1118144447,,Katherine S.,Pollard
,,,,,"Wellcome Trust Research Centre, Kilifi, Kenya",,,pub.1118096636,,Anna C.,Seale
,,,,,"Laboratory of Bacteriology, Epidemiology Laboratory and Disease Control Division, Laboratório Central do Estado do Paraná, Curitiba, Brazil",,,pub.1118096636,,Rosângela S. L. A.,Torres
,,,,,"Telethon Kids Institute, University of Western Australia and Perth Children’s Hospital, Perth, Western Australia, Australia",,,pub.1118096636,,Jonathan R.,Carapetis
,,,,,"Department of Neurology, National hospital organization Suzuka National Hospital, Suzuka, Japan",,,pub.1118147460,,Jun,Sone
,,,,,"Department of Neurology, Oyamada Memorial Spa Hospital, Yokkaichi, Japan",,,pub.1118147460,,Keiko,Mori
,,,,,"Department of Neurology, National hospital organization Higashi-Ohmi General Medical Center, Higashi-Ohmi, Japan",,,pub.1118147460,,Kengo,Maeda
,,,,,"Department of Child and Adolescent Psychiatry, University Hospital Essen, University of Duisburg-Essen, Essen, Germany",,,pub.1118009774,,Anke,Hinney
,,,,,"Center for Eating Disorders Rintveld, Altrecht Mental Health Institute, Zeist, the Netherlands",,,pub.1118009774,,Roger A. H.,Adan
,,,,,"NORMENT KG Jebsen Centre, Division of Mental Health and Addiction, University of Oslo, Oslo University Hospital, Oslo, Norway",,,pub.1118009774,,Ole A.,Andreassen
,,,,,"Department of Child and Adolescent Psychiatry, Klinikum Frankfurt/Oder, Frankfurt, Germany",,,pub.1118009774,,Roland,Burghardt
,,,,,"Department of Emergency Psychiatry and Post-Acute Care, CHRU Montpellier, University of Montpellier, Montpellier, France",,,pub.1118009774,,Philippe,Courtet
,,,,,"Center for Eating Disorders Rintveld, Altrecht Mental Health Institute, Zeist, the Netherlands",,,pub.1118009774,ur.01213757477.38,Unna N.,Danner
,,,,,"Department of Child and Adolescent Psychiatry, University Hospital Essen, University of Duisburg-Essen, Essen, Germany",,,pub.1118009774,,Manuel,Föcker
,,,,,"Department of Child and Adolescent Psychiatry, University Hospital Essen, University of Duisburg-Essen, Essen, Germany",,,pub.1118009774,,Johanna,Giuranna
,,,,,"Department of Emergency Psychiatry and Post-Acute Care, CHRU Montpellier, University of Montpellier, Montpellier, France",,,pub.1118009774,,Sébastien,Guillaume
,,,,,"Department of Child and Adolescent Psychiatry, University Hospital Essen, University of Duisburg-Essen, Essen, Germany",,,pub.1118009774,,Johannes,Hebebrand
,,,,,"Zorg op Orde, Leidschendam, the Netherlands",,,pub.1118009774,ur.0672005125.36,Sietske G.,Helder
,,,,,"Department of General Internal Medicine and Psychosomatics, Heidelberg University Hospital, Heidelberg University, Heidelberg, Germany",,,pub.1118009774,,Wolfgang,Herzog
,,,,,"Biological Psychiatry Laboratory, McLean Hospital/Harvard Medical School, Boston, MA, USA",,,pub.1118009774,,James I.,Hudson
,,,,,"Eating Disorders Unit, Parklandklinik, Bad Wildungen, Germany",,,pub.1118009774,,Hartmut,Imgart
,,,,,"NORMENT KG Jebsen Centre, Division of Mental Health and Addiction, University of Oslo, Oslo University Hospital, Oslo, Norway",,,pub.1118009774,,Morten,Mattingsdal
,,,,,"HSE National Clinical Programme for Eating Disorders, Cork, Ireland",,,pub.1118009774,,Sara,McDevitt
,,,,,"National Center for PTSD, VA Boston Healthcare System, Department of Psychiatry, Boston University School of Medicine, Boston, MA, USA",,,pub.1118009774,,Karen,Mitchell
,,,,,"Kartini Clinic, Portland, OR, USA",,,pub.1118009774,,Julie K.,O’Toole
