journal_id,title,total
jour.1031925,Environmental Health Perspectives,260
jour.1098485,Neuron,260
jour.1135804,Theoretical and Applied Genetics,259
jour.1103053,NeuroImage,259
jour.1086213,Annales de Dermatologie et de Vénéréologie,258
jour.1040791,Circulation Genomic and Precision Medicine,258
jour.1094205,Journal of Neuro-Oncology,258
jour.1022375,Breast Cancer Research,256
jour.1047619,Cancer Medicine,256
jour.1048658,Stem Cell Reports,256
jour.1094111,Hematological Oncology,255
jour.1047255,JAMA Ophthalmology,254
jour.1101321,Current Biology,254
jour.1297447,European Journal of Medical Genetics,253
jour.1034535,Cell Metabolism,252
jour.1089909,Journal of the American Academy of Dermatology,252
jour.1047896,BioMed Research International,251
jour.1029963,Journal of Proteome Research,251
jour.1312353,JAMA Psychiatry,250
jour.1371199,Allergy,248
jour.1097556,Genes & Development,248
jour.1017754,The Journal of Pediatrics,248
jour.1019594,Thorax,247
jour.1092210,Journal of Neuroscience,245
jour.1300099,HemaSphere,239
jour.1042271,Clinical Epigenetics,239
jour.1008250,Antimicrobial Agents and Chemotherapy,238
jour.1097727,Lung Cancer,238
jour.1034427,PLoS Medicine,237
jour.1046724,RSC Advances,237
jour.1029373,Developmental Cell,236
jour.1097267,Pediatric Nephrology,235
jour.1085913,Psychoneuroendocrinology,234
jour.1017021,American Journal of Tropical Medicine and Hygiene,234
jour.1033184,Heart Rhythm,234
jour.1022076,Hepato Pancreato Biliary,233
jour.1021346,Molecular Therapy,233
jour.1009554,Environmental Research,232
jour.1019809,The American Journal of Gastroenterology,231
jour.1297400,Trials,231
jour.1096580,Journal of Bone and Mineral Research,231
jour.1114021,European Journal of Neurology,231
jour.1024946,BMC Infectious Diseases,230
jour.1017225,Annals of Surgery,230
jour.1047740,NeuroImage Clinical,230
jour.1097143,Alimentary Pharmacology & Therapeutics,229
jour.1115542,The Oncologist,228
jour.1082731,Journal of Clinical Microbiology,228
jour.1076813,Epilepsia,228
jour.1312044,Biochemical and Biophysical Research Communications,227
jour.1093201,The EMBO Journal,227
jour.1030586,The Lancet Neurology,226
jour.1034750,American Journal of Medical Genetics Part B Neuropsychiatric Genetics,226
jour.1059210,Clinical Chemistry,225
jour.1011665,The Journal of Pathology,223
jour.1103093,Journal of the European Academy of Dermatology and Venereology,222
jour.1011551,Medicine & Science in Sports & Exercise,222
jour.1093601,The Journal of Heart and Lung Transplantation,222
jour.1015319,Kidney International,220
jour.1086766,Leukemia Research,219
jour.1021344,Nature Cell Biology,219
jour.1076985,International Journal of Hematology,218
jour.1022778,Nature Immunology,217
jour.1032885,BMC Medicine,217
jour.1017376,Journal of Epidemiology & Community Health,217
jour.1094974,Genetic Epidemiology,217
jour.1050465,Open Forum Infectious Diseases,214
jour.1112054,Immunity,213
jour.1082734,Journal of the American Academy of Child & Adolescent Psychiatry,212
jour.1017429,The FASEB Journal,212
jour.1298501,JCO Precision Oncology,211
jour.1114286,Multiple Sclerosis Journal,211
jour.1136887,PeerJ,210
jour.1284467,Blood Advances,210
jour.1297439,European Journal of Preventive Cardiology,210
jour.1081904,Journal of the American Geriatrics Society,209
jour.1048081,Molecular Genetics & Genomic Medicine,209
jour.1114184,Emerging Infectious Diseases,209
jour.1084784,Cancer Letters,209
jour.1042939,Cell Death & Disease,207
jour.1118362,Nature Neuroscience,206
jour.1042492,mBio,206
jour.1044398,Frontiers in Neurology,206
jour.1018580,Journal of Nutrition,206
jour.1045773,OncoImmunology,203
jour.1102472,The Plant Cell,203
jour.1137185,Diabetologie und Stoffwechsel,202
jour.1094744,Journal of Vascular Surgery,201
jour.1014214,Neuropediatrics,200
jour.1048594,Acta Neuropathologica Communications,200
jour.1096890,Bone Marrow Transplantation,200
jour.1095417,European Journal of Surgical Oncology,200
jour.1094724,Vaccine,200
jour.1091552,Carcinogenesis,200
jour.1044605,Genes,199
jour.1081605,The Journal of Rheumatology,199
jour.1102936,Molecular Ecology,199
jour.1038900,Journal of Visualized Experiments,197
jour.1021970,Sleep Medicine,197
jour.1105433,Human Brain Mapping,197
jour.1036439,Obesity,197
jour.1297499,Arthritis Research & Therapy,196
jour.1032549,PLoS Biology,196
jour.1076961,Revue Neurologique,196
jour.1086559,Cancer Epidemiology,194
jour.1034947,International Journal of Environmental Research and Public Health,194
jour.1036535,Orphanet Journal of Rare Diseases,193
jour.1012865,CHEST Journal,193
jour.1033235,Plant Biotechnology Journal,192
jour.1024947,BMC Medical Genetics,192
jour.1297479,Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration,192
jour.1034742,Clinical Nutrition,192
jour.1094069,Urologic Oncology Seminars and Original Investigations,192
jour.1087555,Neurosurgery,191
jour.1017874,Pediatrics,191
jour.1105653,Human Pathology,191
jour.1297452,Liver International,191
jour.1345331,Analytical Chemistry,190
jour.1017023,American Journal of Psychiatry,190
jour.1030157,Molecular Cancer Therapeutics,189
jour.1100388,Genes Chromosomes and Cancer,188
jour.1102857,The Breast,188
jour.1093316,Journal of Pediatric Gastroenterology and Nutrition,188
jour.1284430,Wellcome Open Research,187
jour.1159613,ESMO Open,187
jour.1029798,Molecular & Cellular Proteomics,186
jour.1313740,Diabetes & Metabolism,185
jour.1017013,American Journal of Obstetrics and Gynecology,185
jour.1092207,Journal of Clinical Immunology,185
jour.1077143,Journal of Dairy Science,185
jour.1049139,The Lancet Diabetes & Endocrinology,184
jour.1024638,BMC Plant Biology,184
jour.1047731,GigaScience,184
jour.1103922,BJU International,183
jour.1294989,European Journal of Nutrition,182
jour.1017825,Journal of Psychiatric Research,181
jour.1086756,Gene,181
jour.1358103,European Journal of Endocrinology,180
jour.1030033,The Lancet Infectious Diseases,180
jour.1289120,European Radiology,178
jour.1051634,Data in Brief,178
jour.1101576,International Journal of Gynecological Cancer,177
jour.1095411,Bone,175
jour.1009673,Cancer Science,175
jour.1099176,Neuropsychopharmacology,175
jour.1044069,Cancer Genetics,175
jour.1021044,European Journal of Heart Failure,173
jour.1092720,American Journal of Kidney Diseases,173
jour.1051517,Science Advances,172
jour.1032051,Journal of Thrombosis and Haemostasis,171
jour.1038724,Molecular Oncology,170
jour.1016355,ChemInform,170
jour.1097007,Eye,170
jour.1294819,Clinical Genitourinary Cancer,170
jour.1043163,Cancers,169
jour.1052695,Neurology Genetics,169
jour.1053069,JAMA Cardiology,169
jour.1008793,Transplantation Journal,168
jour.1294860,Molecular Plant,168
jour.1018664,The Thoracic and Cardiovascular Surgeon,167
jour.1095806,Canadian Journal of Cardiology,167
jour.1036729,Clinical Journal of the American Society of Nephrology,167
jour.1100479,Epidemiology,167
jour.1049249,Journal for ImmunoTherapy of Cancer,167
jour.1013703,Internal Medicine,167
jour.1039049,Stem Cell Research,166
jour.1107753,Cell Research,166
jour.1100834,Osteoporosis International,166
jour.1036466,Epigenetics,166
jour.1045696,Frontiers in Oncology,165
jour.1358129,Annals of Hematology,164
jour.1297427,Clinical and Experimental Ophthalmology,164
jour.1017253,Archives of Disease in Childhood,164
jour.1043504,Oncology Letters,164
jour.1084666,Journal of Antimicrobial Chemotherapy,163
jour.1092307,Anticancer Research,163
jour.1017409,Clinical Pharmacology & Therapeutics,161
jour.1051401,Nature Plants,161
jour.1007282,Cardiovascular Research,160
jour.1096829,Human Reproduction,160
jour.1023179,Angewandte Chemie,160
jour.1294844,Molecular Cancer Research,160
jour.1017044,Angewandte Chemie International Edition,159
jour.1043691,Journal of Thoracic Disease,159
jour.1042348,Arthritis Care & Research,159
jour.1017780,Age and Ageing,159
jour.1041450,ACS Applied Materials & Interfaces,159
jour.1297382,Clinical Research in Cardiology,159
jour.1007820,Das Gesundheitswesen,158
jour.1040716,EMBO Molecular Medicine,158
jour.1024952,BMC Psychiatry,158
jour.1041797,Alzheimer's Research & Therapy,157
jour.1032886,Journal of Translational Medicine,157
jour.1000063,Acta Oncologica,157
jour.1011155,Pathology,156
jour.1095679,Diabetes Research and Clinical Practice,156
jour.1092102,The Prostate,156
jour.1039677,JACC Cardiovascular Interventions,156
jour.1084650,Drug and Alcohol Dependence,155
jour.1284458,Journal of the Endocrine Society,155
jour.1051716,Cell Systems,154
jour.1069813,Pneumologie,154
jour.1358101,Graefe's Archive for Clinical and Experimental Ophthalmology,154
jour.1297397,Twin Research and Human Genetics,153
jour.1045682,Blood Cancer Journal,153
jour.1007389,Journal of the American College of Surgeons,153
jour.1097771,Endocrinology,152
jour.1023607,Nature Reviews Genetics,151
jour.1030543,Cell Cycle,151
jour.1313388,Annals of Clinical and Translational Neurology,151
jour.1024251,BMC Genetics,150
jour.1062267,Journal of Medicinal Chemistry,150
jour.1097936,European Journal of Clinical Nutrition,150
jour.1116795,The International Journal of Tuberculosis and Lung Disease,149
jour.1021880,Pharmacogenomics,149
jour.1040297,Cancer Prevention Research,148
jour.1017016,American Journal Of Pathology,148
jour.1027238,The Pharmacogenomics Journal,148
jour.1038488,Cell Host & Microbe,147
jour.1327373,Biochimica et Biophysica Acta (BBA) - Lipids and Lipid Metabolism,147
jour.1023183,Crop Science,147
jour.1052790,Nature Reviews Disease Primers,147
jour.1093115,Ophthalmic Genetics,146
jour.1017827,Journal of Psychosomatic Research,146
jour.1095819,American Journal of Hypertension,146
jour.1312104,Proceedings of SPIE,146
jour.1014810,Clinical & Experimental Allergy,146
jour.1021923,Familial Cancer,145
jour.1101564,"NMCD - Nutrition,Metabolism and Cardiovascular Diseases",145
jour.1297159,Chemical Communications,145
jour.1096383,Journal of Gastroenterology and Hepatology,145
jour.1021589,Journal of Molecular Diagnostics,145
jour.1014139,Genetics Selection Evolution,144
jour.1028854,Proteomics,144
jour.1017422,Developmental Biology,143
jour.1041642,Aging,143
jour.1327517,The Lancet Respiratory Medicine,143
jour.1095137,Diabetic Medicine,143
jour.1018340,Radiology,142
jour.1113451,Journal of Cardiac Failure,142
jour.1013927,Journal of Neurosurgery,142
jour.1055382,Clinica Chimica Acta,141
jour.1023369,Modern Rheumatology,141
jour.1038403,Journal of Clinical Lipidology,141
jour.1016949,Acta Psychiatrica Scandinavica,140
jour.1017735,The Journal of Cell Biology,140
jour.1052984,Nature Microbiology,140
jour.1051957,Molecular Case Studies,139
jour.1084802,Neuroscience Letters,139
jour.1327448,Frontiers in Neuroscience,139
jour.1047750,The Journal of Allergy and Clinical Immunology In Practice,138
jour.1023735,Science Signaling,138
jour.1051604,Alzheimer's & Dementia Diagnosis Assessment & Disease Monitoring,138
jour.1098945,Head & Neck,138
jour.1017256,JAMA Internal Medicine,138
jour.1327770,Cerebral Cortex,137
jour.1048855,Cancer Immunology Research,137
jour.1113568,Neurobiology of Disease,136
jour.1114043,Molecular Breeding,135
jour.1040518,Disease Models & Mechanisms,135
jour.1006373,Scandinavian Journal of Gastroenterology,134
jour.1037502,Nature Protocols,134
jour.1016108,Clinical Endocrinology,134
jour.1021547,Epilepsy & Behavior,134
jour.1013844,Behavior Genetics,133
jour.1077199,Journal of Neuropathology & Experimental Neurology,132
jour.1103473,Supportive Care in Cancer,132
jour.1016775,Urology,132
jour.1115751,International Journal of Infectious Diseases,132
jour.1029982,Journal of Cystic Fibrosis,132
jour.1319882,Journal of Internal Medicine,131
jour.1017222,Annals of Internal Medicine,131
jour.1085241,Applied and Environmental Microbiology,131
jour.1006098,Journal of Cell Science,131
jour.1090071,Journal of Pediatric Hematology/Oncology,130
jour.1085443,Revue d'Epidémiologie et de Santé Publique,130
jour.1093461,Statistics in Medicine,130
jour.1095355,Child's Nervous System,130
jour.1096425,Pancreas,130
jour.1039191,BMC Medical Genomics,129
jour.1047921,Annals of the American Thoracic Society,129
jour.1106235,Virchows Archiv,129
jour.1097694,Brain Behavior and Immunity,129
jour.1020780,Clinical Immunology,129
jour.1020753,World Journal of Gastroenterology,129
jour.1098844,Molecular Neurobiology,128
jour.1020801,Diabetes Obesity and Metabolism,128
jour.1002368,The British Journal of Psychiatry,128
jour.1090550,Journal of Inherited Metabolic Disease,128
jour.1101367,Ultrasound in Obstetrics and Gynecology,127
jour.1092629,Molecular and Cellular Biology,127
jour.1017955,The Journal of Lipid Research,126
jour.1015391,Klinische Pädiatrie,126
jour.1094154,Clinical and Experimental Rheumatology,125
jour.1294875,Catheterization and Cardiovascular Interventions,125
jour.1092853,Cephalalgia,125
jour.1284211,Journal of Child Psychology and Psychiatry,125
jour.1039143,Pigment Cell & Melanoma Research,124
jour.1039457,BMC Research Notes,124
jour.1012223,Endoscopy,124
jour.1327782,Biocomputing,124
jour.1327431,Nature Chemical Biology,123
jour.1016914,Acta Dermato Venereologica,123
jour.1044389,Global Spine Journal,122
jour.1104056,American Journal of Geriatric Psychiatry,122
jour.1017365,Archives of Gynecology and Obstetrics,121
jour.1019434,Canadian Journal of Neurological Sciences / Journal Canadien des Sciences Neurologiques,121
jour.1111851,Journal of the American Medical Informatics Association,121
jour.1017953,Journal of Clinical Pathology,121
jour.1021359,European Heart Journal - Cardiovascular Imaging,120
jour.1013611,Infection and Immunity,120
jour.1081470,Molecular and Cellular Endocrinology,120
jour.1101544,Current Opinion in Genetics & Development,120
jour.1088601,Maturitas,119
jour.1023705,Heart Lung and Circulation,119
jour.1118265,Public Health Nutrition,119
jour.1294956,Neurological Sciences,119
jour.1000637,JAMA Dermatology,119
jour.1295033,Nature Structural & Molecular Biology,119
jour.1048227,Molecular Metabolism,118
jour.1050678,Scientific Data,118
jour.1028525,Respiratory Research,118
jour.1039717,JACC Cardiovascular Imaging,118
jour.1358076,Oral Oncology,118
jour.1015499,The Science of The Total Environment,117
jour.1085446,Thrombosis and Haemostasis,117
jour.1043382,Science China Life Sciences,117
jour.1018204,Obstetrical & Gynecological Survey,117
jour.1102786,European Child & Adolescent Psychiatry,116
jour.1092108,La Revue de Médecine Interne,116
jour.1103313,Experimental Dermatology,116
jour.1044353,Frontiers in Psychiatry,116
jour.1022148,Cochrane Database of Systematic Reviews,116
jour.1012368,Journal of Nuclear Medicine,116
jour.1081898,Journal of the American Chemical Society,116
jour.1027256,Infection Genetics and Evolution,115
jour.1091344,Placenta,115
jour.1028679,Euphytica,115
jour.1088501,Journal of Surgical Oncology,114
jour.1103130,Brain Pathology,114
jour.1044459,Frontiers in Physiology,114
jour.1043096,Frontiers in Aging Neuroscience,114
jour.1098633,Molecular Carcinogenesis,114
jour.1030439,Critical Reviews in Computed Tomography,114
jour.1042549,Epigenomics,114
jour.1022343,Briefings in Bioinformatics,114
jour.1102945,Psycho-Oncology,114
jour.1040054,Circulation Arrhythmia and Electrophysiology,113
jour.1017108,Experimental Eye Research,112
jour.1100814,Annals of Epidemiology,112
jour.1023644,EMBO Reports,112
jour.1057026,The Annals of Thoracic Surgery,112
jour.1086802,Alcoholism Clinical and Experimental Research,112
jour.1038436,The ISME Journal,112
jour.1044455,Frontiers in Pharmacology,112
jour.1094127,World Journal of Urology,111
jour.1017096,The Journal of Clinical Psychiatry,111
jour.1094139,Stem Cells,111
jour.1091981,Tumor Biology,111
jour.1021558,Clinical Lung Cancer,111
jour.1102286,Journal of Genetic Counseling,110
jour.1295037,Brain and Development,110
jour.1321825,JAMA Network Open,110
jour.1101150,Thyroid,110
jour.1035557,EuroIntervention,109
jour.1039771,Journal of Hematology & Oncology,109
jour.1087600,Muscle & Nerve,109
jour.1049129,Bone Abstracts,109
jour.1048917,International Journal of Mycobacteriology,109
jour.1047645,Translational Vision Science & Technology,109
jour.1091788,Endocrine Related Cancer,109
jour.1093507,Cornea,109
jour.1015263,Preventive Medicine,109
jour.1098683,Journal of Autoimmunity,109
jour.1008276,Annales d Endocrinologie,109
jour.1054668,Journal of Autism and Developmental Disorders,108
jour.1018525,Digestive Diseases and Sciences,108
jour.1094057,Journal of Cardiovascular Electrophysiology,108
jour.1313374,Clinical Ophthalmology,108
jour.1024249,BMC Evolutionary Biology,107
jour.1097360,AIDS,107
jour.1091087,American Journal of Neuroradiology,107
jour.1093299,Clinical Rheumatology,106
jour.1115525,Journal of Epidemiology,106
jour.1097410,International Journal of Geriatric Psychiatry,106
jour.1007352,Pediatric Research,106
jour.1112551,Cell Death & Differentiation,106
jour.1001475,Developmental Medicine & Child Neurology,105
jour.1039921,Epigenetics & Chromatin,105
jour.1039060,Forensic Science International Genetics,104
jour.1020821,Environmental Microbiology,104
jour.1052770,Microbial Genomics,104
jour.1032385,International Journal of Rheumatic Diseases,104
jour.1052304,European Urology Focus,104
jour.1114285,RNA,104
jour.1097145,Biomaterials,104
jour.1038420,Brain Imaging and Behavior,104
jour.1032123,Philosophical Transactions of the Royal Society B Biological Sciences,103
jour.1040792,Circulation Cardiovascular Quality and Outcomes,103
jour.1092517,Prenatal Diagnosis,103
jour.1050550,The Lancet Psychiatry,103
jour.1313329,Journal of Thoracic and Cardiovascular Surgery,103
jour.1014361,Animal Genetics,102
jour.1049980,Movement Disorders Clinical Practice,102
jour.1036166,Nature Reviews Neurology,102
jour.1042315,Database,102
jour.1036809,International Journal of Chronic Obstructive Pulmonary Disease,102
jour.1345647,JMIR Preprints,102
jour.1114775,Clinical Microbiology and Infection,101
jour.1356686,mSphere,101
jour.1044865,Frontiers in Endocrinology,101
jour.1084078,Pain,101
jour.1036458,Autophagy,101
jour.1104001,Plant Cell & Environment,101
jour.1112095,Journal of Clinical Neuroscience,101
jour.1103873,Seizure,101
jour.1028160,Molecular Ecology Resources,100
jour.1048290,Journal of Clinical Medicine,100
jour.1103726,International Journal of Oncology,100
jour.1030070,The Spine Journal,100
jour.1035460,Pediatric Rheumatology,100
jour.1085347,Archives of Pathology & Laboratory Medicine,100
jour.1048878,Microbiome,100
jour.1021955,Journal of Neurological Surgery Part B Skull Base,99
jour.1049091,Annals of Translational Medicine,99
jour.1019138,Tidsskrift for Den norske legeforening,99
jour.1093226,The Pediatric Infectious Disease Journal,99
jour.1119470,The International Journal of Neuropsychopharmacology,99
jour.1090128,Journal of Infection,99
jour.1295005,Cellular and Molecular Life Sciences,99
jour.1019591,Surgery,99
jour.1054998,European Journal of Immunology,98
jour.1039601,Brain Stimulation,98
jour.1025004,American Journal of Transplantation,98
jour.1300992,Journal of the Canadian Association of Gastroenterology,98
jour.1024626,BMC Nephrology,98
jour.1000907,Addiction,98
jour.1102829,Tuberculosis,98
jour.1015410,Thrombosis Research,97
jour.1100401,Nutrition Clinique et Métabolisme,97
jour.1313644,Neuroscience & Biobehavioral Reviews,97
jour.1345568,Respiratory Medicine,97
jour.1051787,JACC Clinical Electrophysiology,97
jour.1320496,Physical Review D,97
jour.1097054,American Journal of Preventive Medicine,97
jour.1105581,Archives de Pédiatrie,97
jour.1022914,Genes & Immunity,96
jour.1036887,Metabolomics,96
jour.1095570,Trends in Genetics,96
jour.1358132,British Journal of Surgery,96
jour.1101581,Journal of Stroke and Cerebrovascular Diseases,96
jour.1099877,American Journal of Respiratory Cell and Molecular Biology,96
jour.1031766,Journal of the National Comprehensive Cancer Network,96
jour.1312259,Proceedings of The Royal Society B Biological Sciences,96
jour.1018193,Der Nervenarzt,95
jour.1040096,Molecular Medicine Reports,95
jour.1313647,Journal of Cancer Research and Clinical Oncology,95
jour.1035890,Future Oncology,95
jour.1030078,Aging Cell,95
jour.1095659,Pediatric Neurology,95
jour.1016342,Critical Care Medicine,95
jour.1043122,BMJ Case Reports,95
jour.1097986,Social Psychiatry and Psychiatric Epidemiology,95
jour.1101270,Pediatric Allergy and Immunology,95
jour.1103183,European Journal of Cancer Prevention,94
jour.1014308,Journal of Molecular and Cellular Cardiology,94
jour.1101851,Cardiology in the Young,94
jour.1085598,Neuropathology and Applied Neurobiology,94
jour.1093123,Rheumatology International,94
jour.1313662,Chinese Journal of Epidemiology,94
