supporting_grant_ids,doi,year,title
"['grant.2457284', 'grant.2457186', 'grant.2424826', 'grant.2459458']",10.4049/jimmunol.1501406,2016,Selective ORAI1 Inhibition Ameliorates Autoimmune Central Nervous System Inflammation by Suppressing Effector but Not Regulatory T Cell Function
"['grant.2439546', 'grant.3481297', 'grant.2682007', 'grant.2417353', 'grant.2442097', 'grant.2675058', 'grant.2601507', 'grant.3805581', 'grant.2438988', 'grant.2425010', 'grant.2355202', 'grant.2666832', 'grant.2683763']",10.1038/ncomms9642,2015,MHC variation sculpts individualized microbial communities that control susceptibility to enteric infection
"['grant.2597538', 'grant.2456401', 'grant.2424633', 'grant.2454399']",10.1093/infdis/jiv154,2015,Proteolytic Cleavage of the Plasmodium falciparum Circumsporozoite Protein Is a Target of Protective Antibodies
"['grant.2438822', 'grant.2459458', 'grant.2458906', 'grant.2457186', 'grant.2424826']",10.4049/jimmunol.1403013,2015,Ca2+ Signaling but Not Store-Operated Ca2+ Entry Is Required for the Function of Macrophages and Dendritic Cells
['grant.2424633'],10.1080/21645515.2015.1026496,2015,Malaria invasion ligand RH5 and its prime candidacy in blood-stage malaria vaccine design
"['grant.2459458', 'grant.2456699', 'grant.2438822', 'grant.2457186', 'grant.2666416', 'grant.2455717', 'grant.2424826', 'grant.2458752']",10.1172/jci80273,2015,STIM1 controls T cell–mediated immune regulation and inflammation in chronic infection
"['grant.2452093', 'grant.2601247', 'grant.2598282', 'grant.2639983']",10.1038/nchembio.1800,2015,HIV gp41–mediated membrane fusion occurs at edges of cholesterol-rich lipid domains
['grant.7456676'],10.1128/jvi.02576-14,2015,Structure of the Extracellular Domain of Matrix Protein 2 of Influenza A Virus in Complex with a Protective Monoclonal Antibody
['grant.7456676'],10.3390/vaccines3010105,2015,M2e-Based Universal Influenza A Vaccines
"['grant.2439546', 'grant.2601507', 'grant.2355202', 'grant.2682007', 'grant.2417353', 'grant.2683763', 'grant.2442097', 'grant.2666832', 'grant.2438988', 'grant.2425010', 'grant.3481297', 'grant.2675058', 'grant.3805581']",10.1016/j.chom.2014.12.009,2015,MyD88 Signaling in T Cells Directs IgA-Mediated Control of the Microbiota to Promote Health
"['grant.7456676', 'grant.7479986']",10.1016/j.foodcont.2014.07.056,2015,Protective effects of red wine and resveratrol for foodborne virus surrogates
"['grant.2489571', 'grant.2489689', 'grant.2489521']",10.1016/b978-0-12-415847-4.00069-0,2015,Chapter 69 Mucosal Vaccines for Dental Diseases
"['grant.2436416', 'grant.2639983']",10.1016/bs.ctm.2015.03.001,2015,Chapter One Supported Lipid Bilayers as Models for Studying Membrane Domains
['grant.2424633'],10.1186/1475-2875-13-326,2014,A malaria vaccine candidate based on an epitope of the Plasmodium falciparum RH5 protein
"['grant.2457145', 'grant.2666074']",10.1371/journal.pone.0112982,2014,Evaluation of a Multivalent Vaccine against Lymphatic Filariasis in Rhesus macaque Model
"['grant.2417353', 'grant.2425010', 'grant.3481297', 'grant.2682007', 'grant.2666832']",10.1111/cmi.12308,2014,Defining dysbiosis and its influence on host immunity and disease
"['grant.2699214', 'grant.2539619', 'grant.2657621', 'grant.2438852', 'grant.2436416', 'grant.2452093', 'grant.2514444', 'grant.2513698', 'grant.2639983']",10.1242/jcs.149088,2014,Regulation of Rac1 translocation and activation by membrane domains and their boundaries
['grant.2692184'],10.1097/inf.0000000000000127,2014,Varicella Outbreak in a Daycare
['grant.7456676'],10.1371/journal.pone.0089803,2014,Insight into Highly Conserved H1 Subtype-Specific Epitopes in Influenza Virus Hemagglutinin
"['grant.7437133', 'grant.4908136', 'grant.4906152', 'grant.2695735']",10.1371/journal.pone.0083274,2013,A Replicating Modified Vaccinia Tiantan Strain Expressing an Avian-Derived Influenza H5N1 Hemagglutinin Induce Broadly Neutralizing Antibodies and Cross-Clade Protective Immunity in Mice
"['grant.2705192', 'grant.2424633', 'grant.2423981', 'grant.2705250', 'grant.2705135', 'grant.2705148']",10.4161/hv.26038,2013,"Randomized, placebo-controlled trial to assess the safety and immunogenicity of an adenovirus type 35-based circumsporozoite malaria vaccine in healthy adults"
"['grant.2457145', 'grant.2666074', 'grant.2424532']",10.1016/j.vaccine.2013.10.083,2013,Evaluating the efficacy of rBmHATαc as a multivalent vaccine against lymphatic filariasis in experimental animals and optimizing the adjuvant formulation
['grant.2692184'],10.4161/hv.24849,2013,Validity of medical record documented varicella-zoster virus among unvaccinated cohorts
['grant.7456676'],10.1371/journal.pone.0069305,2013,Use of Hangeul Twitter to Track and Predict Human Influenza Infection
"['grant.2457145', 'grant.2666074']",10.1016/j.vaccine.2013.05.077,2013,Single multivalent vaccination boosted by trickle larval infection confers protection against experimental lymphatic filariasis
['grant.2692184'],10.1016/j.jcv.2013.01.015,2013,Varicella immunity in vaccinated healthcare workers
"['grant.4918965', 'grant.5011537', 'grant.7437133', 'grant.7437153']",10.1128/jvi.03247-12,2013,Mucosal Priming with a Replicating-Vaccinia Virus-Based Vaccine Elicits Protective Immunity to Simian Immunodeficiency Virus Challenge in Rhesus Monkeys
"['grant.2666074', 'grant.2457145']",10.1016/j.vaccine.2012.09.055,2013,Multivalent fusion protein vaccine for lymphatic filariasis
"['grant.2498929', 'grant.2486027', 'grant.2496200', 'grant.2487009', 'grant.2436416', 'grant.2452093', 'grant.2551791', 'grant.2514444', 'grant.2520852', 'grant.2699226', 'grant.2500891', 'grant.2639983']",10.1016/j.bpj.2012.12.028,2013,"Benjamin Franklin, Philadelphia’s Favorite Son, was a Membrane Biophysicist"
['grant.2692184'],10.1177/003335491212700608,2012,"Knowledge, Attitudes, and Practices for Diagnosing Breakthrough Varicella in the Outpatient Setting"
"['grant.2457145', 'grant.2666074']",10.1016/j.vaccine.2012.07.084,2012,Protective immune responses to biolistic DNA vaccination of Brugia malayi abundant larval transcript-2
"['grant.2666074', 'grant.2457145']",10.1007/s00436-012-2878-x,2012,Cloning and characterization of high mobility group box protein 1 (HMGB1) of Wuchereria bancrofti and Brugia malayi
['grant.2692184'],10.1093/infdis/jis207,2012,Transmission of Varicella Zoster Virus From Individuals With Herpes Zoster or Varicella in School and Day Care Settings
"['grant.2666074', 'grant.2723036', 'grant.2457145']",10.1371/journal.pone.0034077,2012,Biochemical Characterization and Evaluation of a Brugia malayi Small Heat Shock Protein as a Vaccine against Lymphatic Filariasis
"['grant.6054046', 'grant.2424633', 'grant.6065570']",10.1371/journal.pone.0030251,2012,Targeting Sialic Acid Dependent and Independent Pathways of Invasion in Plasmodium falciparum
"['grant.2625393', 'grant.2457145', 'grant.2453395', 'grant.2666074']",10.1155/2012/831940,2012,Sumoylation of Human Translationally Controlled Tumor Protein Is Important for Its Nuclear Transport
"['grant.2457186', 'grant.2424826', 'grant.2455163', 'grant.2665864', 'grant.2458208']",10.1038/gene.2011.31,2011,FoxP3 interacts with linker histone H1.5 to modulate gene expression and program Treg cell activity
"['grant.2698983', 'grant.2450635', 'grant.2657621', 'grant.2639983', 'grant.2598282', 'grant.2684128']",10.1073/pnas.1104760108,2011,Structure and function of the complete internal fusion loop from Ebolavirus glycoprotein 2
['grant.2424630'],10.1089/aid.2010.0131,2011,"Potentiation of EBV-Induced B Cell Transformation by CXCR4-Tropic, But Not CCR5-Tropic, HIV gp120: Implications for HIV-Associated Lymphomagenesis"
"['grant.2457145', 'grant.2666074']",10.2147/rrtm.s13679,2011,Multivalent vaccine formulation with BmVAL-1 and BmALT-2 confer significant protection against challenge infections with Brugia malayi in mice and jirds
"['grant.2424631', 'grant.2723415', 'grant.2424632', 'grant.2705319', 'grant.2424633']",10.1371/journal.pone.0011995,2010,"Immunization with Cocktail of HIV-Derived Peptides in Montanide ISA-51 Is Immunogenic, but Causes Sterile Abscesses and Unacceptable Reactogenicity"
"['grant.2688026', 'grant.2704638', 'grant.2687621']",10.1128/jvi.00310-10,2010,In Vitro and In Vivo Characterization of MicroRNA-Targeted Alphavirus Replicon and Helper RNAs ▿ ‡
"['grant.2489689', 'grant.2634501']",10.1016/j.oraloncology.2010.02.023,2010,Involvement of PTCH1 mutations in the calcifying epithelial odontogenic tumor
"['grant.7437133', 'grant.7437134']",10.1016/j.vaccine.2009.12.038,2010,One time intranasal vaccination with a modified vaccinia Tiantan strain MVTTZCI protects animals against pathogenic viral challenge
"['grant.7437134', 'grant.7437133']",10.3390/v2010283,2010,The Development of an AIDS Mucosal Vaccine
"['grant.2489689', 'grant.2489571', 'grant.2634501', 'grant.2667038', 'grant.2580182', 'grant.5053688']",10.1586/erv.09.143,2010,Dental caries vaccines: prospects and concerns
"['grant.2457145', 'grant.2666074']",10.1016/j.provac.2010.11.003,2010,Multivalent Vaccine for Lymphatic Filariasis
"['grant.2457145', 'grant.2453395', 'grant.2625393', 'grant.2666074']",10.1016/j.bbrc.2009.06.028,2009,Translationally controlled tumor protein is a novel heat shock protein with chaperone-like activity
"['grant.2666074', 'grant.2457145']",10.1371/journal.pntd.0000457,2009,Evaluation of Wuchereria bancrofti GST as a Vaccine Candidate for Lymphatic Filariasis
"['grant.2453395', 'grant.2625393', 'grant.2457145', 'grant.2666074']",10.1128/aac.01222-08,2009,Praziquantel Affects the Regulatory Myosin Light Chain of Schistosoma mansoni▿
"['grant.2457186', 'grant.2455163', 'grant.2681807', 'grant.2665864', 'grant.2424826', 'grant.2458208', 'grant.2453749', 'grant.2458444']",10.1182/blood-2008-03-145946,2008,FoxP3+CD4+ regulatory T cells play an important role in acute HIV-1 infection in humanized Rag2−/−γC−/− mice in vivo
"['grant.2666074', 'grant.2457145', 'grant.2723036']",10.1016/j.molbiopara.2008.02.010,2008,A novel small heat shock protein 12.6 (HSP12.6) from Brugia malayi functions as a human IL-10 receptor binding protein
"['grant.2455298', 'grant.2664798', 'grant.2488692', 'grant.2607660']",10.1128/cmr.00026-07,2008,Molecular Genetic Basis of Ribotyping†
"['grant.2512488', 'grant.2598418', 'grant.2474868']",10.1016/j.bbagen.2007.11.003,2008,"The Galα1,3Galβ1,4GlcNAc-R (α-Gal) epitope: A carbohydrate of unique evolution and clinical relevance"
"['grant.2666074', 'grant.2457145']",10.1080/10425170701517614,2008,Identification and cloning of a novel tetraspanin (TSP) homologue from Brugia malayi
"['grant.2457145', 'grant.2666074', 'grant.2453395', 'grant.2625393']",10.1007/s00436-007-0671-z,2007,Translationally controlled tumor protein of Brugia malayi functions as an antioxidant protein
"['grant.2664798', 'grant.2455298']",10.1086/521831,2007,Strain Characteristics of Streptococcus pneumoniae Carriage and Invasive Disease Isolates during a Cluster-Randomized Clinical Trial of the 7-Valent Pneumococcal Conjugate Vaccine
"['grant.2457145', 'grant.2666074']",10.1007/s00436-007-0571-2,2007,Immune response studies with Wuchereria bancrofti vespid allergen homologue (WbVAH) in human lymphatic filariasis
"['grant.2456155', 'grant.2488692', 'grant.2607660', 'grant.2664798']",10.1128/iai.00318-07,2007,Multiple Consecutive Lavage Samplings Reveal Greater Burden of Disease and Provide Direct Access to the Nontypeable Haemophilus influenzae Biofilm in Experimental Otitis Media▿
"['grant.2457145', 'grant.2666074']",10.1016/j.exppara.2007.02.017,2007,"Brugia malayi: Comparison of protective immune responses induced by Bm-alt-2 DNA, recombinant Bm-ALT-2 protein and prime-boost vaccine regimens in a jird model"
"['grant.2488692', 'grant.2544770', 'grant.2664798']",10.1097/inf.0b013e31803df9ca,2007,Emergence of 19A as Virulent and Multidrug Resistant Pneumococcus in Massachusetts Following Universal Immunization of Infants With Pneumococcal Conjugate Vaccine
"['grant.2488692', 'grant.', 'grant.2664798', 'grant.2544770', 'grant.2455298', 'grant.2457298', 'grant.3632014']",10.1086/510249,2007,Diversity and Antibiotic Resistance among Nonvaccine Serotypes of Streptococcus pneumoniae Carriage Isolates in the Post-Heptavalent Conjugate Vaccine Era
"['grant.2475135', 'grant.2688631', 'grant.2471753', 'grant.2474493']",10.1002/eji.200636550,2006,Activation‐induced cell death of human melanoma specific cytotoxic T lymphocytes is mediated by apoptosis‐inducing factor
"['grant.2640228', 'grant.2451204', 'grant.2657704', 'grant.2508503']",10.1086/507708,2006,Immunotherapy for Drug-Refractory Mucosal Leishmaniasis
"['grant.2634501', 'grant.4552942', 'grant.2489689']",10.1128/jcm.02024-05,2006,Genetic Diversity of Competence Gene Loci in Clinical Genotypes of Streptococcus mutans
"['grant.6725165', 'grant.2598111', 'grant.6715153']",10.1016/j.vaccine.2006.04.023,2006,Evaluation of fowlpox–vaccinia virus prime-boost vaccine strategies for high-level mucosal and systemic immunity against HIV-1
"['grant.6722306', 'grant.2455734']",10.1586/14760584.5.1.67,2006,"Progress towards an effective syphilis vaccine: the past, present and future"
"['grant.2424634', 'grant.2687516']",10.1128/cvi.13.1.26-32.2006,2006,Cellular Immune Responses in Asymptomatic Human Immunodeficiency Virus Type 1 (HIV-1) Infection and Effects of Vaccination with Recombinant Envelope Glycoprotein of HIV-1
"['grant.2417539', 'grant.2489571', 'grant.2489521', 'grant.2489689']",10.1016/j.ics.2005.07.029,2005,Host–biofilm interface interactions lead to oral infectious diseases and contain promise for disease amelioration
"['grant.2640574', 'grant.2687515', 'grant.2687505', 'grant.2687517', 'grant.2424634', 'grant.2424633', 'grant.2424628', 'grant.2657809', 'grant.2687484', 'grant.2424626', 'grant.2424632', 'grant.2424630', 'grant.2687518', 'grant.2687482', 'grant.2424625', 'grant.2687516', 'grant.2424629', 'grant.2687501', 'grant.2687498', 'grant.2424631', 'grant.2687481']",10.1097/01.qai.0000148532.12329.df,2005,Participant Retention in Clinical Trials of Candidate HIV Vaccines
['grant.2474868'],10.1038/sj.cgt.7700812,2005,"In vivo targeting of vaccinating tumor cells to antigen-presenting cells by a gene therapy method with adenovirus containing the α1,3galactosyltransferase gene"
"['grant.2634501', 'grant.2489689', 'grant.2489571', 'grant.2667038']",10.1128/iai.73.5.2797-2804.2005,2005,Immunological and Protective Effects of Diepitopic Subunit Dental Caries Vaccines
['grant.2474868'],,2005,Anti-Gal-mediated targeting of human B lymphoma cells to antigen-presenting cells: a potential method for immunotherapy using autologous tumor cells.
"['grant.2646650', 'grant.2489689', 'grant.2659811', 'grant.2634501']",10.1111/j.1399-302x.2004.00191.x,2005,"Influence of microparticle formulation on immunogenicity of SYI, a synthetic peptide derived from Streptococcus mutans GbpB"
"['grant.2640236', 'grant.2681817', 'grant.2451335', 'grant.2453207']",10.1128/iai.73.1.592-598.2005,2005,Opsonic Requirements for Dendritic Cell-Mediated Responses to Cryptococcus neoformans
"['grant.2688631', 'grant.2475135', 'grant.2474493', 'grant.2473648', 'grant.2474007', 'grant.2471753']",10.1111/j.1365-2567.2004.01978.x,2004,Antigen presentation by MART‐1 adenovirus‐transduced interleukin‐10‐polarized human monocyte‐derived dendritic cells
"['grant.2424826', 'grant.2449515']",10.1016/j.vaccine.2004.06.045,2004,Vaccination with gp120-depleted HIV-1 plus immunostimulatory CpG oligodeoxynucleotides in incomplete Freund's adjuvant stimulates cellular and humoral immunity in rhesus macaques
"['grant.2475135', 'grant.2474493', 'grant.2471753', 'grant.2688631']",10.4049/jimmunol.173.10.6017,2004,"Rescuing Melanoma Epitope-Specific Cytolytic T Lymphocytes from Activation-Induced Cell Death, by SP600125, an Inhibitor of JNK: Implications in Cancer Immunotherapy"
"['grant.6714230', 'grant.6728996', 'grant.6716398']",10.1128/jvi.78.21.11786-11797.2004,2004,Effects on Rotavirus Cell Binding and Infection of Monomeric and Polymeric Peptides Containing α2β1 and αxβ2 Integrin Ligand Sequences
"['grant.2424630', 'grant.2687505', 'grant.2687482', 'grant.2424633', 'grant.2687498', 'grant.2424628', 'grant.2657809', 'grant.2687497', 'grant.2424629', 'grant.2424632', 'grant.2687516', 'grant.2640574', 'grant.2424631', 'grant.2424626', 'grant.2687501', 'grant.2687515', 'grant.2424625', 'grant.2687481', 'grant.2687518', 'grant.2687517', 'grant.2687484', 'grant.2424634']",10.1086/423284,2004,Breakthrough Infections during Phase 1 and 2 Prime-Boost HIV-1 Vaccine Trials with Canarypox Vectors (ALVAC) and Booster Dose of Recombinant gp120 or gp160
"['grant.2453395', 'grant.2424342', 'grant.2708617', 'grant.2457145', 'grant.2666074', 'grant.2625393']",10.1128/iai.72.8.4707-4715.2004,2004,Novel Phage Display-Based Subtractive Screening To Identify Vaccine Candidates of Brugia malayi
"['grant.2471753', 'grant.2474493', 'grant.2688631', 'grant.2424040']",10.1016/j.humimm.2004.05.012,2004,Regulatory T-cell response and tumor vaccine-induced cytotoxic T lymphocytes in human melanoma
"['grant.2424010', 'grant.2424653', 'grant.2452552']",10.1016/j.vaccine.2003.11.016,2004,Associations between human leukocyte antigen (HLA) alleles and very high levels of measles antibody following vaccination
"['grant.2455266', 'grant.2424653', 'grant.2424010', 'grant.2452552']",10.1111/j.1651-2227.2004.tb03055.x,2004,The genetic basis for measles vaccine failure
"['grant.2687516', 'grant.2424634']",10.1016/j.vaccine.2003.07.013,2004,Binding of antibodies to human immunodeficiency virus type 1 (HIV-1)-infected lymphocytes elicited by vaccines and by natural infection
"['grant.2490082', 'grant.2634501', 'grant.2627262', 'grant.2489972', 'grant.2489689', 'grant.2489571', 'grant.2490164', 'grant.2667038', 'grant.2683010', 'grant.2489764', 'grant.2634505']",10.1159/000077759,2004,A Caries Vaccine?
"['grant.2659811', 'grant.2489689', 'grant.7802408', 'grant.2489571', 'grant.2667038', 'grant.2634501', 'grant.2646650']",10.1034/j.1399-302x.2003.00074.x,2003,Remote glucosyltransferase‐microparticle vaccine delivery induces protective immunity in the oral cavity
"['grant.2488692', 'grant.2607660', 'grant.2664798']",10.1073/pnas.1432026100,2003,Host-derived sialic acid is incorporated into Haemophilus influenzae lipopolysaccharide and is a major virulence factor in experimental otitis media
"['grant.2451128', 'grant.2687512', 'grant.2634027', 'grant.2438700', 'grant.2633836', 'grant.2424629', 'grant.2455695', 'grant.2456108', 'grant.2687475', 'grant.2687481']",10.1086/376449,2003,What Constitutes Efficacy for a Human Immunodeficiency Virus Vaccine that Ameliorates Viremia: Issues Involving Surrogate End Points in Phase 3 Trials
"['grant.2597635', 'grant.2597832']",10.1128/jvi.77.13.7182-7192.2003,2003,"Murine Cytomegalovirus Abortively Infects Human Dendritic Cells, Leading to Expression and Presentation of Virally Vectored Genes"
"['grant.2424653', 'grant.2452552', 'grant.2462500']",10.1016/s0198-8859(03)00087-9,2003,Associations between measles antibody levels and the protein structure of class II human leukocyte antigens
['grant.2474868'],10.1016/s0090-8258(03)00148-3,2003,Expression of α-gal epitopes on ovarian carcinoma membranes to be used as a novel autologous tumor vaccine
"['grant.2687418', 'grant.2633939', 'grant.2438686', 'grant.2434895', 'grant.2441134', 'grant.2424629', 'grant.2452956', 'grant.2454582', 'grant.2455316']",10.1128/jvi.77.11.6108-6116.2003,2003,Persistence of Extraordinarily Low Levels of Genetically Homogeneous Human Immunodeficiency Virus Type 1 in Exposed Seronegative Individuals
"['grant.2424631', 'grant.2424370', 'grant.2687481', 'grant.2424369', 'grant.2424372', 'grant.2687484', 'grant.2424632', 'grant.2640892', 'grant.2424900', 'grant.2424371', 'grant.2424634', 'grant.2424368', 'grant.2424630', 'grant.2424633']",10.1016/s0264-410x(03)00158-0,2003,Long-term safety analysis of preventive HIV-1 vaccines evaluated in AIDS vaccine evaluation group NIAID-sponsored Phase I and II clinical trials
"['grant.2452552', 'grant.2424653']",10.1046/j.1365-2370.2003.00382.x,2003,Lack of association between transporter associated with antigen processing (TAP) and HLA‐DM gene polymorphisms and antibody levels following measles vaccination
"['grant.2424662', 'grant.2424634']",10.1128/iai.71.4.1763-1773.2003,2003,Differential Effects of Control and Antigen-Specific T Cells on Intracellular Mycobacterial Growth
"['grant.2664798', 'grant.2607660']",10.1128/jcm.41.4.1623-1636.2003,2003,Characterization of Encapsulated and Noncapsulated Haemophilus influenzae and Determination of Phylogenetic Relationships by Multilocus Sequence Typing
"['grant.2489689', 'grant.2634501']",10.1128/iai.71.3.1179-1184.2003,2003,Immunogenicity and Protective Immunity Induced by Synthetic Peptides Associated with Putative Immunodominant Regions of Streptococcus mutans Glucan-Binding Protein B
"['grant.2453135', 'grant.2424634']",10.1086/368096,2003,Lipoarabinomannan-Reactive Human Secretory Immunoglobulin A Responses Induced by Mucosal Bacille Calmette-Guérin Vaccination
"['grant.2452552', 'grant.2424010', 'grant.2424653']",10.1016/s0198-8859(02)00741-3,2003,The association of class I HLA alleles and antibody levels after a single dose of measles vaccine
['grant.2597598'],10.1086/345723,2002,Neutralizing Antibody Induced in Mice by Novel Glycoconjugates of Human Immunodeficiency Virus Type 1 gp120 and env2-3
"['grant.2453717', 'grant.2640228', 'grant.2657704']",10.1046/j.1537-2995.2002.00251.x,2002,Relationship between tick bites and the seroprevalence of Babesia microti and Anaplasma phagocytophila (previously Ehrlichia sp.) in blood donors
"['grant.2434908', 'grant.2424943', 'grant.2597744', 'grant.2687200', 'grant.2405610', 'grant.2424633', 'grant.2695667']",10.1089/088922202320886334,2002,Detection of Mucosal Antibodies in HIV Type 1-Infected Individuals
"['grant.2424634', 'grant.2438698', 'grant.2425018', 'grant.2536239']",10.1086/344359,2002,Investigation of the Relationships between Immune-Mediated Inhibition of Mycobacterial Growth and Other Potential Surrogate Markers of Protective Mycobacterium tuberculosis Immunity
"['grant.2453717', 'grant.2657704', 'grant.2640228']",10.1046/j.1537-2995.2002.00215.x,2002,Identification of Babesia microti‐specific immunodominant epitopes and development of a peptide EIA for detection of antibodies in serum
"['grant.2640228', 'grant.2451204', 'grant.2657704']",10.1016/s0264-410x(02)00302-x,2002,"Protective efficacy of a tandemly linked, multi-subunit recombinant leishmanial vaccine (Leish-111f) formulated in MPL® adjuvant"
"['grant.2657704', 'grant.2451204', 'grant.2508503', 'grant.2640228', 'grant.2683919']",10.1128/iai.70.8.4215-4225.2002,2002,"Immunization with a Polyprotein Vaccine Consisting of the T-Cell Antigens Thiol-Specific Antioxidant, Leishmania major Stress-Inducible Protein 1, and Leishmania Elongation Initiation Factor Protects against Leishmaniasis"
"['grant.2451204', 'grant.2657704', 'grant.2640228']",10.1128/iai.70.6.2828-2836.2002,2002,Vaccination with Plasmid DNA Encoding TSA/LmSTI1 Leishmanial Fusion Proteins Confers Protection against Leishmania major Infection in Susceptible BALB/c Mice
"['grant.2438623', 'grant.2597635', 'grant.2597832', 'grant.2681838']",10.1128/jvi.76.11.5565-5580.2002,2002,"Expression of Human Immunodeficiency Virus Type 1 gp120 from Herpes Simplex Virus Type 1-Derived Amplicons Results in Potent, Specific, and Durable Cellular and Humoral Immune Responses"
"['grant.2462500', 'grant.2424653']",10.1016/s0025-6196(11)62213-1,2002,Effect of Differing Immunization Policies on Circulating Measles Antibody Levels in US and Canadian Children
"['grant.2708546', 'grant.2457145', 'grant.2666074']",10.1111/j.1348-0421.2002.tb02703.x,2002,Development of Antigen Detection ELISA for the Diagnosis of Brugian and Bancroftian Filariasis Using Antibodies to Recombinant Filarial Antigens Bm‐SXP‐1 and Wb‐SXP‐1
"['grant.2462500', 'grant.2452552', 'grant.2424653']",10.4065/77.5.446,2002,Effect of Differing Immunization Policies on Circulating Measles Antibody Levels in US and Canadian Children
"['grant.2424634', 'grant.2424372', 'grant.2687516', 'grant.2687501']",10.1097/00042560-200203010-00005,2002,Safety and Immunogenicity of a High-Titered Canarypox Vaccine in Combination With rgp120 in a Diverse Population of HIV-1-Uninfected Adults: AIDS Vaccine Evaluation Group Protocol 022A.
['grant.2474868'],10.1093/glycob/12.2.135,2002,"Expression of α-gal epitopes on HeLa cells transduced with adenovirus containing α1,3galactosyltransferase cDNA"
"['grant.2452552', 'grant.2424653', 'grant.2490615']",10.1086/338688,2002,Score tests for association between traits and haplotypes when linkage phase is ambiguous.
"['grant.2455316', 'grant.2424629', 'grant.2452956', 'grant.2687418', 'grant.2454582', 'grant.2633939']",10.1128/jvi.76.2.707-716.2002,2002,Evidence for Human Immunodeficiency Virus Type 1 Replication In Vivo in CD14+ Monocytes and Its Potential Role as a Source of Virus in Patients on Highly Active Antiretroviral Therapy
"['grant.2657809', 'grant.2640574', 'grant.2597536', 'grant.2424633']",10.1006/viro.2001.1209,2001,Expression of Vaccinia E3L and K3L Genes by a Novel Recombinant Canarypox HIV Vaccine Vector Enhances HIV-1 Pseudovirion Production and Inhibits Apoptosis in Human Cells
"['grant.2452552', 'grant.2424653']",10.1016/s0264-410x(01)00346-2,2001,Identification of an association between HLA class II alleles and low antibody levels after measles immunization
"['grant.2424632', 'grant.2453893']",10.1128/jvi.75.18.8681-8689.2001,2001,Polymorphisms in HLA Class I Genes Associated with both Favorable Prognosis of Human Immunodeficiency Virus (HIV) Type 1 Infection and Positive Cytotoxic T-Lymphocyte Responses to ALVAC-HIV Recombinant Canarypox Vaccines
['grant.6728996'],10.1046/j.0019-2805.2001.01271.x,2001,Identification of canine helper T‐cell epitopes from the fusion protein of canine distemper virus
"['grant.8216923', 'grant.8217971']",10.1038/sj.cr.7290087,2001,A mimotope of Pre-S2 region of surface antigen of viral hepatitis B screened by phage display
"['grant.2687516', 'grant.2424662', 'grant.2424634']",10.1086/322792,2001,Canarypox Vaccines Induce Antigen-Specific Human γδ T Cells Capable of Interferon-γ Production
['grant.2657670'],10.1016/s0264-410x(01)00248-1,2001,Sterilizing immunity against experimental Helicobacter pylori infection is challenge-strain dependent
['grant.2608574'],10.1089/15209150152607222,2001,Diabetes vaccines: a future to be realized.
