,assignee_names,assignees,filing_status,granted_year,id,inventor_names,publication_date,times_cited,title,year
46,"['AlderBio Holdings LLC', 'KOVACEVICH BRIAN ROBERT', 'GARCIA-MARTINEZ LEON F', 'OLSON KATIE', 'DUTZAR BENJAMIN H', 'BILLGREN JENS J', 'LATHAM JOHN A', 'MITCHELL DANIELLE M', 'MCNEILL PATRICIA DIANNE', 'JANSON NICOLE M', 'LOOMIS MARIA-CRISTINA', 'ALDERBIO HOLDINGS LLC']",,Grant,2017.0,US-9745373-B2,"['Brian Robert Kovacevich', 'Leon F. Garcia-Martinez', 'Katie Olson', 'Benjamin H. Dutzar', 'Jens J. Billgren', 'John A. Latham', 'Danielle M. Mitchell', 'Patricia Dianne McNeill', 'Nicole M. Janson', 'Maria-Cristina Loomis']",2017-08-29,5.0,Anti-CGRP compositions and use thereof,2012
47,"['University of Iowa Research Foundation (UIRF)', 'AlderBio Holdings LLC', 'RUSSO ANDREW F', 'KAISER ERIC A', 'RECOBER ANA', 'KUBURAS ADISA', 'RADDANT ANN C', 'KOVACEVICH BRIAN ROBERT', 'LATHAM JOHN A', 'SMITH JEFFREY T L', 'GARCIA-MARTINEZ LEON F', 'ALDERBIO HOLDINGS LLC']","[{'id': 'grid.214572.7', 'acronym': 'UI', 'name': 'University of Iowa', 'country_name': 'United States'}]",Grant,2017.0,US-9708393-B2,"['Andrew F. Russo', 'Eric A. Kaiser', 'Ana Recober', 'Adisa Kuburas', 'Ann C. Raddant', 'Brian Robert Kovacevich', 'John A. Latham', 'Jeffrey T. L. Smith', 'Leon F. Garcia-Martinez']",2017-07-18,5.0,"Use of anti-CGRP antibodies and antibody fragments to prevent or inhibit photophobia or light aversion in subjects in need thereof, especially migraine sufferers",2012
48,"['University of Iowa Research Foundation (UIRF)', 'AlderBio Holdings LLC', 'RUSSO ANDREW F', 'KAISER ERIC A', 'RECOBER ANA', 'KUBURAS ADISA', 'RADDANT ANN C', 'KOVACEVICH BRIAN ROBERT', 'LATHAM JOHN A', 'SMITH JEFFREY T L', 'GARCIA-MARTINEZ LEON F', 'ALDERBIO HOLDINGS LLC']","[{'id': 'grid.214572.7', 'acronym': 'UI', 'name': 'University of Iowa', 'country_name': 'United States'}]",Grant,2018.0,US-9855332-B2,"['Andrew F. Russo', 'Eric A. Kaiser', 'Ana Recober', 'Adisa Kuburas', 'Ann C. Raddant', 'Brian Robert Kovacevich', 'John A. Latham', 'Jeffrey T. L. Smith', 'Leon F. Garcia-Martinez']",2018-01-02,5.0,Use of anti-CGRP antibodies and antibody fragments to treat diarrhea in subjects with diseases or treatments that result in elevated CGRP levels,2012
49,['MTM PLASTICS GMBH'],,Application,,WO-2017207610-A1,"['PETERS, TOBIAS', 'Böttner, Ralf', 'MEYER, TORSTEN', 'SCRIBA, MICHAEL']",2017-12-07,,METHOD AND APPARATUS FOR ANALYZING INHOMOGENEOUS BULK CARGO,2017
50,"['Teva Pharmaceuticals International GmbH', 'TEVA PHARMACEUTICALS INT GMBH']",,Grant,2018.0,US-9896502-B2,"['Marcelo Bigal', 'Sarah Walter', 'Henry Stern', 'Michael Chang']",2018-02-20,1.0,Antagonist antibodies directed against calcitonin gene-related peptide and methods using same,2015
51,"[""UNIVERSITA' DEGLI STUDI DI SIENA"", ""UNIVERSITA' DEGLI STUDI DI ROMA TOR VERGATA""]","[{'id': 'grid.6530.0', 'name': 'University of Rome Tor Vergata', 'country_name': 'Italy'}, {'id': 'grid.9024.f', 'acronym': 'UNISI', 'name': 'University of Siena', 'country_name': 'Italy'}]",Application,,WO-2017081709-A1,"['THALLER, MARIA, CRISTINA', ""D'ANDREA, Marco, Maria"", 'ROSSOLINI, GIAN, MARIA']",2017-05-18,,BACTERIOPHAGE ABLE TO LYSE KLEBSIELLA PNEUMONIAE EXPRESSING A CPSKKBO-4 CAPSULAR POLYSACCHARIDE AND RELATED MEDICAL USES THEREOF,2016
52,"['RUPRECHT KARLS UNIV HEIDELBERG', 'THORAXKLINIK HEIDELBERG GGMBH']","[{'id': 'grid.7700.0', 'name': 'Heidelberg University', 'country_name': 'Germany'}, {'id': 'grid.5253.1', 'name': 'University Hospital Heidelberg', 'country_name': 'Germany'}]",Application,,WO-2018041959-A1,"['GRÜNIG, Ekkehard', 'HINDERHOFER, Katrin', 'EICHSTAEDT, Christina A.']",2018-03-08,,GENE PANEL SPECIFIC FOR PULMONARY HYPERTENSION AND ITS USES,2017
53,['BOSTON SCIENT SCIMED INC'],"[{'id': 'grid.418905.1', 'acronym': 'BSC', 'name': 'Boston Scientific (United States)', 'country_name': 'United States'}]",Application,,WO-2017172588-A1,"['RAYBIN, Samuel', 'HOLLYER, Matthew, B.']",2017-10-05,,INJECTABLE COMPOSITIONS AND METHODS OF PREPARATION AND USE THEREOF,2017
54,"['INSTYTUT FARMAKOLOGII POLSKIEJ AKADEMII NAUK', 'INST FARMAKOLOGII POLSKIEJ AKADEMII NAUK']","[{'id': 'grid.418903.7', 'name': 'Institute of Pharmacology', 'country_name': 'Poland'}]",Application,,EP-3272745-A1,"['Hogendorf, Adam', 'Hogendorf, Agata', 'SATALA, GRZEGORZ', 'Kurczab, Rafal', 'Bugno, Ryszard', 'Staron, Jakub', 'Lenda, Tomasz', 'BOJARSKI, Andrzej J.']",2018-01-24,,IMIDAZOLYL-SUBSTITUTED INDOLE DERIVATIVES BINDING 5-HT7 SEROTONIN RECEPTOR AND PHARMACEUTICAL COMPOSITIONS THEREOF,2016
55,['AMGEN RES (MUNICH) GMBH'],"[{'id': 'grid.420023.7', 'name': 'Amgen (Germany)', 'country_name': 'Germany'}]",Application,,WO-2016184931-A1,"['KLINGER, MATTHIAS', 'ZUGMAIER, GERHARD']",2016-11-24,,B-CELL DEPLETION AS A DIAGNOSTIC MARKER,2016
56,['CYNORA GMBH'],,Application,,WO-2016079097-A1,"['Volz, Daniel', 'Ambrosek, David']",2016-05-26,,COPPER(I) COMPLEXES FOR OPTOELECTRONIC APPLICATIONS,2015
57,"['Regulus Therapeutics Inc', 'REGULUS THERAPEUTICS INC']","[{'id': 'grid.488377.7', 'name': 'Regulus Therapeutics (United States)', 'country_name': 'United States'}]",Grant,2018.0,US-9994842-B2,"['Christine Esau', 'Sanjay Bhanot']",2018-06-12,,Methods for use in modulating miR-122A,2015
58,"['Commissariat a l Energie Atomique et aux Energies Alternatives', ""Commissariat à l'Energie Atomique et aux Energies Alternatives""]","[{'id': 'grid.5583.b', 'acronym': 'CEA', 'name': 'Atomic Energy and Alternative Energies Commission', 'country_name': 'France'}]",Application,,EP-3211826-A1,"['SAVRY, OLIVIER']",2017-08-30,,METHOD FOR HANDLING IMPLICIT CERTIFICATES USING A DISTRIBUTED PUBLIC KEY INFRASTRUCTURE,2017
59,['INST FARMAKOLOGII POLSKIEJ AKADEMII NAUK'],"[{'id': 'grid.418903.7', 'name': 'Institute of Pharmacology', 'country_name': 'Poland'}]",Application,,WO-2018015558-A1,"['Hogendorf, Adam', 'Hogendorf, Agata', 'SATALA, GRZEGORZ', 'Kurczab, Rafal', 'Bugno, Ryszard', 'Staron, Jakub', 'Lenda, Tomasz', 'BOJARSKI, Andrzej J.']",2018-01-25,,IMIDAZOLYL-SUBSTITUTED INDOLE DERIVATIVES BINDING 5-HT7 SEROTONIN RECEPTOR AND PHARMACEUTICAL COMPOSITIONS THEREOF,2017
60,['UNIVERSITÄT ROSTOCK'],"[{'id': 'grid.10493.3f', 'name': 'University of Rostock', 'country_name': 'Germany'}]",Application,,WO-2017108895-A1,"['DAVID, ROBERT', 'Rimmbach, Christian', 'Wolfien, Markus']",2017-06-29,,"METHOD FOR PRODUCING SINOATRIAL NODE CELLS (CARDIAC PACEMAKER CELLS) FROM STEM CELLS, AND METHOD FOR PURIFYING SINOATRIAL NODE CELLS PRODUCED FROM STEM CELLS",2016
