Grant ID,Grant Number,Title,Funding Amount in USD,Start Date,Start Year,End Date,End Year,Research Organization - standardized,GRID ID,Country of Research organization,Funder,Funder Country,pubs,patents,clinical_trials
grant.2425936,N01BC021155,CANCER VACCINE PRODUCTION,0,1992-08-30,1992.0,1996-10-15,1996,Sanofi (United States),grid.417555.7,United States,National Cancer Institute,United States,0,0,0
grant.2425935,N01BC021154,CANCER VACCINE PRODUCTION,0,1992-06-30,1992.0,1993-10-15,1993,,,,National Cancer Institute,United States,0,0,0
grant.2425932,N01BC021026,CANCER VACCINE PRODUCTION,0,1992-09-30,1992.0,1996-12-31,1996,,,,National Cancer Institute,United States,0,0,0
grant.2425010,N01AI095375,HIV VACCINE PRODUCTION,61313,1999-06-30,1999.0,2006-06-29,2006,SRI International,grid.98913.3a,United States,National Institute of Allergy and Infectious Diseases,United States,5,0,0
grant.2424436,N01AI015093,VACCINES FOR SAIDS,0,1990-12-31,1990.0,1996-09-30,1996,Tulane University,grid.265219.b,United States,National Institute of Allergy and Infectious Diseases,United States,1,0,0
grant.8068979,2813100406,Entwicklung viraler Vektorvakzinen/Markervakzinen,1136603,2006-10-01,2006.0,2010-12-31,2010,Friedrich Loeffler Institute,grid.417834.d,Germany,Federal Ministry of Food and Agriculture,Germany,0,0,0
grant.7106480,2010-00636,Herpes Vaccine project,29617,2010-06-01,2010.0,2011-12-01,2011,Chalmersinvest,grid.451683.d,Sweden,VINNOVA,Sweden,0,0,0
grant.2639983,R43AI030577,VACCINE DELIVERY SYSTEM FOR LIVE ROTAVIRUS VACCINES,0,1990-09-30,1990.0,1991-05-31,1991,CytRx (United States),grid.422976.c,United States,National Institute of Allergy and Infectious Diseases,United States,5,0,0
grant.2355874,F05TW003686,IMMUNOLOGICAL STUDIES IN VACCINES OF RABIES VACCINE,0,1986-05-21,1986.0,1986-12-31,1986,Johns Hopkins University,grid.21107.35,United States,Fogarty International Center,United States,1,0,0
grant.7566903,IRLX0703,Vaccine adjuvant commercialisation project,22635,2007-12-07,2007.0,2008-05-07,2008,Callaghan Innovation,grid.418016.a,New Zealand,"Ministry of Business, Innovation and Employment",New Zealand,0,0,0
grant.7042623,SE1202,Shelf life of vaccines,67917,1990-04-01,1990.0,1993-03-31,1993,Pirbright Institute,grid.63622.33,United Kingdom,Department for Environment Food and Rural Affairs,United Kingdom,0,0,0
grant.7040393,OD0302,Duck viral Hepatitis vaccine,6767,1992-04-01,1992.0,1993-03-31,1993,Animal and Plant Health Agency,grid.422685.f,United Kingdom,Department for Environment Food and Rural Affairs,United Kingdom,0,0,0
grant.6731478,946099,Novel vaccines against AIDS,70976,1994-01-01,1994.0,1995-12-31,1995,University of Melbourne,grid.1008.9,Australia,National Health and Medical Research Council,Australia,0,0,0
grant.6728996,980664,Synthetic peptides as vaccines,447769,1998-01-01,1998.0,2002-12-31,2002,University of Melbourne,grid.1008.9,Australia,National Health and Medical Research Council,Australia,4,0,0
grant.6723289,145882,Klebsiella Vaccines and Immunotherapeutics,63197,2002-01-01,2002.0,2004-12-31,2004,University of Melbourne,grid.1008.9,Australia,National Health and Medical Research Council,Australia,0,0,0
grant.6718929,943201,Malaria and Vaccine Research,1750550,1994-01-01,1994.0,1998-12-31,1998,,,,National Health and Medical Research Council,Australia,0,0,0
grant.6713873,930849,Vaccines for complex organisms,36032,1993-01-01,1993.0,1993-12-31,1993,,,,National Health and Medical Research Council,Australia,0,0,0
grant.4442512,,DENGUE VACCINE DEVELOPMENT,50000,1985-10-01,1985.0,1986-09-30,1986,Hawaii Biotech (United States),grid.420613.2,United States,United States Department of the Army,United States,0,0,0
grant.4035473,2196,Novel Vaccines for Measles,86356,2008-10-01,2008.0,2010-09-30,2010,University of Saskatchewan,grid.25152.31,Canada,Saskatchewan Health Research Foundation,Canada,0,0,0
grant.2987461,79426,Streptococcal mastitis vaccine development,20686,1992-04-01,1992.0,1993-03-31,1993,University of Saskatchewan; Agriculture and Agriculture-Food Canada; Agriculture and Agriculture-Food Canada,grid.25152.31; grid.55614.33; grid.55614.33,Canada; Canada; Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2972379,153466,Bovine adenovirus vectored vaccines,259061,1997-04-01,1997.0,2000-03-31,2000,University of Saskatchewan; Vétoquinol (Canada),grid.25152.31; grid.450582.e,Canada; Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2964974,388654,Vaccine formulation and delivery,178772,2005-04-01,2005.0,2009-03-31,2009,University of Saskatchewan,grid.25152.31,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2957579,60520,Streptococcal mastitis vaccine development,38760,1993-04-01,1993.0,1994-03-31,1994,University of Saskatchewan; Agriculture and Agriculture-Food Canada; Agriculture and Agriculture-Food Canada,grid.25152.31; grid.55614.33; grid.55614.33,Canada; Canada; Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2950584,519469,Vaccins thérapeutiques anti-cancer,4498,2012-04-01,2012.0,2013-03-31,2013,GlaxoSmithKline (Canada),grid.420846.c,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2920553,464727,Subunit vaccines for aquaculture,31616,2010-04-01,2010.0,2011-03-31,2011,Pfizer (Canada),grid.421137.2,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2915638,366693,Pan-PRovincial Vaccine ENTerprise,3230548,2007-04-01,2007.0,2008-03-31,2008,Pan-Provincial Vaccine Enterprise,grid.440055.0,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2912254,285269,Vaccine formulation and delivery,49951,2004-04-01,2004.0,2005-03-31,2005,University of Saskatchewan,grid.25152.31,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2880945,379652,Vaccines for farm fish,4184,2007-04-01,2007.0,2008-03-31,2008,Zoetis (Canada),grid.436699.7,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2877426,516321,Vaccins thérapeutiques anti-cancer,4498,2012-04-01,2012.0,2013-03-31,2013,GlaxoSmithKline (Canada),grid.420846.c,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2828580,495065,Vaccins thérapeutiques anti-cancer,4546,2011-04-01,2011.0,2012-03-31,2012,GlaxoSmithKline (Canada),grid.420846.c,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2805504,379651,Vaccines for farm fish,4184,2007-04-01,2007.0,2008-03-31,2008,Zoetis (Canada),grid.436699.7,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2795214,330169,Improving cancer vaccine efficacy,15247,2006-04-01,2006.0,2007-03-31,2007,McMaster University,grid.25073.33,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.2692263,U01IP000464,NEW VACCINE SURVEILLANCE NETWORK,3455122,2011-08-01,2011.0,2017-07-31,2017,Vanderbilt University,grid.152326.1,United States,Centers for Disease Control and Prevention,United States,4,0,0
grant.2688631,U01CA061398,MACROPHAGE-BASED MELANOMA VACCINE,0,1993-09-01,1993.0,1997-09-04,1997,University of Connecticut Health Center,grid.208078.5,United States,National Cancer Institute,United States,10,0,0
grant.2657670,R44AI034679,HELICOBACTER PYLORI MUCOSAL VACCINE,0,1993-09-30,1993.0,1997-08-31,1997,Sanofi (United States),grid.417555.7,United States,National Institute of Allergy and Infectious Diseases,United States,2,0,0
grant.2640366,R43AI040433,MALARIA VACCINE ADJUVANT DEVELOPMENT,0,1996-09-30,1996.0,1997-03-31,1997,Corixa Corporation,grid.284594.6,United States,National Institute of Allergy and Infectious Diseases,United States,0,0,0
grant.2597598,R21AI045391,HIV GP120 GLYCOCONJUGATE VACCINES,485633,2000-02-15,2000.0,2004-01-31,2004,Brigham and Women's Hospital,grid.62560.37,United States,National Institute of Allergy and Infectious Diseases,United States,1,0,0
grant.2424826,N01AI065303,SIMIAN VACCINE EVALUATION UNITS,838646,1996-06-30,1996.0,2001-06-29,2001,Sanofi (United States),grid.417555.7,United States,National Institute of Allergy and Infectious Diseases,United States,8,0,0
grant.2424691,N01AI052576,TESTING VACCINES IN CHILDREN,0,1985-02-01,1985.0,1990-02-03,1990,Vanderbilt University,grid.152326.1,United States,National Institute of Allergy and Infectious Diseases,United States,8,0,0
grant.2424653,N01AI045240,HLA AND VACCINES (BAA),0,1994-09-30,1994.0,1999-09-29,1999,Mayo Clinic,grid.66875.3a,United States,National Institute of Allergy and Infectious Diseases,United States,19,0,0
grant.2424634,N01AI045211,AIDS VACCINE EVALUATION UNITS,52371,1994-05-31,1994.0,2000-05-31,2000,Saint Louis University,grid.262962.b,United States,National Institute of Allergy and Infectious Diseases,United States,27,0,0
grant.2424633,N01AI045210,AIDS VACCINE EVALUATION UNITS,113783,1994-05-31,1994.0,2000-05-31,2000,Vanderbilt University,grid.152326.1,United States,National Institute of Allergy and Infectious Diseases,United States,22,0,0
grant.2424632,N01AI045209,AIDS VACCINE EVALUATION UNITS,378543,1994-05-31,1994.0,2000-05-31,2000,University of Alabama at Birmingham,grid.265892.2,United States,National Institute of Allergy and Infectious Diseases,United States,17,0,0
grant.2424631,N01AI045208,AIDS VACCINE EVALUATION UNITS,113000,1994-05-31,1994.0,2000-05-31,2000,University of Rochester,grid.16416.34,United States,National Institute of Allergy and Infectious Diseases,United States,20,0,0
grant.2424630,N01AI045207,AIDS VACCINE EVALUATION UNITS,534630,1994-05-27,1994.0,2000-05-31,2000,Johns Hopkins University,grid.21107.35,United States,National Institute of Allergy and Infectious Diseases,United States,15,0,0
grant.2424629,N01AI045206,AIDS VACCINE EVALUATION UNITS,39000,1994-05-31,1994.0,2000-05-31,2000,University of Washington,grid.34477.33,United States,National Institute of Allergy and Infectious Diseases,United States,15,0,0
grant.2424455,N01AI015114,EVALUATION OF CANDIDATE VACCINES,0,1991-06-18,1991.0,1996-09-30,1996,Sanofi (United States),grid.417555.7,United States,National Institute of Allergy and Infectious Diseases,United States,0,0,0
grant.2424372,N01AI005065,AIDS VACCINE EVALUATION UNITS,0,1990-02-01,1990.0,1995-01-31,1995,University of Washington,grid.34477.33,United States,National Institute of Allergy and Infectious Diseases,United States,16,0,0
grant.2393802,H23IP000735,IMMUNIZATION & VACCINES FOR CHILDREN,8807296,2013-01-01,2013.0,2017-12-31,2017,Philadelphia Department of Public Health,grid.280512.c,United States,Centers for Disease Control and Prevention,United States,1,0,0
grant.2393756,H23IP000689,Hepatatis B Vaccine Pilot,1265722,2012-09-30,2012.0,2015-06-29,2015,Virginia Department of Health,grid.280313.b,United States,Centers for Disease Control and Prevention,United States,0,0,0
grant.7987079,0311300 /8,Verbundprojekt: Verfahren zur Impfstoffentwicklung: Rekombinante Impfstoffe Impfstoffe gegen virale Erkrankungen von Salmoniden,183534,1996-07-01,1996.0,1999-06-30,1999,,,,Federal Ministry of Education and Research,Germany,0,0,0
grant.8217971,39789010,基因工程疫苗的机理,120798,1998-01-01,1998.0,2000-12-31,2000,Second Military Medical University,grid.73113.37,China,National Natural Science Foundation of China,China,2,0,0
grant.8176576,31210103063,坏死杆菌重组亚单位疫苗研究,1901,2012-11-09,2012.0,2012-12-31,2012,,,,National Natural Science Foundation of China,China,0,0,0
grant.8175344,30910303037,2009亚洲DNA疫苗国际年会,5854,2009-07-01,2009.0,2009-12-31,2009,China Agricultural University,grid.22935.3f,China,National Natural Science Foundation of China,China,0,0,0
grant.8172020,30410203257,2004年DNA疫苗国际会议,1691,2004-11-16,2004.0,2004-12-31,2004,Tsinghua University,grid.12527.33,China,National Natural Science Foundation of China,China,0,0,0
grant.8166566,30010427,第三届疫苗研究年会,1086,2000-01-01,2000.0,2000-12-31,2000,Second Military Medical University,grid.73113.37,China,National Natural Science Foundation of China,China,0,0,0
grant.7988463,0313170,BioChancePLUS: Therapeutische Vakzinierung gegen Multiple Sklerose,512009,2004-07-01,2004.0,2007-06-30,2007,EMC microcollections (Germany),grid.424419.e,Germany,Federal Ministry of Education and Research,Germany,0,0,0
grant.7821014,BCTR9831,Improved Vaccines for Breast Cancer Immunotherapy,200000,1998-05-01,1998.0,2001-04-30,2001,"University of California, Berkeley",grid.47840.3f,United States,Susan G. Komen Breast Cancer Foundation,United States,0,0,0
grant.7688859,,Sterilization Vaccine for Cattle,0,2006-07-01,2006.0,2006-12-01,2006,Washington State University; Washington State University; Yüzüncü Yıl University,grid.30064.31; grid.30064.31; grid.411703.0,United States; United States; Turkey,Council for International Exchange of Scholars,United States,0,0,0
grant.7685445,,Vaccine Production in Plants,0,2011-01-01,2011.0,2011-09-30,2011,Pitzer College; Pitzer College; Pitzer College; Pitzer College; University of Botswana; University of Botswana; University of Botswana,grid.418658.6; grid.418658.6; grid.418658.6; grid.418658.6; grid.7621.2; grid.7621.2; grid.7621.2,United States; United States; United States; United States; Botswana; Botswana; Botswana,Council for International Exchange of Scholars,United States,0,0,0
grant.7666696,,Novel vaccine formulations against tuberculosis,295003,2002-10-01,2002.0,2005-09-30,2005,McMaster University,grid.25073.33,Canada,Canadian Institutes of Health Research,Canada,0,0,0
grant.7664870,,Development of recombinant TB vaccine,101459,1999-06-01,1999.0,2003-05-31,2003,McMaster University,grid.25073.33,Canada,Canadian Institutes of Health Research,Canada,0,0,0
grant.7628231,,Hepatitis C: Vaccines and Immunotherapy,9841,2000-04-01,2000.0,2001-10-31,2001,Ottawa Hospital,grid.412687.e,Canada,Canadian Institutes of Health Research,Canada,0,0,0
grant.7623308,,DNA vaccine for chlamydia,67329,1999-04-01,1999.0,2001-03-31,2001,University of British Columbia,grid.17091.3e,Canada,Canadian Institutes of Health Research,Canada,0,0,0
grant.7575791,211347,nd,1514,2016-04-01,2016.0,2017-03-31,2017,Université de Sherbrooke,grid.86715.3d,Canada,Fonds de Recherche du Québec – Nature et technologies,Canada,0,0,0
grant.7568437,VIRX0201,New Generation Recombinant Viral Vaccine Vectors,81841,2002-07-01,2002.0,2003-06-30,2003,,,,"Ministry of Business, Innovation and Employment",New Zealand,0,0,0
grant.7567590,SWSS0402,The automated synthesis of tuberculosis vaccines,182350,2004-07-01,2004.0,2007-08-31,2007,Malaghan Institute of Medical Research,grid.250086.9,New Zealand,"Ministry of Business, Innovation and Employment",New Zealand,0,0,0
grant.7456676,2010-0029242,신변종 인플루엔자 바이러스 제어 연구,0,2010-01-01,2010.0,2011-01-01,2011,Korea University,grid.222754.4,South Korea,National Research Foundation of Korea,South Korea,7,0,0
grant.7437133,762208,Mucosal Vaccine against HIV-1 Infection,66584,2008-04-01,2008.0,2010-03-31,2010,University of Hong Kong,grid.194645.b,China,University Grants Committee,China,4,0,0
grant.7167590,AF/090/97,Oral DNA Vaccines,638466,1997-01-01,1997.0,1999-01-31,1999,University of Hong Kong; University of Hong Kong,grid.194645.b; grid.194645.b,China; China,Innovation and Technology Commission,China,0,0,0
grant.7149998,,Microcontainers for oral vaccine delivery,579532,2014-01-01,2014.0,2014-12-31,2014,Technical University of Denmark,grid.5170.3,Denmark,Danish Agency for Science and Higher Education,Denmark,0,0,0
grant.7148384,,Microcontainers for oral vaccine delivery,88992,2014-01-01,2014.0,2014-12-31,2014,Technical University of Denmark,grid.5170.3,Denmark,Danish Agency for Science and Higher Education,Denmark,0,0,0
grant.7043734,VM0108,EC collaborative study for tetanus vaccines,23691,1992-04-01,1992.0,1993-03-31,1993,Animal and Plant Health Agency,grid.422685.f,United Kingdom,Department for Environment Food and Rural Affairs,United Kingdom,0,0,0
grant.7042974,SE2805,Antigenic properties of vaccine virus strains,230794,1996-04-01,1996.0,1999-03-31,1999,Pirbright Institute,grid.63622.33,United Kingdom,Department for Environment Food and Rural Affairs,United Kingdom,0,0,0
grant.7042624,SE1203,Alternative methods of formulating FMDV vaccines,74889,1990-04-01,1990.0,1993-03-31,1993,Pirbright Institute,grid.63622.33,United Kingdom,Department for Environment Food and Rural Affairs,United Kingdom,0,0,0
grant.7042622,SE1201,To maintain the footandmouth vaccine bank,552165,1990-04-01,1990.0,1993-03-31,1993,Pirbright Institute,grid.63622.33,United Kingdom,Department for Environment Food and Rural Affairs,United Kingdom,0,0,0
grant.6972056,609967,Vaccins et adjuvants pour la vache laitière,3391,2016-04-01,2016.0,2017-03-31,2017,Université de Sherbrooke,grid.86715.3d,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.6968725,606399,Prototype vaccine against sea lice,3391,2016-04-01,2016.0,2017-03-31,2017,University of Prince Edward Island,grid.139596.1,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.6966722,604388,Thermal Stabilization of Phage and Vaccines,3391,2016-04-01,2016.0,2017-03-31,2017,McMaster University,grid.25073.33,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.6844591,159106,A DNA Vaccine to Prevent Schistosomiasis,71382,2001-01-01,2001.0,2004-12-31,2004,QIMR Berghofer Medical Research Institute,grid.1049.c,Australia,National Health and Medical Research Council,Australia,0,0,0
grant.6735165,890745,Immune response to malaria vaccine candidate,229287,1989-01-01,1989.0,1991-12-31,1991,,,,National Health and Medical Research Council,Australia,0,0,0
grant.6732885,900006,Development of a contraceptive vaccine,46740,1990-01-01,1990.0,1991-12-31,1991,Royal North Shore Hospital,grid.412703.3,Australia,National Health and Medical Research Council,Australia,0,0,0
grant.6731341,920969,Challenging the malaria vaccine development strategy,78134,1992-01-01,1992.0,1998-12-31,1998,,,,National Health and Medical Research Council,Australia,0,0,0
grant.6730713,596899,Diabetes Vaccine Development Centre (DVDC),5147415,2010-01-01,2010.0,2017-12-31,2017,Melbourne Health; Melbourne Health; Melbourne Health,grid.429299.d; grid.429299.d; grid.429299.d,Australia; Australia; Australia,National Health and Medical Research Council,Australia,0,0,0
grant.6729465,900655,Vivax malaria sporozoite vaccine development,84188,1990-01-01,1990.0,1992-12-31,1992,,,,National Health and Medical Research Council,Australia,0,0,0
grant.6729082,920275,New vaccines produced by genetic engineering,136593,1992-01-01,1992.0,1994-12-31,1994,Macquarie University,grid.1004.5,Australia,National Health and Medical Research Council,Australia,0,0,0
grant.6726453,997640,A Mucosal HIV Polytype Vaccine,33003,1999-01-01,1999.0,2001-12-31,2001,QIMR Berghofer Medical Research Institute,grid.1049.c,Australia,National Health and Medical Research Council,Australia,0,0,0
grant.6725165,960338,HIV (AIDS) vaccine delivery vectors,120675,1996-01-01,1996.0,1998-12-31,1998,,,,National Health and Medical Research Council,Australia,1,0,0
grant.6725082,920330,A vaccine for cervical cancer,133297,1992-01-01,1992.0,1994-12-31,1994,University of Queensland,grid.1003.2,Australia,National Health and Medical Research Council,Australia,0,0,0
grant.6725032,910123,Development of an oral pneumococcal vaccine.,68538,1991-01-01,1991.0,1993-12-31,1993,,,,National Health and Medical Research Council,Australia,0,0,0
grant.6724834,910471,Development of new types of vaccines.,116900,1991-01-01,1991.0,1993-12-31,1993,University of Melbourne,grid.1008.9,Australia,National Health and Medical Research Council,Australia,0,0,0
grant.6723804,209187,DNA and avipox vaccines for HIV.,64693,2002-01-01,2002.0,2007-12-31,2007,University of Melbourne,grid.1008.9,Australia,National Health and Medical Research Council,Australia,0,0,0
grant.6723056,456152,Characterisation of Neisseria meningitidis vaccine candidates,298213,2007-01-01,2007.0,2013-12-31,2013,Griffith University,grid.1022.1,Australia,National Health and Medical Research Council,Australia,0,0,0
grant.6716599,950876,Towards a vaccine against hepatitis e,96548,1995-01-01,1995.0,1997-12-31,1997,Burnet Institute,grid.1056.2,Australia,National Health and Medical Research Council,Australia,4,0,0
grant.6714669,880246,A modern vaccine against leptospirosis,158968,1988-01-01,1988.0,1990-12-31,1990,Monash University,grid.1002.3,Australia,National Health and Medical Research Council,Australia,0,0,0
grant.6714037,900820,Development of an improved pneumococcal vaccine,148678,1990-01-01,1990.0,1992-12-31,1992,,,,National Health and Medical Research Council,Australia,0,0,0
grant.6713255,971030,Additional vaccine antigens for chlamydia,109364,1997-01-01,1997.0,1999-12-31,1999,Menzies School of Health Research,grid.271089.5,Australia,National Health and Medical Research Council,Australia,0,0,0
grant.6582874,OPP3431,To support the Vaccine Leadership Conference,40000,2000-06-01,2000.0,2001-06-01,2001,University of Southern California,grid.42505.36,United States,Bill & Melinda Gates Foundation,United States,0,0,0
grant.6370857,X46120----570027,風診生ワクチンに関する研究,5523,1971-01-01,1971.0,1971-12-31,1971,Osaka University,grid.136593.b,Japan,Japan Society for the Promotion of Science,Japan,0,0,0
grant.6363940,X45120-----70027,風疹生ワクチンに関する研究,5523,1970-01-01,1970.0,1970-12-31,1970,Osaka University,grid.136593.b,Japan,Japan Society for the Promotion of Science,Japan,0,0,0
grant.6363488,X44120----371029,流行性耳下腺炎生ワクチンに関する研究,6907,1969-01-01,1969.0,1969-12-31,1969,Osaka University,grid.136593.b,Japan,Japan Society for the Promotion of Science,Japan,0,0,0
grant.6343961,X41120-----71094,インフルエンザ生ワクチンに関する研究,6907,1966-01-01,1966.0,1966-12-31,1966,Osaka University,grid.136593.b,Japan,Japan Society for the Promotion of Science,Japan,0,0,0
grant.6317005,X00120----187045,インフルエンザ生ワクチンに関する研究,8978,1976-01-01,1976.0,1976-12-31,1976,Osaka University,grid.136593.b,Japan,Japan Society for the Promotion of Science,Japan,0,0,0
grant.6315891,X00120----287054,インフルエンザ生ワクチンに関する研究,11050,1977-01-01,1977.0,1977-12-31,1977,Osaka University,grid.136593.b,Japan,Japan Society for the Promotion of Science,Japan,0,0,0
grant.6233441,61771809,合成マラリアワクチンの開発研究,6907,1986-01-01,1986.0,1986-12-31,1986,Kyoto University,grid.258799.8,Japan,Japan Society for the Promotion of Science,Japan,0,0,0
grant.6193400,E 50,Biochemical characterization of a vaccine,0,2000-07-01,2000.0,2002-06-30,2002,University of Natural Resources and Life Sciences; University of Natural Resources and Life Sciences,grid.5173.0; grid.5173.0,Austria; Austria,FWF Austrian Science Fund,Austria,0,0,0
grant.6171313,56770791,単純ヘルペスウイルスワクチンの研究,6559,1981-01-01,1981.0,1981-12-31,1981,Osaka University,grid.136593.b,Japan,Japan Society for the Promotion of Science,Japan,0,0,0
grant.6169577,56870047,パラインフルエンザウイルスワクチンの開発,12430,1981-01-01,1981.0,1981-12-31,1981,Nagoya University,grid.27476.30,Japan,Japan Society for the Promotion of Science,Japan,0,0,0
grant.5896926,16922177,新規腫瘍ワクチンの作製,6934,2004-01-01,2004.0,2004-12-31,2004,Mirai Hospital,grid.505850.d,Japan,Japan Society for the Promotion of Science,Japan,0,0,0
grant.5526642,583834,Anti-Vaccine Blog Annotation Project,3518,2015-04-01,2015.0,2016-03-31,2016,Concordia University,grid.410319.e,Canada,Natural Sciences and Engineering Research Council,Canada,0,0,0
grant.5502450,hrc_aae0a049,Vaccine-based immunotherapy of cancer,3578777,2010-01-01,2010.0,2015-01-01,2015,Malaghan Institute of Medical Research,grid.250086.9,New Zealand,Health Research Council of New Zealand,New Zealand,0,0,0
grant.5246711,N01AI95367-0-0-0,HIV VACCINE PRODUCTION,126906,1999-07-09,1999.0,2008-08-31,2008,,,,National Institute of Allergy and Infectious Diseases,United States,0,0,0
grant.5246674,N01AI60019-4-0-1,Therapeutics/Vaccine Teams,5519281,2008-01-01,2008.0,2008-12-31,2008,,,,National Institute of Allergy and Infectious Diseases,United States,0,0,0
grant.5246626,N01AI50040-5-0-1,Tularemia Vaccine Development,0,2005-09-30,2005.0,2010-09-29,2010,,,,National Institute of Allergy and Infectious Diseases,United States,0,0,0
