inventor_names,times_cited,granted_year,year,filing_status,associated_grant_ids,assignees,assignee_names,publication_date,id,title
"['Edward V. Arnold', 'Gail Ferstandig Arnold']",74.0,1998.0,1995,Grant,['grant.2687218'],"[{'id': 'grid.430387.b', 'acronym': 'RU', 'name': 'Rutgers, The State University of New Jersey', 'country_name': 'United States'}]","['Rutgers State University of New Jersey', 'UNIV RUTGERS']",1998-02-03,US-5714374-A,Chimeric rhinoviruses
"['Daniel J. Smith', 'Martin A. Taubman']",2.0,2004.0,1999,Grant,"['grant.2489571', 'grant.2489689']",,"['Forsyth Dental Infirmary for Children', 'FORSYTH DENTAL INFIRMARY']",2004-12-07,US-6827936-B1,Synthetic peptide vaccines for dental caries
"['Clifford J. Beall', 'Kelly R. Clark', 'Philip R. Johnson, Jr.']",,,2009,Application,['grant.5246582'],"[{'id': 'grid.240344.5', 'name': ""Nationwide Children's Hospital"", 'country_name': 'United States'}]","[""NATIONWIDE CHILDREN'S HOSPITAL"", 'NATIONWIDE CHILDRENS HOSPITAL']",2009-11-05,US-20090275138-A1,PRODUCTION OF rAAV IN VERO CELLS USING PARTICULAR ADENOVIRUS HELPERS
"['Leemor Joshua-Tor', 'Niraj Tolia', 'B. Lee Sim']",,,2005,Application,['grant.2424424'],"[{'id': 'grid.423438.a', 'name': 'Protein Potential (United States)', 'country_name': 'United States'}, {'id': 'grid.225279.9', 'acronym': 'CSHL', 'name': 'Cold Spring Harbor Laboratory', 'country_name': 'United States'}]","['PROTEIN POTENTIAL LLC', 'Cold Spring Harbor Laboratory', 'JOSHUA-TOR LEEMOR', 'TOLIA NIRAJ H', 'LEE SIM B K']",2007-02-22,US-20070043208-A1,Crystal structure of erythrocyte binding domain of EBA-175
"['Jon Rayner', 'Jonathan Smith', 'Bolyn Hubby', 'Elizabeth Reap']",20.0,,2005,Application,"['grant.2687621', 'grant.2687606']","[{'id': 'grid.422340.3', 'name': 'AlphaVax (United States)', 'country_name': 'United States'}]","['AlphaVax Inc', 'ALPHAVAX INC']",2005-12-01,US-20050266550-A1,"TC-83-derived alphavirus vectors, particles and methods"
"['Jon O. Rayner', 'Jonathan F. Smith', 'Bolyn Hubby', 'Elizabeth A. Reap']",7.0,2016.0,2015,Grant,"['grant.2687621', 'grant.2687606']","[{'id': 'grid.422340.3', 'name': 'AlphaVax (United States)', 'country_name': 'United States'}]","['AlphaVax Inc', 'ALPHAVAX INC']",2016-09-13,US-9441247-B2,"TC-83-derived alphavirus vectors, particles and methods"
"['Raymond J. Dattwyler', 'Maria J. C. Gomes-Solecki', 'Benjamin J. Luft', 'John J. Dunn']",3.0,2007.0,2005,Grant,['grant.2453176'],"[{'id': 'grid.448356.8', 'acronym': 'RF SUNY ', 'name': 'Research Foundation for the State University of New York', 'country_name': 'United States'}, {'id': 'grid.423597.e', 'acronym': 'BSA', 'name': 'Brookhaven Science Associates', 'country_name': 'United States'}]","['Research Foundation of State University of New York', 'Brookhaven Science Associates LLC', 'BROOKHAVEN SCIENCES ASS LLC']",2007-02-20,US-7179448-B2,Recombinant constructs of Borrelia burgdorferi
"['Jon O. Rayner', 'Jonathan F. Smith', 'Bolyn Hubby', 'Elizabeth A. Reap']",4.0,,2010,Application,"['grant.2687606', 'grant.2687621']","[{'id': 'grid.422340.3', 'name': 'AlphaVax (United States)', 'country_name': 'United States'}]","['AlphaVax Inc', 'ALPHAVAX INC']",2011-02-03,US-20110027306-A1,"TC-83-Derived Alphavirus Vectors, Particles and Methods"
"['Raymond Dattwyler', 'Maria Gomes-Solecki', 'Benjamin Luft', 'John Dunn']",8.0,,2006,Application,['grant.2453176'],"[{'id': 'grid.448356.8', 'acronym': 'RF SUNY ', 'name': 'Research Foundation for the State University of New York', 'country_name': 'United States'}]","['Research Foundation of State University of New York', 'DATTWYLER RAYMOND J', 'GOMES-SOLECKI MARIA J C', 'LUFT BENJAMIN J', 'DUNN JOHN J']",2007-01-25,US-20070020286-A1,Recombinant constructs of Borrelia burgdorferi
['Mario T. Philipp'],36.0,2003.0,1999,Grant,['grant.2452868'],"[{'id': 'grid.265219.b', 'name': 'Tulane University', 'country_name': 'United States'}]","['Administrators of the Tulane Educational Fund', 'UNIV TULANE']",2003-12-09,US-6660274-B2,Surface antigens and proteins useful in compositions for the diagnosis and prevention of lyme disease
"['Daniel Smith', 'Martin Taubman']",,,2004,Application,"['grant.2489689', 'grant.2489571']","[{'id': 'grid.38142.3c', 'name': 'Harvard University', 'country_name': 'United States'}]","['FORSYTH INSTITUTE', 'SMITH DANIEL J.', 'TAUBMAN MARTIN A.']",2005-02-03,US-20050026271-A1,Glucosyltransferase immunogens
"['Benjamin J. Luft', 'John J. Dunn', 'Shohei Koide', 'Catherine L. Lawson']",2.0,2014.0,2008,Grant,"['grant.2453176', 'grant.2515650']","[{'id': 'grid.448356.8', 'acronym': 'RF SUNY ', 'name': 'Research Foundation for the State University of New York', 'country_name': 'United States'}, {'id': 'grid.423597.e', 'acronym': 'BSA', 'name': 'Brookhaven Science Associates', 'country_name': 'United States'}, {'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}]","['BROOKHAVEN SCIENCES ASSOCIATES LLC', 'Research Foundation of State University of New York', 'University of Rochester', 'LUFT BENJAMIN J', 'DUNN JOHN J', 'KOIDE SHOHEI', 'LAWSON CATHERINE L', 'BROOKHAVEN SCIENCES ASS LLC', 'UNIV ROCHESTER', 'UNIV NEW YORK STATE RES FOUND']",2014-03-25,US-8680236-B2,Altered OspA of borrelia burgdorferi 
['MARIO PHILIPP'],7.0,,1999,Application,['grant.2452868'],"[{'id': 'grid.265219.b', 'name': 'Tulane University', 'country_name': 'United States'}]","['Administrators of the Tulane Educational Fund', 'PHILIPP MARIO T.']",2003-03-27,US-20030059894-A1,SURFACE ANTIGENS AND PROTEINS USEFUL IN COMPOSITIONS FOR THE DIAGNOSIS AND PREVENTION OF LYME DISEASE
"['Daniel J. Smith', 'Martin A. Taubman']",,,1997,Application,"['grant.2489571', 'grant.2489689']",,"['Forsyth Dental Infirmary for Children', 'SMITH DANIEL J.', 'TAUBMAN MARTIN A.']",2001-12-06,US-20010048926-A1,SYNTHETIC PEPTIDE VACCINES FOR DENTAL CARIES
"['Mario T. Philipp', 'Fang Ting Liang']",46.0,2002.0,1999,Grant,"['grant.2441132', 'grant.2452868']","[{'id': 'grid.265219.b', 'name': 'Tulane University', 'country_name': 'United States'}]","['Administrators of the Tulane Educational Fund', 'UNIV TULANE']",2002-11-05,US-6475492-B1,Peptides and assays for the diagnosis of lyme disease
"['Benjamin J. Luft', 'John J. Dunn', 'Shohei Koide', 'Catherine L. Lawson']",,2015.0,2013,Grant,"['grant.2515650', 'grant.2453176']","[{'id': 'grid.448356.8', 'acronym': 'RF SUNY ', 'name': 'Research Foundation for the State University of New York', 'country_name': 'United States'}, {'id': 'grid.423597.e', 'acronym': 'BSA', 'name': 'Brookhaven Science Associates', 'country_name': 'United States'}, {'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}]","['BROOKHAVEN SCIENCES ASSOCIATES LLC', 'Research Foundation of State University of New York', 'University of Rochester', 'BROOKHAVEN SCIENCES ASS LLC', 'UNIV ROCHESTER', 'UNIV NEW YORK STATE RES FOUND']",2015-03-31,US-8992936-B2,Altered OspA of Borrelia burgdorferi
"['Raymond J. Dattwyler', 'Maria J. C. Gomes-Solecki', 'Benjamin J. Luft', 'John J. Dunn']",,2009.0,2006,Grant,['grant.2453176'],"[{'id': 'grid.448356.8', 'acronym': 'RF SUNY ', 'name': 'Research Foundation for the State University of New York', 'country_name': 'United States'}, {'id': 'grid.423597.e', 'acronym': 'BSA', 'name': 'Brookhaven Science Associates', 'country_name': 'United States'}]","['Research Foundation of State University of New York', 'Brookhaven Science Associates LLC', 'UNIV NEW YORK STATE RES FOUND', 'BROOKHAVEN SCIENCES ASS LLC']",2009-10-20,US-7605248-B2,Recombinant constructs of Borrelia burgdorferi 
"['Mary Homer', 'Michael Lodes', 'Raymond Houghton', 'David Persing', 'Patricia McNeill']",4.0,,2002,Application,['grant.2640228'],"[{'id': 'grid.418019.5', 'acronym': 'GSK', 'name': 'GlaxoSmithKline (United States)', 'country_name': 'United States'}]","['Corixa Corp', 'CORIXA CORP']",2003-05-15,US-20030091598-A1,Compounds and methods for the diagnosis and treatment of Babesia infection
"['Raymond J. Dattwyler', 'Maria J. C. Gomes-Solecki', 'Benjamin J. Luft', 'John J. Dunn']",16.0,2006.0,2003,Grant,['grant.2453176'],"[{'id': 'grid.423597.e', 'acronym': 'BSA', 'name': 'Brookhaven Science Associates', 'country_name': 'United States'}, {'id': 'grid.448356.8', 'acronym': 'RF SUNY ', 'name': 'Research Foundation for the State University of New York', 'country_name': 'United States'}]","['BROOKHAVEN SCIENCES ASSOCIATES LLC', 'Research Foundation of State University of New York', 'UNIV NEW YORK STATE RES FOUND', 'BROOKHAVEN SCIENCES ASS LLC']",2006-03-07,US-7008625-B2,Recombinant constructs of Borrelia burgdorferi
"['Jon O. Rayner', 'Jonathan F. Smith', 'Bolyn Hubby', 'Elizabeth A. Reap']",,,2016,Application,"['grant.2687606', 'grant.2687621']","[{'id': 'grid.422340.3', 'name': 'AlphaVax (United States)', 'country_name': 'United States'}]","['AlphaVax Inc', 'ALPHAVAX INC']",2016-12-01,US-20160348132-A1,"TC-83-DERIVED ALPHAVIRUS VECTORS, PARTICLES AND METHODS"
"['John Polo', 'Silvia Perri', 'Kent Thudium']",13.0,,2006,Application,['grant.2424402'],"[{'id': 'grid.425090.a', 'acronym': 'GSK', 'name': 'GlaxoSmithKline (Belgium)', 'country_name': 'Belgium'}, {'id': 'grid.418424.f', 'acronym': 'NPC', 'name': 'Novartis (United States)', 'country_name': 'United States'}]","['GlaxoSmithKline Biologicals SA', 'CHIRON CORP']",2006-12-28,US-20060292175-A1,Chimeric alphavirus replicon particles
"['Jan zur Megede', 'Susan Barnett']",9.0,,2005,Application,['grant.2424402'],"[{'id': 'grid.418424.f', 'acronym': 'NPC', 'name': 'Novartis (United States)', 'country_name': 'United States'}]","['Novartis Vaccines and Diagnostics Inc', 'CHIRON CORP']",2005-12-29,US-20050287167-A1,Polycistronic HIV vector constructs
"['Fernando R. Noriega', 'Marcelo B. Sztein', 'Myron M. Levine']",53.0,2001.0,1998,Grant,"['grant.2424663', 'grant.2597279', 'grant.2451922', 'grant.2453084']","[{'id': 'grid.411024.2', 'acronym': 'UMAB', 'name': 'University of Maryland, Baltimore', 'country_name': 'United States'}, {'id': 'grid.164295.d', 'acronym': 'UMCP', 'name': 'University of Maryland, College Park', 'country_name': 'United States'}]","['BALTIMORE UNIVERSITY OF MARYLAND', 'University of Maryland, Baltimore', 'UNIV MARYLAND']",2001-02-20,US-6190669-B1,Attenuated mutants of salmonella which constitutively express the Vi antigen
"['Ralph C. Judd', 'D. Scott Manning']",3.0,2010.0,2006,Grant,['grant.2590181'],"[{'id': 'grid.253613.0', 'acronym': 'UM', 'name': 'University of Montana', 'country_name': 'United States'}, {'id': 'grid.297878.b', 'acronym': 'MUS', 'name': 'University of Montana System', 'country_name': 'United States'}]","['University of Montana', 'UNIV MONTANA']",2010-02-16,US-7662588-B2,"Omp85 proteins of Neisseria gonorrhoeae and Neisseria meningitidis, compositions containing same and methods of use thereof"
"['Jan zur Megede', 'Susan W. Barnett']",2.0,2009.0,2005,Grant,['grant.2424402'],"[{'id': 'grid.418424.f', 'acronym': 'NPC', 'name': 'Novartis (United States)', 'country_name': 'United States'}]","['Novartis Vaccines and Diagnostics Inc', 'NOVARTIS VACCINES & DIAGNOSTIC']",2009-11-24,US-7622125-B2,Polycistronic HIV vector constructs
['Barton Haynes'],2.0,,2006,Application,['grant.2435096'],"[{'id': 'grid.26009.3d', 'name': 'Duke University', 'country_name': 'United States'}]","['Duke University', 'UNIV DUKE']",2007-04-19,US-20070086946-A1,Assay
"['Barton F. Haynes', 'Heather Desaire', 'Eden P. Go']",3.0,,2007,Application,['grant.2435096'],"[{'id': 'grid.26009.3d', 'name': 'Duke University', 'country_name': 'United States'}, {'id': 'grid.266515.3', 'acronym': 'KU', 'name': 'University of Kansas', 'country_name': 'United States'}]","['University of Kansas', 'Duke University', 'UNIV DUKE']",2009-12-17,US-20090311289-A1,VACCINE
"['William R. Jacobs, Jr.', 'Kari Sweeney', 'Dee Dao', 'Steven A. Porcelli', 'John Chan', 'Tsungda Hsu']",,,2008,Application,"['grant.2451389', 'grant.2435154', 'grant.2435096']","[{'id': 'grid.251993.5', 'acronym': 'AECOM', 'name': 'Albert Einstein College of Medicine', 'country_name': 'United States'}]","['Albert Einstein College of Medicine', 'JACOBS JR WILLIAM R', 'SWEENEY KARI', 'DAO DEE', 'PORCELLI STEVEN A', 'CHAN JOHN', 'HSU TSUNGDA']",2012-06-07,US-20120141533-A1,MYCOBACTERIAL MUTANTS INDUCING IL-12
"['Ralph C. Judd', 'D. Scott Manning']",1.0,2010.0,2003,Grant,['grant.2590181'],"[{'id': 'grid.297878.b', 'acronym': 'MUS', 'name': 'University of Montana System', 'country_name': 'United States'}, {'id': 'grid.253613.0', 'acronym': 'UM', 'name': 'University of Montana', 'country_name': 'United States'}]","['MONTANA THE, University of', 'University of Montana', 'UNIV MONTANA']",2010-09-14,US-7794733-B2,"Omp85 proteins of Neisseria gonorrhoeae and Neisseria meningitidis, compositions containing same and methods of use thereof"
"['Richard Whitley', 'James Markert', 'George Gillespie', 'Jacqueline Parker']",6.0,,2004,Application,"['grant.2435668', 'grant.2424802', 'grant.2434876']","[{'id': 'grid.94365.3d', 'acronym': 'NIH', 'name': 'National Institutes of Health', 'country_name': 'United States'}]","['NATIONAL INSTITUTES OF HEALTH-DIRECTOR DEITR', 'WHITLEY RICHARD J.', 'MARKERT JAMES MACDOWELL', 'GILLESPIE GEORGE YANCEY', 'PARKER JACQUELINE NESS']",2004-12-23,US-20040258667-A1,Herpes simplex virus expressing foreign genes and method for treating cancers therewith
"['John Eldridge', 'Zimra Israel', 'Michael Egan', 'Stephen Udem']",3.0,,2004,Application,"['grant.2424403', 'grant.2424512']","[{'id': 'grid.410513.2', 'acronym': 'Pfizer', 'name': 'Pfizer (United States)', 'country_name': 'United States'}]","['Wyeth LLC', 'WYETH CORP']",2007-06-14,US-20070134200-A1,Immunogenic composition and methods
"['John Donnelly', 'Susan W. Barnett', ""Derek O'Hagan""]",10.0,2013.0,2011,Grant,['grant.2424402'],"[{'id': 'grid.418424.f', 'acronym': 'NPC', 'name': 'Novartis (United States)', 'country_name': 'United States'}, {'id': 'grid.425090.a', 'acronym': 'GSK', 'name': 'GlaxoSmithKline (Belgium)', 'country_name': 'Belgium'}]","['GlaxoSmithKline Biologicals SA', 'DONNELLY JOHN', 'BARNETT SUSAN W', ""O'HAGAN DEREK"", 'NOVARTIS VACCINES & DIAGNOSTIC']",2013-12-17,US-8609109-B2,HIV vaccine formulations
['Maurizio Zanetti'],,,2013,Application,"['grant.2687357', 'grant.2434943']",,['ZANETTI MAURIZIO'],2013-07-18,US-20130183347-A1,Somatic Transgene Immunization and Related Methods
"['John H. Kenten', 'Alfonso Tramontano', 'Aprile L. Pilon', 'Gerald L. Lohnas', 'Steven F. Roberts']",6.0,2003.0,2001,Grant,['grant.2640346'],,"['Wellstat BioCatalysis LLC', 'PROTEINIX COMPANY']",2003-12-09,US-6660271-B2,Ubiquitin fusion-based vaccine system
['Hildegund C. J. Ertl'],34.0,2001.0,1999,Grant,"['grant.2452654', 'grant.2453161']","[{'id': 'grid.251075.4', 'name': 'The Wistar Institute', 'country_name': 'United States'}]","['Wistar Institute, The', 'WISTAR INST']",2001-04-03,US-6210663-B1,Methods of augmenting mucosal immunity through systemic priming and mucosal boosting
"['Nathaniel R. Landau', 'Richard A. Koup', 'Rong Liu', 'William Paxton']",39.0,2000.0,1997,Grant,"['grant.2625316', 'grant.2452937', 'grant.2472846', 'grant.2424636', 'grant.2453333']","[{'id': 'grid.280587.0', 'acronym': 'ADARC', 'name': 'Aaron Diamond AIDS Research Center', 'country_name': 'United States'}]","['Aaron Diamond AIDS Research Center', 'AARON DIAMOND AIDS RESEARCH CE']",2000-05-02,US-6057102-A,HIV coreceptor mutants
"['Jan zur Megede', 'Susan W. Barnett']",1.0,,2009,Application,['grant.2424402'],"[{'id': 'grid.418424.f', 'acronym': 'NPC', 'name': 'Novartis (United States)', 'country_name': 'United States'}]","['Novartis Vaccines and Diagnostics Inc', 'NOVARTIS VACCINES & DIAGNOSTIC']",2010-02-18,US-20100040676-A1,POLYCISTRONIC HIV VECTOR CONSTRUCTS
"['Jan zur Megede', 'Susan Barnett', 'Ying Lian']",9.0,2007.0,2004,Grant,['grant.2424402'],"[{'id': 'grid.418424.f', 'acronym': 'NPC', 'name': 'Novartis (United States)', 'country_name': 'United States'}]","['Novartis Vaccines and Diagnostics Inc', 'NOVARTIS VACCINES & DIAGNOSTIC']",2007-10-16,US-7282364-B2,"Polynucleotides encoding antigenic HIV type B polypeptides, polypeptides and uses thereof"
"['John T. Belisle', 'Mark J. Sartain', 'Suman Laal']",14.0,,2007,Application,"['grant.2424889', 'grant.2456377']","[{'id': 'grid.47894.36', 'acronym': 'CSU', 'name': 'Colorado State University', 'country_name': 'United States'}, {'id': 'grid.137628.9', 'acronym': 'NYU', 'name': 'New York University', 'country_name': 'United States'}]","['Colorado State University Research Foundation', 'New York University', 'UNIV COLORADO STATE RES FOUND', 'UNIV NEW YORK']",2008-07-17,US-20080171345-A1,BIOMARKERS OF TUBERCULOSIS THAT DISTINGUISH DISEASE CATEGORIES: USE AS SERODIAGNOSTIC ANTIGENS
"['Antu K. Dey', 'Moore P. John', 'William C. Olson', 'Sai Prasad N. Iyer', 'Yun (Kenneth) Kang', 'Michael Franti']",1.0,,2007,Application,"['grant.2424537', 'grant.2453025', 'grant.2454590']","[{'id': 'grid.280766.d', 'name': 'Progenics Pharmaceuticals (United States)', 'country_name': 'United States'}, {'id': 'grid.5386.8', 'acronym': 'CU', 'name': 'Cornell University', 'country_name': 'United States'}]","['Cornell Research Foundation Inc', 'Progenics Pharmaceuticals Inc', 'DEY ANTU K', 'JOHN MOORE P', 'OLSON WILLIAM C', 'IYER SAI PRASAD N', 'KANG YUN KENNETH', 'FRANTI MICHAEL']",2010-02-18,US-20100041875-A1,"MODIFIED GP140 ENVELOPE POLYPEPTIDES OF HIV-1 ISOLATES, COMPOSITIONS, STABILIZED TRIMERIC COPLEXES, AND USES THEREOF"
"['Bernard Roizman', 'Bin He']",4.0,1998.0,1997,Grant,"['grant.2632961', 'grant.2434876']","[{'id': 'grid.480031.e', 'name': 'ARCH Development Corporation', 'country_name': 'United States'}]","['ARCH DEVELOPMENT Corp (ILLINOIS CORPORATION)', 'Arch Development Corp', 'ARCH DEV CORP']",1998-08-18,US-5795713-A,Methods for identifying inducers and inhibitors of programmed cell death
"['Hunein Maassab', 'Martha Louise Herlocher']",7.0,2012.0,2007,Grant,"['grant.2424679', 'grant.2424360', 'grant.2450225', 'grant.2438833', 'grant.2697621']","[{'id': 'grid.214458.e', 'acronym': 'UM', 'name': 'University of Michigan', 'country_name': 'United States'}]","['University of Michigan', 'MAASSAB HUNEIN F', 'HERLOCHER MARTHA LOUISE', 'UNIV MICHIGAN']",2012-10-09,US-8282937-B2,Cold-adapted (CA) reassortant influenza virus
"['William R. Jacobs', 'Norman L. Letvin', 'Mark Cayabyab', 'Barton F. Haynes', 'Hua-Xin Liao', 'Jae-Sung Yu', 'Avi-Hai Hovav']",5.0,,2006,Application,"['grant.2435096', 'grant.2454634']","[{'id': 'grid.26009.3d', 'name': 'Duke University', 'country_name': 'United States'}, {'id': 'grid.251993.5', 'acronym': 'AECOM', 'name': 'Albert Einstein College of Medicine', 'country_name': 'United States'}, {'id': 'grid.239395.7', 'acronym': 'BIDMC', 'name': 'Beth Israel Deaconess Medical Center', 'country_name': 'United States'}]","['Albert Einstein College of Medicine', 'Beth Israel Deaconess Medical Center Inc', 'Duke University', 'JACOBS WILLIAM R', 'LETVIN NORMAN L', 'CAYABYAB MARK', 'HAYNES BARTON F', 'LIAO HUA-XIN', 'YU JAE-SUNG', 'HOVAV AVI-HAI']",2008-10-16,US-20080254061-A1,Mycobacteria Expressing Hiv-1 and Malaria Antigens
"['William Langridge', 'Takeshi Arakawa']",8.0,,2004,Application,['grant.2608583'],,"['LANGRIDGE WILLIAM H.R.', 'ARAKAWA TAKESHI']",2005-02-24,US-20050044588-A1,Methods and substances for preventing and treating autoimmune disease
"['Stephen Dewhurst', 'William J. Bowers', 'Howard J. Federoff', 'John G. Frelinger', 'Michael C. Keefer']",,,2008,Application,"['grant.2435123', 'grant.2682549', 'grant.2359878']","[{'id': 'grid.16416.34', 'acronym': 'UR', 'name': 'University of Rochester', 'country_name': 'United States'}]","['University of Rochester', 'UNIV ROCHESTER']",2011-07-14,US-20110171257-A1,HERPES SIMPLEX VIRUS AMPLICON VECTORS DERIVED FROM PRIMARY ISOLATES
"['John M. Polo', 'Silvia Perri', 'Kent Thudium']",2.0,2009.0,2002,Grant,['grant.2424402'],"[{'id': 'grid.425090.a', 'acronym': 'GSK', 'name': 'GlaxoSmithKline (Belgium)', 'country_name': 'Belgium'}, {'id': 'grid.418424.f', 'acronym': 'NPC', 'name': 'Novartis (United States)', 'country_name': 'United States'}]","['GlaxoSmithKline Biologicals SA', 'NOVARTIS VACCINES & DIAGNOSTIC']",2009-05-12,US-7531180-B2,Chimeric alphavirus replicon particles
"['John M. Polo', 'Silvia Perri', 'Kent Thudium']",5.0,2009.0,2006,Grant,['grant.2424402'],"[{'id': 'grid.425090.a', 'acronym': 'GSK', 'name': 'GlaxoSmithKline (Belgium)', 'country_name': 'Belgium'}, {'id': 'grid.418424.f', 'acronym': 'NPC', 'name': 'Novartis (United States)', 'country_name': 'United States'}]","['GlaxoSmithKline Biologicals SA', 'NOVARTIS VACCINES & DIAGNOSTIC']",2009-08-11,US-7572453-B2,Chimeric alphavirus replicon particles
"['Norbert Schulke', 'William C. Olson', 'Paul J. Maddon', 'John P. Moore', 'Simon Beddows']",7.0,,2005,Application,"['grant.2454590', 'grant.2453025', 'grant.2424537']","[{'id': 'grid.5386.8', 'acronym': 'CU', 'name': 'Cornell University', 'country_name': 'United States'}, {'id': 'grid.280766.d', 'name': 'Progenics Pharmaceuticals (United States)', 'country_name': 'United States'}]","['CORNELL RESEARACH FOUNDATION Inc', 'Cornell Research Foundation Inc', 'Progenics Pharmaceuticals Inc', 'SCHULKE NORBERT', 'OLSON WILLIAM C', 'MADDON PAUL J', 'MOORE JOHN P', 'BEDDOWS SIMON']",2008-11-06,US-20080274134-A1,Hiv-1 Neutralizing Antibodies Elicited By Trimeric Hiv-1 Envelope Glycoprotein Complex
