,researcher_id
781,ur.010377605132.96
782,ur.012131210173.00
785,ur.010424461515.41
786,ur.012615003115.35
787,ur.015005324515.40
789,ur.014543122110.97
791,ur.01266467252.06
793,ur.014256063615.97
803,ur.012352034170.29
804,ur.016372120333.55
806,ur.011127276052.95
814,ur.015057701075.32
815,ur.011713744411.27
837,ur.011004364341.71
838,ur.012377325341.30
840,ur.010474674625.53
841,ur.016673342067.12
842,ur.016165642365.95
847,ur.01145375305.09
848,ur.0741715766.77
860,ur.013076612475.43
861,ur.010162203061.86
862,ur.013057763724.35
863,ur.011027771463.75
880,ur.016050542107.39
881,ur.015717536101.53
886,ur.012413503425.57
894,ur.013176354367.04
899,ur.011751255507.55
916,ur.010605021045.06
924,ur.016007051357.50
927,ur.011622025011.30
929,ur.015051367143.52
930,ur.013166544477.36
934,ur.016467020705.29
937,ur.07627767335.02
939,ur.014430120163.93
942,ur.016234501624.80
945,ur.016057367507.08
957,ur.0755112713.16
980,ur.015655723154.21
981,ur.012564241727.46
982,ur.011603116140.03
989,ur.010037071656.89
1000,ur.015213204141.87
1002,ur.015607716213.93
1029,ur.015672250301.22
1030,ur.012647631121.11
1044,ur.013061365261.75
1052,ur.014014045705.61
1053,ur.07501316105.53
1054,ur.014403617266.16
1056,ur.011441243533.57
1057,ur.013034204533.27
1059,ur.015224526133.15
1060,ur.016617467133.48
1061,ur.07731265526.17
1082,ur.016217354126.04
1083,ur.010115432613.64
1084,ur.010555711123.21
1085,ur.010074027265.36
1086,ur.015261250732.69
1094,ur.014611161261.60
1096,ur.015036544005.11
1111,ur.010103402243.98
1116,ur.016433613367.17
1119,ur.016444126573.74
1120,ur.015703114311.91
1124,ur.011507750555.81
1125,ur.013627226221.37
1126,ur.011436704621.89
1127,ur.016266222430.94
1160,ur.011415235011.46
1161,ur.012557557667.14
1162,ur.011270250211.84
1163,ur.013010641604.70
1164,ur.013302274160.31
1165,ur.014243277575.47
1166,ur.07577244101.52
1189,ur.015633452463.45
1211,ur.01106502373.54
1214,ur.013610067637.26
1228,ur.016162424715.59
1234,ur.014666623223.20
1235,ur.010354073423.78
1240,ur.011421464145.12
1241,ur.015734213745.70
1248,ur.015737304547.23
1249,ur.01074375340.21
1268,ur.011255204661.04
1269,ur.012014200007.04
1270,ur.010563224034.46
1271,ur.013551126034.86
1272,ur.016475206147.65
1273,ur.010567515347.87
1278,ur.013407400701.15
1280,ur.016154632603.27
1293,ur.01346626060.31
1295,ur.013563452015.68
1310,ur.01127600701.69
1337,ur.011632141663.39
1357,ur.012420637661.46
1360,ur.014717545713.21
1370,ur.0736134324.34
1372,ur.015501620244.85
1376,ur.016542645766.30
1377,ur.011372275323.47
1378,ur.012026232377.52
1379,ur.07446627771.45
1383,ur.012750256311.14
1406,ur.014772614131.11
1410,ur.015443620503.11
1414,ur.07632347314.56
1421,ur.010500030012.42
1427,ur.01156044661.16
1439,ur.01210101027.19
1442,ur.013452604137.76
1444,ur.013623374437.43
1450,ur.016111211313.21
1452,ur.013452556263.29
1453,ur.011737345651.06
1467,ur.07521277221.61
1472,ur.011553111001.30
1488,ur.015351451777.18
1489,ur.015564453121.12
1494,ur.015321527613.57
1498,ur.01002431212.65
1501,ur.010164552441.49
1511,ur.014174033043.31
1512,ur.010210155140.53
1531,ur.015272617175.70
1536,ur.016070002373.11
1538,ur.07410271523.37
1539,ur.010205652123.21
1540,ur.010133017302.59
1541,ur.011003232523.33
1546,ur.014135676107.62
1548,ur.015162723773.33
1549,ur.07432545243.52
1550,ur.010532502225.19
1551,ur.010145632421.10
1557,ur.011347304553.18
1562,ur.015621163301.77
1563,ur.015626515615.07
1595,ur.013734207631.88
1597,ur.011742657512.04
1598,ur.016347202125.42
1603,ur.013547467411.15
1605,ur.014120644341.65
1609,ur.07540001341.67
1612,ur.012054304515.50
1613,ur.0710646763.59
1614,ur.011702626115.11
1617,ur.012112373161.14
1622,ur.012677747050.44
1627,ur.014723420232.14
1628,ur.016316361232.15
1629,ur.014335550040.65
1633,ur.07706367411.17
1634,ur.016025302142.25
1635,ur.010517116526.32
1642,ur.012571135167.11
1646,ur.01115775542.04
1652,ur.010133563551.08
1658,ur.013714653644.05
1663,ur.012307341543.37
1664,ur.01022567735.34
1665,ur.07644137664.99
1673,ur.011110035767.88
1674,ur.014430116143.81
1675,ur.013211336715.65
1677,ur.015401660315.00
1687,ur.010203570040.49
1690,ur.014535335344.33
1694,ur.013301173651.87
1723,ur.014463520520.69
1724,ur.015631355235.81
1753,ur.013472653743.81
1773,ur.012350566342.58
1797,ur.012360237302.63
1808,ur.011254401060.89
1809,ur.010455373704.50
1810,ur.012202545627.23
1811,ur.012600035141.75
1819,ur.011237100664.94
1820,ur.010760113054.72
1821,ur.016136336454.79
1833,ur.010712350204.98
1841,ur.014557361246.23
1842,ur.013600222341.68
1844,ur.016006075015.81
1847,ur.013214050135.04
1848,ur.014011430535.10
1849,ur.014512005745.07
1850,ur.011440230541.66
1851,ur.011567324032.03
1852,ur.012041431774.33
1853,ur.010107250711.42
1854,ur.011105041153.36
1856,ur.0724144151.56
1857,ur.012240303741.11
1859,ur.013731660560.00
1865,ur.01341623443.43
1866,ur.01346274433.00
1867,ur.07626604613.16
1868,ur.0601247066.44
1869,ur.011221545613.13
1870,ur.012017126213.10
1872,ur.0760712756.93
1874,ur.01240112276.02
1893,ur.07405131410.12
1924,ur.01150747257.81
1932,ur.016221027541.34
1948,ur.010626665606.45
1952,ur.011357756474.45
1958,ur.0622030426.13
1961,ur.011176635061.41
1974,ur.015646526435.37
1975,ur.011070236752.46
1982,ur.010602336144.19
2001,ur.010735025331.95
2002,ur.07734362250.01
2009,ur.016010604311.52
2010,ur.012142433577.13
2011,ur.011553034215.79
2020,ur.016504277610.09
2021,ur.011374167410.15
2023,ur.014362071410.15
2024,ur.015755032410.25
2025,ur.010644722210.94
2054,ur.011703624401.47
2055,ur.014177073511.74
2057,ur.015715617245.68
2101,ur.012514220745.56
2107,ur.010535213313.61
2116,ur.016166067533.55
2117,ur.010121571167.94
2120,ur.013074324155.76
2129,ur.014434661124.51
2134,ur.0724412230.07
2137,ur.016577737035.14
2147,ur.012117154714.10
2156,ur.01153723547.49
2188,ur.011360330200.50
2191,ur.0762213023.83
2192,ur.010650262435.64
2193,ur.07773262075.43
2212,ur.011360200527.89
2213,ur.014664350774.29
2214,ur.07554240574.40
2215,ur.015113266205.12
2228,ur.016340337306.83
2231,ur.011423432461.11
2232,ur.010227025455.19
2236,ur.0611401445.99
2240,ur.011466540473.48
2260,ur.015763355247.52
2273,ur.011634316427.36
2317,ur.010735053016.64
2318,ur.014425600345.99
2319,ur.014462273762.86
2320,ur.011651141207.73
2321,ur.014244414445.29
2322,ur.010375413051.46
2323,ur.014757302572.82
2326,ur.014420256713.38
2329,ur.010014104542.85
2331,ur.011015545446.79
2340,ur.011623535035.55
2350,ur.010075125004.38
2352,ur.015076312412.51
2353,ur.016166754301.57
2358,ur.01120266533.41
2361,ur.012371031721.26
2389,ur.011312474073.50
2393,ur.011657654726.80
2394,ur.012455235326.95
2397,ur.011326300620.56
2398,ur.012721241620.50
2432,ur.01130736337.32
2445,ur.0762442216.50
2446,ur.0714327016.30
2447,ur.01303714652.10
2469,ur.012633157207.24
2474,ur.07776255036.49
2485,ur.015351053062.29
2494,ur.014211537733.39
2495,ur.014316671167.86
2513,ur.015601375037.84
2515,ur.013007337011.42
2545,ur.01252242677.88
2565,ur.07431417465.82
2578,ur.015404436435.41
2627,ur.0775612732.69
2642,ur.01210424566.27
2650,ur.011522423261.27
2663,ur.012537335505.22
2668,ur.011360225025.86
2690,ur.07727660141.67
2695,ur.010627347642.58
2698,ur.012340164314.00
2727,ur.013302702072.81
2728,ur.014162307741.52
2730,ur.013057742754.52
2731,ur.011465001754.12
2736,ur.010010576265.14
2737,ur.012463616343.20
2746,ur.014172776141.04
2751,ur.011600147332.19
2752,ur.012375527732.52
2753,ur.01362543077.73
2766,ur.07570601716.50
2769,ur.0762624377.36
2770,ur.013010376302.94
2771,ur.015611316173.53
2772,ur.010775467167.54
2773,ur.011646110331.53
2780,ur.011653210512.61
2793,ur.015120576705.04
2813,ur.014350654323.52
2818,ur.016266505037.14
2848,ur.011410475143.67
2856,ur.016216543335.33
2857,ur.011373562067.43
2860,ur.011502211711.25
2862,ur.012120041067.82
2863,ur.014745120125.77
2903,ur.016055113360.39
2904,ur.013600637007.84
2912,ur.015104337740.34
2918,ur.011104413755.65
2924,ur.010222162664.19
2932,ur.012117631711.31
2938,ur.012102644615.25
2940,ur.011274417221.91
2942,ur.014262321221.56
2961,ur.015027262011.46
2986,ur.015137301704.48
2987,ur.011246204633.16
3004,ur.010445360745.98
3029,ur.011324766320.64
3041,ur.012345052347.46
3043,ur.016041232500.21
3064,ur.011160450252.31
3068,ur.015761127377.15
3077,ur.014225541446.06
3082,ur.014257443600.04
3083,ur.013156616165.70
3106,ur.010303761565.94
3109,ur.012053100052.28
3111,ur.013446041052.00
3123,ur.011314571656.07
3134,ur.011362405000.99
3135,ur.012730255305.21
3155,ur.011566453257.48
3161,ur.016654115706.11
3162,ur.010752266206.13
3174,ur.011200771367.49
3179,ur.07367172041.37
3191,ur.014202026742.50
3220,ur.016625010673.09
3227,ur.010045662052.33
3233,ur.010255016735.75
3237,ur.016521335237.40
3252,ur.010322467151.74
3269,ur.07443410767.71
3288,ur.014444670557.65
3296,ur.014157651405.05
3299,ur.07516477455.73
3300,ur.015424170255.64
3313,ur.011364327220.84
3314,ur.0670143626.17
3316,ur.0736257026.90
3332,ur.016302765576.20
3334,ur.014003543041.72
3335,ur.016444032213.98
3336,ur.014572317225.75
3339,ur.016434307473.37
3340,ur.013037412072.44
3342,ur.011331647056.34
3346,ur.014560231761.77
3378,ur.010133043541.60
3397,ur.012441515322.00
3399,ur.014427303701.91
3404,ur.016647310332.10
3405,ur.015437611302.04
3449,ur.013736761332.47
3456,ur.015264023477.57
3457,ur.010625532207.44
3463,ur.010570776457.87
3480,ur.07377473462.17
3495,ur.07501211165.72
3503,ur.013435033263.67
3506,ur.016357156077.09
3509,ur.015572027011.30
3513,ur.014627121760.69
3565,ur.015243335421.91
3573,ur.012370540663.87
3603,ur.013373717661.73
3604,ur.01207566671.94
3608,ur.015026003255.19
3609,ur.014747503075.91
3610,ur.013310464641.03
3619,ur.07526373257.25
3631,ur.015071314335.11
3640,ur.012152525303.38
3641,ur.014043616500.00
3643,ur.016200412745.11
3644,ur.07660576650.58
3646,ur.010131766071.49
3647,ur.01046117352.13
3660,ur.012474621531.16
3661,ur.012337572410.16
3662,ur.011101660531.98
3663,ur.011570205631.99
3685,ur.013023173241.20
3690,ur.012347371535.81
3706,ur.015462641617.98
3709,ur.013533046011.79
3710,ur.015172136014.34
3711,ur.01055553442.40
3726,ur.012365545261.22
3747,ur.011040052604.93
3751,ur.011317663107.80
3765,ur.0621451275.07
3770,ur.013711744057.78
3777,ur.014661312321.02
3786,ur.016437530541.00
3803,ur.013750326301.53
3807,ur.016636303744.92
3808,ur.011526173544.83
3813,ur.010360705123.22
3817,ur.07505053346.13
3824,ur.013004155120.94
3830,ur.013020061241.24
3846,ur.011664343406.48
3853,ur.016315637213.70
3856,ur.014441041243.00
3872,ur.07755704106.52
3873,ur.015326226575.37
3891,ur.010416655251.57
3935,ur.010520115441.48
3951,ur.07567300513.14
3952,ur.010364661113.12
3966,ur.010737640775.28
3967,ur.011070014075.76
3997,ur.014766660661.40
4013,ur.011661702211.79
4031,ur.015616405205.65
4034,ur.010206405713.64
4036,ur.01264035420.28
4042,ur.010257217323.44
4045,ur.016243235503.20
4050,ur.014716774730.62
4053,ur.015315057542.01
4056,ur.012446162057.13
4093,ur.013255647473.06
4105,ur.01263452520.47
4117,ur.010237657701.68
4129,ur.016472332641.36
4135,ur.016651351065.49
4138,ur.013673652346.59
4140,ur.01124357113.20
4167,ur.016004511017.33
4178,ur.01055512174.06
4179,ur.01224411623.20
4180,ur.01100627166.78
4185,ur.010613257211.82
4187,ur.011772665715.31
4192,ur.016575420513.32
4193,ur.010023433567.44
4196,ur.012447540723.51
4205,ur.010546744331.49
4207,ur.012141705331.30
4220,ur.010221030264.27
4233,ur.011351313277.50
4235,ur.016372377477.22
4239,ur.013334251163.70
4240,ur.010162442540.66
4251,ur.014667563545.00
4255,ur.01314555612.18
4261,ur.013315474013.52
4280,ur.01065751245.28
4282,ur.01064755455.70
4297,ur.0703725575.42
4310,ur.015210143771.96
4356,ur.015371241512.90
4358,ur.015665730125.21
4360,ur.011353200325.42
4361,ur.014341102325.27
4384,ur.011240713742.12
4385,ur.011000630267.34
4388,ur.010204504766.55
4400,ur.011345611166.17
4409,ur.015060062327.04
4426,ur.016714173041.31
4428,ur.016117327717.31
4438,ur.016037565307.88
4443,ur.07463127421.99
4452,ur.011306236405.30
4453,ur.015730445066.94
4476,ur.011271334605.10
4482,ur.01275560251.64
4489,ur.0675662150.95
4496,ur.010631320625.18
4499,ur.013433042255.96
4525,ur.010050201726.77
4527,ur.010402154535.26
4528,ur.013766742443.73
4532,ur.01327000051.09
4543,ur.0677762376.17
4546,ur.07413015145.49
4570,ur.012504115145.09
4573,ur.014674436545.05
4578,ur.01331661234.06
4583,ur.016064142555.51
4627,ur.0577044016.72
4641,ur.015630652147.63
4652,ur.010652453555.19
4653,ur.010055073155.32
4654,ur.014500044232.57
4658,ur.012717727401.50
4659,ur.013604124612.37
4671,ur.012730766012.32
4682,ur.013713331256.30
4713,ur.015332100665.74
4716,ur.012143326033.59
4717,ur.014333647433.35
4718,ur.016524171033.66
4724,ur.013011074761.49
4785,ur.010751525605.00
4795,ur.01326526202.96
4802,ur.013272731220.60
4817,ur.0701537012.91
4818,ur.0747652212.38
4819,ur.0630102053.58
4822,ur.016045135005.47
4825,ur.016442516727.98
4826,ur.012343603213.26
4841,ur.014776250403.26
4847,ur.01343276153.78
4856,ur.013600101057.06
4858,ur.01116323260.31
4862,ur.010720332613.89
4865,ur.010406427361.95
4866,ur.011204007761.05
4867,ur.014557665635.40
4873,ur.011503514542.69
4876,ur.016152201103.54
4895,ur.01346461675.41
4896,ur.01276200720.38
4969,ur.012312474417.44
4970,ur.011274251441.69
4984,ur.07566451315.20
4989,ur.013705763267.94
5040,ur.01263546034.02
5072,ur.013454614727.58
5073,ur.015047555727.80
5081,ur.013717172402.33
5097,ur.015260020657.20
5141,ur.015564711625.21
5147,ur.010465615367.39
5168,ur.010777214065.75
5169,ur.011574574465.98
5176,ur.010612224125.41
5181,ur.015544303553.18
5207,ur.012232541357.45
5210,ur.014423062757.40
5211,ur.015105013775.46
5242,ur.010362311021.55
5266,ur.010214262704.60
5268,ur.012726370125.57
5286,ur.07367162573.00
5317,ur.01060005357.52
5318,ur.010771015025.39
5342,ur.016105417540.28
5343,ur.012317400335.05
5344,ur.015532074612.57
5345,ur.012166111363.13
5351,ur.012104164115.20
5354,ur.014364030171.67
5359,ur.016323530642.42
5360,ur.011113737576.59
5375,ur.013376142730.63
5377,ur.013631561670.38
5380,ur.011550342143.09
5383,ur.014231701411.82
5384,ur.014706175523.51
5388,ur.010754137307.44
5391,ur.015235120047.48
5403,ur.012216551075.78
5427,ur.011577423750.34
5430,ur.013767745350.30
5481,ur.010426753340.59
5482,ur.014343750350.22
5503,ur.014317300313.50
5504,ur.015712241313.87
5516,ur.011727536304.54
5527,ur.011214337136.41
5530,ur.012476523622.97
5540,ur.015004025620.80
5565,ur.016203743500.80
5566,ur.07416214245.15
5580,ur.012202343224.45
5581,ur.015765625624.94
5596,ur.013071347302.57
5597,ur.07526624011.09
5598,ur.015537550301.80
5602,ur.013072446232.74
5603,ur.07547774471.33
5608,ur.07663742254.73
5609,ur.014377035677.37
5611,ur.012705135004.49
5621,ur.011647500507.00
5634,ur.010000541204.77
5648,ur.011555135600.00
5668,ur.013207373575.61
5670,ur.011514155030.24
5672,ur.014661327503.09
5741,ur.015604665051.78
5749,ur.07654420264.76
5752,ur.07531511262.35
5753,ur.015505315262.43
5756,ur.014473267670.48
5787,ur.013001171211.02
5813,ur.01114571470.10
5815,ur.015136410541.31
5841,ur.07471013241.61
5861,ur.012771202133.20
5864,ur.012177004461.55
5865,ur.014036341366.26
5866,ur.016232313142.29
5867,ur.07622650061.71
5888,ur.016626023413.96
5889,ur.014172676151.13
5891,ur.010707114411.06
5892,ur.013141557265.47
5901,ur.010026227475.52
5941,ur.016434577603.54
5954,ur.014251134102.66
5963,ur.014206304166.03
5971,ur.012472246743.05
5975,ur.014745352057.57
5976,ur.011615051345.82
6009,ur.014662563344.56
6015,ur.015052176261.99
6017,ur.015333421260.43
6021,ur.010501512446.24
6022,ur.07515270601.43
6023,ur.014314363027.03
6031,ur.015173163341.36
6054,ur.014241163405.06
6093,ur.015710515153.42
6106,ur.011346635623.51
6108,ur.013540072371.17
6109,ur.07622643763.12
6112,ur.07515016625.68
6122,ur.011323230765.41
6124,ur.016134470665.53
6141,ur.012566343253.44
6142,ur.07646554453.67
6143,ur.01056145555.21
6145,ur.010560363453.86
6152,ur.07446652305.48
6158,ur.015671107455.74
6159,ur.016466470055.08
6173,ur.016243632045.61
6185,ur.012502720625.16
6205,ur.015125176031.76
6235,ur.011635406503.92
6239,ur.011106141303.23
6240,ur.015206366156.07
6256,ur.015422507425.29
6270,ur.013327765311.03
6272,ur.010502740263.46
6289,ur.013001313503.51
6308,ur.016503417043.34
6310,ur.014453405141.59
6314,ur.010700762201.55
6316,ur.011476342601.54
6320,ur.07677235565.53
6323,ur.014710516661.24
6341,ur.07630466243.50
6344,ur.013611277403.21
6347,ur.01132200670.81
6354,ur.015040036465.95
6403,ur.011506761133.80
6404,ur.013677302533.09
6405,ur.07625536543.27
6435,ur.012436472144.46
6436,ur.014565242035.43
6444,ur.014457204643.84
6451,ur.013723735671.09
6452,ur.014103311637.08
6468,ur.01211102000.32
6472,ur.013435464711.95
6482,ur.012501356405.28
6502,ur.013730744045.03
6513,ur.013126355271.21
6536,ur.016035567243.54
6537,ur.016101736267.21
6548,ur.011724114067.14
6551,ur.016247705125.65
6585,ur.012533465043.48
6587,ur.012103651173.45
6591,ur.012442471303.45
6592,ur.012721466501.26
6593,ur.07663222243.17
6628,ur.011633742657.15
6634,ur.011522015525.19
6637,ur.013577763003.06
6638,ur.011541400101.14
6639,ur.014776475253.83
6646,ur.016075036233.31
6650,ur.015144177743.58
6656,ur.010606557612.10
6719,ur.013025053542.49
6727,ur.014255174601.46
6748,ur.013601474013.34
6757,ur.015225166757.64
6760,ur.011610247560.88
6761,ur.016171112560.69
6780,ur.07471376113.64
6782,ur.0721041560.25
6783,ur.014675755454.25
6784,ur.015473336054.10
6793,ur.013554517331.65
6794,ur.01105635166.79
6801,ur.012156165034.58
6818,ur.016324360172.51
6819,ur.016276461667.18
6843,ur.0656427504.92
6850,ur.012612541775.57
6852,ur.016404202155.41
6874,ur.0713136163.27
6942,ur.013607475365.92
6945,ur.014104056551.25
6954,ur.01124440224.52
6975,ur.01230223604.37
7003,ur.010310331231.46
7049,ur.013735251223.08
7060,ur.013071624735.77
7076,ur.011155044204.17
7128,ur.016516100555.86
7131,ur.014472065206.97
7132,ur.016065026206.92
7136,ur.013054603041.39
7147,ur.012551646301.06
7150,ur.015045107571.90
7154,ur.013551702143.23
7159,ur.015200357711.05
7160,ur.016265643115.66
7162,ur.010672747423.30
7163,ur.012502467467.38
7164,ur.014717671563.31
7178,ur.015213512443.18
7181,ur.012003212565.76
7185,ur.07514237643.04
7187,ur.010001377325.30
7200,ur.011614220545.99
7207,ur.016216251503.26
7217,ur.013551236743.54
7244,ur.011317421126.52
7283,ur.015174422123.63
7296,ur.07417265214.25
7315,ur.013125004020.05
7325,ur.011301553373.02
7326,ur.0674616676.52
7327,ur.014770667335.79
7336,ur.016334425517.43
7337,ur.012172254644.19
7352,ur.012344302741.52
7378,ur.013620633753.49
7391,ur.010076320231.66
7401,ur.011044110215.17
7402,ur.01200333056.11
7433,ur.015025624365.74
7447,ur.010150511161.40
7452,ur.015222075025.29
7453,ur.012712362126.82
7457,ur.07406150643.31
7477,ur.013323424723.34
7485,ur.010761765033.82
7491,ur.011440535511.07
7501,ur.013403534253.26
7505,ur.013305632663.16
7509,ur.016524463625.10
7510,ur.010616773025.31
7539,ur.07353262643.06
7588,ur.015411564503.19
7593,ur.01042142003.28
7617,ur.012763005710.54
7618,ur.01000075176.85
7619,ur.0720355337.92
7639,ur.07436424670.11
7641,ur.012556774634.40
7642,ur.07631472134.92
7658,ur.010410746561.63
7659,ur.013444503011.96
7663,ur.014571470770.86
7679,ur.010216523717.38
7690,ur.016124214517.55
7699,ur.010301306264.58
7705,ur.013766742337.08
7724,ur.012237516306.02
7729,ur.014533560064.73
7736,ur.013422070020.96
7737,ur.010202521066.19
7781,ur.015767406216.19
7784,ur.010647623656.74
7786,ur.014760452272.34
7810,ur.01047436363.56
7824,ur.013130613254.85
7839,ur.012715157006.81
7894,ur.013471663242.21
7895,ur.010124175704.92
7896,ur.016704112314.80
7912,ur.012153260242.87
7963,ur.015377454320.29
7968,ur.013643625763.56
7972,ur.012301442202.20
7973,ur.011244534522.17
7976,ur.011030651340.35
7977,ur.07405525632.17
7982,ur.012471002033.85
7985,ur.014633246740.85
7993,ur.011450364306.02
7999,ur.014004513320.84
8008,ur.012624021122.89
8009,ur.012416622045.89
8017,ur.010427756541.10
8057,ur.014623572367.39
8058,ur.07545333321.42
8099,ur.015746135773.29
8153,ur.014322620354.53
8154,ur.016057035611.17
8192,ur.015515176003.02
8254,ur.0706065443.31
8290,ur.0620121334.77
8291,ur.0734347734.26
8292,ur.01261100526.06
8296,ur.015560330123.68
8298,ur.012663116532.51
8301,ur.07624404012.08
8337,ur.0700542027.77
8339,ur.0666020651.16
8340,ur.01016124622.36
8342,ur.01056046753.20
8345,ur.01164516750.44
8351,ur.014356432763.99
8381,ur.0617543344.56
8383,ur.0665656544.77
8401,ur.011067254651.52
8408,ur.010652405324.43
8439,ur.014270357766.13
8443,ur.014442656676.68
8526,ur.014535373747.96
8584,ur.013375640631.37
8587,ur.012621474436.01
8604,ur.07504713110.13
8605,ur.016120347142.11
8606,ur.011010236742.97
8607,ur.07415275742.67
8616,ur.015246261276.83
8618,ur.013265612621.82
8632,ur.01030135054.80
8643,ur.014232511501.39
8654,ur.015240607043.63
8660,ur.0660250201.50
8686,ur.011134613753.31
8689,ur.01117406207.05
8693,ur.011353271523.58
8697,ur.01142104273.80
8704,ur.011545475007.04
8706,ur.012522342736.53
8713,ur.01172555050.20
8714,ur.01306466255.75
8755,ur.015436420213.21
8810,ur.012743213347.77
8813,ur.01023263361.97
8820,ur.01304645426.63
8821,ur.0742515050.28
8847,ur.01033533353.31
8849,ur.014760622475.19
8857,ur.016332067665.51
8872,ur.01075461564.94
8906,ur.01063621042.95
8907,ur.01265330352.37
8924,ur.012550126143.23
8964,ur.0720773046.19
8986,ur.01046551612.12
9006,ur.010554026115.59
9015,ur.015112126061.65
9020,ur.012024174124.20
9028,ur.016554133634.28
9038,ur.010112274555.96
9059,ur.010261153733.72
9060,ur.011056534333.51
9124,ur.013443363554.40
9127,ur.012714116354.50
9128,ur.015104437754.32
9159,ur.012413405374.65
9162,ur.0615727665.20
9240,ur.011340010425.83
