journal.title,count
Diabetes/Metabolism Research and Reviews,34
Endocrine,34
European Heart Journal Acute Cardiovascular Care,34
Diabetic Medicine,34
Genes & Immunity,33
Cardiovascular Revascularization Medicine,33
International Urogynecology Journal,33
Biomedical Signal Processing and Control,33
International Journal of Chronic Obstructive Pulmonary Disease,33
Mucosal Immunology,33
Journal of Vascular Surgery,33
Brain,33
Journal of Antimicrobial Chemotherapy,33
BMC Gastroenterology,33
The Oncologist,33
European Journal of Clinical Pharmacology,33
"Knee Surgery, Sports Traumatology, Arthroscopy",33
Clinical and Experimental Ophthalmology,32
Annals of the Rheumatic Diseases,32
Journal of Hypertension,32
Parkinsonism & Related Disorders,32
British Journal of Haematology,32
Heart Failure Clinics,32
Cirugía Española,32
JAMA Internal Medicine,32
Internal Medicine,32
Journal of the American College of Surgeons,32
JAMA Surgery,32
Annals of Intensive Care,32
International Journal of Antimicrobial Agents,32
Circulation Cardiovascular Interventions,31
Revista Española de Cardiología,31
Endocrinology and Metabolism Clinics of North America,31
Frontiers in Physiology,31
International Journal of Clinical Oncology,31
Annales de Médecine Interne,31
Journal of Internal Medicine,31
American Journal of Roentgenology,31
Oncology Letters,31
Journal of Infection,31
Human Mutation,31
Journal of Cardiothoracic and Vascular Anesthesia,31
Journal of Cataract & Refractive Surgery,30
Seminars in Colon and Rectal Surgery,30
The International Journal of Cardiovascular Imaging,30
Journal of Chromatography B,30
Geriatric Nephrology and Urology,30
Canadian Journal of Cardiology,30
European Radiology,30
American Journal of Transplantation,30
Journal of Craniofacial Surgery,30
Journal of Autoimmunity,30
Annals of Vascular Surgery,30
Seminars in Dialysis,30
The Journal of Maternal-Fetal & Neonatal Medicine,30
Arthritis Research & Therapy,30
Pathology,30
Oncology,30
Infection and Immunity,29
Nature Reviews Clinical Oncology,29
Best Practice & Research Clinical Gastroenterology,29
Biomarkers in Medicine,29
Expert Review of Endocrinology & Metabolism,29
COPD Journal of Chronic Obstructive Pulmonary Disease,29
Current Medical Research and Opinion,29
Journal of Trauma and Acute Care Surgery,29
Pharmacological Research,28
Liver International,28
Der Urologe,28
Clinical Anatomy,28
Journal of Neurotrauma,28
Disability and Rehabilitation,28
Hernia,28
Der Chirurg,28
British Journal of Ophthalmology,28
Expert Review of Clinical Immunology,28
Antioxidants & Redox Signaling,28
Frontiers in Pharmacology,28
Frontiers in Oncology,28
World Neurosurgery,28
Resuscitation,28
Diabetologia,28
Archives of Disease in Childhood,28
Metabolism,28
Anaesthesia and Intensive Care,28
Clinical Science,28
Revista Española de Cardiología (English Edition),28
BMC Medicine,27
Current Colorectal Cancer Reports,27
Hemodialysis International,27
Cardiology Clinics,27
Advances in Therapy,27
Neurourology and Urodynamics,27
Seminars in Oncology,27
IEEE Transactions on Biomedical Engineering,27
Current Opinion in Endocrinology Diabetes and Obesity,27
Current Diabetes Reports,27
Sensors and Actuators B Chemical,27
BMC Cardiovascular Disorders,27
Clinical Neurophysiology,27
Journal of Emergency Medicine,27
Journal of Clinical Lipidology,27
Clinics and Research in Hepatology and Gastroenterology,27
European Journal of Pharmacology,27
Endocrine Practice,27
Clinical Pharmacology & Therapeutics,27
Internal and Emergency Medicine,27
Neurology,26
Clinical Therapeutics,26
Nature Reviews Endocrinology,26
Cornea,26
Journal of Applied Physiology,26
Pharmacoepidemiology and Drug Safety,26
Respiration,26
Gastroenterology Clinics of North America,26
Journal of Neurology Neurosurgery & Psychiatry,26
Digestive Surgery,26
Advances in Chronic Kidney Disease,26
Annals of The Royal College of Surgeons of England,26
Immunity,26
Journal of Parenteral and Enteral Nutrition,25
Journal of the American Society of Nephrology,25
Experimental and Therapeutic Medicine,25
Medical Science Monitor,25
Journal of Head Trauma Rehabilitation,25
Asian Pacific Journal of Cancer Prevention,25
European Journal of Clinical Microbiology & Infectious Diseases,25
Gastroenterology & hepatology,25
Current Opinion in Nephrology & Hypertension,25
AJP Heart and Circulatory Physiology,25
NeuroImage Clinical,25
Journal of Cardiology,25
European Journal of Anaesthesiology,25
Journal of Clinical Medicine,25
Pediatric Radiology,25
Pharmacology & Therapeutics,24
Journal of Endocrinological Investigation,24
BMC Health Services Research,24
Human Immunology,24
International Scholarly Research Notices,24
Journal of Clinical Nursing,24
Analytical Methods,24
Journal of Cardiovascular Medicine,24
EP Europace,24
Clinical Genetics,24
Expert Review of Molecular Diagnostics,24
British Journal of Nursing,24
Autoimmunity Reviews,24
Annals of the New York Academy of Sciences,24
Heart Rhythm,24
Postgraduate Medical Journal,24
Medical Oncology,24
Journal of Clinical Investigation,24
The Journal of Pathology,24
Investigational New Drugs,24
Epilepsia,24
Stroke,24
Breast Cancer Research and Treatment,24
Seminars in Pediatric Surgery,24
Otolaryngology,24
Japanese Journal of Clinical Oncology,24
Surgical Laparoscopy Endoscopy & Percutaneous Techniques,24
Journal of Gastroenterology,24
Atmospheric Measurement Techniques Discussions,24
European Journal of Vascular and Endovascular Surgery,24
Journal de Chirurgie Viscérale,23
Diabetes Technology & Therapeutics,23
World Journal of Surgical Oncology,23
Frontiers in Genetics,23
Archives of Gynecology and Obstetrics,23
Expert Opinion on Biological Therapy,23
Gynecologic Oncology,23
BMC Research Notes,23
Annals of Translational Medicine,23
Best Practice & Research Clinical Endocrinology & Metabolism,23
Journal of Japan Surgical Association,23
Australian and New Zealand Journal of Obstetrics and Gynaecology,23
The Laryngoscope,23
Osteoporosis International,23
International Journal of Clinical Practice,23
Journal of Cranio-Maxillofacial Surgery,23
Coronary Artery Disease,23
Pharmacotherapy The Journal of Human Pharmacology and Drug Therapy,23
Human Brain Mapping,23
Journal of Clinical Microbiology,23
Current Opinion in Lipidology,23
British Journal of Dermatology,23
The Knee,23
Current Opinion in Neurology,23
Acta Paediatrica,23
Molecular Medicine Reports,23
Intestinal Research,23
The Journal of Rheumatology,23
European Archives of Oto-Rhino-Laryngology,23
Bone,22
Current Heart Failure Reports,22
Nature,22
Clinical Lipidology and Metabolic Disorders,22
Cureus,22
Acta Anaesthesiologica Scandinavica,22
British Journal of Hospital Medicine,22
Clinical Kidney Journal,22
British Journal of Oral and Maxillofacial Surgery,22
Transplantation Proceedings,22
Biomedicine & Pharmacotherapy,22
Surgery Today,22
Expert Review of Clinical Pharmacology,22
Journal of Allergy and Clinical Immunology,22
Mediators of Inflammation,22
Archives of Physical Medicine and Rehabilitation,22
Malaria Journal,22
Human Genetics,22
Médecine Intensive Réanimation,22
Drugs & Aging,22
Annals of Hematology,22
Journal of Leukocyte Biology,22
Seminars in Nephrology,22
Current Oncology,21
QJM,21
Cancer Medicine,21
F1000Research,21
Clinical Genitourinary Cancer,21
Asia-Pacific Journal of Clinical Oncology,21
Radiology,21
American Journal of Clinical Oncology,21
Proceedings of SPIE,21
Circulation Research,21
Journal of the American Academy of Dermatology,21
Expert Review of Anti-infective Therapy,21
Nutrition in Clinical Practice,21
Plastic & Reconstructive Surgery,21
Medical Clinics of North America,21
BMC Medical Genetics,21
Indian Journal of Endocrinology and Metabolism,21
Cancer/Radiothérapie,21
Journal of Medical Case Reports,21
Current Atherosclerosis Reports,21
Biochemical and Biophysical Research Communications,21
Cell,21
International Journal of Surgery Case Reports,21
American Journal Of Pathology,21
European Journal of Human Genetics,21
Nature Reviews Urology,21
Investigative Ophthalmology & Visual Science,21
Biomaterials,21
Current Opinion in Anaesthesiology,21
Clinical Cardiology,21
European Journal of Radiology,20
Journal of Oral and Maxillofacial Surgery,20
Expert Review of Neurotherapeutics,20
The Journal of Clinical Pharmacology,20
Biochemical Pharmacology,20
Tumor Biology,20
International Journal of Pediatric Otorhinolaryngology,20
Digestion,20
Herz,20
European Journal of Internal Medicine,20
Analytical and Bioanalytical Chemistry,20
American Journal of Therapeutics,20
Journal of Infection and Chemotherapy,20
Nephron,20
Journal of Cancer Research and Clinical Oncology,20
Clinical Research in Cardiology,20
Journal of Pharmaceutical and Biomedical Analysis,20
Journal of Medical Genetics,20
The Lancet Diabetes & Endocrinology,20
Journal of Advanced Nursing,20
Abdominal Radiology,20
Haematologica,20
Seminars in Perinatology,20
Developmental Medicine & Child Neurology,20
Korean Journal of Gastroenterology,20
Annals of Gastroenterology,19
Gastroenterología y Hepatología,19
Cardiovascular Drugs and Therapy,19
Clinical Radiology,19
European Journal of Emergency Medicine,19
Acta Obstetricia Et Gynecologica Scandinavica,19
Drug Metabolism and Disposition,19
Future Cardiology,19
PeerJ,19
RSC Advances,19
Cancer Research,19
BMC Pulmonary Medicine,19
Medicine - Programa de Formación Médica Continuada Acreditado,19
Neurosurgery,19
Bone Marrow Transplantation,19
Mathematical Biosciences,19
Current Treatment Options in Cardiovascular Medicine,19
Cancers,19
Physics in Medicine and Biology,19
Current Oncology Reports,19
Cell Reports,19
Atmospheric Chemistry and Physics,19
Der Onkologe,19
Current Opinion in Cardiology,19
Vascular Health and Risk Management,19
Cirugía Española (English Edition),19
Therapeutic Advances in Gastroenterology,19
JAMA Cardiology,19
Journal of Perinatology,19
Chinese Medical Journal,19
Journal of Endourology,19
Current Opinion in Rheumatology,19
Clinical Rheumatology,19
JDDG Journal der Deutschen Dermatologischen Gesellschaft,19
Journal of International Medical Research,19
Langenbeck's Archives of Surgery,19
Postgraduate Medicine,19
Clinical and Translational Gastroenterology,19
Thrombosis and Haemostasis,19
Bioanalysis,19
Neurogastroenterology & Motility,19
Ophthalmology,18
Analytica Chimica Acta,18
British Journal of Radiology,18
Urologic Oncology Seminars and Original Investigations,18
World Journal of Hepatology,18
Diabetes,18
Current Urology Reports,18
Therapeutic Advances in Medical Oncology,18
Therapeutics and Clinical Risk Management,18
Arquivos Brasileiros de Cardiologia,18
Journal of Bone and Mineral Research,18
Head & Neck,18
Clinical Lymphoma Myeloma & Leukemia,18
Deutsches Aerzteblatt Online,18
Physiological Reviews,18
Journal of Thoracic and Cardiovascular Surgery,18
American Journal of Health-System Pharmacy,18
European Journal of Clinical Nutrition,18
Genome Biology,18
Journal of Interventional Cardiology,18
Canadian Medical Association Journal,18
Arteriosclerosis Thrombosis and Vascular Biology,18
Pancreatology,18
Cancer Management and Research,18
Current Opinion in Pulmonary Medicine,18
Neuroscience & Biobehavioral Reviews,18
Current Hepatology Reports,18
Oxidative Medicine and Cellular Longevity,18
American Journal of Hematology,18
Nature Reviews Rheumatology,18
Sensors,18
Pediatric Blood & Cancer,18
Medical Physics,18
World Journal of Urology,18
AJP Gastrointestinal and Liver Physiology,18
American Journal of Cardiovascular Drugs,18
Pediatric Pulmonology,17
Urologia Internationalis,17
Journal of the European Academy of Dermatology and Venereology,17
Actas Urológicas Españolas,17
Journal of the International Neuropsychological Society,17
JACC Cardiovascular Imaging,17
Der Gastroenterologe,17
Leukemia,17
Leukemia Research,17
Journal of Translational Medicine,17
Visceral Medicine,17
International Journal of Obesity,17
Clinical Orthopaedics and Related Research®,17
Southern Medical Journal,17
Arquivos de Neuro-Psiquiatria,17
Clinical Neurology and Neurosurgery,17
Archiv für Klinische Medizin,17
Transplant International,17
Journal of Neural Transmission,17
AJP Regulatory Integrative and Comparative Physiology,17
Journal of Digestive Diseases,17
The Annals of Thoracic Surgery,17
Journal of Korean Medical Science,17
JAMA Neurology,17
Renal Failure,17
Radio Graphics,17
Immunology Letters,17
International Journal of Nursing Studies,17
Thyroid,17
BMC Pediatrics,17
BJOG An International Journal of Obstetrics & Gynaecology,17
Frontiers in Endocrinology,17
Journal of Thrombosis and Thrombolysis,17
BMC Public Health,17
Anti-Cancer Drugs,17
Pediatric Neurology,17
Rapid Communications in Mass Spectrometry,17
Progrès en Urologie,17
Pediatric Anesthesia,17
Nature Medicine,17
Surgical Oncology Clinics of North America,17
Rheumatology International,17
Journal of Oncology Practice,17
Emergency Medicine Clinics of North America,17
Journal of Gastrointestinal Cancer,17
Interventional Cardiology,17
Nature Reviews Immunology,17
Blood Purification,17
Multiple Sclerosis and Related Disorders,17
United European Gastroenterology Journal,17
Frontiers in Neuroscience,17
Journal of Atherosclerosis and Thrombosis,17
Australian & New Zealand Journal of Psychiatry,17
The Pharmacogenomics Journal,17
Injury,17
Drug Safety,17
Hematology/Oncology Clinics of North America,17
Neurological Sciences,17
Histopathology,17
The Lancet Infectious Diseases,16
Journal of Intensive Care,16
Genome Medicine,16
Current Opinion in Clinical Nutrition & Metabolic Care,16
Critical Reviews in Clinical Laboratory Sciences,16
Journal of the American Society of Echocardiography,16
Medical Engineering & Physics,16
Journal of Experimental Medicine,16
American Journal of Nephrology,16
Journal of Neurosurgery Spine,16
Endocrine Reviews,16
Cancer Science,16
Der Anaesthesist,16
Current Opinion in Infectious Diseases,16
Maturitas,16
Seminars in Arthritis and Rheumatism,16
Expert Review of Medical Devices,16
Cell Host & Microbe,16
Canadian Journal of Gastroenterology and Hepatology,16
Journal of Gastrointestinal Oncology,16
Journal of Cancer Education,16
International Journal of Hematology,16
American Journal of Ophthalmology,16
2010 Annual International Conference of the IEEE Engineering in Medicine and Biology,16
Current Neurology and Neuroscience Reports,16
The Journal of Laryngology and Otology,16
Journal of Nutrition,16
Trends in Immunology,16
Early Human Development,16
Clinical Nutrition,16
Congestive Heart Failure,16
Patient Education and Counseling,16
Annals of Biomedical Engineering,16
British Journal Of Nutrition,16
Journal of Pharmacology and Experimental Therapeutics,16
Journal of Clinical Pathology,16
Drug Testing and Analysis,16
Clinical Microbiology and Infection,16
Journal of Human Genetics,16
Seminars in Immunopathology,16
JAMA Otolaryngology - Head & Neck Surgery,16
Journal of Neurosurgery,16
BMC Pregnancy and Childbirth,16
European Journal of Cardio-thoracic Surgery,16
Medical Hypotheses,16
British Journal of Biomedical Science,16
The Journal of Physiology,16
Annals of the American Thoracic Society,16
Statistics in Medicine,16
Radiation Oncology,16
Respiratory Care,16
Revue des Maladies Respiratoires,16
Pacing and Clinical Electrophysiology,15
Gastric Cancer,15
Bioinformatics,15
Journal of Veterinary Internal Medicine,15
Psychosomatics,15
International Journal of Gynecological Cancer,15
Clinical Ophthalmology,15
Analyst,15
Drug Design Development and Therapy,15
Clinical & Experimental Allergy,15
Seminars in Fetal and Neonatal Medicine,15
Clinical Drug Investigation,15
European Journal of Pharmaceutical Sciences,15
Annales d Endocrinologie,15
Scandinavian Journal of Clinical and Laboratory Investigation,15
Canadian Journal of Diabetes,15
Journal of Clinical Anesthesia,15
Colorectal Cancer,15
Reactions Weekly,15
Journal of Plastic Reconstructive & Aesthetic Surgery,15
Netherlands Heart Journal,15
International Journal of Environmental Research and Public Health,15
Frontiers in Medicine,15
The American Journal of the Medical Sciences,15
Journal of the American College of Radiology,15
The JBI Database of Systematic Reviews and Implementation Reports,15
Reviews in Endocrine and Metabolic Disorders,15
JACC Heart Failure,15
Journal of Child Neurology,15
Critical Care Clinics,15
Journal of Alzheimer's Disease,15
Current Opinion in Pediatrics,15
Current Opinion in Ophthalmology,15
Infectious Diseases,15
Urologic Clinics of North America,15
Nature Reviews Genetics,15
The Pediatric Infectious Disease Journal,15
Molecular Biology Reports,15
Molecular and Cellular Endocrinology,15
Blood Coagulation & Fibrinolysis,15
Acta Chirurgica Belgica,15
Prostate Cancer and Prostatic Diseases,15
Neurosurgical FOCUS,15
Cardiology,15
Prenatal Diagnosis,14
Child's Nervous System,14
Endocrine Journal,14
British Journal of Pharmacology,14
Health Technology Assessment,14
Canadian Journal of Ophthalmology,14
Experimental Brain Research,14
The Lancet Neurology,14
Immunological Reviews,14
JAMA Pediatrics,14
JAMA Ophthalmology,14
Nature Immunology,14
Nature Reviews Disease Primers,14
AIDS,14
Frontiers in Pediatrics,14
Journal of Magnetic Resonance Imaging,14
American Journal of Physiology. Renal physiology,14
Medicina Intensiva,14
Gut and Liver,14
Hepatology Research,14
Journal of Cerebral Blood Flow & Metabolism,14
Cells,14
Journal of Sexual Medicine,14
Journal of Human Hypertension,14
Atmospheric Chemistry and Physics Discussions,14
Diabetology & Metabolic Syndrome,14
Gastrointestinal Nursing,14
Molecular Diagnosis & Therapy,14
Journal of Pharmacy and Pharmacology,14
Journal of Controlled Release,14
International Journal of Endocrinology,14
Médecine des Maladies Métaboliques,14
Journal of Neuro-Oncology,14
Journal of Neuro-Ophthalmology,14
Current Rheumatology Reports,14
Current Opinion in Urology,14
European Journal Of Haematology,14
Obesity Surgery,14
Eye,14
Annals of Neurology,14
Canadian Urological Association Journal,14
Archives of Cardiovascular Diseases,14
BMC Genomics,14
Medical Mycology,14
Nucleic Acids Research,14
Cancer Letters,14
Behavioural Brain Research,14
The Journal of Infectious Diseases,14
Best Practice & Research Clinical Obstetrics & Gynaecology,14
Biomedical Chromatography,14
Current Cardiovascular Imaging Reports,13
Translational Research,13
Drug Discovery Today,13
mBio,13
Notfall +  Rettungsmedizin,13
Clinical and Applied Thrombosis/Hemostasis,13
Clinical and Experimental Optometry,13
Journal of Medical Microbiology,13
Medicina Clínica (English Edition),13
The Cancer Journal,13
Cytokine,13
Oncologie,13
Brain Imaging and Behavior,13
The Journal of Bone and Joint Surgery (American),13
Texas Heart Institute Journal,13
Biology of Blood and Marrow Transplantation,13
Frontline Gastroenterology,13
International braz j urol,13
Quality of Life Research,13
International Journal of Clinical Pharmacy,13
Talanta,13
Indian Journal of Surgery,13
Gut Microbes,13
The Breast,13
Vaccine,13
Wiener klinische Wochenschrift,13
Current Opinion in Immunology,13
The FASEB Journal,13
Science Translational Medicine,13
Journal of Ultrasound in Medicine,13
Life Sciences,13
Archivos de Bronconeumología,13
Hong Kong Journal of Emergency Medicine,13
Yonsei Medical Journal,13
Orvosi Hetilap,13
Cellular and Molecular Gastroenterology and Hepatology,13
Acta Biomaterialia,13
Pancreas,13
Western Journal of Emergency Medicine,13
Journal of Pediatric Endocrinology and Metabolism,13
Neoplasia,13
Annals of Coloproctology,13
Nutrition Reviews,13
BMC Surgery,13
Journal of Affective Disorders,13
Echocardiography,13
Expert Opinion on Therapeutic Targets,13
Der Kardiologe,13
Journal of the American Geriatrics Society,13
Heart and Vessels,13
Physiology & Behavior,13
Diabetes & Metabolism,13
The Lancet Gastroenterology & Hepatology,13
Bioorganic & Medicinal Chemistry Letters,13
Progress in Cardiovascular Diseases,13
Diagnostic Microbiology and Infectious Disease,13
Clinical Biochemist Reviews,13
Der Internist,13
European Heart Journal - Cardiovascular Imaging,13
Obstetrics and Gynecology Clinics of North America,13
Journal Français d Ophtalmologie,13
Clínica e Investigación en Arteriosclerosis,13
European Journal of Nuclear Medicine and Molecular Imaging,13
Science,13
Cardiology in Review,13
Current Opinion in Oncology,13
Antiviral Research,13
Annals of Surgical Treatment and Research,13
Interactive Cardiovascular and Thoracic Surgery,13
Clinical and Experimental Nephrology,13
Clinical Microbiology Reviews,13
European Journal of Immunology,13
Pharmacogenetics and Genomics,13
Surgical Oncology,13
Molecules,13
Journal of Cellular Biochemistry,13
Strahlentherapie und Onkologie,13
Journal of Asthma,13
Molecular Nutrition & Food Research,12
Nature Reviews Neurology,12
Best Practice & Research Clinical Anaesthesiology,12
CardioVascular and Interventional Radiology,12
Hypertension Research,12
Journal of Clinical and Diagnostic Research,12
International Journal of Rheumatic Diseases,12
Current Infectious Disease Reports,12
International Journal of Clinical Rheumatology,12
Archives of Medical Science,12
Côlon & Rectum,12
Endocrinology,12
Clinical Toxicology,12
Neuropsychologia,12
Clinical Medicine,12
BMC Anesthesiology,12
BMC Endocrine Disorders,12
Journal of Clinical Laboratory Analysis,12
Pediatrics International,12
Orphanet Journal of Rare Diseases,12
Molecular and Clinical Oncology,12
Systematic Reviews,12
Clinical Breast Cancer,12
Kidney & Blood Pressure Research,12
Obesity,12
International Journal of Urology,12
Journal canadien d'anesthésie,12
FEBS Letters,12
Médecine et Maladies Infectieuses,12
Seminars in Radiation Oncology,12
Journal of Geriatric Cardiology,12
Journal of Geriatric Oncology,12
Endocrinología Diabetes y Nutrición,12
Journal of Human Lactation,12
Interventional Cardiology Review,12
European Journal of Neurology,12
Clinical Transplantation,12
Journal of Endocrinology,12
Immunotherapy,12
Blood Reviews,12
Physiological Measurement,12
Ultrasound in Obstetrics and Gynecology,12
Case Reports in Medicine,12
Pan African Medical Journal,12
Nutrition Journal,12
Acta Cardiologica,12
Journal of Obstetrics and Gynaecology,12
World Journal of Gastrointestinal Endoscopy,12
JCI Insight,12
British Journal of Diabetes,12
European Journal of Medical Genetics,12
Journal of Pharmaceutical Sciences,12
Néphrologie & Thérapeutique,12
Indian Heart Journal,12
HNO,12
European Journal of Pediatrics,12
Biosensors and Bioelectronics,12
Birth Defects Research Part A Clinical and Molecular Teratology,12
Archives of Endocrinology and Metabolism,12
Infectious Disease Clinics of North America,12
Acta Ophthalmologica,12
Chemical Communications,12
The Spanish Journal of Gastroenterology,12
World Journal of Gastrointestinal Surgery,12
JSLS Journal of the Society of Laparoendoscopic Surgeons,12
American Journal of Tropical Medicine and Hygiene,12
European Journal of Nutrition,12
Mutation Research/Fundamental and Molecular Mechanisms of Mutagenesis,12
Korean Circulation Journal,12
Journal of Parkinson's Disease,12
Angiology,12
Lupus,12
Journal of Clinical Pharmacy and Therapeutics,12
Biomarkers,12
Cardiovascular Therapeutics,12
Survey of Ophthalmology,12
Personalized Medicine,12
Saudi Journal of Gastroenterology,12
Perspectives of the ASHA Special Interest Groups,12
Korean Journal of Medicine,12
Saudi Journal of Kidney Diseases and Transplantation,12
Neuroradiology,12
Diabetes and Vascular Disease Research,12
Case Reports in Gastroenterology,12
Primary Care Respiratory Journal,12
Nefrología,11
Clinical Journal of Pain,11
World Journal of Gastrointestinal Oncology,11
Frontiers in Human Neuroscience,11
