issn,year,publisher,id,journal.id,journal.title
['1475-2840'],2019,,pub.1112673031,jour.1031021,Cardiovascular Diabetology
"['1474-760X', '1465-6906']",2019,Springer Nature,pub.1122923082,jour.1023439,Genome Biology
['2045-2322'],2019,Springer Nature,pub.1117797367,jour.1045337,Scientific Reports
"['0269-2813', '1365-2036']",2019,Wiley,pub.1122473244,jour.1097143,Alimentary Pharmacology & Therapeutics
"['0141-3910', '1873-2321']",2019,Elsevier,pub.1122555169,jour.1035461,Polymer Degradation and Stability
['2468-4287'],2019,Elsevier,pub.1122788773,jour.1052320,Journal of Vascular Surgery Cases and Innovative Techniques
"['0748-7983', '1532-2157']",2019,Elsevier,pub.1117825854,jour.1095417,European Journal of Surgical Oncology
"['1471-4892', '1471-4973']",2019,Elsevier,pub.1122279106,jour.1023872,Current Opinion in Pharmacology
"['1358-863X', '1477-0377']",2019,SAGE Publications,pub.1120529567,jour.1115748,Vascular Medicine
['2041-1723'],2019,Springer Nature,pub.1113639368,jour.1043282,Nature Communications
['1471-2407'],2019,Springer Nature,pub.1113904996,jour.1024632,BMC Cancer
"['0018-0661', '1601-5223']",2019,Springer Nature,pub.1119793062,jour.1017631,Hereditas
['1471-2261'],2019,Springer Nature,pub.1111514910,jour.1024935,BMC Cardiovascular Disorders
"['1364-8535', '1466-609X']",2019,Springer Nature,pub.1120850373,jour.1117766,Critical Care
"['1861-0684', '1861-0692']",2019,Springer Nature,pub.1113475917,jour.1297382,Clinical Research in Cardiology
['1475-2875'],2019,Springer Nature,pub.1113179479,jour.1030597,Malaria Journal
"['0269-2813', '1365-2036']",2019,Wiley,pub.1121829561,jour.1097143,Alimentary Pharmacology & Therapeutics
"['1053-0770', '1532-8422']",2019,Elsevier,pub.1111371086,jour.1101507,Journal of Cardiothoracic and Vascular Anesthesia
"['1364-8535', '1466-609X']",2019,,pub.1122796796,jour.1117766,Critical Care
['2468-4287'],2019,Elsevier,pub.1122797562,jour.1052320,Journal of Vascular Surgery Cases and Innovative Techniques
"['1542-3565', '1542-7714']",2019,Elsevier,pub.1113595979,jour.1031710,Clinical Gastroenterology and Hepatology
"['1460-4582', '1741-2811']",2019,SAGE Publications,pub.1104611260,jour.1020795,Health Informatics Journal
"['1468-6708', '1745-6215']",2019,Springer Nature,pub.1113377932,jour.1297400,Trials
"['1478-6354', '1478-6362']",2019,Springer Nature,pub.1117298928,jour.1297499,Arthritis Research & Therapy
"['0741-238X', '1865-8652']",2019,Springer Nature,pub.1121626579,jour.1096634,Advances in Therapy
['1475-2875'],2019,Springer Nature,pub.1121097047,jour.1030597,Malaria Journal
['1475-925X'],2019,Springer Nature,pub.1121996845,jour.1031014,BioMedical Engineering OnLine
"['1478-6354', '1478-6362']",2019,Springer Nature,pub.1116166762,jour.1297499,Arthritis Research & Therapy
"['1059-7794', '1098-1004']",2019,Wiley,pub.1119800292,jour.1103045,Human Mutation
['1478-7547'],2019,Springer Nature,pub.1112901445,jour.1032048,Cost Effectiveness and Resource Allocation
"['0010-9452', '1973-8102']",2019,Elsevier,pub.1117966007,jour.1007353,Cortex
['1475-2875'],2019,Springer Nature,pub.1113184521,jour.1030597,Malaria Journal
['1471-2350'],2019,Springer Nature,pub.1111407288,jour.1024947,BMC Medical Genetics
['2045-2322'],2019,Springer Nature,pub.1118098207,jour.1045337,Scientific Reports
['1471-2377'],2019,Springer Nature,pub.1117484908,jour.1024950,BMC Neurology
"['1365-182X', '1477-2574']",2019,Elsevier,pub.1119901098,jour.1022076,Hepato Pancreato Biliary
['2045-2322'],2019,Springer Nature,pub.1122695976,jour.1045337,Scientific Reports
"['1471-4906', '1355-8242', '1471-4981']",2019,Elsevier,pub.1122923809,jour.1091571,Trends in Immunology
"['0770-3198', '1434-9949']",2019,Springer Nature,pub.1120862671,jour.1093299,Clinical Rheumatology
['2052-0492'],2019,Springer Nature,pub.1112266304,jour.1049769,Journal of Intensive Care
"['0960-9776', '1532-3080']",2019,Elsevier,pub.1120337428,jour.1102857,The Breast
"['0049-0172', '1532-866X']",2019,Elsevier,pub.1122869474,jour.1055549,Seminars in Arthritis and Rheumatism
"['1866-1947', '1866-1955']",2019,Springer Nature,pub.1116886422,jour.1040543,Journal of Neurodevelopmental Disorders
['1471-230X'],2019,Springer Nature,pub.1111225129,jour.1024942,BMC Gastroenterology
['1471-230X'],2019,Springer Nature,pub.1111260073,jour.1024942,BMC Gastroenterology
"['0022-3476', '1097-6833']",2019,Elsevier,pub.1121875986,jour.1017754,The Journal of Pediatrics
"['0169-2607', '1872-7565']",2019,Elsevier,pub.1120475622,jour.1013238,Computer Methods and Programs in Biomedicine
"['2050-6406', '2050-6414']",2019,SAGE Publications,pub.1123061392,jour.1048308,United European Gastroenterology Journal
['1471-2377'],2019,Springer Nature,pub.1118071607,jour.1024950,BMC Neurology
"['1278-3218', '1769-6658']",2019,Elsevier,pub.1121687225,jour.1100325,Cancer/Radiothérapie
"['0016-2698', '1578-1860', '0014-2565']",2019,Elsevier,pub.1113706640,jour.1083384,Revista Clínica Española
['1475-2875'],2019,Springer Nature,pub.1111645723,jour.1030597,Malaria Journal
['2045-2322'],2019,Springer Nature,pub.1121046427,jour.1045337,Scientific Reports
"['0269-2813', '1365-2036']",2019,Wiley,pub.1122474025,jour.1097143,Alimentary Pharmacology & Therapeutics
['2254-8874'],2019,Elsevier,pub.1114526605,jour.1050121,Revista Clínica Española (English Edition)
['2045-2322'],2019,Springer Nature,pub.1122780804,jour.1045337,Scientific Reports
"['1525-5050', '1525-5069']",2019,Elsevier,pub.1122305947,jour.1021547,Epilepsy & Behavior
['1472-6963'],2019,Springer Nature,pub.1120902503,jour.1327417,BMC Health Services Research
"['1175-5652', '1179-1896']",2019,Springer Nature,pub.1120974628,jour.1031175,Applied Health Economics and Health Policy
"['1527-2729', '1534-6277']",2019,Springer Nature,pub.1122946501,jour.1022080,Current Treatment Options in Oncology
"['1757-4676', '1757-4684']",2019,EMBO,pub.1123013128,jour.1040716,EMBO Molecular Medicine
['2072-6694'],2019,MDPI,pub.1123036210,jour.1043163,Cancers
"['1556-3790', '1556-3804']",2019,Springer Nature,pub.1122928061,jour.1035689,Current Colorectal Cancer Reports
"['0017-5749', '1468-3288']",2019,,pub.1122945488,jour.1077125,Gut
['2307-8960'],2019,Baishideng Publishing Group,pub.1122887906,jour.1049135,World Journal of Clinical Cases
"['1757-7853', '1757-7861']",2019,Wiley,pub.1122916834,jour.1041280,Orthopaedic Surgery
"['1434-6621', '1437-4331']",2019,De Gruyter,pub.1118152409,jour.1294896,Clinical Chemistry and Laboratory Medicine
"['1472-0205', '1472-0213']",2019,BMJ,pub.1122876680,jour.1023648,Emergency Medicine Journal
"['1346-9843', '1347-4820']",2019,Japanese Circulation Society,pub.1122389592,jour.1319807,Circulation Journal
['1534-7362'],2019,Association for Research in Vision and Ophthalmology (ARVO),pub.1122801431,jour.1030998,Journal of Vision
"['1361-6137', '1469-493X', '1465-1858']",2019,Wiley,pub.1122781380,jour.1022148,Cochrane Database of Systematic Reviews
"['1478-7210', '1744-8336']",2019,Taylor & Francis,pub.1122526716,jour.1032453,Expert Review of Anti-infective Therapy
"['0954-6634', '1471-1753']",2019,Taylor & Francis,pub.1122371273,jour.1099960,Journal of Dermatological Treatment
['1664-8021'],2019,Frontiers,pub.1122694455,jour.1045144,Frontiers in Genetics
"['1568-5888', '1876-6250']",2019,Springer Nature,pub.1122700647,jour.1029148,Netherlands Heart Journal
"['0937-9827', '1437-1596']",2019,Springer Nature,pub.1122663735,jour.1013672,International Journal of Legal Medicine
"['0882-0139', '1532-4311']",2019,Taylor & Francis,pub.1120291342,jour.1016244,Immunological Investigations
"['1828-0447', '1970-9366']",2019,Springer Nature,pub.1122602367,jour.1295016,Internal and Emergency Medicine
"['1522-1946', '1522-726X']",2019,Wiley,pub.1122579719,jour.1294875,Catheterization and Cardiovascular Interventions
"['1661-7827', '1660-4601']",2019,MDPI,pub.1122636011,jour.1034947,International Journal of Environmental Research and Public Health
"['2351-9797', '2351-9800']",2019,Wiley,pub.1121787493,jour.1050372,Advances in Digestive Medicine
"['1463-922X', '1464-536X']",2019,Taylor & Francis,pub.1122582133,jour.1031788,Theoretical Issues in Ergonomics Science
"['0165-5701', '1573-2630']",2019,Springer Nature,pub.1122514469,jour.1089510,International Ophthalmology
"['1387-2877', '1875-8908', '13872877']",2019,IOS Press,pub.1121360314,jour.1119070,Journal of Alzheimer's Disease
"['1462-8910', '1463-1318']",2019,Wiley,pub.1122505948,jour.1020799,Colorectal Disease
"['1522-1946', '1522-726X']",2019,Wiley,pub.1122473625,jour.1294875,Catheterization and Cardiovascular Interventions
"['2193-6218', '2193-6226']",2019,Springer Nature,pub.1122484211,jour.1046155,Medizinische Klinik - Intensivmedizin und Notfallmedizin
['2324-9269'],2019,Wiley,pub.1122442295,jour.1048081,Molecular Genetics & Genomic Medicine
['1663-4365'],2019,Frontiers,pub.1122388238,jour.1043096,Frontiers in Aging Neuroscience
['2055-5822'],2019,Wiley,pub.1122390135,jour.1052536,ESC Heart Failure
['2076-3425'],2019,MDPI,pub.1122404128,jour.1047838,Brain Sciences
"['0269-2813', '1365-2036']",2019,Wiley,pub.1122332151,jour.1097143,Alimentary Pharmacology & Therapeutics
"['0009-7322', '1524-4539']",2019,Wolters Kluwer,pub.1120757396,jour.1009570,Circulation
"['0920-5063', '1568-5624']",2019,Taylor & Francis,pub.1121930113,jour.1100394,Journal of Biomaterials Science Polymer Edition
"['1396-0296', '1529-8019']",2019,Wiley,pub.1121969699,jour.1116392,Dermatologic Therapy
"['0009-7322', '1524-4539']",2019,Wolters Kluwer,pub.1120793301,jour.1009570,Circulation
"['1092-8472', '1534-309X']",2019,Springer Nature,pub.1122304701,jour.1119515,Current Treatment Options in Gastroenterology
"['1556-3650', '1556-9519']",2019,Taylor & Francis,pub.1112874131,jour.1295018,Clinical Toxicology
"['1754-9507', '1754-9515']",2019,Taylor & Francis,pub.1107643804,jour.1358095,International Journal of Speech-Language Pathology
"['0018-7070', '1876-5912']",2019,Springer Nature,pub.1122287377,jour.1008333,Huisarts en wetenschap
"['1472-8222', '1744-7631']",2019,Taylor & Francis,pub.1121529353,jour.1029922,Expert Opinion on Therapeutic Targets
"['0957-5243', '1573-7225']",2019,Springer Nature,pub.1121058950,jour.1100917,Cancer Causes & Control
"['1380-2933', '1879-162X', '0022-1759', '1872-7905']",2019,Elsevier,pub.1121003241,jour.1114435,Journal of Immunological Methods
"['0889-857X', '1558-3163']",2019,Elsevier,pub.1121303489,jour.1097196,Rheumatic Disease Clinics of North America
"['1353-8020', '1873-5126']",2019,Elsevier,pub.1123010622,jour.1114563,Parkinsonism & Related Disorders
"['0022-510X', '1878-5883']",2019,Elsevier,pub.1122788685,jour.1017752,Journal of the Neurological Sciences
"['0003-4932', '1528-1140']",2019,Wolters Kluwer,pub.1121267989,jour.1017225,Annals of Surgery
"['1479-6708', '1748-6971']",2019,Future Science Group,pub.1121678994,jour.1037132,Future Neurology
"['1424-3903', '1424-3911']",2019,Elsevier,pub.1122916079,jour.1024230,Pancreatology
"['0300-0664', '1365-2265']",2019,Wiley,pub.1117618055,jour.1016108,Clinical Endocrinology
"['2253-654X', '2253-8070']",2019,Elsevier,pub.1122857625,jour.1294995,Revista Española de Medicina Nuclear e Imagen Molecular
"['1092-8480', '1534-3138']",2019,Springer Nature,pub.1122558773,jour.1119514,Current Treatment Options in Neurology
['2044-6055'],2019,BMJ,pub.1122384016,jour.1044693,BMJ Open
"['0378-1119', '1879-0038']",2019,Elsevier,pub.1120499195,jour.1086756,Gene
['2589-790X'],2019,Elsevier,pub.1120638500,jour.1365469,CJC Open
"['0735-6757', '1532-8171']",2019,Elsevier,pub.1122600389,jour.1094260,The American Journal of Emergency Medicine
"['1861-0684', '1861-0692']",2019,Springer Nature,pub.1112918610,jour.1297382,Clinical Research in Cardiology
"['0954-6820', '1365-2796']",2019,Wiley,pub.1118097532,jour.1319882,Journal of Internal Medicine
"['0379-0738', '1872-6283']",2019,Elsevier,pub.1119913354,jour.1015489,Forensic Science International
"['0085-2538', '1523-1755']",2019,Elsevier,pub.1117868780,jour.1015319,Kidney International
"['0959-6526', '1879-1786']",2019,Elsevier,pub.1117869000,jour.1044002,Journal of Cleaner Production
"['0753-3322', '1950-6007']",2019,Elsevier,pub.1120929862,jour.1371653,Biomedicine & Pharmacotherapy
"['0936-6555', '1433-2981']",2019,Elsevier,pub.1122623826,jour.1371474,Comparative Haematology International
"['0736-4679', '1090-1280']",2019,Elsevier,pub.1121721483,jour.1095002,Journal of Emergency Medicine
['2589-871X'],2019,Elsevier,pub.1122778687,jour.1359317,Forensic Science International Synergy
"['0002-9297', '1537-6605']",2019,Elsevier,pub.1122955012,jour.1017012,The American Journal of Human Genetics
"['0730-2312', '1097-4644']",2019,Wiley,pub.1119863195,jour.1015495,Journal of Cellular Biochemistry
"['0748-7983', '1532-2157']",2019,Elsevier,pub.1117367473,jour.1095417,European Journal of Surgical Oncology
"['0890-5339', '1531-2291']",2019,Wolters Kluwer,pub.1119961750,jour.1098366,Journal of Orthopaedic Trauma
"['0179-1958', '1432-1262']",2019,Springer Nature,pub.1121999506,jour.1096381,International Journal of Colorectal Disease
"['1445-1433', '1445-2197']",2019,Wiley,pub.1122203449,jour.1059303,ANZ Journal of Surgery
"['0007-1323', '1365-2168']",2019,Wiley,pub.1119767355,jour.1358132,British Journal of Surgery
"['0749-0712', '1558-1969']",2019,,pub.1121434351,jour.1095816,Hand Clinics
"['2366-004X', '2366-0058']",2019,Springer Nature,pub.1113261690,jour.1297457,Abdominal Radiology
"['0305-4179', '1879-1409']",2019,Elsevier,pub.1119764346,jour.1099596,Burns
"['0748-7983', '1532-2157']",2019,Elsevier,pub.1122285607,jour.1095417,European Journal of Surgical Oncology
"['1445-1433', '1445-2197']",2019,Wiley,pub.1120798643,jour.1059303,ANZ Journal of Surgery
"['0020-1383', '1879-0267']",2019,Elsevier,pub.1122655616,jour.1012680,Injury
"['0885-6230', '1099-1166']",2019,Wiley,pub.1117869105,jour.1097410,International Journal of Geriatric Psychiatry
"['0044-2771', '1439-7803']",2019,Thieme,pub.1122664804,jour.1004765,Zeitschrift für Gastroenterologie
"['0009-9120', '1873-2933']",2019,Elsevier,pub.1122951065,jour.1008871,Clinical Biochemistry
"['1078-0998', '1536-4844']",2019,Oxford University Press (OUP),pub.1122207081,jour.1114191,Inflammatory Bowel Diseases
"['0142-159X', '1466-187X']",2019,Taylor & Francis,pub.1122177445,jour.1090373,Medical Teacher
"['1197-4982', '1876-4460', '1873-9946', '1876-4479']",2019,Oxford University Press (OUP),pub.1113489725,jour.1039135,Journal of Crohn's and Colitis
"['2048-8726', '2048-8734']",2019,SAGE Publications,pub.1122137140,jour.1047386,European Heart Journal Acute Cardiovascular Care
"['1197-4982', '1876-4460', '1873-9946', '1876-4479']",2019,Oxford University Press (OUP),pub.1113462473,jour.1039135,Journal of Crohn's and Colitis
"['1743-4971', '1743-498X']",2019,Wiley,pub.1122090638,jour.1034221,The Clinical Teacher
"['0003-2654', '1364-5528']",2019,Royal Society of Chemistry (RSC),pub.1120788742,jour.1017362,Analyst
"['1018-8665', '1421-9832']",2019,Karger Publishers,pub.1122002108,jour.1102084,Dermatology
['2227-7382'],2019,MDPI,pub.1121976292,jour.1049316,Proteomes
['2296-858X'],2019,Frontiers,pub.1121889100,jour.1051073,Frontiers in Medicine
"['1478-3223', '1478-3231']",2019,Wiley,pub.1121388630,jour.1297452,Liver International
['2077-0383'],2019,MDPI,pub.1121909919,jour.1048290,Journal of Clinical Medicine
"['0385-2407', '1346-8138']",2019,Wiley,pub.1121877803,jour.1084827,The Journal of Dermatology
"['0926-9959', '1468-3083']",2019,Wiley,pub.1120692996,jour.1103093,Journal of the European Academy of Dermatology and Venereology
"['1754-9477', '1754-9485']",2019,Wiley,pub.1121655121,jour.1005890,Journal of Medical Imaging and Radiation Oncology
"['0007-1323', '1365-2168']",2019,Wiley,pub.1121582381,jour.1358132,British Journal of Surgery
"['0903-1936', '1399-3003']",2019,,pub.1120765103,jour.1097884,European Respiratory Journal
"['8755-6863', '1099-0496']",2019,Wiley,pub.1121583234,jour.1095828,Pediatric Pulmonology
"['1880-4276', '1883-2148']",2019,Wiley,pub.1121521782,jour.1036330,Journal of Arrhythmia
,2019,Cold Spring Harbor Laboratory,pub.1121529161,jour.1293558,bioRxiv
"['1477-9072', '1744-8344']",2019,Taylor & Francis,pub.1121429342,jour.1032493,Expert Review of Cardiovascular Therapy
"['1747-4124', '1747-4132']",2019,Taylor & Francis,pub.1121659570,jour.1037145,Expert Review of Gastroenterology & Hepatology
['2574-2531'],2019,Oxford University Press (OUP),pub.1122100318,jour.1321248,JAMIA Open
"['0098-7484', '1538-3598']",2019,American Medical Association (AMA),pub.1121295490,jour.1081531,JAMA
"['0002-953X', '1535-7228']",2019,American Psychiatric Association Publishing,pub.1121398735,jour.1017023,American Journal of Psychiatry
"['1445-1433', '1445-2197']",2019,Wiley,pub.1117826039,jour.1059303,ANZ Journal of Surgery
"['0735-6757', '1532-8171']",2019,Elsevier,pub.1121576401,jour.1094260,The American Journal of Emergency Medicine
"['0174-1551', '1432-086X']",2019,Springer Nature,pub.1114221466,jour.1091062,CardioVascular and Interventional Radiology
"['0026-4725', '1827-1618', '00264725']",2019,Edizioni Minerva Medica,pub.1121089478,jour.1018159,Minerva Cardioangiologica
"['1616-2455', '2196-6427']",2019,Springer Nature,pub.1121391391,jour.1035907,DNP - Der Neurologe & Psychiater
"['1445-937X', '2055-2335']",2019,Wiley,pub.1116103346,jour.1295113,Journal of Pharmacy Practice and Research
"['0269-2813', '1365-2036']",2019,Wiley,pub.1120990030,jour.1097143,Alimentary Pharmacology & Therapeutics
"['0090-8258', '1095-6859']",2019,Elsevier,pub.1121579054,jour.1016705,Gynecologic Oncology
"['0306-5251', '1365-2125']",2019,Wiley,pub.1120251486,jour.1082013,British Journal of Clinical Pharmacology
"['2212-2761', '2212-277X']",2019,Springer Nature,pub.1120498238,jour.1035596,Perspectives on Medical Education
"['0020-1383', '1879-0267']",2019,Elsevier,pub.1113835580,jour.1012680,Injury
"['0269-7491', '1873-6424']",2019,Elsevier,pub.1122012875,jour.1098046,Environmental Pollution
"['1462-8902', '1463-1326']",2019,Wiley,pub.1117042433,jour.1020801,Diabetes Obesity and Metabolism
"['0898-4921', '1537-1921']",2019,Wolters Kluwer,pub.1107818425,jour.1099491,Journal of Neurosurgical Anesthesiology
"['1740-7745', '1740-7753']",2019,SAGE Publications,pub.1119862912,jour.1358274,Clinical Trials
"['1050-1738', '1873-2615']",2019,Elsevier,pub.1121687761,jour.1101366,Trends in Cardiovascular Medicine
['2155-384X'],2019,Wolters Kluwer,pub.1122177536,jour.1043594,Clinical and Translational Gastroenterology
"['0312-5963', '1179-1926']",2019,Springer Nature,pub.1115023604,jour.1085321,Clinical Pharmacokinetics
"['1094-5539', '1522-9629']",2019,Elsevier,pub.1118087265,jour.1313755,Pulmonary Pharmacology & Therapeutics
"['0269-2813', '1365-2036']",2019,Wiley,pub.1120198441,jour.1097143,Alimentary Pharmacology & Therapeutics
['2044-6055'],2019,BMJ,pub.1121659178,jour.1044693,BMJ Open
"['0167-5273', '1874-1754']",2019,Elsevier,pub.1117367698,jour.1313661,International Journal of Cardiology
"['0277-2116', '1536-4801']",2019,Wolters Kluwer,pub.1115942008,jour.1093316,Journal of Pediatric Gastroenterology and Nutrition
"['1699-048X', '1699-3055']",2019,Springer Nature,pub.1112098304,jour.1035367,Clinical and Translational Oncology
"['1759-5029', '1759-5037']",2019,Springer Nature,pub.1120284013,jour.1345278,Nature Reviews Endocrinology
['2605-1532'],2019,Elsevier,pub.1119817204,jour.1365567,REC CardioClinics
"['1388-2457', '1872-6380', '1872-8952']",2019,Elsevier,pub.1119866719,jour.1345398,Clinical Neurophysiology
"['0969-9546', '1473-5695']",2019,Wolters Kluwer,pub.1107397868,jour.1113477,European Journal of Emergency Medicine
"['0360-3997', '1573-2576']",2019,Springer Nature,pub.1114523687,jour.1084792,Inflammation
"['0301-4851', '1573-4978']",2019,Springer Nature,pub.1119756664,jour.1018503,Molecular Biology Reports
"['0007-0912', '1471-6771']",2019,Elsevier,pub.1120413966,jour.1017306,British Journal of Anaesthesia
"['0735-1097', '1558-3597']",2019,Elsevier,pub.1121793247,jour.1093746,Journal of the American College of Cardiology
"['0020-1383', '1879-0267']",2019,Elsevier,pub.1120019424,jour.1012680,Injury
"['0309-2402', '1365-2648']",2019,Wiley,pub.1117155272,jour.1085595,Journal of Advanced Nursing
"['0964-3397', '1532-4036']",2019,Elsevier,pub.1119815318,jour.1095590,Intensive and Critical Care Nursing
"['0101-9880', '1980-5446', '2237-9363']",2019,Elsevier,pub.1120165155,jour.1345599,Journal of Coloproctology
"['0885-3177', '1536-4828']",2019,Wolters Kluwer,pub.1121559970,jour.1096425,Pancreas
"['2586-6583', '2586-6591']",2019,The Korean Spinal Neurosurgery Society,pub.1121313745,jour.1036475,Neurospine
"['0895-0172', '1545-7222']",2019,American Psychiatric Association Publishing,pub.1121389663,jour.1099515,Journal of Neuropsychiatry
"['2380-6583', '2380-6591']",2019,American Medical Association (AMA),pub.1121300297,jour.1053069,JAMA Cardiology
"['0022-1899', '1537-6613']",2019,Oxford University Press (OUP),pub.1117638196,jour.1019235,The Journal of Infectious Diseases
"['1346-9843', '1347-4820']",2019,Japanese Circulation Society,pub.1120943221,jour.1319807,Circulation Journal
"['0009-7322', '1524-4539']",2019,Wolters Kluwer,pub.1120698565,jour.1009570,Circulation
"['1439-7595', '1439-7609']",2019,Taylor & Francis,pub.1120843498,jour.1023369,Modern Rheumatology
['2072-666X'],2019,MDPI,pub.1121193781,jour.1050710,Micromachines
"['0963-8288', '1464-5165']",2019,Taylor & Francis,pub.1121060862,jour.1090622,Disability and Rehabilitation
"['1078-0998', '1536-4844']",2019,Oxford University Press (OUP),pub.1122263437,jour.1114191,Inflammatory Bowel Diseases
['2168-8184'],2019,Cureus,pub.1121083964,jour.1047717,Cureus
"['0013-5585', '1862-278X']",2019,De Gruyter,pub.1121067474,jour.1345371,Biomedical Engineering / Biomedizinische Technik
['1178-2390'],2019,,pub.1121040175,jour.1041882,Journal of Multidisciplinary Healthcare
"['1068-9265', '1534-4681']",2019,,pub.1120995838,jour.1105545,Annals of Surgical Oncology
['2168-8184'],2019,,pub.1122383394,jour.1047717,Cureus
"['1382-4147', '1573-7322']",2019,Springer Nature,pub.1120970409,jour.1115887,Heart Failure Reviews
['1664-3224'],2019,Frontiers,pub.1120961920,jour.1045166,Frontiers in Immunology
"['0732-183X', '1527-7755']",2019,American Society of Clinical Oncology (ASCO),pub.1117292298,jour.1312191,Journal of Clinical Oncology
['2470-1343'],2019,American Chemical Society (ACS),pub.1120697538,jour.1157000,ACS Omega
['2218-273X'],2019,MDPI,pub.1120948198,jour.1047694,Biomolecules
['2168-8184'],2019,Cureus,pub.1120879522,jour.1047717,Cureus
"['1361-6137', '1469-493X', '1465-1858']",2019,Wiley,pub.1120840299,jour.1022148,Cochrane Database of Systematic Reviews
"['1401-7431', '1651-2006']",2019,Taylor & Francis,pub.1117292863,jour.1313752,Scandinavian Cardiovascular Journal
"['1361-6137', '1469-493X', '1465-1858']",2019,Wiley,pub.1120787230,jour.1022148,Cochrane Database of Systematic Reviews
"['1752-8054', '1752-8062']",2019,Wiley,pub.1120508608,jour.1040037,Clinical and Translational Science
"['1071-1007', '1944-7876']",2019,SAGE Publications,pub.1120793117,jour.1091773,Foot & Ankle International
"['1098-3600', '1530-0366']",2019,Springer Nature,pub.1120740764,jour.1119411,Genetics in Medicine
"['0004-5632', '1758-1001']",2019,SAGE Publications,pub.1113485662,jour.1015341,Annals of Clinical Biochemistry International Journal of Laboratory Medicine
"['0017-5749', '1468-3288']",2019,BMJ,pub.1117745126,jour.1077125,Gut
"['1523-3855', '2167-6275']",2019,Springer Nature,pub.1118098129,jour.1021171,Current Anesthesiology Reports
"['1109-3099', '2520-8721']",2019,Springer Nature,pub.1117488435,jour.1030758,Hormones
"['0885-0666', '1525-1489']",2019,SAGE Publications,pub.1105953269,jour.1096550,Journal of Intensive Care Medicine
"['1774-024X', '1969-6213']",2019,Europa Digital & Publishing,pub.1105346513,jour.1035557,EuroIntervention
"['1059-7794', '1098-1004']",2019,Wiley,pub.1115800631,jour.1103045,Human Mutation
['2044-6055'],2019,BMJ,pub.1120799166,jour.1044693,BMJ Open
"['0007-1323', '1365-2168']",2019,Wiley,pub.1117827053,jour.1358132,British Journal of Surgery
"['1521-6896', '1878-1608']",2019,Elsevier,pub.1118064909,jour.1312200,Best Practice & Research Clinical Anaesthesiology
"['1523-3782', '1534-3170']",2019,Springer Nature,pub.1119918313,jour.1021175,Current Cardiology Reports
"['1547-5654', '1547-5646']",2019,Journal of Neurosurgery Publishing Group (JNSPG),pub.1120765104,jour.1034018,Journal of Neurosurgery Spine
['2468-6018'],2019,Elsevier,pub.1117406947,jour.1300724,IFAC Journal of Systems and Control
"['1525-5050', '1525-5069']",2019,Elsevier,pub.1117872911,jour.1021547,Epilepsy & Behavior
"['0012-3706', '1530-0358']",2019,Wolters Kluwer,pub.1118101365,jour.1017424,Diseases of the Colon & Rectum
"['1774-024X', '1969-6213']",2019,Europa Digital & Publishing,pub.1106151624,jour.1035557,EuroIntervention
"['0020-9554', '1432-1289']",2019,Springer Nature,pub.1120204798,jour.1014429,Der Internist
"['1759-4790', '1759-4804']",2019,Springer Nature,pub.1119958680,jour.1036168,Nature Reviews Rheumatology
