Grant Number,Title,Funding Amount in USD,Start Year,End Year,Funder,Funder Country
379652,Vaccines for farm fish,4184,2007,2008,Natural Sciences and Engineering Research Council,Canada
516321,Vaccins thérapeutiques anti-cancer,4498,2012,2013,Natural Sciences and Engineering Research Council,Canada
495065,Vaccins thérapeutiques anti-cancer,4546,2011,2012,Natural Sciences and Engineering Research Council,Canada
379651,Vaccines for farm fish,4184,2007,2008,Natural Sciences and Engineering Research Council,Canada
330169,Improving cancer vaccine efficacy,15247,2006,2007,Natural Sciences and Engineering Research Council,Canada
U01IP000464,NEW VACCINE SURVEILLANCE NETWORK,3455122,2011,2017,Centers for Disease Control and Prevention,United States
U01CA061398,MACROPHAGE-BASED MELANOMA VACCINE,0,1993,1997,National Cancer Institute,United States
R44AI034679,HELICOBACTER PYLORI MUCOSAL VACCINE,0,1993,1997,National Institute of Allergy and Infectious Diseases,United States
R43AI040433,MALARIA VACCINE ADJUVANT DEVELOPMENT,0,1996,1997,National Institute of Allergy and Infectious Diseases,United States
R21AI045391,HIV GP120 GLYCOCONJUGATE VACCINES,485633,2000,2004,National Institute of Allergy and Infectious Diseases,United States
N01AI065303,SIMIAN VACCINE EVALUATION UNITS,838646,1996,2001,National Institute of Allergy and Infectious Diseases,United States
N01AI052576,TESTING VACCINES IN CHILDREN,0,1985,1990,National Institute of Allergy and Infectious Diseases,United States
N01AI045240,HLA AND VACCINES (BAA),0,1994,1999,National Institute of Allergy and Infectious Diseases,United States
N01AI045211,AIDS VACCINE EVALUATION UNITS,52371,1994,2000,National Institute of Allergy and Infectious Diseases,United States
N01AI045210,AIDS VACCINE EVALUATION UNITS,113783,1994,2000,National Institute of Allergy and Infectious Diseases,United States
N01AI045209,AIDS VACCINE EVALUATION UNITS,378543,1994,2000,National Institute of Allergy and Infectious Diseases,United States
N01AI045208,AIDS VACCINE EVALUATION UNITS,113000,1994,2000,National Institute of Allergy and Infectious Diseases,United States
N01AI045207,AIDS VACCINE EVALUATION UNITS,534630,1994,2000,National Institute of Allergy and Infectious Diseases,United States
N01AI045206,AIDS VACCINE EVALUATION UNITS,39000,1994,2000,National Institute of Allergy and Infectious Diseases,United States
N01AI015114,EVALUATION OF CANDIDATE VACCINES,0,1991,1996,National Institute of Allergy and Infectious Diseases,United States
N01AI005065,AIDS VACCINE EVALUATION UNITS,0,1990,1995,National Institute of Allergy and Infectious Diseases,United States
H23IP000735,IMMUNIZATION & VACCINES FOR CHILDREN,8807296,2013,2017,Centers for Disease Control and Prevention,United States
H23IP000689,Hepatatis B Vaccine Pilot,1265722,2012,2015,Centers for Disease Control and Prevention,United States
0311300 /8,Verbundprojekt: Verfahren zur Impfstoffentwicklung: Rekombinante Impfstoffe Impfstoffe gegen virale Erkrankungen von Salmoniden,183534,1996,1999,Federal Ministry of Education and Research,Germany
39789010,基因工程疫苗的机理,120798,1998,2000,National Natural Science Foundation of China,China
31210103063,坏死杆菌重组亚单位疫苗研究,1901,2012,2012,National Natural Science Foundation of China,China
30910303037,2009亚洲DNA疫苗国际年会,5854,2009,2009,National Natural Science Foundation of China,China
30410203257,2004年DNA疫苗国际会议,1691,2004,2004,National Natural Science Foundation of China,China
30010427,第三届疫苗研究年会,1086,2000,2000,National Natural Science Foundation of China,China
313170,BioChancePLUS: Therapeutische Vakzinierung gegen Multiple Sklerose,512009,2004,2007,Federal Ministry of Education and Research,Germany
BCTR9831,Improved Vaccines for Breast Cancer Immunotherapy,200000,1998,2001,Susan G. Komen Breast Cancer Foundation,United States
N/A,Sterilization Vaccine for Cattle,0,2006,2006,Council for International Exchange of Scholars,United States
N/A,Vaccine Production in Plants,0,2011,2011,Council for International Exchange of Scholars,United States
N/A,Novel vaccine formulations against tuberculosis,295003,2002,2005,Canadian Institutes of Health Research,Canada
UM1AI148373,Kaiser Washington VTEU supplement 20-0003,8621578,2019,2022,National Institute of Allergy and Infectious Diseases,United States
U54CA242639,"Partnership for Prevention of HPV-Associated Cancers in People Living with HIV: Brazil, Mexico, and Puerto Rico",3462240,2019,2024,National Cancer Institute,United States
R21CA230878,Engaging practices and communities in the development of interventions to promote HPV vaccine uptake,202928,2019,2021,National Cancer Institute,United States
U54CA242977,Colaboracion Evita: HPV-Related Cancer Prevention Partnership Center,3574360,2019,2024,National Cancer Institute,United States
R01AI147839,Understanding the rectal mucosal effects of cross-sex hormone therapy among US and Thai transgender women,1416359,2019,2024,National Institute of Allergy and Infectious Diseases,United States
R01CA240983,Targeting Neoantigens in Triple Negative Breast Cancer,1266874,2019,2024,National Cancer Institute,United States
K08HS026510,Improving Immunization Rates in Transplant Candidates Through the Use of a Health Information Technology Tool,297078,2019,2024,Agency for Healthcare Research and Quality,United States
R01CA235615,RCT to Evaluate an Implementation Strategy to Increase Optimal Use of HPV Vaccine in Primary Care,1132371,2019,2024,National Cancer Institute,United States
R21AI141822,Adapting Motivational Interviewing for Maternal Immunization (MI4MI),436589,2019,2021,National Institute of Allergy and Infectious Diseases,United States
R01AG064800,Cutaneous pathogen-specific tissue resident memory T cells in human aging,1276621,2019,2024,National Institute on Aging,United States
P01CA229143,Improving Uptake of Cervical Cancer Prevention Services in Appalachia,4819553,2019,2024,National Cancer Institute,United States
U01AI141919,PERSISTENCE OF PROTECTION CONFERRED BY SHINGRIX AGAINST HERPES ZOSTER IN OLDER ADULTS,1444740,2019,2024,National Institute of Allergy and Infectious Diseases,United States
U01AI141981,The effect of inflammation and damage to lymph node structures on durable protective immunity following vaccination,1221707,2019,2024,National Institute of Allergy and Infectious Diseases,United States
K01AI137123,Characterizing parental beliefs to support optimization of vaccine introduction,197368,2018,2023,National Institute of Allergy and Infectious Diseases,United States
R01AI141712,Eliminating human rabies: impact of enhanced vaccination coverage,1143705,2018,2023,National Institute of Allergy and Infectious Diseases,United States
R01HD093628,Evaluation of the Presumptively Initiating Vaccines and Optimizing Talk with Motivational Interviewing (PIVOT with MI) Intervention,1902392,2018,2023,National Institute of Child Health and Human Development,United States
R01CA229261,Dissecting neoepitope-specific clonal T cell populations in advanced melanoma patients vaccinated with personal neoantigen peptides partnered with local and systemic immune checkpoint Inhibition,627949,2018,2024,National Cancer Institute,United States
R01HD096277,Group Antenatal Care to Promote a Healthy Pregnancy and Optimize Maternal and Newborn Outcomes:  A Cluster Randomized Controlled Trial,1137876,2018,2023,National Institute of Child Health and Human Development,United States
UG3HD096908,Developing and Testing a Multi-level Package of Interventions for an Integrated Care Delivery Model of HIV Prevention and Treatment Targeting Adolescent Girls in Zambia,2125858,2018,2020,National Institute of Child Health and Human Development,United States
R21CA222936,Improving Transition Readiness in Adolescent and Young Adult (AYA) Survivors of Childhood Cancer,376258,2018,2021,National Cancer Institute,United States
KL2TR002554,Institutional Career Development Core,4921290,2018,2023,National Center for Advancing Translational Sciences,United States
R01CA217889,"Less Pain, Less Fuss, Right Now! and Make It Count!- Multilevel Interventions for Patient, Parent, and Practice to Enhance Provider Recommendations for HPV Vaccination",1721894,2018,2023,National Cancer Institute,United States
R37CA226682,A Randomized Controlled Trial of an HPV Vaccine Intervention for Young Sexual Minority Men,1634563,2018,2022,National Cancer Institute,United States
R01AI132348,Transcriptomic Signatures of Influenza Vaccine Responses,2346427,2018,2022,National Institute of Allergy and Infectious Diseases,United States
R01AI135029,Improving Influenza Vaccination Delivery Across a Health System by the Electronic Health Records Patient Portal,2176605,2018,2022,National Institute of Allergy and Infectious Diseases,United States
R01AI129709,Non-inferiority study of adjuvanted vs. high dose flu vaccine in residents of long term care,3385066,2017,2020,National Institute of Allergy and Infectious Diseases,United States
UH3AG056925,Physical Resiliencies:  Indicators and Mechanisms in the Elderly Collaborative,1719272,2017,2022,National Institute on Aging,United States
P50CA206963,SPORE in Myeloid Malignancies,8505691,2017,2022,National Cancer Institute,United States
R03AG052778,Resistance Exercise to Improve Vaccine Outcomes in Older Adults,153000,2017,2020,National Institute on Aging,United States
R01HD089939,Microfluidic Assessment of Clinical Outcomes in Preterm Newborns,2707925,2017,2022,National Institute of Child Health and Human Development,United States
U01IP001073,Impact of AFIX and Physician-to-Physician Engagement on HPV Vaccination in Primary Care: An RCT,1499255,2017,2020,Centers for Disease Control and Prevention,United States
U01AI131310,Phase I therapeutic testing of viral-vectored vaccines that shift CD8+ T cell immunodominance to conserved regions of HIV-1,4567862,2017,2022,National Institute of Allergy and Infectious Diseases,United States
U01AI131285,Comparison of Dendritic Cell-Based Therapeutic Vaccine Strategies for HIV Functional Cure,6204118,2017,2022,National Institute of Allergy and Infectious Diseases,United States
R01AI129715,Evaluating the relationship of CD101 and UBE2V1 to genital mucosal inflammation,2850090,2017,2022,National Institute of Allergy and Infectious Diseases,United States
R01AI131914,Identification of Novel Mucosal Immune Mechanisms Involved in Protection from HIV-1,3117491,2017,2022,National Institute of Allergy and Infectious Diseases,United States
U01AI129789,Controlled Infection Trial to Test Efficacy of Hookworm Vaccine with Different TLR Agonists,3136765,2017,2021,National Institute of Allergy and Infectious Diseases,United States
R01AI130398,Effects of aging on primary and secondary vaccine responses in a 15-year longitudinal cohort,3339739,2017,2022,National Institute of Allergy and Infectious Diseases,United States
U01AI131296,Therapeutic vaccination and PD-1 blockade in treated HIV disease,5933389,2017,2022,National Institute of Allergy and Infectious Diseases,United States
R01CA213130,Therapeutic use of HPV L1 Vaccine in Anogenital Neoplasia: VIVA Trial,3324968,2017,2022,National Cancer Institute,United States
R01CA202261,Improving HPV Vaccination Delivery in Pediatric Primary Care: The STOP-HPV Trial,2094641,2017,2023,National Cancer Institute,United States
R01CA207401,Increasing HPV vaccine uptake in community-based pediatric practices,2177346,2016,2021,National Cancer Institute,United States
R01HD086045,Flu2Text: A Multi-Site Study assessing an Intervention for 2nd Dose of Influenza Vaccine,2414954,2016,2020,National Institute of Child Health and Human Development,United States
R01DA038875,Non-Metabolized Pregnenolone Derivatives:New Treatment for Cannabis Use Disorder,3077623,2016,2020,National Institute on Drug Abuse,United States
U01IP001035,"Outpatient VE for seasonal flu, pandemic flu and RSV in a large, diverse network",7800000,2016,2021,Centers for Disease Control and Prevention,United States
P50CA196510,Washington University SPORE in Pancreatic Cancer,10948829,2016,2021,National Cancer Institute,United States
U01MD011281,A Pragmatic Trial of An Adaptive eHealth HIV Prevention Program for Diverse Adolescent MSM,9657789,2016,2021,National Institute on Minority Health and Health Disparities,United States
R01CA201429,Helping the poor quit smoking: specialized quitlines and meeting basic needs,2896141,2016,2021,National Cancer Institute,United States
R21CA208329,Using Text Messaging to Increase HPV Vaccination among Young Sexual Minority Men,381753,2016,2019,National Cancer Institute,United States
R01HL134211,Malaria chemoprevention in children with sickle cell anemia in Western Kenya,2867299,2016,2021,National Heart Lung and Blood Institute,United States
R01MH107297,PC4PrEP: Integrating PrEP into Primary Care,3601728,2016,2021,National Institute of Mental Health,United States
R01AG052495,Mindfulness based stress reduction for family caregivers of dementia patients,2814138,2016,2021,National Institute on Aging,United States
K01MH109871,Effects of inflammation on neural mechanisms of threat sensitivity in posttraumatic stress disorder,736508,2016,2021,National Institute of Mental Health,United States
U01HL130163,INfluenza Vaccine to Effectively Stop Cardio Thoracic Events and Decompensated heart failure (INVESTED),19063816,2016,2021,National Heart Lung and Blood Institute,United States
R21TW010262,mHealth-assisted conditional cash transfers to improve timeliness of vaccinations,353570,2016,2018,Fogarty International Center,United States
R21CA202011,"Maximizing HPV vaccination: Real-time Reminders, Guidance, and Recommendations",371547,2016,2020,National Cancer Institute,United States
R01AI118422,Perturbing the HIV Reservoir with Immune Stimulation,3818277,2016,2021,National Institute of Allergy and Infectious Diseases,United States
R01CA187219,Peptide vaccine immunotherapy for children with recurrent low-grade astrocytomas,1761886,2016,2020,National Cancer Institute,United States
R03EB015955,Enhancing Health Care Access with Cellular Technology,256339,2015,2018,National Institute of Biomedical Imaging and Bioengineering,United States
R21TW010252,Point-of-Delivery Prenatal Test Results through mHealth to Improve Birth Outcome,322369,2015,2018,Fogarty International Center,United States
R35CA197633,Immuno-Targeted Therapy for Melanoma,3979310,2015,2022,National Cancer Institute,United States
R01CA187707,State Immunization Information Systems to Improve HPV Vaccination Rates,2378680,2015,2020,National Cancer Institute,United States
R01CA175517,Efficacy of Dendritic Cell Vaccines Targeting CMV in Glioblastoma (phase 2 DC vaccine),3086214,2015,2021,National Cancer Institute,United States
R01CA197296,Reprogramming the pancreatic tumor microenvironment with immunotherapy,2305214,2015,2021,National Cancer Institute,United States
R01HS023582,SINC: Synchronized Immunization Notifications,749875,2015,2019,Agency for Healthcare Research and Quality,United States
R21CA194831,Increasing HPV Vaccine Coverage among Young Adult Gay and Bisexual Men,382920,2015,2018,National Cancer Institute,United States
R01CA195563,Enhancing Adoptive Immunotherapy Targeting Pediatric High-Grade Gliomas,2836396,2015,2020,National Cancer Institute,United States
R01AI114903,Centralized IIS-Based Reminder-Recall to Increase Influenza Vaccination Rates,2811087,2015,2020,National Institute of Allergy and Infectious Diseases,United States
R21HD084115,SMS mobile technology to improve early childhood vaccine coverage in Guatemala,340715,2015,2019,National Institute of Child Health and Human Development,United States
R01AI110482,A Comprehensive Pre-Natal Intervention to Increase Vaccine Coverage,3956523,2014,2019,National Institute of Allergy and Infectious Diseases,United States
R01CA181045,CMVPepVax to Protect HCT Recipients from Cytomegalovirus Infection,3593996,2014,2020,National Cancer Institute,United States
R44CA183075,In-Situ Autovaccination against Solid Cancers with Intratumoral Hiltonol (Poly-ICLC): A phase II Adaptive Multicenter Clinical Study,1689340,2014,2020,National Cancer Institute,United States
R01AG047922,ACTIVE IMMUNOTHERAPY FOR COGNITIVE DECLINE IN ADULTS WITH DOWN SYNDROME,1607948,2014,2019,National Institute on Aging,United States
R01CA187076,The role of the PI3K pathway in immune resistance,1980000,2014,2020,National Cancer Institute,United States
R21DA036407,Improving Identification of Social Harm among Substance Abusers in HIV Trials,405419,2014,2017,National Institute on Drug Abuse,United States
R21HD076216,"Spillover effects of water, sanitation, and hygiene interventions on child health",364537,2014,2017,National Institute of Child Health and Human Development,United States
U10CA180794,ECOG-ACRIN Network Group Statistics and Data Management Center,51333324,2014,2025,National Cancer Institute,United States
U10CA180820,ECOG-ACRIN Network Group Operations Center,87255624,2014,2025,National Cancer Institute,United States
U10CA180888,SWOG Network Group Operations Center of the NCTN,72999856,2014,2025,National Cancer Institute,United States
U10CA180868,NRG Oncology Network Group Operations Center,104891832,2014,2025,National Cancer Institute,United States
U10CA180830,NCI NCTN- Network Lead Academic Participating Site: USC,3023086,2014,2019,National Cancer Institute,United States
UM1CA186704,Duke-UNC-Wash U Partnership for Early Phase Clinical Trials in Cancer,6775451,2014,2021,National Cancer Institute,United States
U19AI111825,Integrating innate and adaptive pathways in vaccine responses,18260314,2014,2024,National Institute of Allergy and Infectious Diseases,United States
R21AI110736,Simultaneous Immune Enhancement and Disruption of HIV-1 Latency by Poly ICLC,148064,2014,2016,National Institute of Allergy and Infectious Diseases,United States
K01AI106961,A Practice-Provider-Parent-Adolescent intervention to increase HPV vaccination,471220,2014,2019,National Institute of Allergy and Infectious Diseases,United States
R01AI108479,Mechanisms of Impaired HIV-associated B cell and Pneumococcal Vaccine responses,2288600,2013,2019,National Institute of Allergy and Infectious Diseases,United States
P50CA159981,RPCI-UPCI Ovarian Cancer SPORE,11641270,2013,2020,National Cancer Institute,United States
R01AG045973,Immune response to pneumococcal vaccination in aging HIV positive adults.,1514444,2013,2020,National Institute on Aging,United States
R01CA178414,Developing a self-persuasion intervention promoting adolescent HPV vaccination,2250510,2013,2019,National Cancer Institute,United States
R01CA178846,MELANOMA VACCINE FOR HELPER T CELLS COMBINED WITH TARGETED OR IMMUNE THERAPIES,1184376,2013,2019,National Cancer Institute,United States
R01CA174858,Peptide vaccine-based immunotherapy for children with recurrent ependymomas.,945448,2013,2017,National Cancer Institute,United States
U01AI105872,Reversing Tissue Fibrosis to Improve Immune Reconstitution in HIV,5275178,2013,2019,National Institute of Allergy and Infectious Diseases,United States
R18HS021163,School Located Influenza Vaccinations for Children: Community-Wide Dissemination,952829,2012,2018,Agency for Healthcare Research and Quality,United States
UC4DK097835,NIDDK Type 1 Diabetes TrialNet Data Coordinating Center,45000000,2012,2017,National Institute of Diabetes and Digestive and Kidney Diseases,United States
R01AI099243,Assessing measures to eliminate transmission of cholera in Haiti,6805175,2012,2022,National Institute of Allergy and Infectious Diseases,United States
R42CA153845,Therapeutic Vaccine Targeting CMV Antigens in Glioblastoma,2000000,2012,2020,National Cancer Institute,United States
R01CA169118,Combinational Immunotherapy Targeting the Melanoma-Associated Vasculature,2070886,2012,2018,National Cancer Institute,United States
R01DA035145,Efficacy of Internet-based HIV prevention,3734615,2012,2018,National Institute on Drug Abuse,United States
U01HD071889,Antiviral prophylaxis to prevent perinatal transmission of HBV in Thailand,1980750,2012,2017,National Institute of Child Health and Human Development,United States
R01AI099601,Causes of rotavirus vaccine failure in Zambian children,643442,2012,2017,National Institute of Allergy and Infectious Diseases,United States
R01CA168719,Measles Virotherapy for Multiple Myeloma,1495557,2012,2015,National Cancer Institute,United States
R01CA166559,Quadrivalent Human Papillomavirus (HPV) Vaccine in Cancer Survivors,3020788,2012,2019,National Cancer Institute,United States
U19AI100266,The effect of peptide therapy and allergen provocation on Fel d1-specific T Cells,6510000,2012,2019,National Institute of Allergy and Infectious Diseases,United States
U01IP000475,Influenza Immunization of Children in India,3070024,2011,2016,Centers for Disease Control and Prevention,United States
U01IP000497,EMIT: Evaluating Modes of Influenza Transmission using a Human Challenge Model,10849395,2011,2014,Centers for Disease Control and Prevention,United States
P01HS021138,Center for Research in Implementation Science and Prevention (CRISP),4466826,2011,2015,Agency for Healthcare Research and Quality,United States
R01HD070821,"Integrated Brain, Body and Social Intervention for ADHD",4162049,2011,2016,National Institute of Child Health and Human Development,United States
K23AG040708,Vitamin D and Immunosenescence in Older Long-Term Care Residents,623572,2011,2015,National Institute on Aging,United States
R01CA158318,mTOR inhibition for generating memory T cells to enhance ovarian tumor immunity,1663124,2011,2019,National Cancer Institute,United States
U01IP000501,Immunization Delivery in Obstetrics and Gynecology Settings,1049974,2011,2015,Centers for Disease Control and Prevention,United States
U01GH000152,CONDUCTING PUBLIC HEALTH RESEARCH IN THAILAND BY THE MINISTRY OF PUBLIC HEALTH (MO,10590632,2011,2016,Centers for Disease Control and Prevention,United States
R01DA030296,"Couples-Based HIV/STI Prevention for Drug-Involved, African American MSM",2981836,2011,2018,National Institute on Drug Abuse,United States
U19AI096113,Martin Delaney Collaboratory to Eradicate HIV-1 Infection,39466444,2011,2017,National Institute of Allergy and Infectious Diseases,United States
R01GM097531,Novel Mechanisms and Approaches to Treat Neonatal Sepsis,2333507,2011,2020,National Institute of General Medical Sciences,United States
U01IP000310,Adolescent Vaccination in the Medical Home: Established and Innovative Strategies,887375,2010,2014,Centers for Disease Control and Prevention,United States
U19AT006028,Bastyr/UW Oncomycology Translational Research Center,4038890,2010,2015,National Center for Complementary and Integrative Health,United States
U01CA154967,Cancer Immunotherapy Trials Network Central Operations and Statistical Center,16826048,2010,2017,National Cancer Institute,United States
P50CA138293,Seattle Cancer Consortium Breast SPORE,10967142,2010,2017,National Cancer Institute,United States
U54CA153513,Asian Community Cancer Health Disparities Center (ACCHDC),5202041,2010,2017,National Cancer Institute,United States
D43CA153784,Zambian Cervical Cancer Research Capacity Initiative,1814038,2010,2015,National Cancer Institute,United States
U19AI090019,Vaccination and infection: indicators of immunological health and responsiveness,17337264,2010,2016,National Institute of Allergy and Infectious Diseases,United States
U19AI090023,System Biological Analyses of Innate and Adaptive Responses to Vaccination,41860480,2010,2022,National Institute of Allergy and Infectious Diseases,United States
R01CA143130,Understanding and Enhancing T-Cell Responses to High Risk Human Papillomaviruses,6391168,2010,2020,National Cancer Institute,United States
R01CA125244,Adoptive Transfer of AlloCTL for Immunotherapy of Recurrent Gliomas,2436181,2010,2016,National Cancer Institute,United States
U19AI089683,"The Intransigence of Malaria in Malawi: Understanding Hidden Reservoirs, Successful Vectors and Prevention Failures",16795696,2010,2024,National Institute of Allergy and Infectious Diseases,United States
R01AI081558,Immune Response to Pneumococcal Vaccination in HIV Infected Adults,1461020,2010,2014,National Institute of Allergy and Infectious Diseases,United States
R21HD061709,Metabolic and Immune Responses to Flu Vaccine in Mitochondrial Disease Patients,432419,2010,2012,National Institute of Child Health and Human Development,United States
R01CA140602,Vaccination with IL-15 DC to Generate Melanoma-specific Protective Memory T Cells,1410939,2010,2015,National Cancer Institute,United States
R18HS018158,Flu Alert: Influenza Vaccine Alerts for Providers in the Electronic Health Record,1200000,2009,2013,Agency for Healthcare Research and Quality,United States
U19AI084024,The UPMC Sexually Transmitted Infections Cooperative Research Center,12910007,2009,2017,National Institute of Allergy and Infectious Diseases,United States
RC1LM010513,Population versus Practice-Based Interventions to Increase Immunization Rates,999999,2009,2012,United States National Library of Medicine,United States
RC2HL101632,Viral/Immune parameters of Dengue and WNV in donors: blood safety implications,2118432,2009,2013,National Heart Lung and Blood Institute,United States
RC2DA028837,Phase III Study of a Nicotine Vaccine for Smoking Cessation,10007124,2009,2011,National Institute on Drug Abuse,United States
RC2CA148491,A Phase I Study of EGFRvIII Peptide Vaccination (CDX-110) after Conventional Radi,1548119,2009,2013,National Cancer Institute,United States
RC1AI086900,Translational Research: From Mechanisms of Influenza Transmission to Prevention,995688,2009,2012,National Institute of Allergy and Infectious Diseases,United States
K01TW008401,"Preliminary Effectiveness Analysis of Universal Rotavirus Immunization, Nicaragua",507037,2009,2013,Fogarty International Center,United States
P30AG034532,NBER Roybal Center for Behavior Change in Health,5297949,2009,2024,National Institute on Aging,United States
U01IP000320,Strategies to Vaccinate all Children for Influenza in a Practice Setting,780000,2009,2013,Centers for Disease Control and Prevention,United States
P50CA140158,Experimental Therapeutics of Leukemia,11230671,2009,2015,National Cancer Institute,United States
R01HL095163,Cigarette Smoke and Susceptibility to Influenza Infection,1993842,2009,2015,National Heart Lung and Blood Institute,United States
R21AG031470,The Effect of Fact versus Myth Messages on Receipt of Influenza Vaccination,250100,2009,2011,National Institute on Aging,United States
R21CA134813,Stress management and vaccine response among women at risk for breast cancer,425920,2009,2012,National Cancer Institute,United States
R21CA133859,A Bi-Institutional Pilot Study of Vaccinations for Patients with Low Grade Glioma,677685,2009,2012,National Cancer Institute,United States
R01AT004313,Meditation and Exercise for Prevention of Acute Respiratory Infection,1185662,2009,2012,National Center for Complementary and Integrative Health,United States
R01CA134633,Clinical translation of 19F MRI to visualize cancer immunotherapeutic cells,3972426,2009,2022,National Cancer Institute,United States
P01CA132714,Directing Tumor-specific T cells to Tumors,6766119,2009,2016,National Cancer Institute,United States
R44HD056647,Relieving Pediatric Immunization Pain Using A Reusable Personal Device,1061888,2009,2012,National Institute of Child Health and Human Development,United States
R21CA130340,CD8+ T cell Activation and Infiltration Into Breast Tumors Following Vaccination,628726,2009,2012,National Cancer Institute,United States
P01TP000300,"TP08-001, PREPAREDNESS AND EMERGENCY RESPONSE CENTER",5206088,2008,2015,Office of Public Health Preparedness and Response,United States
P01AT005013,Metabolic and Immunologic Effects of Meditation,6759902,2008,2015,National Center for Complementary and Integrative Health,United States
